Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,2.44,2.40,2.40,1.03,181170
1980-03-18,0.00,2.47,2.40,2.47,1.06,42789
1980-03-19,0.00,2.50,2.46,2.46,1.06,40968
1980-03-20,0.00,2.50,2.46,2.46,1.06,545330
1980-03-21,0.00,2.43,2.39,2.40,1.03,29133
1980-03-24,0.00,2.39,2.31,2.31,0.99,247629
1980-03-25,0.00,2.38,2.32,2.38,1.02,78294
1980-03-26,0.00,2.36,2.31,2.31,0.99,217586
1980-03-27,0.00,2.28,2.17,2.17,0.93,201198
1980-03-28,0.00,2.25,2.20,2.22,0.96,120173
1980-03-31,0.00,2.31,2.24,2.24,0.96,91950
1980-04-01,0.00,2.29,2.24,2.28,0.98,159320
1980-04-02,0.00,2.32,2.25,2.31,0.99,203930
1980-04-03,0.00,2.31,2.29,2.31,0.99,38237
1980-04-07,0.00,2.32,2.29,2.31,0.99,82846
1980-04-08,0.00,2.35,2.29,2.35,1.01,50072
1980-04-09,0.00,2.38,2.32,2.35,1.01,55534
1980-04-10,0.00,2.40,2.35,2.40,1.03,17298
1980-04-11,0.00,2.53,2.44,2.47,1.06,39147
1980-04-14,0.00,2.51,2.44,2.46,1.06,756542
1980-04-15,0.00,2.44,2.42,2.44,1.05,303163
1980-04-16,0.00,2.49,2.43,2.44,1.05,390562
1980-04-17,0.00,2.47,2.38,2.38,1.02,446096
1980-04-18,0.00,2.38,2.36,2.38,1.02,200288
1980-04-21,0.00,2.38,2.33,2.38,1.02,69190
1980-04-22,0.00,2.38,2.35,2.35,1.01,358698
1980-04-23,0.00,2.38,2.33,2.35,1.01,69190
1980-04-24,0.00,2.40,2.33,2.40,1.03,62818
1980-04-25,0.00,2.40,2.36,2.39,1.03,21850
1980-04-28,0.00,2.40,2.38,2.40,1.03,77384
1980-04-29,0.00,2.44,2.38,2.44,1.05,185722
1980-04-30,0.00,2.44,2.38,2.39,1.03,99234
1980-05-01,0.00,2.44,2.40,2.40,1.03,196646
1980-05-02,0.00,2.43,2.38,2.38,1.02,150216
1980-05-05,0.00,2.46,2.38,2.44,1.05,414232
1980-05-06,0.00,2.60,2.44,2.57,1.10,171155
1980-05-07,0.00,2.64,2.54,2.64,1.13,213034
