Date,Open,High,Low,Close,Adj Close,Volume
1976-06-17,0.00,2.15,1.95,2.12,1.00,600220
1976-06-18,0.00,2.22,2.08,2.18,1.04,855469
1976-06-21,0.00,2.22,2.15,2.15,1.02,486328
1976-06-22,0.00,2.18,2.05,2.12,1.00,290039
1976-06-23,0.00,2.08,1.84,1.95,0.92,278320
1976-06-24,0.00,2.01,1.91,2.01,0.95,123413
1976-06-25,0.00,2.05,2.01,2.05,0.97,231079
1976-06-28,0.00,2.08,2.01,2.05,0.97,127441
1976-06-29,0.00,2.08,1.98,1.98,0.94,68848
1976-06-30,0.00,2.05,1.95,2.05,0.97,131470
1976-07-01,0.00,2.05,1.98,1.98,0.94,66284
1976-07-02,0.00,2.01,1.95,1.98,0.94,84961
1976-07-06,0.00,1.98,1.91,1.91,0.91,92651
1976-07-07,0.00,1.98,1.88,1.98,0.94,142456
1976-07-08,0.00,1.98,1.95,1.95,0.92,80933
1976-07-09,0.00,2.12,1.95,2.12,1.00,241699
1976-07-12,0.00,2.12,2.05,2.08,0.99,108398
1976-07-13,0.00,2.12,1.95,1.98,0.94,303223
1976-07-14,0.00,1.98,1.95,1.95,0.92,83496
1976-07-15,0.00,1.98,1.95,1.95,0.92,52368
1976-07-16,0.00,1.98,1.91,1.95,0.92,125977
1976-07-19,0.00,1.95,1.91,1.91,0.91,79468
1976-07-20,0.00,1.91,1.84,1.88,0.89,74707
1976-07-21,0.00,1.88,1.84,1.84,0.87,84961
1976-07-22,0.00,1.88,1.84,1.84,0.87,154175
1976-07-23,0.00,1.88,1.84,1.88,0.89,39917
1976-07-26,0.00,1.88,1.77,1.84,0.87,78003
1976-07-27,0.00,1.84,1.77,1.77,0.84,65918
1976-07-28,0.00,1.77,1.71,1.74,0.83,45044
1976-07-29,0.00,1.77,1.71,1.74,0.83,40649
1976-07-30,0.00,1.81,1.74,1.77,0.84,41748
1976-08-02,0.00,1.81,1.74,1.74,0.83,38452
1976-08-03,0.00,1.81,1.74,1.81,0.86,41748
1976-08-04,0.00,1.84,1.77,1.81,0.86,55664
1976-08-05,0.00,1.81,1.77,1.77,0.84,221191
1976-08-06,0.00,1.77,1.74,1.74,0.83,58594
1976-08-09,0.00,1.77,1.71,1.71,0.81,42480
1976-08-10,0.00,1.74,1.71,1.71,0.81,64819
1976-08-11,0.00,1.74,1.71,1.71,0.81,41748
1976-08-12,0.00,1.74,1.71,1.71,0.81,49438
1976-08-13,0.00,1.74,1.71,1.74,0.83,64819
1976-08-16,0.00,1.74,1.71,1.71,0.81,46509
1976-08-17,0.00,1.74,1.67,1.74,0.83,74707
1976-08-18,0.00,1.77,1.71,1.77,0.84,119019
1976-08-19,0.00,1.77,1.71,1.74,0.83,31860
1976-08-20,0.00,1.77,1.71,1.74,0.83,34424
1976-08-23,0.00,1.74,1.67,1.67,0.79,52368
1976-08-24,0.00,1.71,1.64,1.64,0.78,98145
1976-08-25,0.00,1.64,1.57,1.64,0.78,43579
1976-08-26,0.00,1.67,1.57,1.60,0.76,51270
1976-08-27,0.00,1.64,1.60,1.60,0.76,21973
1976-08-30,0.00,1.64,1.60,1.60,0.76,44312
1976-08-31,0.00,1.60,1.57,1.60,0.76,29663
1976-09-01,0.00,1.64,1.60,1.60,0.76,56396
1976-09-02,0.00,1.67,1.60,1.64,0.78,46143
1976-09-03,0.00,1.64,1.54,1.54,0.73,103271
1976-09-07,0.00,1.60,1.54,1.60,0.76,55298
1976-09-08,0.00,1.67,1.60,1.64,0.78,131470
1976-09-09,0.00,1.67,1.64,1.67,0.79,68115
1976-09-10,0.00,1.74,1.67,1.74,0.83,49438
1976-09-13,0.00,1.81,1.77,1.81,0.86,91187
1976-09-14,0.00,1.91,1.81,1.91,0.91,147583
1976-09-15,0.00,1.95,1.88,1.91,0.91,145020
1976-09-16,0.00,1.91,1.88,1.88,0.89,67749
1976-09-17,0.00,1.88,1.84,1.88,0.89,70312
1976-09-20,0.00,1.88,1.77,1.81,0.86,66284
1976-09-21,0.00,1.84,1.77,1.81,0.86,53101
1976-09-22,0.00,1.84,1.81,1.81,0.86,56030
1976-09-23,0.00,1.84,1.77,1.81,0.86,43579
1976-09-24,0.00,1.84,1.81,1.84,0.87,20508
1976-09-27,0.00,1.88,1.81,1.81,0.86,45410
1976-09-28,0.00,1.81,1.77,1.77,0.84,67017
1976-09-29,0.00,1.77,1.64,1.64,0.78,93018
1976-09-30,0.00,1.67,1.57,1.64,0.78,117920
1976-10-01,0.00,1.67,1.60,1.64,0.78,51270
1976-10-04,0.00,1.67,1.64,1.67,0.79,43945
1976-10-05,0.00,1.67,1.60,1.60,0.76,32959
1976-10-06,0.00,1.64,1.60,1.60,0.76,26733
1976-10-07,0.00,1.64,1.57,1.57,0.74,19409
1976-10-08,0.00,1.64,1.57,1.57,0.74,93384
1976-10-11,0.00,1.60,1.54,1.57,0.74,29297
1976-10-12,0.00,1.60,1.50,1.50,0.71,55664
1976-10-13,0.00,1.57,1.50,1.57,0.74,50903
1976-10-14,0.00,1.60,1.54,1.54,0.73,51636
1976-10-15,0.00,1.57,1.54,1.57,0.74,36621
1976-10-18,0.00,1.57,1.54,1.54,0.73,27466
1976-10-19,0.00,1.57,1.50,1.57,0.74,30396
1976-10-20,0.00,1.60,1.54,1.60,0.76,46875
1976-10-21,0.00,1.60,1.57,1.57,0.74,19043
1976-10-22,0.00,1.57,1.54,1.54,0.73,16846
1976-10-25,0.00,1.57,1.54,1.54,0.73,22339
1976-10-26,0.00,1.54,1.50,1.54,0.73,43579
1976-10-27,0.00,1.57,1.50,1.57,0.74,37354
