Date,Open,High,Low,Close,Adj Close,Volume
1966-07-05,0.00,0.27,0.27,0.27,0.12,388800
1966-07-06,0.00,0.28,0.27,0.28,0.13,692550
1966-07-07,0.00,0.29,0.27,0.27,0.13,1858950
1966-07-08,0.00,0.28,0.27,0.28,0.13,1239300
1966-07-11,0.00,0.28,0.27,0.28,0.13,656100
1966-07-12,0.00,0.27,0.27,0.27,0.12,303750
1966-07-13,0.00,0.27,0.27,0.27,0.12,291600
1966-07-14,0.00,0.27,0.27,0.27,0.12,328050
1966-07-15,0.00,0.27,0.26,0.26,0.12,376650
1966-07-18,0.00,0.27,0.26,0.26,0.12,607500
1966-07-19,0.00,0.26,0.26,0.26,0.12,413100
1966-07-20,0.00,0.26,0.26,0.26,0.12,230850
1966-07-21,0.00,0.26,0.25,0.25,0.11,230850
1966-07-22,0.00,0.25,0.25,0.25,0.11,303750
1966-07-25,0.00,0.25,0.24,0.24,0.11,510300
1966-07-26,0.00,0.24,0.23,0.23,0.11,328050
1966-07-27,0.00,0.24,0.24,0.24,0.11,157950
1966-07-28,0.00,0.24,0.24,0.24,0.11,97200
1966-07-29,0.00,0.24,0.24,0.24,0.11,157950
1966-08-01,0.00,0.24,0.24,0.24,0.11,182250
1966-08-02,0.00,0.24,0.23,0.24,0.11,85050
1966-08-03,0.00,0.24,0.23,0.23,0.11,267300
1966-08-04,0.00,0.24,0.23,0.24,0.11,60750
1966-08-05,0.00,0.25,0.24,0.24,0.11,157950
1966-08-08,0.00,0.24,0.24,0.24,0.11,48600
1966-08-09,0.00,0.24,0.24,0.24,0.11,133650
1966-08-10,0.00,0.24,0.24,0.24,0.11,170100
1966-08-11,0.00,0.24,0.24,0.24,0.11,133650
1966-08-12,0.00,0.24,0.24,0.24,0.11,206550
1966-08-15,0.00,0.24,0.24,0.24,0.11,741150
1966-08-16,0.00,0.24,0.23,0.23,0.11,668250
1966-08-17,0.00,0.24,0.22,0.22,0.10,473850
1966-08-18,0.00,0.22,0.22,0.22,0.10,109350
1966-08-19,0.00,0.22,0.21,0.21,0.10,315900
1966-08-22,0.00,0.21,0.20,0.20,0.09,680400
