Date,Open,High,Low,Close,Adj Close,Volume
1994-10-31,8.19,8.31,8.19,8.31,6.69,1984200
1994-11-01,8.31,8.31,8.19,8.25,6.64,2176400
1994-11-02,8.25,8.25,8.19,8.19,6.59,2348200
1994-11-03,8.19,8.25,8.12,8.19,6.59,2060800
1994-11-04,8.19,8.25,8.12,8.12,6.54,2663800
1994-11-07,8.06,8.06,8.00,8.06,6.49,1049400
1994-11-08,8.06,8.06,7.88,7.88,6.34,5761000
1994-11-09,7.94,8.06,7.94,8.00,6.44,2480000
1994-11-10,8.00,8.06,8.00,8.06,6.49,1956000
1994-11-11,8.06,8.06,8.00,8.00,6.44,1300200
1994-11-14,7.94,7.94,7.88,7.94,6.39,1419200
1994-11-15,7.94,7.94,7.88,7.88,6.34,3118800
1994-11-16,7.88,7.94,7.88,7.88,6.34,813400
1994-11-17,7.88,7.88,7.75,7.81,6.29,1477600
1994-11-18,7.81,7.81,7.69,7.75,6.24,2452600
1994-11-21,7.75,7.75,7.56,7.56,6.09,3276000
1994-11-22,7.56,7.62,7.44,7.44,5.99,2725000
1994-11-23,7.44,7.50,7.31,7.50,6.04,2634200
1994-11-25,7.50,7.50,7.50,7.50,6.04,640800
1994-11-28,7.50,7.56,7.44,7.56,6.09,1583400
1994-11-29,7.56,7.56,7.44,7.50,6.04,1056400
1994-11-30,7.50,7.50,7.44,7.50,6.04,1086800
1994-12-01,7.50,7.50,7.44,7.44,5.99,979000
1994-12-02,7.44,7.50,7.38,7.50,6.04,1257200
1994-12-05,7.50,7.56,7.44,7.44,5.99,1071200
1994-12-06,7.44,7.44,7.38,7.44,5.99,1819200
1994-12-07,7.44,7.44,7.31,7.38,5.94,1223400
1994-12-08,7.38,7.44,7.38,7.38,5.94,1178400
1994-12-09,7.38,7.38,7.31,7.38,5.94,1682000
1994-12-12,7.38,7.44,7.31,7.38,5.94,1011400
1994-12-13,7.38,7.50,7.38,7.44,5.99,1555200
1994-12-14,7.44,7.50,7.44,7.50,6.04,1351600
1994-12-15,7.50,7.56,7.38,7.50,6.04,2600400
1994-12-16,7.50,7.56,7.44,7.50,6.04,3428800
1994-12-19,7.50,7.62,7.38,7.56,6.09,3590000
1994-12-20,7.56,7.62,7.56,7.62,6.14,1464200
1994-12-21,7.62,7.69,7.62,7.62,6.14,3717600
1994-12-22,7.62,7.75,7.62,7.75,6.24,1467200
1994-12-23,7.75,7.75,7.62,7.62,6.14,1012000
1994-12-27,7.62,7.75,7.62,7.75,6.24,3242800
1994-12-28,7.75,7.75,7.62,7.75,6.24,1814400
1994-12-29,7.75,7.81,7.75,7.81,6.29,1436200
1994-12-30,7.81,7.81,7.69,7.81,6.29,1365600
1995-01-03,7.81,7.81,7.69,7.75,6.24,1064200
1995-01-04,7.75,7.81,7.62,7.69,6.19,1751600
1995-01-05,7.69,7.75,7.62,7.75,6.24,1600200
1995-01-06,7.75,7.81,7.69,7.69,6.19,2230600
1995-01-09,7.69,7.75,7.62,7.69,6.19,2108800
1995-01-10,7.69,7.75,7.69,7.69,6.19,1580600
1995-01-11,7.69,7.69,7.56,7.62,6.14,3488600
1995-01-12,7.56,7.56,7.50,7.50,6.04,1875600
1995-01-13,7.56,7.56,7.56,7.56,6.09,2206600
1995-01-16,7.56,7.62,7.56,7.62,6.14,3502000
1995-01-17,7.62,7.69,7.62,7.62,6.14,1322800
1995-01-18,7.62,7.62,7.56,7.56,6.09,2150400
1995-01-19,7.50,7.50,7.44,7.50,6.04,3214600
1995-01-20,7.50,7.56,7.44,7.50,6.04,2263800
1995-01-23,7.50,7.56,7.44,7.56,6.09,4176200
1995-01-24,7.56,7.62,7.50,7.56,6.09,1362800
1995-01-25,7.56,7.62,7.56,7.62,6.14,2840000
1995-01-26,7.12,7.12,6.88,7.06,5.69,14524000
1995-01-27,7.06,7.12,6.94,6.94,5.59,7288800
1995-01-30,6.94,7.00,6.94,7.00,5.64,3881000
1995-01-31,7.00,7.06,7.00,7.06,5.69,2975200
1995-02-01,7.06,7.06,6.88,6.94,5.59,2668000
1995-02-02,6.94,7.00,6.88,6.94,5.59,1846800
1995-02-03,6.94,7.06,6.94,7.06,5.69,3790800
1995-02-06,7.06,7.12,7.00,7.06,5.69,2963200
1995-02-07,7.12,7.19,7.12,7.19,5.79,2994800
1995-02-08,7.19,7.31,7.12,7.19,5.79,3764800
1995-02-09,7.19,7.25,7.06,7.25,5.84,1978400
1995-02-10,7.25,7.25,7.19,7.19,5.79,1724200
1995-02-13,7.19,7.19,7.12,7.12,5.74,1560000
1995-02-14,7.12,7.19,7.06,7.12,5.74,1967200
1995-02-15,7.12,7.19,7.12,7.19,5.79,1822800
1995-02-16,7.19,7.19,7.12,7.19,5.79,1477000
1995-02-17,7.19,7.31,7.19,7.25,5.84,3836600
1995-02-21,7.25,7.31,7.19,7.19,5.79,2169400
1995-02-22,7.19,7.19,7.12,7.19,5.79,1879800
1995-02-23,7.19,7.25,7.12,7.19,5.79,1599600
1995-02-24,7.19,7.25,7.19,7.25,5.84,1129800
1995-02-27,7.25,7.25,7.19,7.25,5.84,910000
1995-02-28,7.25,7.31,7.19,7.31,5.89,2920200
1995-03-01,7.31,7.44,7.31,7.44,5.99,8590400
1995-03-02,7.44,7.50,7.38,7.50,6.04,2482800
1995-03-03,7.50,7.56,7.44,7.50,6.04,3257600
1995-03-06,7.50,7.50,7.44,7.44,5.99,1734000
1995-03-07,7.44,7.44,7.25,7.44,5.99,1985600
1995-03-08,7.44,7.50,7.44,7.44,5.99,882400
1995-03-09,7.44,7.44,7.38,7.44,5.99,817000
1995-03-10,7.44,7.50,7.38,7.50,6.04,3922600
1995-03-13,7.50,7.56,7.44,7.56,6.09,2940000
1995-03-14,7.56,7.62,7.56,7.62,6.14,4782600
1995-03-15,7.62,7.62,7.50,7.56,6.09,1994000
1995-03-16,7.56,7.56,7.50,7.56,6.09,1515600
1995-03-17,7.56,7.56,7.50,7.50,6.04,3842200
1995-03-20,7.50,7.56,7.50,7.56,6.09,979000
1995-03-21,7.56,7.56,7.50,7.50,6.04,1926400
1995-03-22,7.50,7.50,7.44,7.50,6.04,1438200
1995-03-23,7.50,7.56,7.44,7.56,6.09,3240000
1995-03-24,7.56,7.56,7.50,7.50,6.04,2071400
