Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,1.77,1.77,1.77,1.77,0.45,18225
1973-02-22,1.75,1.75,1.75,1.75,0.44,8100
1973-02-23,1.75,1.75,1.75,1.75,0.44,18225
1973-02-26,1.73,1.73,1.73,1.73,0.44,14175
1973-02-27,1.72,1.72,1.72,1.72,0.43,58725
1973-02-28,1.69,1.69,1.69,1.69,0.43,74925
1973-03-01,1.69,1.69,1.69,1.69,0.43,78975
1973-03-02,1.68,1.68,1.68,1.68,0.42,26325
1973-03-05,1.63,1.63,1.63,1.63,0.41,87075
1973-03-06,1.66,1.66,1.66,1.66,0.42,26325
1973-03-07,1.69,1.69,1.69,1.69,0.43,54675
1973-03-08,1.67,1.67,1.67,1.67,0.42,30375
1973-03-09,1.65,1.65,1.65,1.65,0.42,6075
1973-03-12,1.66,1.66,1.66,1.66,0.42,16200
1973-03-13,1.65,1.65,1.65,1.65,0.42,24300
1973-03-14,1.69,1.69,1.69,1.69,0.43,24300
1973-03-15,1.70,1.70,1.70,1.70,0.43,10125
1973-03-16,1.68,1.68,1.68,1.68,0.42,8100
1973-03-19,1.67,1.67,1.67,1.67,0.42,36450
1973-03-20,1.67,1.67,1.67,1.67,0.42,26325
1973-03-21,1.64,1.64,1.64,1.64,0.41,18225
1973-03-22,1.64,1.64,1.64,1.64,0.41,6075
1973-03-23,1.65,1.65,1.65,1.65,0.42,22275
1973-03-26,1.66,1.66,1.66,1.66,0.42,28350
1973-03-27,1.66,1.66,1.66,1.66,0.42,22275
1973-03-28,1.69,1.69,1.69,1.69,0.43,32400
1973-03-29,1.80,1.80,1.80,1.80,0.45,131625
1973-03-30,1.79,1.79,1.79,1.79,0.45,32400
1973-04-02,1.75,1.75,1.75,1.75,0.44,14175
1973-04-03,1.72,1.72,1.72,1.72,0.43,20250
1973-04-04,1.74,1.74,1.74,1.74,0.44,10125
1973-04-05,1.72,1.72,1.72,1.72,0.43,14175
1973-04-06,1.72,1.72,1.72,1.72,0.43,30375
1973-04-09,1.75,1.75,1.75,1.75,0.44,30375
1973-04-10,1.75,1.75,1.75,1.75,0.44,42525
1973-04-11,1.74,1.74,1.74,1.74,0.44,8100
1973-04-12,1.75,1.75,1.75,1.75,0.44,4050
1973-04-13,1.74,1.74,1.74,1.74,0.44,18225
1973-04-16,1.74,1.74,1.74,1.74,0.44,14175
1973-04-17,1.74,1.74,1.74,1.74,0.44,12150
1973-04-18,1.75,1.75,1.75,1.75,0.44,18225
1973-04-19,1.81,1.81,1.81,1.81,0.46,30375
1973-04-23,1.75,1.75,1.75,1.75,0.44,58725
1973-04-24,1.71,1.71,1.71,1.71,0.43,34425
1973-04-25,1.73,1.73,1.73,1.73,0.44,18225
1973-04-26,1.72,1.72,1.72,1.72,0.43,6075
1973-04-27,1.69,1.69,1.69,1.69,0.43,18225
1973-04-30,1.71,1.71,1.71,1.71,0.43,22275
1973-05-01,1.70,1.70,1.70,1.70,0.43,38475
1973-05-02,1.72,1.72,1.72,1.72,0.43,56700
1973-05-03,0.00,1.78,1.73,1.78,0.45,40500
1973-05-04,0.00,1.81,1.79,1.81,0.46,46575
1973-05-07,0.00,1.83,1.78,1.78,0.45,44550
1973-05-08,0.00,1.78,1.78,1.78,0.45,20250
1973-05-09,0.00,1.84,1.78,1.80,0.45,78975
