Date,Open,High,Low,Close,Adj Close,Volume
2000-04-05,12.92,14.04,12.76,13.81,8.60,77084766
2000-04-06,13.70,14.15,13.59,13.87,8.63,17167722
2000-04-07,13.70,13.87,13.48,13.65,8.49,15131516
2000-04-10,13.76,13.81,13.59,13.76,8.56,6324938
2000-04-11,13.65,13.70,13.42,13.48,8.39,6087860
2000-04-12,13.59,14.93,13.48,14.43,8.98,12169885
2000-04-13,14.48,15.37,14.20,15.15,9.43,11922484
2000-04-14,15.10,15.15,14.09,14.15,8.81,10659337
2000-04-17,14.26,14.65,14.26,14.37,8.95,3951908
2000-04-18,14.43,14.54,13.81,14.37,8.95,6083933
2000-04-19,14.43,14.43,14.04,14.26,8.88,6001354
2000-04-20,14.04,14.20,13.70,13.76,8.56,7755264
2000-04-24,13.81,14.26,13.76,14.20,8.84,3494806
2000-04-25,14.20,14.43,14.15,14.26,8.88,8311103
2000-04-26,14.20,14.32,14.15,14.32,8.91,6666587
2000-04-27,14.20,14.26,13.81,14.20,8.84,2788058
2000-04-28,14.20,15.04,13.70,14.76,9.19,6977494
2000-05-01,15.26,16.04,15.04,16.04,9.99,6605326
2000-05-02,15.71,15.99,15.49,15.88,9.88,3514777
2000-05-03,15.82,15.88,15.37,15.60,9.71,2223580
2000-05-04,15.49,15.60,14.43,15.60,9.71,3848236
2000-05-05,15.37,15.88,15.21,15.65,9.74,2043723
2000-05-08,15.93,16.54,15.88,16.04,9.99,3250995
2000-05-09,16.21,16.38,14.93,15.26,9.50,4750885
2000-05-10,15.15,15.88,15.15,15.65,9.74,3684087
2000-05-11,15.71,16.32,15.49,16.04,9.99,3363083
2000-05-12,16.15,16.54,16.10,16.43,10.23,2162318
2000-05-15,16.93,17.16,16.60,16.88,10.51,3025810
2000-05-16,16.93,17.44,16.77,16.99,10.57,5590589
2000-05-17,16.99,17.55,16.38,16.99,10.57,1769618
2000-05-18,16.93,17.05,16.66,16.86,10.50,3207349
2000-05-19,16.49,16.49,15.93,16.21,10.09,4300177
2000-05-22,16.27,16.38,15.49,16.27,10.12,1921649
2000-05-23,16.27,16.93,16.27,16.82,10.47,2349356
2000-05-24,16.82,17.38,16.60,17.27,10.75,1765018
2000-05-25,17.21,17.27,16.71,17.10,10.64,1944089
2000-05-26,17.05,17.66,16.88,17.60,10.96,2967241
2000-05-30,17.77,17.94,17.38,17.71,11.03,3622938
2000-05-31,17.71,18.27,17.27,18.27,11.37,3982651
2000-06-01,18.22,18.27,17.77,17.83,11.10,3229565
2000-06-02,18.72,18.77,18.16,18.72,11.65,3866524
2000-06-05,18.27,18.61,18.16,18.33,11.41,2666209
2000-06-06,18.61,18.61,18.16,18.22,11.34,3314276
