Date,Open,High,Low,Close,Adj Close,Volume
2004-11-05,12.75,17.61,12.75,17.49,15.47,8150300
2004-11-08,17.13,18.88,16.50,18.70,16.54,1113400
2004-11-09,18.74,19.60,17.32,18.57,16.43,521600
2004-11-10,18.35,21.24,18.02,20.15,17.83,709500
2004-11-11,20.70,24.41,20.37,21.00,18.58,1757100
2004-11-12,22.15,22.50,21.00,21.40,18.93,580900
2004-11-15,21.65,23.10,20.59,21.61,19.12,638900
2004-11-16,22.19,22.47,20.95,22.20,19.64,457500
2004-11-17,21.80,23.25,21.80,22.00,19.46,442500
2004-11-18,21.81,21.99,20.51,20.84,18.44,273900
2004-11-19,20.80,21.75,19.49,21.50,19.02,597300
2004-11-22,21.13,22.99,21.08,22.22,19.66,290400
2004-11-23,22.85,22.85,20.65,21.19,18.75,436800
2004-11-24,21.50,21.56,20.25,21.05,18.62,182600
2004-11-26,21.15,21.25,20.90,21.00,18.58,61100
2004-11-29,21.70,21.75,19.71,20.23,17.90,317800
2004-11-30,20.43,20.76,19.51,19.60,17.34,282900
2004-12-01,19.89,20.10,19.25,20.04,17.73,317000
2004-12-02,20.00,22.47,20.00,21.64,19.14,486600
2004-12-03,21.65,22.87,21.08,21.44,18.97,222000
2004-12-06,21.66,22.07,20.44,20.50,18.14,147000
2004-12-07,20.99,21.00,18.54,19.44,17.20,414200
2004-12-08,19.40,19.68,18.70,19.40,17.16,82500
2004-12-09,19.45,20.40,18.85,20.00,17.69,142900
2004-12-10,20.20,20.84,20.05,20.41,18.06,209100
2004-12-13,20.16,20.37,19.25,19.40,17.16,66500
2004-12-14,19.40,19.90,17.95,18.29,16.18,319600
2004-12-15,18.25,18.38,17.05,17.21,15.22,511400
2004-12-16,17.03,17.25,15.67,16.09,14.23,339100
2004-12-17,16.24,16.96,15.72,15.93,14.09,485700
2004-12-20,16.25,16.85,15.85,16.12,14.26,134400
2004-12-21,16.05,17.46,16.05,16.97,15.01,123500
2004-12-22,17.15,17.15,16.75,16.94,14.99,50100
2004-12-23,16.99,17.32,16.86,17.19,15.21,106800
2004-12-27,17.19,17.31,16.32,16.98,15.02,58400
2004-12-28,17.05,17.05,16.50,16.91,14.96,48200
2004-12-29,16.75,17.20,16.55,16.76,14.83,86500
2004-12-30,16.94,17.18,16.81,17.18,15.20,27600
2004-12-31,17.13,17.13,16.71,17.01,15.05,47500
2005-01-03,16.75,17.15,15.94,15.95,14.11,87400
2005-01-04,16.15,16.27,15.30,15.56,13.77,178100
2005-01-05,15.42,16.41,15.29,15.60,13.80,121500
2005-01-06,15.50,15.73,15.12,15.28,13.52,44000
2005-01-07,15.25,16.18,15.22,15.50,13.71,55000
2005-01-10,15.50,16.00,15.06,15.50,13.71,39300
2005-01-11,15.50,16.01,15.39,15.92,14.08,128500
2005-01-12,15.80,15.93,15.41,15.88,14.05,45200
2005-01-13,15.50,15.74,14.97,15.08,13.34,54100
2005-01-14,14.95,15.33,14.95,15.20,13.45,35500
2005-01-18,15.35,15.45,14.94,14.99,13.26,64200
2005-01-19,15.10,15.10,14.75,14.93,13.21,19400
2005-01-20,14.70,14.87,14.40,14.68,12.99,70900
2005-01-21,14.46,14.77,13.61,14.54,12.86,111200
2005-01-24,14.15,15.27,14.10,14.10,12.47,32900
2005-01-25,14.22,14.49,14.10,14.40,12.74,78800
2005-01-26,14.58,14.63,14.15,14.35,12.69,33700
2005-01-27,14.25,14.50,14.16,14.22,12.58,19100
2005-01-28,14.15,14.40,14.15,14.23,12.59,29700
2005-01-31,14.10,14.41,13.87,13.98,12.37,71500
2005-02-01,13.86,14.25,13.85,13.96,12.35,87500
2005-02-02,13.95,13.97,13.62,13.82,12.23,34800
2005-02-03,13.60,13.60,12.09,12.09,10.70,256200
2005-02-04,11.99,12.45,10.83,11.50,10.17,778700
2005-02-07,11.25,12.15,11.25,11.40,10.09,227800
2005-02-08,11.31,11.90,11.25,11.35,10.04,216400
2005-02-09,12.60,12.88,11.42,11.97,10.59,451900
2005-02-10,12.79,13.00,12.40,12.50,11.06,221300
2005-02-11,12.73,12.73,12.40,12.48,11.04,89300
2005-02-14,12.55,12.55,12.04,12.20,10.79,83800
2005-02-15,12.10,13.32,12.10,13.05,11.54,213300
2005-02-16,13.45,13.75,13.20,13.70,12.12,101700
2005-02-17,13.88,14.05,12.79,12.94,11.45,149500
2005-02-18,13.13,13.68,13.12,13.16,11.64,57200
2005-02-22,13.30,13.30,12.85,13.00,11.50,95600
2005-02-23,13.14,13.14,12.81,12.81,11.33,25600
2005-02-24,12.75,12.81,12.21,12.64,11.18,72700
2005-02-25,12.45,12.60,12.05,12.48,11.04,59000
2005-02-28,12.57,12.57,11.80,11.82,10.46,84500
2005-03-01,12.15,12.15,11.95,12.00,10.62,78200
2005-03-02,12.00,12.01,11.88,12.00,10.62,44100
2005-03-03,11.79,11.99,11.39,11.43,10.11,96700
2005-03-04,11.35,11.60,11.35,11.43,10.11,33600
2005-03-07,11.50,11.56,11.33,11.40,10.09,22400
2005-03-08,11.34,11.69,10.93,11.11,9.83,65300
2005-03-09,10.98,11.08,10.66,11.06,9.78,79800
2005-03-10,11.06,11.42,11.06,11.22,9.93,70100
2005-03-11,11.13,11.45,10.72,11.04,9.77,41600
2005-03-14,11.00,11.25,10.94,11.20,9.91,113700
2005-03-15,11.31,11.31,10.90,10.99,9.72,64600
2005-03-16,10.89,11.18,10.86,11.00,9.73,178700
2005-03-17,11.00,11.17,10.86,10.95,9.69,43900
2005-03-18,10.82,11.15,10.82,10.94,9.68,49400
2005-03-21,10.92,11.09,10.60,10.70,9.47,56400
2005-03-22,10.59,11.10,10.58,10.92,9.66,29400
2005-03-23,10.77,10.86,10.39,10.50,9.29,38500
2005-03-24,10.48,10.58,10.28,10.41,9.21,70400
2005-03-28,10.26,10.44,10.02,10.26,9.08,81200
2005-03-29,10.20,10.38,9.75,9.88,8.74,47000
2005-03-30,9.70,9.91,9.18,9.64,8.53,176400
2005-03-31,9.51,11.45,9.51,11.17,9.88,438300
2005-04-01,12.09,12.99,11.88,12.93,11.44,344000
2005-04-04,13.03,13.03,12.10,12.76,11.29,93900
2005-04-05,12.79,12.80,12.14,12.14,10.74,110200
2005-04-06,12.09,12.25,11.98,12.00,10.62,90100
2005-04-07,12.10,12.18,11.75,12.04,10.65,81900
2005-04-08,12.00,12.13,11.94,11.96,10.58,153800
2005-04-11,12.00,12.72,12.00,12.25,10.84,70700
2005-04-12,12.25,12.69,12.10,12.56,11.11,99100
2005-04-13,12.50,13.37,12.50,13.02,11.52,162200
2005-04-14,13.28,13.93,12.99,13.60,12.03,171100
2005-04-15,13.61,13.61,13.30,13.52,11.96,131100
2005-04-18,13.82,14.35,13.42,13.84,12.24,217300
2005-04-19,14.15,14.15,13.81,13.87,12.27,152000
2005-04-20,13.80,13.80,13.21,13.21,11.69,117900
2005-04-21,13.22,13.68,13.20,13.60,12.03,155600
2005-04-22,13.59,13.59,12.76,12.76,11.29,963100
2005-04-25,12.85,13.00,12.27,12.45,11.01,192600
2005-04-26,12.49,12.50,12.00,12.05,10.66,237200
2005-04-27,12.02,12.22,11.86,12.10,10.70,157100
2005-04-28,12.10,12.57,12.05,12.09,10.70,130500
2005-04-29,12.44,12.44,12.00,12.26,10.85,159700
2005-05-02,12.32,12.57,11.92,12.23,10.82,137700
2005-05-03,12.17,12.69,12.17,12.43,11.00,198700
2005-05-04,11.75,11.75,10.65,11.30,10.00,977200
2005-05-05,11.07,11.50,10.93,11.00,9.73,586100
2005-05-06,10.89,11.23,10.71,11.23,9.93,555200
2005-05-09,11.11,11.25,10.48,11.10,9.82,619900
2005-05-10,11.10,11.10,10.93,11.00,9.73,311000
2005-05-11,11.00,11.00,10.67,10.79,9.55,274900
2005-05-12,10.64,10.77,10.22,10.52,9.31,212900
2005-05-13,10.49,10.55,10.22,10.22,9.04,65600
2005-05-16,10.20,10.43,9.49,10.30,9.11,398400
2005-05-17,10.32,10.51,10.07,10.50,9.29,174500
2005-05-18,10.39,10.90,9.93,10.20,9.02,211000
2005-05-19,10.20,10.48,10.00,10.10,8.94,101900
2005-05-20,10.16,10.16,9.77,9.90,8.76,130900
2005-05-23,9.83,11.10,9.83,10.73,9.49,249100
2005-05-24,10.84,11.00,10.57,10.85,9.60,126400
2005-05-25,10.88,10.90,10.28,10.42,9.22,237700
2005-05-26,10.40,10.47,10.30,10.44,9.24,154200
2005-05-27,10.32,10.69,10.10,10.35,9.16,148900
2005-05-31,10.48,10.48,9.74,10.00,8.85,194200
2005-06-01,9.88,10.00,9.49,9.83,8.70,329100
2005-06-02,9.83,10.06,9.71,10.06,8.90,135700
2005-06-03,10.05,10.43,10.00,10.28,9.09,117000
2005-06-06,10.18,10.31,9.87,10.30,9.11,129800
2005-06-07,10.33,10.36,10.19,10.24,9.06,129100
2005-06-08,10.18,10.18,9.86,9.93,8.78,45700
2005-06-09,10.04,10.09,9.84,10.09,8.93,115700
2005-06-10,10.04,10.43,10.03,10.20,9.02,189300
2005-06-13,10.22,10.71,10.22,10.60,9.38,244200
2005-06-14,10.67,11.50,10.57,11.43,10.11,413500
2005-06-15,11.66,11.70,10.86,11.17,9.88,108100
2005-06-16,11.04,11.58,10.91,11.55,10.22,142700
2005-06-17,11.48,11.60,11.35,11.36,10.05,198200
2005-06-20,11.64,11.64,11.26,11.33,10.02,52100
2005-06-21,11.34,11.52,11.30,11.45,10.13,181400
2005-06-22,11.49,11.73,11.42,11.65,10.31,385500
2005-06-23,11.77,11.77,11.42,11.50,10.17,1232600
2005-06-24,11.50,11.67,10.51,11.58,10.24,1340700
2005-06-27,11.64,11.64,11.40,11.51,10.18,280900
2005-06-28,11.53,11.60,11.11,11.50,10.17,244900
2005-06-29,11.50,11.72,10.79,11.37,10.06,496000
2005-06-30,11.25,11.44,11.03,11.30,10.00,273100
2005-07-01,11.33,11.33,10.90,11.02,9.75,161000
2005-07-05,10.92,11.16,10.76,10.85,9.60,118100
2005-07-06,10.75,11.04,10.74,10.89,9.63,238000
2005-07-07,10.77,10.89,10.20,10.52,9.31,345200
2005-07-08,10.41,10.58,10.38,10.54,9.32,460200
2005-07-11,10.60,11.96,10.51,11.30,10.00,494300
2005-07-12,11.33,11.39,10.97,11.05,9.78,123900
2005-07-13,11.10,11.10,10.82,10.86,9.61,64300
2005-07-14,10.99,11.25,10.89,10.89,9.63,181100
2005-07-15,10.75,11.00,10.60,10.87,9.62,178700
2005-07-18,10.86,11.08,10.71,10.95,9.69,123500
2005-07-19,11.09,11.09,10.74,10.97,9.70,126400
2005-07-20,10.91,11.48,10.88,11.43,10.11,143200
2005-07-21,11.43,11.47,10.94,11.06,9.78,93500
2005-07-22,11.06,11.42,11.02,11.39,10.08,67100
2005-07-25,11.29,11.29,10.95,11.02,9.75,55800
2005-07-26,11.02,11.13,10.76,10.92,9.66,116600
2005-07-27,10.95,11.18,10.56,10.99,9.72,101000
2005-07-28,10.94,11.18,10.73,10.86,9.61,80000
