Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,31.95,32.46,29.40,29.85,29.85,20259700
2020-11-23,31.11,31.25,28.01,29.00,29.00,3617600
2020-11-24,29.14,29.70,25.56,26.29,26.29,3392900
2020-11-25,26.75,27.66,26.04,26.96,26.96,2086300
2020-11-27,27.41,30.27,27.41,29.16,29.16,5155400
2020-11-30,29.16,29.50,27.73,28.15,28.15,1694400
2020-12-01,28.29,30.20,26.50,27.79,27.79,1523600
2020-12-02,27.19,29.01,27.16,28.12,28.12,843000
2020-12-03,28.00,28.59,27.41,27.68,27.68,1158600
2020-12-04,27.68,27.89,27.40,27.62,27.62,232100
2020-12-07,27.48,27.76,24.75,26.82,26.82,1338600
2020-12-08,26.46,26.53,25.08,25.60,25.60,1322000
2020-12-09,25.53,25.62,23.62,24.50,24.50,952400
2020-12-10,24.30,25.69,23.91,25.54,25.54,1735700
2020-12-11,25.09,26.36,24.91,25.17,25.17,515500
2020-12-14,25.74,26.53,25.16,25.73,25.73,1333600
2020-12-15,26.84,27.49,26.45,26.62,26.62,1688800
2020-12-16,27.27,28.23,26.80,27.46,27.46,1569100
2020-12-17,27.64,30.26,27.64,29.55,29.55,1385500
2020-12-18,29.77,30.04,29.09,29.99,29.99,1328000
2020-12-21,29.16,30.35,28.51,29.53,29.53,2162300
2020-12-22,29.53,31.19,29.40,30.86,30.86,1660200
2020-12-23,31.00,31.00,29.76,30.17,30.17,1243500
2020-12-24,30.10,30.10,29.45,29.71,29.71,386800
2020-12-28,30.04,30.22,28.61,28.82,28.82,842400
2020-12-29,28.98,28.98,26.76,27.00,27.00,848600
2020-12-30,27.24,28.59,27.24,27.97,27.97,1088000
2020-12-31,28.00,28.51,27.61,28.05,28.05,669000
2021-01-04,28.85,29.44,27.35,27.50,27.50,1609900
2021-01-05,27.46,27.89,26.64,27.00,27.00,770000
2021-01-06,26.72,26.95,25.32,25.80,25.80,1418600
2021-01-07,26.00,26.43,25.68,25.91,25.91,1107100
2021-01-08,26.00,26.58,25.75,26.30,26.30,893000
2021-01-11,26.02,27.85,26.02,27.01,27.01,1714900
2021-01-12,27.01,28.80,27.01,27.92,27.92,1384500
2021-01-13,28.02,28.53,27.02,27.10,27.10,799800
2021-01-14,27.52,28.50,27.52,27.87,27.87,999000
