Date,Open,High,Low,Close,Adj Close,Volume
2000-06-30,13.81,14.75,12.69,14.25,12.34,3518000
2000-07-03,14.36,14.36,13.41,13.75,11.90,778800
2000-07-05,13.56,13.75,12.50,12.89,11.16,2986000
2000-07-06,12.91,13.00,10.56,11.38,9.85,3596000
2000-07-07,11.41,12.09,10.75,11.97,10.36,1938800
2000-07-10,11.88,13.64,11.38,12.47,10.79,2824400
2000-07-11,12.25,13.50,11.59,12.09,10.47,2786800
2000-07-12,12.52,14.61,12.12,14.53,12.58,4570400
2000-07-13,14.94,15.94,13.52,15.09,13.07,5894400
2000-07-14,15.12,15.12,13.62,13.81,11.96,1805200
2000-07-17,13.94,15.16,13.00,14.80,12.81,1578000
2000-07-18,14.50,16.17,14.06,15.69,13.58,2166000
2000-07-19,15.81,17.00,15.19,16.53,14.31,3068800
2000-07-20,16.89,17.62,16.44,17.09,14.80,1586400
2000-07-21,17.00,17.36,15.38,15.39,13.32,1402000
2000-07-24,16.52,16.52,13.75,13.75,11.90,3320800
2000-07-25,14.12,14.53,13.19,14.16,12.26,1588400
2000-07-26,14.19,14.19,12.69,13.17,11.40,1924400
2000-07-27,13.06,13.06,11.62,12.08,10.46,2432000
2000-07-28,12.34,12.38,11.25,12.38,10.71,1814000
2000-07-31,12.45,12.53,11.38,11.42,9.89,1662000
2000-08-01,11.62,11.75,10.75,10.80,9.35,894400
2000-08-02,10.78,11.62,10.41,11.50,9.96,1896800
2000-08-03,11.25,13.41,11.08,13.41,11.61,1499200
2000-08-04,13.11,14.44,13.11,14.44,12.50,1474800
2000-08-07,14.70,14.75,13.33,13.75,11.90,492400
2000-08-08,13.81,14.22,13.50,13.50,11.69,323600
2000-08-09,13.77,14.00,13.00,13.16,11.39,369200
2000-08-10,13.33,13.33,12.50,13.00,11.25,300400
2000-08-11,13.00,13.19,12.39,12.97,11.23,134000
2000-08-14,12.81,13.00,12.38,12.47,10.79,593200
2000-08-15,12.44,12.84,12.25,12.75,11.04,204000
2000-08-16,12.80,13.78,12.75,13.72,11.88,740800
2000-08-17,13.75,13.81,12.81,13.22,11.44,575200
2000-08-18,13.22,13.50,12.75,13.06,11.30,198800
2000-08-21,13.06,13.88,12.81,13.75,11.90,263200
2000-08-22,13.50,14.47,13.50,13.97,12.09,379600
2000-08-23,13.97,14.02,13.19,13.38,11.58,454400
2000-08-24,13.32,14.00,13.25,13.78,11.93,1924000
2000-08-25,13.94,14.30,13.28,13.84,11.98,1748000
2000-08-28,14.16,14.62,13.88,14.62,12.66,1642800
2000-08-29,14.50,17.36,14.47,16.97,14.69,3262000
2000-08-30,16.52,18.67,16.50,17.56,15.20,1767200
2000-08-31,17.53,18.48,17.44,17.84,15.45,850800
2000-09-01,18.16,18.33,17.53,17.94,15.53,467600
2000-09-05,17.66,19.44,17.56,18.72,16.20,1028000
2000-09-06,18.62,21.31,18.62,20.75,17.96,2685600
2000-09-07,20.80,24.31,20.38,23.88,20.67,2757200
2000-09-08,24.53,25.30,23.25,23.72,20.53,3938400
2000-09-11,23.25,23.73,21.59,23.47,20.32,3260400
2000-09-12,23.47,25.83,22.88,24.70,21.39,2206000
2000-09-13,24.50,26.25,24.23,25.38,21.97,1278400
2000-09-14,25.84,27.44,24.62,25.00,21.64,2366000
2000-09-15,25.38,25.50,24.16,24.27,21.01,563200
2000-09-18,23.47,25.34,22.39,22.47,19.45,1785200
2000-09-19,22.39,22.89,20.88,22.56,19.53,1632800
2000-09-20,22.53,24.25,22.38,23.38,20.24,1920800
2000-09-21,23.25,23.47,21.67,23.00,19.91,601200
2000-09-22,21.77,22.75,21.03,22.34,19.34,883200
2000-09-25,22.91,23.62,20.75,21.64,18.73,1111600
2000-09-26,21.12,21.50,19.00,20.28,17.56,1539600
2000-09-27,20.56,21.00,18.50,18.94,16.39,721200
2000-09-28,18.75,20.03,18.38,19.44,16.83,1638800
2000-09-29,19.38,19.75,18.72,19.28,16.69,1117600
2000-10-02,19.28,20.81,19.27,19.81,17.15,976800
2000-10-03,20.12,20.72,19.38,19.41,16.80,1291600
2000-10-04,19.09,19.17,17.75,18.69,16.18,1386400
2000-10-05,18.90,19.50,18.41,19.00,16.45,606000
2000-10-06,19.25,19.25,18.22,18.22,15.77,546400
2000-10-09,18.22,20.16,18.22,19.94,17.26,1023200
2000-10-10,19.88,20.66,19.78,19.97,17.29,1687200
2000-10-11,19.44,21.98,19.41,20.75,17.96,1465600
2000-10-12,21.78,21.78,20.44,21.14,18.30,708400
2000-10-13,21.12,23.12,21.12,22.69,19.64,640000
2000-10-16,22.88,22.88,19.77,20.44,17.69,540400
2000-10-17,15.89,15.89,13.78,14.27,12.35,24374000
2000-10-18,13.31,13.75,12.25,12.64,10.94,5658400
2000-10-19,13.49,14.06,13.25,13.83,11.97,4004000
2000-10-20,13.88,15.53,13.75,15.12,13.09,4702000
2000-10-23,15.05,15.06,14.02,14.92,12.92,1491200
2000-10-24,14.83,15.11,14.67,14.75,12.77,977200
2000-10-25,14.25,14.25,13.17,13.50,11.69,1446800
2000-10-26,13.72,13.72,12.62,12.81,11.09,2017600
2000-10-27,13.03,14.19,13.00,13.53,11.71,830000
2000-10-30,13.56,13.59,12.88,13.09,11.34,1358800
2000-10-31,13.25,14.36,13.16,13.94,12.07,1287600
2000-11-01,13.75,13.78,12.78,13.00,11.25,904400
2000-11-02,13.06,13.58,13.06,13.28,11.50,1970400
2000-11-03,13.50,13.50,13.14,13.25,11.47,662800
2000-11-06,13.31,14.00,13.25,13.47,11.66,400400
2000-11-07,12.62,12.62,12.06,12.20,10.56,1746000
2000-11-08,12.25,12.50,12.09,12.09,10.47,646000
2000-11-09,12.09,12.14,11.64,12.12,10.50,928400
2000-11-10,12.06,12.06,10.69,11.48,9.94,2156400
2000-11-13,11.44,11.94,10.78,11.64,10.08,403600
2000-11-14,11.94,12.38,11.75,12.09,10.47,350400
2000-11-15,12.39,12.75,11.84,12.44,10.77,611600
2000-11-16,12.13,12.16,11.06,11.28,9.77,2296000
2000-11-17,11.34,11.53,10.97,11.34,9.82,678800
2000-11-20,11.12,11.16,10.25,10.50,9.09,2574000
2000-11-21,10.47,10.84,9.88,10.06,8.71,686400
2000-11-22,9.84,10.06,8.62,9.33,8.08,518400
2000-11-24,9.28,9.86,8.94,9.84,8.52,143600
2000-11-27,10.02,10.05,7.88,8.42,7.29,817200
2000-11-28,8.44,8.44,6.94,7.00,6.06,1688400
2000-11-29,7.06,7.25,6.55,6.86,5.94,2391200
2000-11-30,6.62,7.19,6.25,7.16,6.20,1413600
2000-12-01,7.12,7.69,7.06,7.36,6.37,1346400
2000-12-04,7.38,7.38,6.52,6.67,5.78,1337200
2000-12-05,6.75,7.62,6.75,7.58,6.56,1512800
2000-12-06,7.64,8.00,6.98,7.12,6.17,540800
2000-12-07,7.18,7.18,6.81,6.91,5.98,1088800
2000-12-08,7.25,8.06,7.08,7.94,6.87,876000
2000-12-11,8.02,8.52,7.67,8.27,7.16,1400000
2000-12-12,8.07,8.50,8.03,8.25,7.14,1737600
2000-12-13,8.48,8.48,7.55,7.61,6.59,1656400
2000-12-14,7.57,7.59,6.94,6.98,6.05,1315200
2000-12-15,7.02,7.06,6.31,6.50,5.63,614800
2000-12-18,6.75,6.75,6.19,6.25,5.41,878800
2000-12-19,6.22,6.56,5.64,5.75,4.98,1436800
2000-12-20,5.70,5.97,4.91,5.03,4.36,1824800
2000-12-21,5.03,5.44,4.67,4.75,4.11,1304000
2000-12-22,4.88,5.01,4.62,4.94,4.27,866000
2000-12-26,4.72,4.78,3.84,4.25,3.68,3630000
2000-12-27,4.28,4.92,4.09,4.78,4.14,5408400
2000-12-28,4.61,5.67,4.59,5.55,4.80,3259600
2000-12-29,5.66,5.66,5.38,5.48,4.75,2409600
2001-01-02,5.27,5.50,5.27,5.34,4.63,2221600
2001-01-03,5.41,5.62,5.00,5.42,4.69,3264000
2001-01-04,5.47,6.19,5.44,6.06,5.25,4648000
2001-01-05,6.09,6.11,5.54,5.62,4.87,1514000
2001-01-08,5.66,5.75,5.52,5.70,4.94,1948800
2001-01-09,5.61,5.81,5.61,5.69,4.92,2123200
2001-01-10,5.61,5.73,5.19,5.70,4.94,3650800
2001-01-11,5.70,6.81,5.50,6.33,5.48,5093200
2001-01-12,6.45,7.06,6.12,6.88,5.95,2292800
