Date,Open,High,Low,Close,Adj Close,Volume
1993-02-23,8.00,8.12,7.66,7.75,3.97,40594800
1993-02-24,7.88,8.06,7.78,7.97,4.08,9426400
1993-02-25,8.00,8.16,7.97,8.16,4.18,5229200
1993-02-26,8.16,8.28,8.03,8.28,4.24,2761200
1993-03-01,8.19,8.22,8.00,8.00,4.10,3014400
1993-03-02,8.06,8.25,8.03,8.22,4.21,3022800
1993-03-03,8.19,8.31,8.12,8.19,4.19,2808800
1993-03-04,8.16,8.25,8.16,8.16,4.18,1783600
1993-03-05,8.12,8.34,8.00,8.31,4.26,3868800
1993-03-08,8.25,8.31,8.19,8.28,4.24,2516000
1993-03-09,8.25,8.62,8.25,8.53,4.37,2449200
1993-03-10,8.47,8.91,8.44,8.88,4.55,3192800
1993-03-11,8.97,8.97,8.78,8.88,4.55,1276400
1993-03-12,8.81,9.06,8.50,9.03,4.63,2958800
1993-03-15,9.00,9.00,8.81,8.88,4.55,1858400
1993-03-16,8.81,8.91,8.66,8.69,4.45,2182000
1993-03-17,8.69,8.78,8.59,8.78,4.50,2413600
1993-03-18,8.75,9.03,8.75,9.00,4.61,1765200
1993-03-19,9.06,9.06,8.91,8.91,4.56,2397600
1993-03-22,8.94,8.94,8.78,8.88,4.55,729200
1993-03-23,8.88,8.88,8.69,8.69,4.45,924000
1993-03-24,8.69,8.69,8.34,8.59,4.40,1787600
1993-03-25,8.53,8.59,8.41,8.59,4.40,1080400
1993-03-26,8.88,9.16,8.84,9.16,4.69,2376800
1993-03-29,9.09,9.25,8.94,9.25,4.74,1273600
1993-03-30,9.38,9.59,9.28,9.59,4.91,1463600
1993-03-31,9.62,9.81,9.56,9.59,4.91,1856000
1993-04-01,9.47,9.50,9.19,9.25,4.74,1410000
1993-04-02,9.12,9.28,8.91,8.91,4.56,1338800
1993-04-05,8.88,9.09,8.88,9.06,4.64,873200
1993-04-06,9.09,9.12,8.94,8.94,4.58,763200
1993-04-07,8.91,9.09,8.91,9.06,4.64,240400
1993-04-08,9.06,9.06,9.00,9.03,4.63,304000
1993-04-12,9.03,9.25,9.03,9.25,4.74,217600
1993-04-13,9.38,9.59,9.38,9.53,4.88,937600
1993-04-14,9.53,9.81,9.53,9.78,5.01,689600
1993-04-15,9.66,9.66,9.25,9.38,4.80,1319600
1993-04-16,9.44,9.50,9.31,9.34,4.79,1452400
1993-04-19,9.28,9.34,9.09,9.12,4.67,861600
1993-04-20,9.22,9.28,8.66,8.84,4.53,2764000
1993-04-21,8.84,8.97,8.72,8.72,4.47,1372800
1993-04-22,8.72,8.88,8.69,8.72,4.47,1387600
1993-04-23,8.69,8.72,8.50,8.59,4.40,660400
1993-04-26,8.62,8.69,8.31,8.41,4.31,1847200
1993-04-27,8.31,8.50,8.16,8.50,4.35,1674000
1993-04-28,8.56,8.69,8.47,8.66,4.43,726800
1993-04-29,8.66,8.72,8.62,8.62,4.42,228800
1993-04-30,8.66,9.75,8.66,9.69,4.96,3105600
1993-05-03,9.50,9.50,9.12,9.19,4.71,2001200
1993-05-04,9.25,9.31,9.16,9.25,4.74,826000
1993-05-05,9.22,9.22,9.12,9.16,4.69,512000
1993-05-06,9.16,9.16,9.00,9.09,4.66,183200
1993-05-07,9.12,9.19,9.09,9.12,4.67,245200
1993-05-10,9.16,9.31,9.16,9.25,4.74,708800
1993-05-11,9.25,9.25,9.12,9.22,4.72,568800
1993-05-12,9.22,9.28,9.16,9.22,4.72,258000
1993-05-13,9.16,9.16,9.00,9.00,4.61,163200
1993-05-14,8.97,8.97,8.59,8.75,4.48,848000
