Date,Open,High,Low,Close,Adj Close,Volume
1997-02-04,23.50,24.25,22.38,22.50,18.45,6573500
1997-02-05,22.25,22.50,22.00,22.00,18.04,2471100
1997-02-06,22.00,22.25,22.00,22.00,18.04,2351300
1997-02-07,22.00,22.12,20.50,21.25,17.43,813300
1997-02-10,21.25,21.25,19.75,20.12,16.50,373500
1997-02-11,20.12,20.88,20.12,20.75,17.02,136500
1997-02-12,21.00,21.00,20.25,20.38,16.71,126600
1997-02-13,20.38,20.50,20.12,20.25,16.61,254800
1997-02-14,20.12,20.12,19.12,19.38,15.89,372200
1997-02-18,19.75,19.75,19.00,19.12,15.68,204400
1997-02-19,19.12,19.25,18.62,19.00,15.58,489100
1997-02-20,18.75,20.00,18.75,19.88,16.30,296200
1997-02-21,20.00,20.00,19.38,19.62,16.09,161100
1997-02-24,19.38,19.62,19.00,19.50,15.99,1415800
1997-02-25,19.62,21.00,19.62,20.88,17.12,288300
1997-02-26,20.75,21.88,20.62,21.88,17.94,147600
1997-02-27,21.75,22.38,21.75,22.25,18.25,339100
1997-02-28,22.25,22.38,21.88,21.88,17.94,135000
1997-03-03,22.00,22.00,21.75,21.75,17.84,146300
1997-03-04,21.75,21.75,21.38,21.38,17.53,63100
1997-03-05,21.38,21.50,21.25,21.38,17.53,31100
1997-03-06,21.38,21.50,20.88,21.00,17.22,129500
1997-03-07,21.00,21.00,20.50,20.50,16.81,89200
1997-03-10,20.50,20.88,20.25,20.88,17.12,76500
1997-03-11,20.75,21.12,20.75,21.12,17.32,76600
1997-03-12,21.00,21.12,20.62,20.75,17.02,77200
1997-03-13,20.62,20.62,20.25,20.25,16.61,139000
1997-03-14,20.25,20.75,20.25,20.50,16.81,65500
1997-03-17,20.50,20.50,20.00,20.25,16.61,173500
1997-03-18,20.25,20.50,20.25,20.50,16.81,89700
1997-03-19,20.50,21.25,20.50,20.75,17.02,77500
1997-03-20,20.62,20.62,20.50,20.50,16.81,38800
1997-03-21,20.62,20.88,20.38,20.88,17.12,70100
1997-03-24,20.75,20.88,20.75,20.75,17.02,26000
1997-03-25,20.75,20.88,20.62,20.62,16.91,21100
1997-03-26,20.75,20.75,20.25,20.38,16.71,58100
1997-03-27,20.50,20.75,20.00,20.00,16.40,50800
1997-03-31,20.00,20.00,19.25,19.50,15.99,199000
1997-04-01,19.38,19.38,18.88,18.88,15.48,57000
1997-04-02,18.88,18.88,18.12,18.38,15.07,92000
1997-04-03,18.25,18.25,17.38,17.62,14.45,385700
1997-04-04,17.62,19.00,17.50,18.75,15.38,46400
1997-04-07,19.12,19.38,19.00,19.25,15.79,112100
1997-04-08,19.50,19.75,19.25,19.75,16.20,30700
1997-04-09,19.88,20.12,19.62,20.00,16.40,71600
1997-04-10,19.88,20.25,19.88,20.00,16.40,9800
1997-04-11,19.88,19.88,19.25,19.38,15.89,96700
1997-04-14,19.25,19.25,19.00,19.12,15.68,45500
1997-04-15,19.12,19.50,19.12,19.38,15.89,45400
1997-04-16,19.50,19.50,19.25,19.25,15.79,95000
1997-04-17,19.50,19.50,19.25,19.38,15.89,55100
1997-04-18,19.38,19.38,18.75,19.25,15.79,132400
1997-04-21,19.00,19.00,18.62,18.88,15.48,102300
1997-04-22,18.75,18.75,18.38,18.50,15.17,32900
1997-04-23,18.75,18.75,18.50,18.50,15.17,76400
1997-04-24,18.50,18.50,18.25,18.50,15.17,62400
1997-04-25,18.38,18.38,17.50,17.50,14.35,86700
1997-04-28,17.75,18.50,17.75,18.50,15.17,52400
1997-04-29,18.75,19.38,18.75,19.38,15.89,69900
1997-04-30,19.12,20.38,19.12,20.38,16.71,126200
1997-05-01,20.50,20.62,19.75,20.12,16.50,84700
1997-05-02,20.12,20.25,19.75,20.12,16.50,115300
1997-05-05,20.25,21.38,20.12,21.38,17.53,60400
1997-05-06,21.38,21.88,21.00,21.50,17.63,105200
