Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,13.00,16.00,13.00,16.00,16.00,1300
2021-07-20,15.37,15.85,12.25,12.50,12.50,1569400
2021-07-21,12.65,13.63,11.66,13.32,13.32,1806700
2021-07-22,12.16,13.32,12.01,12.53,12.53,1155600
2021-07-23,12.10,13.33,11.80,12.70,12.70,2233200
2021-07-26,13.00,13.14,12.29,12.39,12.39,1474600
2021-07-27,12.71,12.72,12.16,12.50,12.50,1453200
2021-07-28,13.40,13.43,12.92,13.22,13.22,606000
2021-07-29,13.50,13.56,13.22,13.47,13.47,499800
2021-07-30,13.38,14.07,13.20,13.80,13.80,732800
2021-08-02,13.89,14.73,13.76,14.28,14.28,361800
2021-08-03,14.28,14.28,13.90,14.22,14.22,296000
2021-08-04,14.04,14.21,13.97,14.06,14.06,244100
2021-08-05,14.12,14.32,13.93,14.12,14.12,247700
2021-08-06,14.06,14.56,13.95,14.55,14.55,383900
2021-08-09,14.55,14.68,13.55,13.57,13.57,163300
2021-08-10,13.56,13.72,13.34,13.52,13.52,251300
2021-08-11,13.52,13.79,13.44,13.73,13.73,165800
2021-08-12,13.63,13.81,13.34,13.51,13.51,287800
2021-08-13,13.46,13.57,13.31,13.51,13.51,275600
2021-08-16,13.69,13.72,13.25,13.58,13.58,315200
2021-08-17,13.47,13.76,13.47,13.68,13.68,158000
2021-08-18,13.57,13.68,13.12,13.31,13.31,263900
2021-08-19,13.11,13.30,12.94,13.29,13.29,379700
2021-08-20,13.20,13.54,13.05,13.26,13.26,1141300
2021-08-23,13.27,13.64,12.96,13.02,13.02,240100
2021-08-24,13.01,13.19,12.90,12.92,12.92,249200
2021-08-25,13.30,14.64,13.09,13.83,13.83,657800
2021-08-26,14.00,14.15,13.26,13.88,13.88,637400
2021-08-27,13.80,14.23,13.76,13.78,13.78,1472700
2021-08-30,13.88,14.28,12.92,13.11,13.11,522600
2021-08-31,13.21,13.61,13.12,13.53,13.53,1737600
2021-09-01,13.50,14.01,13.29,13.89,13.89,460400
2021-09-02,13.88,14.30,13.63,14.22,14.22,867000
2021-09-03,14.29,14.64,14.25,14.40,14.40,658200
2021-09-07,14.59,15.54,14.49,15.05,15.05,974200
2021-09-08,14.83,15.12,14.34,14.72,14.72,600800
2021-09-09,14.50,14.60,13.59,13.73,13.73,1395500
2021-09-10,13.72,14.45,13.55,14.40,14.40,857900
2021-09-13,14.74,14.98,13.54,13.56,13.56,955400
2021-09-14,13.50,14.32,13.47,14.30,14.30,917600
2021-09-15,14.12,14.38,13.54,13.56,13.56,1580900
2021-09-16,13.65,14.60,13.65,14.51,14.51,1757200
2021-09-17,14.44,15.77,14.40,15.52,15.52,4855200
2021-09-20,15.15,15.23,13.91,14.33,14.33,1302900
2021-09-21,14.32,14.80,14.25,14.46,14.46,2114200
2021-09-22,14.50,14.57,14.17,14.37,14.37,546600
2021-09-23,14.31,14.50,13.59,13.76,13.76,458000
2021-09-24,13.72,13.76,13.51,13.54,13.54,577100
2021-09-27,13.52,13.65,13.01,13.26,13.26,402700
2021-09-28,13.21,13.21,12.76,12.83,12.83,561900
2021-09-29,12.77,12.78,11.98,12.44,12.44,1464300
2021-09-30,12.43,12.58,12.30,12.41,12.41,265300
2021-10-01,12.40,12.78,12.13,12.78,12.78,460000
2021-10-04,12.73,12.73,11.87,12.14,12.14,492600
2021-10-05,12.10,12.68,12.10,12.66,12.66,805100
2021-10-06,12.44,13.08,12.34,13.00,13.00,465500
2021-10-07,13.11,13.33,12.74,12.89,12.89,763200
2021-10-08,12.87,12.97,12.24,12.31,12.31,347900
2021-10-11,12.17,12.77,12.17,12.54,12.54,763100
2021-10-12,12.48,12.69,12.28,12.50,12.50,687700
2021-10-13,12.57,12.63,12.26,12.50,12.50,584000
2021-10-14,12.51,12.77,12.50,12.59,12.59,696300
2021-10-15,12.71,13.01,12.61,12.97,12.97,1574000
2021-10-18,12.98,13.12,12.68,12.70,12.70,214400
2021-10-19,12.77,13.13,12.70,13.11,13.11,274800
2021-10-20,13.17,13.31,13.09,13.13,13.13,511600
2021-10-21,13.16,13.41,13.07,13.21,13.21,136100
2021-10-22,13.20,13.20,12.82,12.88,12.88,113000
2021-10-25,12.89,13.43,12.89,13.27,13.27,146800
2021-10-26,13.29,13.50,13.13,13.21,13.21,129700
2021-10-27,13.22,13.33,12.85,12.86,12.86,157700
2021-10-28,12.95,13.30,12.84,13.17,13.17,184100
2021-10-29,13.08,13.43,13.01,13.30,13.30,165500
2021-11-01,13.38,13.82,13.27,13.71,13.71,269500
2021-11-02,13.68,14.01,13.51,13.96,13.96,283300
2021-11-03,14.00,14.18,13.68,14.01,14.01,299600
2021-11-04,13.98,14.41,13.98,14.24,14.24,245200
2021-11-05,14.38,14.38,13.74,13.83,13.83,276100
2021-11-08,13.85,14.17,13.85,14.00,14.00,215100
2021-11-09,13.98,14.32,13.50,13.72,13.72,173100
2021-11-10,13.74,13.80,13.32,13.46,13.46,148600
2021-11-11,13.39,13.52,12.99,13.11,13.11,247300
2021-11-12,13.09,13.48,13.07,13.32,13.32,126700
2021-11-15,13.36,13.43,12.80,13.15,13.15,173300
2021-11-16,13.23,13.23,12.78,12.83,12.83,287800
2021-11-17,12.85,13.00,12.58,12.66,12.66,434700
2021-11-18,12.64,12.64,12.09,12.13,12.13,247400
2021-11-19,12.15,12.27,11.76,11.91,11.91,346100
2021-11-22,11.99,12.07,11.46,11.50,11.50,345700
2021-11-23,11.25,11.39,10.69,10.94,10.94,580900
2021-11-24,10.93,11.36,10.70,11.35,11.35,380700
2021-11-26,11.14,11.44,10.90,11.27,11.27,489300
2021-11-29,11.49,11.80,11.04,11.71,11.71,627600
2021-11-30,11.66,11.90,11.40,11.80,11.80,2169800
2021-12-01,11.95,12.16,10.77,10.87,10.87,640700
2021-12-02,10.75,11.04,10.47,10.71,10.71,739700
2021-12-03,10.74,11.16,10.32,11.13,11.13,925100
2021-12-06,11.18,12.13,10.73,12.06,12.06,1125200
2021-12-07,12.25,12.56,12.01,12.45,12.45,781500
2021-12-08,12.27,12.75,12.10,12.52,12.52,466000
2021-12-09,12.39,12.67,12.20,12.28,12.28,722400
2021-12-10,12.40,12.72,12.04,12.43,12.43,816200
2021-12-13,12.36,12.36,11.18,11.53,11.53,687200
2021-12-14,11.34,11.44,10.92,11.26,11.26,641700
2021-12-15,11.23,11.56,10.94,11.56,11.56,601800
2021-12-16,11.67,11.97,11.05,11.18,11.18,1125200
2021-12-17,11.06,11.94,10.87,11.41,11.41,2804600
2021-12-20,11.25,11.38,10.98,11.29,11.29,671100
2021-12-21,11.40,11.58,11.14,11.35,11.35,693400
2021-12-22,11.35,11.46,11.15,11.40,11.40,529300
2021-12-23,11.41,11.76,11.17,11.72,11.72,944600
2021-12-27,11.73,11.96,11.55,11.68,11.68,404600
2021-12-28,11.59,11.66,11.20,11.21,11.21,1037600
2021-12-29,11.10,11.22,10.63,11.04,11.04,727500
2021-12-30,11.13,11.41,11.00,11.20,11.20,481100
2021-12-31,11.20,11.35,11.09,11.10,11.10,389900
2022-01-03,11.18,11.62,10.89,11.50,11.50,712300
2022-01-04,11.45,11.45,10.85,11.18,11.18,388600
2022-01-05,11.03,11.22,10.39,10.59,10.59,541000
2022-01-06,10.54,10.81,10.39,10.45,10.45,275200
2022-01-07,10.40,10.63,10.19,10.26,10.26,361000
2022-01-10,10.18,10.45,9.86,10.43,10.43,322800
2022-01-11,10.38,10.69,10.38,10.56,10.56,244600
2022-01-12,10.59,10.67,10.40,10.49,10.49,139100
2022-01-13,10.48,10.60,10.27,10.30,10.30,155000
2022-01-14,10.20,10.37,10.01,10.16,10.16,157600
2022-01-18,9.98,10.23,9.86,10.03,10.03,237700
2022-01-19,10.06,10.56,10.02,10.16,10.16,180400
2022-01-20,10.23,10.66,10.19,10.20,10.20,216200
