Date,Open,High,Low,Close,Adj Close,Volume
1996-05-23,12.00,13.25,11.00,12.50,12.50,4194100
1996-05-24,12.25,13.00,11.75,11.75,11.75,623500
1996-05-28,11.75,12.12,10.75,10.88,10.88,592500
1996-05-29,10.75,11.12,10.75,10.88,10.88,225500
1996-05-30,10.75,11.00,10.50,10.75,10.75,157400
1996-05-31,10.88,11.50,10.62,11.00,11.00,410600
1996-06-03,11.00,11.25,10.50,10.75,10.75,129200
1996-06-04,10.62,11.25,10.50,11.00,11.00,33500
1996-06-05,10.94,11.25,10.62,11.25,11.25,31800
1996-06-06,11.00,11.25,10.50,10.50,10.50,125700
1996-06-07,10.50,10.88,10.50,10.50,10.50,104200
1996-06-10,10.69,10.88,10.50,10.62,10.62,80900
1996-06-11,11.00,11.00,10.50,10.50,10.50,14600
1996-06-12,10.94,11.00,10.50,10.62,10.62,67200
1996-06-13,10.50,11.00,10.50,10.50,10.50,26000
1996-06-14,10.75,11.25,10.75,11.00,11.00,37000
1996-06-17,11.25,11.25,10.75,11.12,11.12,131600
1996-06-18,11.88,12.00,11.25,11.62,11.62,213400
1996-06-19,11.75,11.75,10.50,10.50,10.50,200600
1996-06-20,10.75,10.75,9.50,10.00,10.00,307500
1996-06-21,10.00,10.00,9.50,10.00,10.00,74200
1996-06-24,9.50,9.75,9.00,9.50,9.50,70800
1996-06-25,9.50,10.00,9.00,9.38,9.38,113000
1996-06-26,9.50,9.75,9.00,9.00,9.00,84800
1996-06-27,9.50,9.50,8.25,8.25,8.25,91800
1996-06-28,8.88,8.88,8.12,8.88,8.88,89200
1996-07-01,8.50,8.75,8.00,8.69,8.69,89800
1996-07-02,8.75,8.75,8.00,8.00,8.00,71500
1996-07-03,8.00,8.50,7.75,7.88,7.88,160000
1996-07-05,8.00,8.06,8.00,8.00,8.00,3300
1996-07-08,8.00,8.25,7.75,8.25,8.25,21200
1996-07-09,7.75,8.25,7.75,8.25,8.25,4800
1996-07-10,7.88,8.25,7.75,8.25,8.25,115100
1996-07-11,8.00,8.25,7.75,8.00,8.00,37800
1996-07-12,8.25,8.25,7.00,7.25,7.25,53000
1996-07-15,7.50,7.50,6.75,7.00,7.00,42300
1996-07-16,6.50,7.00,6.50,7.00,7.00,91600
1996-07-17,7.25,7.88,7.00,7.88,7.88,311800
1996-07-18,7.38,7.88,7.38,7.62,7.62,290900
1996-07-19,7.56,9.25,7.56,8.88,8.88,88900
1996-07-22,8.75,9.50,8.75,9.00,9.00,78500
1996-07-23,8.75,9.50,8.75,8.75,8.75,33000
1996-07-24,8.50,9.00,8.50,8.75,8.75,9000
1996-07-25,8.75,9.00,8.25,8.50,8.50,145100
1996-07-26,8.25,8.25,7.75,8.00,8.00,35100
1996-07-29,8.25,8.25,7.75,7.75,7.75,11900
1996-07-30,8.25,8.25,7.75,7.75,7.75,47000
1996-07-31,8.25,8.25,8.00,8.00,8.00,33900
1996-08-01,8.25,8.25,8.00,8.00,8.00,48100
1996-08-02,8.25,8.50,8.00,8.12,8.12,48700
1996-08-05,8.38,8.38,8.00,8.38,8.38,43800
1996-08-06,8.38,8.38,8.00,8.12,8.12,32300
1996-08-07,8.62,8.62,8.00,8.00,8.00,43500
1996-08-08,8.50,8.50,8.00,8.50,8.50,17800
1996-08-09,8.00,8.50,8.00,8.50,8.50,28900
1996-08-12,8.50,8.50,8.25,8.50,8.50,14300
1996-08-13,8.50,8.50,8.25,8.38,8.38,35800
1996-08-14,8.50,8.50,8.25,8.25,8.25,14600
1996-08-15,8.38,8.50,8.38,8.50,8.50,4900
1996-08-16,8.50,9.00,8.25,9.00,9.00,46300
1996-08-19,9.25,9.25,8.88,8.88,8.88,10300
1996-08-20,9.25,9.25,8.75,8.94,8.94,44800
1996-08-21,9.12,9.12,8.62,8.88,8.88,33900
1996-08-22,8.88,9.12,8.62,8.75,8.75,15800
1996-08-23,9.12,9.12,8.50,9.00,9.00,24200
1996-08-26,9.00,9.00,8.50,8.75,8.75,43500
1996-08-27,8.88,8.88,8.50,8.62,8.62,58600
1996-08-28,8.88,8.88,8.38,8.38,8.38,19400
1996-08-29,8.88,8.88,8.38,8.62,8.62,11700
1996-08-30,8.38,8.88,8.38,8.50,8.50,5900
1996-09-03,8.88,8.88,8.38,8.50,8.50,37200
1996-09-04,8.88,8.88,8.38,8.38,8.38,8000
1996-09-05,8.75,8.75,8.38,8.44,8.44,11600
1996-09-06,8.38,8.75,8.38,8.38,8.38,4500
1996-09-09,8.50,8.75,8.38,8.75,8.75,10600
1996-09-10,8.75,8.75,8.25,8.38,8.38,39300
1996-09-11,8.62,8.62,8.12,8.50,8.50,48100
1996-09-12,8.62,9.12,8.50,8.62,8.62,175200
1996-09-13,9.00,9.00,8.50,8.69,8.69,148000
1996-09-16,8.75,8.88,8.50,8.75,8.75,372200
1996-09-17,9.00,9.38,8.88,9.25,9.25,457200
1996-09-18,9.25,10.38,9.12,10.38,10.38,332400
1996-09-19,10.50,11.25,10.50,10.75,10.75,356500
1996-09-20,11.00,11.75,10.62,10.94,10.94,212000
1996-09-23,11.00,11.38,10.62,10.88,10.88,57500
1996-09-24,11.00,11.25,10.62,10.62,10.62,103400
1996-09-25,10.38,10.75,10.12,10.62,10.62,40600
1996-09-26,10.62,10.62,10.12,10.62,10.62,117400
1996-09-27,10.38,11.25,10.38,11.00,11.00,29100
1996-09-30,10.75,12.38,10.75,11.38,11.38,145200
1996-10-01,11.38,11.38,10.88,11.38,11.38,77700
1996-10-02,11.38,12.00,11.00,11.50,11.50,102500
1996-10-03,11.50,12.00,11.00,12.00,12.00,105300
1996-10-04,11.75,12.50,11.75,12.44,12.44,137200
1996-10-07,12.75,13.00,12.50,13.00,13.00,159600
1996-10-08,13.00,13.00,12.00,12.38,12.38,116700
1996-10-09,12.00,12.00,10.50,11.00,11.00,137100
1996-10-10,10.88,12.25,10.88,11.88,11.88,195600
1996-10-11,12.00,12.00,11.00,11.50,11.50,31400
1996-10-14,11.50,11.50,11.00,11.25,11.25,14300
1996-10-15,11.25,11.62,11.00,11.12,11.12,23800
1996-10-16,11.38,11.38,10.75,10.75,10.75,23800
1996-10-17,10.88,11.12,10.62,10.94,10.94,73900
1996-10-18,11.12,11.12,10.62,10.75,10.75,102700
1996-10-21,11.38,12.62,11.12,11.12,11.12,300200
1996-10-22,11.38,11.62,10.75,10.88,10.88,269200
1996-10-23,11.25,11.25,10.62,11.12,11.12,142100
1996-10-24,11.38,11.38,10.88,11.12,11.12,155100
1996-10-25,10.88,11.38,10.88,11.12,11.12,11300
1996-10-28,11.12,11.12,10.62,10.94,10.94,65700
1996-10-29,10.62,11.00,10.12,10.25,10.25,36600
1996-10-30,10.12,10.50,10.12,10.38,10.38,9500
1996-10-31,10.50,11.00,10.25,11.00,11.00,47900
1996-11-01,11.00,11.00,10.62,10.75,10.75,75600
1996-11-04,10.62,11.00,10.62,10.88,10.88,125600
1996-11-05,11.00,11.00,10.62,10.75,10.75,15600
1996-11-06,10.88,11.25,10.75,11.00,11.00,121900
1996-11-07,11.00,11.50,11.00,11.12,11.12,84100
1996-11-08,11.00,11.38,11.00,11.38,11.38,27700
1996-11-11,11.38,11.50,11.00,11.12,11.12,40800
