Date,Open,High,Low,Close,Adj Close,Volume
1996-12-11,15.44,18.38,15.44,18.06,8.60,3029800
1996-12-12,18.56,20.38,18.56,20.12,9.59,2930800
1996-12-13,20.12,20.19,19.31,19.50,9.29,995000
1996-12-16,19.50,19.50,19.00,19.06,9.08,421400
1996-12-17,18.94,19.19,18.56,18.62,8.87,1651600
1996-12-18,18.69,18.88,18.38,18.69,8.90,1189200
1996-12-19,18.56,18.56,18.38,18.50,8.81,311600
1996-12-20,18.56,18.56,18.06,18.06,8.60,1056600
1996-12-23,18.06,18.12,18.00,18.06,8.60,109400
1996-12-24,18.12,18.19,18.12,18.19,8.66,47400
1996-12-26,18.19,18.19,18.00,18.06,8.60,1356400
1996-12-27,18.19,18.19,17.56,17.69,8.42,150600
1996-12-30,17.75,17.75,17.19,17.56,8.37,721600
1996-12-31,17.00,17.12,16.19,16.81,8.01,5941400
1997-01-02,16.75,17.06,16.38,16.88,8.04,7066800
1997-01-03,16.94,17.69,16.94,17.62,8.39,4712400
1997-01-06,17.62,18.31,17.62,17.81,8.48,4613200
1997-01-07,18.00,18.12,17.38,17.50,8.34,3566400
1997-01-08,17.38,17.38,16.69,17.19,8.19,3245600
1997-01-09,17.19,17.44,16.69,16.69,7.95,3596000
1997-01-10,16.38,16.75,15.94,16.25,7.74,3084200
1997-01-13,16.56,16.69,15.81,16.00,7.62,2924600
1997-01-14,15.81,16.50,15.81,16.25,7.74,3715600
1997-01-15,15.94,17.62,15.94,17.56,8.37,3515600
1997-01-16,17.44,17.81,17.12,17.38,8.28,2097000
1997-01-17,17.19,18.06,17.00,18.00,8.57,2425600
1997-01-20,17.75,18.00,17.56,17.81,8.48,1014800
1997-01-21,17.81,19.56,17.81,19.38,9.23,3671200
1997-01-22,19.50,20.69,19.50,19.94,9.50,3933600
1997-01-23,19.69,20.38,19.44,19.50,9.29,1639000
1997-01-24,19.56,19.56,19.06,19.50,9.29,1272000
1997-01-27,19.50,19.69,19.12,19.31,9.20,1262600
1997-01-28,19.75,19.94,19.25,19.69,9.38,1442400
1997-01-29,19.75,20.25,19.75,19.94,9.50,1877800
1997-01-30,19.94,20.00,19.19,19.38,9.23,1069000
1997-01-31,19.25,19.56,18.56,18.94,9.02,1739000
1997-02-03,19.00,19.06,18.75,19.00,9.05,1650800
1997-02-04,18.94,19.00,18.75,18.75,8.93,1579200
1997-02-05,18.50,18.81,18.12,18.25,8.69,888200
1997-02-06,17.94,18.19,17.81,17.94,8.54,863000
1997-02-07,18.44,18.44,17.69,17.94,8.54,956600
1997-02-10,17.94,18.38,17.94,18.12,8.63,965200
1997-02-11,18.12,18.31,17.69,17.88,8.51,1164800
1997-02-12,17.75,18.25,17.69,17.81,8.48,1103800
1997-02-13,17.69,17.81,17.31,17.50,8.34,997800
1997-02-14,17.44,17.69,17.31,17.50,8.34,1018800
1997-02-18,17.50,18.12,17.38,18.06,8.60,1105800
1997-02-19,17.88,18.12,17.62,17.75,8.45,1604800
1997-02-20,17.69,17.81,17.56,17.62,8.39,890600
1997-02-21,17.62,17.69,17.44,17.56,8.37,483400
1997-02-24,17.44,18.12,17.25,18.06,8.60,1012000
1997-02-25,17.94,18.00,17.56,17.62,8.39,893000
1997-02-26,17.75,17.75,17.25,17.50,8.34,765400
1997-02-27,17.38,17.38,16.88,16.94,8.07,957000
1997-02-28,16.69,16.75,16.44,16.50,7.86,1433200
1997-03-03,16.50,17.25,16.50,17.19,8.19,1477200
1997-03-04,17.38,17.81,17.19,17.38,8.28,1176200
1997-03-05,17.25,17.56,17.06,17.31,8.25,807800
1997-03-06,17.38,17.75,17.25,17.50,8.34,1089000
1997-03-07,17.56,17.69,17.31,17.38,8.28,1133000
1997-03-10,17.38,17.88,17.38,17.75,8.45,674000
1997-03-11,17.75,18.62,17.75,18.56,8.84,1136600
1997-03-12,18.62,18.75,18.44,18.56,8.84,1338400
1997-03-13,18.62,18.69,18.25,18.25,8.69,1017800
