Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,10.40,9.97,10.27,6.50,519375
1980-03-18,0.00,10.53,9.50,10.53,6.67,659250
1980-03-19,0.00,10.83,10.33,10.77,6.81,408000
1980-03-20,0.00,11.00,10.57,10.80,6.84,607125
1980-03-21,0.00,10.83,10.33,10.67,6.75,229125
1980-03-24,0.00,10.60,9.83,9.93,6.29,256875
1980-03-25,0.00,10.10,9.70,10.07,6.37,315750
1980-03-26,0.00,10.17,9.87,9.87,6.25,315000
1980-03-27,0.00,9.77,8.70,9.33,5.91,609000
1980-03-28,0.00,10.00,9.33,10.00,6.33,277125
1980-03-31,0.00,10.53,10.13,10.23,6.48,419250
1980-04-01,0.00,10.33,9.97,9.97,6.31,162750
1980-04-02,0.00,9.60,9.40,9.53,6.03,419250
1980-04-03,0.00,9.53,9.17,9.20,5.82,352500
1980-04-07,0.00,9.17,9.00,9.07,5.74,187500
1980-04-08,0.00,9.67,9.00,9.67,6.12,624375
1980-04-09,0.00,10.13,9.93,10.00,6.33,207375
1980-04-10,0.00,10.17,9.77,9.87,6.25,176250
1980-04-11,0.00,9.87,9.40,9.47,5.99,222375
1980-04-14,0.00,9.57,9.37,9.40,5.95,558750
1980-04-15,0.00,9.37,9.10,9.10,5.76,106500
1980-04-16,0.00,9.20,8.73,8.73,5.53,121125
1980-04-17,0.00,8.70,8.53,8.57,5.42,173625
1980-04-18,0.00,8.67,8.47,8.57,5.42,228000
1980-04-21,0.00,8.77,8.53,8.53,5.40,127875
1980-04-22,0.00,9.13,8.80,9.13,5.78,196500
1980-04-23,0.00,9.47,9.03,9.37,5.93,178875
1980-04-24,0.00,9.73,9.27,9.53,6.03,229125
1980-04-25,0.00,9.93,9.47,9.60,6.08,325875
1980-04-28,0.00,9.70,9.33,9.33,5.91,151875
1980-04-29,0.00,9.47,9.37,9.37,5.93,126750
1980-04-30,0.00,9.43,9.33,9.43,5.97,63000
1980-05-01,0.00,9.43,8.80,8.80,5.57,157500
1980-05-02,0.00,9.07,8.53,9.03,5.72,258000
1980-05-05,0.00,8.97,8.73,8.83,5.59,84750
1980-05-06,0.00,8.93,8.60,8.73,5.53,178875
1980-05-07,0.00,8.93,8.67,8.67,5.49,150375
1980-05-08,0.00,8.77,8.40,8.60,5.44,230625
1980-05-09,0.00,8.53,8.20,8.33,5.27,110250
1980-05-12,0.00,8.47,8.13,8.33,5.27,271500
1980-05-13,0.00,8.63,8.30,8.57,5.42,480000
1980-05-14,0.00,8.90,8.63,8.90,5.63,195000
1980-05-15,0.00,9.27,8.87,9.17,5.80,117000
1980-05-16,0.00,9.60,9.20,9.47,5.99,255000
1980-05-19,0.00,10.07,9.40,9.60,6.08,269250
1980-05-20,0.00,9.60,9.43,9.60,6.08,287625
1980-05-21,0.00,9.87,9.53,9.73,6.16,290250
1980-05-22,0.00,9.80,9.63,9.73,6.16,194625
1980-05-23,0.00,10.27,9.87,10.17,6.43,319875
1980-05-27,0.00,10.57,10.30,10.40,6.58,327750
1980-05-28,0.00,10.33,10.13,10.20,6.46,85500
1980-05-29,0.00,10.20,10.00,10.07,6.37,89625
1980-05-30,0.00,10.23,9.73,10.20,6.46,202500
1980-06-02,0.00,10.47,10.30,10.30,6.52,208125
1980-06-03,0.00,10.27,9.97,10.00,6.33,149250
1980-06-04,0.00,10.47,10.03,10.47,6.62,323250
1980-06-05,0.00,10.60,10.33,10.40,6.58,423000
1980-06-06,0.00,10.83,10.53,10.73,6.79,408375
1980-06-09,0.00,11.17,10.97,11.13,7.05,405750
1980-06-10,0.00,11.10,10.87,10.93,6.92,210000
1980-06-11,0.00,11.03,10.83,10.87,6.88,271125
1980-06-12,0.00,10.93,10.57,10.87,6.88,370125
1980-06-13,0.00,10.87,10.70,10.83,6.86,359250
1980-06-16,0.00,10.87,10.47,10.77,6.81,396750
1980-06-17,0.00,10.73,10.40,10.50,6.65,336000
1980-06-18,0.00,10.57,10.30,10.33,6.54,199125
1980-06-19,0.00,10.33,10.07,10.27,6.50,109500
1980-06-20,0.00,10.20,9.90,10.07,6.37,206625
1980-06-23,0.00,10.27,9.97,10.07,6.37,92625
1980-06-24,0.00,10.07,9.83,10.07,6.37,429000
1980-06-25,0.00,10.73,10.27,10.53,6.67,397500
1980-06-26,0.00,11.00,10.63,10.67,6.75,277500
1980-06-27,0.00,11.13,10.87,10.97,6.94,453000
1980-06-30,0.00,11.33,11.07,11.10,7.03,229875
1980-07-01,0.00,11.90,11.13,11.90,7.53,212250
1980-07-02,0.00,12.13,11.73,11.73,7.43,476625
1980-07-03,0.00,11.67,11.20,11.50,7.28,314625
1980-07-07,0.00,11.53,11.07,11.20,7.09,400875
1980-07-08,0.00,11.63,11.33,11.47,7.26,444000
