Date,Open,High,Low,Close,Adj Close,Volume
2013-05-02,14.00,14.00,13.00,13.52,5.16,3757850
2013-05-03,14.00,14.00,13.00,13.50,5.15,2934900
2013-05-06,13.50,13.98,13.32,13.82,5.27,730400
2013-05-07,13.80,14.26,13.80,14.20,5.42,1409250
2013-05-08,14.40,14.58,14.00,14.12,5.39,2697500
2013-05-09,14.20,14.50,13.68,13.96,5.33,992450
2013-05-10,13.76,14.02,13.68,13.94,5.32,2805150
2013-05-13,14.00,14.12,13.54,13.70,5.23,741300
2013-05-14,13.94,13.96,13.64,13.66,5.21,1172450
2013-05-15,13.94,13.94,13.00,13.10,5.00,1811350
2013-05-16,13.40,14.08,13.40,14.00,5.34,3307400
2013-05-17,14.28,14.28,13.70,13.84,5.28,3300500
2013-05-20,13.84,13.98,13.24,13.78,5.26,1813150
2013-05-21,13.76,13.88,13.42,13.80,5.27,2351700
2013-05-22,13.86,13.92,13.44,13.52,5.16,3801300
2013-05-23,13.26,14.00,12.72,13.88,5.30,2112050
2013-05-24,13.84,13.88,13.56,13.86,5.29,644550
2013-05-28,13.80,13.86,12.94,13.10,5.00,2584150
2013-05-29,12.84,13.50,12.70,13.48,5.14,2034450
2013-05-30,13.50,13.76,13.38,13.66,5.21,739700
2013-05-31,13.40,13.70,13.32,13.68,5.22,945450
2013-06-03,13.38,13.76,13.10,13.58,5.18,1527150
2013-06-04,13.60,13.62,12.90,13.48,5.14,1122350
2013-06-05,13.40,13.66,13.32,13.44,5.13,824000
2013-06-06,13.42,13.50,13.30,13.48,5.14,891400
2013-06-07,13.50,13.50,13.00,13.10,5.00,1198650
2013-06-10,13.08,13.26,12.64,13.18,5.03,1798500
2013-06-11,12.68,12.90,12.32,12.84,4.95,2270400
2013-06-12,12.88,13.06,12.32,12.52,4.83,1220100
2013-06-13,12.02,13.06,11.70,12.98,5.01,2691500
2013-06-14,13.08,13.40,12.94,13.18,5.08,858200
2013-06-17,13.36,13.58,13.12,13.40,5.17,1480950
2013-06-18,13.40,13.50,13.22,13.36,5.15,737750
2013-06-19,13.36,13.44,13.08,13.14,5.07,638900
2013-06-20,13.32,13.32,12.80,12.92,4.98,1756500
2013-06-21,13.08,13.10,12.16,12.96,5.00,1534450
2013-06-24,12.74,12.84,12.30,12.58,4.85,2167400
2013-06-25,12.62,13.02,12.56,12.94,4.99,1336850
2013-06-26,12.92,13.32,12.82,12.90,4.98,1831350
2013-06-27,13.04,13.34,12.92,13.10,5.05,1258800
2013-06-28,13.16,13.52,13.06,13.48,5.20,11326000
2013-07-01,13.48,13.48,12.70,13.00,5.01,1512450
2013-07-02,12.98,13.20,12.78,12.90,4.98,1564850
2013-07-03,12.84,12.98,12.70,12.92,4.98,559450
2013-07-05,13.20,13.58,12.70,13.56,5.23,1390850
2013-07-08,13.56,13.66,13.32,13.46,5.19,1130550
2013-07-09,13.46,13.60,13.06,13.14,5.07,947550
2013-07-10,13.10,13.28,12.88,13.26,5.11,918050
2013-07-11,13.32,13.34,13.10,13.34,5.15,1341100
2013-07-12,13.28,13.88,13.26,13.76,5.31,1350700
2013-07-15,13.80,13.86,13.50,13.60,5.25,1198850
2013-07-16,13.58,13.60,13.40,13.48,5.20,1217550
2013-07-17,13.50,13.66,13.40,13.48,5.20,1070750
2013-07-18,13.56,13.72,13.48,13.58,5.24,790450
2013-07-19,13.42,13.58,13.22,13.26,5.11,855250
2013-07-22,13.14,13.34,13.10,13.28,5.12,967000
2013-07-23,13.20,13.30,12.88,13.26,5.11,1748100
2013-07-24,13.20,13.22,12.88,13.04,5.03,956200
2013-07-25,12.86,13.14,12.84,13.10,5.05,984400
2013-07-26,12.96,13.14,12.70,12.84,4.95,1490750
2013-07-29,12.68,13.00,12.60,12.82,4.95,139500
2013-07-30,12.90,13.34,12.74,13.28,5.12,1059950
2013-07-31,13.40,13.50,13.18,13.26,5.11,869650
2013-08-01,13.26,13.56,13.14,13.56,5.23,2560500
2013-08-02,13.60,13.68,13.42,13.50,5.21,1309900
2013-08-05,13.38,13.48,13.24,13.32,5.14,1264500
2013-08-06,13.44,13.76,13.40,13.62,5.25,1308300
2013-08-07,13.66,13.92,13.32,13.70,5.28,1886600
2013-08-08,13.70,13.90,13.70,13.78,5.32,688750
2013-08-09,13.72,13.84,13.34,13.58,5.24,770300
2013-08-12,13.50,13.58,13.28,13.40,5.17,718100
2013-08-13,13.40,13.46,13.10,13.30,5.13,679250
2013-08-14,13.26,13.40,13.04,13.06,5.04,797850
2013-08-15,13.00,13.00,12.60,12.64,4.88,2020750
2013-08-16,12.60,12.98,12.40,12.42,4.79,1324100
2013-08-19,12.36,12.58,12.18,12.20,4.71,1445350
2013-08-20,12.20,12.46,11.78,12.20,4.71,1615550
2013-08-21,12.12,12.70,12.06,12.56,4.84,629600
2013-08-22,12.56,12.60,12.40,12.52,4.83,737000
2013-08-23,12.42,13.00,12.40,12.96,5.00,831650
2013-08-26,12.94,13.00,12.78,12.84,4.95,673200
2013-08-27,12.72,12.90,12.50,12.56,4.84,760650
2013-08-28,12.52,12.68,12.36,12.40,4.78,719700
2013-08-29,12.42,12.76,12.28,12.76,4.92,784450
2013-08-30,12.66,12.96,12.60,12.70,4.90,741900
2013-09-03,12.78,12.98,12.72,12.90,4.98,653950
2013-09-04,12.94,12.98,12.76,12.84,4.95,1001300
2013-09-05,12.90,13.18,12.76,12.82,4.95,1341000
2013-09-06,12.84,12.88,12.50,12.76,4.92,839950
2013-09-09,12.76,12.84,12.68,12.82,4.95,636250
2013-09-10,12.82,12.84,12.56,12.60,4.86,878900
2013-09-11,12.58,12.68,12.44,12.52,4.83,974950
2013-09-12,12.56,12.74,12.52,12.68,4.89,937300
2013-09-13,12.68,12.86,12.60,12.78,4.93,773700
2013-09-16,12.78,12.84,12.70,12.80,4.94,1748500
2013-09-17,12.78,12.82,12.66,12.78,4.93,709900
2013-09-18,13.52,13.80,13.26,13.50,5.21,4721050
2013-09-19,13.56,13.78,13.44,13.58,5.24,1485650
2013-09-20,13.68,13.72,13.34,13.40,5.17,1173350
2013-09-23,13.50,13.60,13.16,13.56,5.23,1068500
2013-09-24,13.64,13.98,13.46,13.64,5.26,2169200
2013-09-25,13.26,13.38,12.96,13.04,5.16,913250
2013-09-26,13.10,13.56,13.06,13.34,5.28,687550
2013-09-27,13.28,13.48,13.20,13.42,5.31,729550
2013-09-30,13.36,13.38,13.02,13.24,5.24,754750
2013-10-01,13.14,13.48,13.10,13.16,5.21,442500
2013-10-02,13.12,13.18,13.00,13.02,5.15,415300
2013-10-03,13.00,13.06,12.80,12.90,5.11,510050
2013-10-04,12.84,12.96,12.82,12.92,5.11,275050
2013-10-07,12.82,12.98,12.80,12.86,5.09,557900
2013-10-08,12.84,12.96,12.76,12.78,5.06,605350
2013-10-09,12.82,13.04,12.72,12.88,5.10,577800
2013-10-10,13.00,13.38,12.98,13.22,5.23,762100
