Date,Open,High,Low,Close,Adj Close,Volume
1982-06-02,4.81,4.88,4.74,4.76,1.54,1081800
1982-06-03,4.74,4.76,4.69,4.69,1.52,672300
1982-06-04,4.64,4.68,4.58,4.60,1.49,828900
1982-06-07,4.64,4.69,4.58,4.67,1.51,287100
1982-06-08,4.64,4.68,4.60,4.60,1.49,330300
1982-06-09,4.61,4.64,4.58,4.60,1.49,841500
1982-06-10,4.60,4.61,4.58,4.60,1.49,591300
1982-06-11,4.64,4.68,4.58,4.62,1.50,1161000
1982-06-14,4.61,4.62,4.58,4.58,1.48,498600
1982-06-15,4.61,4.64,4.58,4.61,1.49,666900
1982-06-16,4.61,4.64,4.58,4.61,1.49,239400
1982-06-17,4.56,4.61,4.49,4.51,1.46,937800
1982-06-18,4.51,4.56,4.47,4.51,1.46,1577700
1982-06-21,4.54,4.57,4.51,4.57,1.48,1314000
1982-06-22,4.64,4.72,4.56,4.72,1.53,702000
1982-06-23,4.88,5.00,4.74,5.00,1.62,765000
1982-06-24,4.92,4.97,4.86,4.92,1.59,720900
1982-06-25,4.93,4.94,4.90,4.93,1.59,189000
1982-06-28,4.96,5.00,4.92,4.94,1.60,223200
1982-06-29,5.01,5.06,4.96,5.03,1.63,670500
1982-06-30,5.06,5.07,5.03,5.06,1.63,1296000
1982-07-01,5.06,5.08,5.01,5.06,1.63,903600
1982-07-02,5.11,5.18,5.03,5.17,1.67,378900
1982-07-06,5.17,5.21,5.12,5.17,1.67,527400
1982-07-07,5.11,5.15,5.06,5.12,1.66,566100
1982-07-08,5.04,5.14,4.94,5.04,1.63,641700
1982-07-09,5.01,5.06,4.96,5.00,1.62,361800
1982-07-12,4.97,5.00,4.94,4.99,1.61,921600
1982-07-13,4.99,5.03,4.94,5.00,1.62,1000800
1982-07-14,4.96,5.00,4.94,4.99,1.61,921600
1982-07-15,4.93,5.03,4.82,4.82,1.56,684000
1982-07-16,4.82,4.89,4.75,4.81,1.55,2254500
1982-07-19,4.78,4.83,4.72,4.75,1.54,1497600
1982-07-20,4.82,4.89,4.75,4.88,1.58,427500
1982-07-21,4.94,5.00,4.88,4.93,1.59,549000
1982-07-22,4.96,5.00,4.90,4.97,1.61,973800
1982-07-23,5.10,5.17,5.03,5.12,1.66,341100
1982-07-26,5.06,5.07,5.03,5.04,1.63,411300
1982-07-27,5.06,5.07,5.03,5.04,1.63,1046700
1982-07-28,5.04,5.07,5.01,5.03,1.63,781200
1982-07-29,5.04,5.06,5.01,5.03,1.63,727200
1982-07-30,5.01,5.06,4.97,5.04,1.63,1313100
1982-08-02,5.03,5.10,4.96,5.07,1.66,1115100
1982-08-03,5.07,5.10,5.04,5.06,1.66,1321200
1982-08-04,5.00,5.03,4.96,4.99,1.64,638100
1982-08-05,4.88,4.97,4.76,4.82,1.58,819900
1982-08-06,4.85,4.88,4.82,4.83,1.59,691200
1982-08-09,4.83,4.86,4.81,4.86,1.60,567000
1982-08-10,4.86,4.89,4.83,4.88,1.60,463500
1982-08-11,4.89,4.92,4.86,4.90,1.61,248400
1982-08-12,4.89,4.92,4.86,4.89,1.61,338400
1982-08-13,4.96,5.03,4.88,5.03,1.65,688500
1982-08-16,5.06,5.08,5.01,5.06,1.66,940500
1982-08-17,5.17,5.25,5.07,5.25,1.72,1505700
1982-08-18,5.33,5.42,5.25,5.26,1.73,2105100
1982-08-19,5.32,5.36,5.28,5.31,1.74,1035000
1982-08-20,5.32,5.35,5.29,5.35,1.76,1650600
1982-08-23,5.50,5.67,5.33,5.58,1.83,1472400
1982-08-24,5.65,5.71,5.60,5.62,1.85,1353600
1982-08-25,5.74,5.85,5.61,5.85,1.92,688500
1982-08-26,5.96,6.01,5.90,5.92,1.94,2550600
1982-08-27,5.89,5.93,5.83,5.85,1.92,792000
1982-08-30,5.82,5.89,5.74,5.85,1.92,1009800
1982-08-31,5.96,6.06,5.86,6.03,1.98,932400
1982-09-01,6.04,6.10,5.97,6.07,1.99,919800
1982-09-02,6.12,6.22,6.03,6.17,2.03,1198800
1982-09-03,6.15,6.24,6.06,6.11,2.01,1855800
1982-09-07,5.93,6.00,5.85,5.92,1.94,1188000
1982-09-08,5.86,5.90,5.81,5.88,1.93,1027800
1982-09-09,5.90,5.96,5.83,5.86,1.92,1611900
1982-09-10,5.85,5.88,5.81,5.86,1.92,1086300
1982-09-13,5.90,5.99,5.81,5.97,1.96,1084500
1982-09-14,6.10,6.14,6.06,6.12,2.01,1207800
1982-09-15,6.07,6.11,6.01,6.10,2.00,1224900
1982-09-16,6.03,6.11,5.94,5.94,1.95,1817100
1982-09-17,5.93,5.97,5.88,5.88,1.93,1534500
1982-09-20,5.89,5.96,5.82,5.94,1.95,963900
1982-09-21,6.06,6.11,5.99,6.11,2.01,1336500
1982-09-22,6.15,6.22,6.07,6.07,1.99,2179800
1982-09-23,6.00,6.04,5.96,6.03,1.98,893700
1982-09-24,6.03,6.06,6.00,6.00,1.97,669600
1982-09-27,6.03,6.07,5.99,6.06,1.99,340200
1982-09-28,6.18,6.24,6.11,6.17,2.03,1337400
1982-09-29,6.28,6.39,6.15,6.25,2.05,1468800
1982-09-30,6.19,6.24,6.15,6.17,2.03,897300
1982-10-01,6.18,6.22,6.14,6.22,2.04,738000
1982-10-04,6.19,6.22,6.17,6.18,2.03,866700
1982-10-05,6.21,6.22,6.18,6.19,2.03,413100
1982-10-06,6.22,6.26,6.18,6.24,2.05,906300
1982-10-07,6.38,6.44,6.31,6.38,2.09,1595700
1982-10-08,6.38,6.40,6.33,6.38,2.09,933300
1982-10-11,6.26,6.29,6.24,6.26,2.06,1193400
1982-10-12,6.14,6.22,6.06,6.18,2.03,3811500
1982-10-13,6.29,6.38,6.19,6.33,2.08,1512000
1982-10-14,6.39,6.43,6.33,6.35,2.08,1131300
1982-10-15,6.46,6.56,6.35,6.53,2.14,877500
1982-10-18,6.56,6.81,6.49,6.81,2.24,944100
1982-10-19,6.83,6.86,6.79,6.81,2.24,534600
1982-10-20,6.78,6.86,6.69,6.75,2.22,730800
1982-10-21,6.92,7.06,6.78,7.03,2.31,985500
1982-10-22,7.14,7.22,7.04,7.15,2.35,1147500
1982-10-25,7.01,7.08,6.93,6.94,2.28,1245600
1982-10-26,6.67,6.79,6.53,6.68,2.19,2535300
1982-10-27,6.35,6.44,6.24,6.40,2.10,4216500
1982-10-28,6.39,6.51,6.26,6.29,2.07,1994400
1982-10-29,6.26,6.32,6.21,6.24,2.07,2260800
1982-11-01,6.18,6.24,6.12,6.24,2.07,1285200
1982-11-02,6.39,6.49,6.28,6.40,2.13,1403100
1982-11-03,6.62,6.72,6.51,6.71,2.23,2160900
1982-11-04,6.76,6.90,6.61,6.64,2.21,1599300
1982-11-05,6.54,6.58,6.50,6.56,2.18,2504700
1982-11-08,6.54,6.58,6.50,6.51,2.17,641700
1982-11-09,6.60,6.64,6.54,6.62,2.20,1701900
1982-11-10,6.67,6.72,6.61,6.64,2.21,1550700
1982-11-11,6.61,6.65,6.56,6.58,2.19,1210500
1982-11-12,6.58,6.65,6.50,6.54,2.18,1927800
1982-11-15,6.43,6.49,6.36,6.39,2.12,561600
1982-11-16,6.15,6.19,6.11,6.18,2.06,1605600
1982-11-17,6.22,6.26,6.17,6.19,2.06,2406600
1982-11-18,6.21,6.22,6.18,6.21,2.06,1740600
1982-11-19,6.19,6.22,6.17,6.19,2.06,1028700
1982-11-22,6.21,6.24,6.18,6.18,2.06,839700
1982-11-23,6.24,6.31,6.17,6.28,2.09,887400
1982-11-24,6.39,6.50,6.26,6.46,2.15,616500
1982-11-26,6.57,6.64,6.50,6.61,2.20,929700
1982-11-29,6.51,6.60,6.42,6.47,2.15,371700
1982-11-30,6.54,6.58,6.49,6.58,2.19,540000
1982-12-01,6.56,6.61,6.50,6.54,2.18,1342800
1982-12-02,6.46,6.56,6.36,6.42,2.13,1006200
1982-12-03,6.43,6.47,6.39,6.43,2.14,241200
1982-12-06,6.51,6.58,6.44,6.57,2.18,751500
1982-12-07,6.56,6.58,6.51,6.53,2.17,975600
1982-12-08,6.46,6.53,6.39,6.43,2.14,717300
1982-12-09,6.33,6.40,6.26,6.26,2.08,709200
1982-12-10,6.26,6.31,6.22,6.24,2.07,414000
1982-12-13,6.24,6.26,6.19,6.26,2.08,468000
1982-12-14,6.22,6.39,6.06,6.06,2.01,1067400
1982-12-15,6.06,6.14,5.97,6.10,2.03,429300
1982-12-16,6.10,6.18,6.00,6.03,2.00,654300
1982-12-17,5.92,6.04,5.78,5.97,1.99,2029500
1982-12-20,5.89,6.00,5.78,5.81,1.93,1850400
1982-12-21,5.82,5.86,5.78,5.85,1.94,572400
1982-12-22,5.88,5.94,5.81,5.89,1.96,1456200
1982-12-23,5.96,6.06,5.86,5.97,1.99,938700
1982-12-27,6.08,6.19,5.97,6.17,2.05,1015200
1982-12-28,6.14,6.19,6.07,6.10,2.03,1119600
1982-12-29,6.11,6.15,6.07,6.14,2.04,901800
1982-12-30,6.10,6.12,6.06,6.10,2.03,819900
1982-12-31,6.08,6.10,6.07,6.08,2.02,377100
1983-01-03,5.99,6.08,5.89,5.90,1.96,732600
1983-01-04,5.89,5.94,5.83,5.89,1.96,2196900
1983-01-05,5.82,5.92,5.72,5.78,1.92,2292300
1983-01-06,5.97,6.14,5.81,6.01,2.00,1858500
1983-01-07,6.17,6.25,6.08,6.11,2.03,3470400
1983-01-10,6.17,6.26,6.06,6.22,2.07,1932300
1983-01-11,6.19,6.22,6.15,6.21,2.06,2097900
1983-01-12,6.36,6.47,6.25,6.31,2.10,2128500
1983-01-13,6.25,6.31,6.19,6.22,2.07,1555200
1983-01-14,6.21,6.25,6.17,6.19,2.06,1572300
1983-01-17,6.14,6.22,6.06,6.12,2.04,2127600
1983-01-18,6.08,6.14,6.03,6.08,2.02,909000
1983-01-19,6.00,6.06,5.93,6.03,2.00,902700
1983-01-20,6.01,6.07,5.94,6.03,2.00,1071900
1983-01-21,5.97,6.06,5.88,5.92,1.97,600300
1983-01-24,5.79,5.88,5.71,5.72,1.90,1155600
1983-01-25,5.81,5.88,5.72,5.86,1.95,1880100
1983-01-26,5.82,5.85,5.78,5.85,1.94,5558400
1983-01-27,5.88,5.92,5.82,5.92,1.97,2804400
1983-01-28,5.90,5.94,5.86,5.88,1.95,718200
1983-01-31,5.82,5.85,5.78,5.82,1.96,2264400
1983-02-01,5.88,5.97,5.78,5.94,2.00,1797300
1983-02-02,5.99,6.06,5.90,6.03,2.03,514800
1983-02-03,6.18,6.32,6.04,6.26,2.11,638100
1983-02-04,6.22,6.26,6.17,6.21,2.09,769500
1983-02-07,6.31,6.39,6.21,6.39,2.15,647100
1983-02-08,6.40,6.47,6.33,6.38,2.15,345600
1983-02-09,6.24,6.38,6.08,6.11,2.06,1161000
1983-02-10,6.21,6.31,6.11,6.28,2.12,1161900
1983-02-11,6.22,6.29,6.14,6.18,2.08,920700
1983-02-14,6.14,6.21,6.07,6.19,2.09,549000
1983-02-15,6.15,6.21,6.08,6.10,2.05,1777500
1983-02-16,6.14,6.17,6.10,6.15,2.07,466200
