Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.83,0.81,0.81,0.40,230400
1980-03-18,0.00,0.81,0.79,0.79,0.39,493200
1980-03-19,0.00,0.81,0.79,0.79,0.39,72000
1980-03-20,0.00,0.81,0.79,0.79,0.39,97200
1980-03-21,0.00,0.81,0.78,0.78,0.39,198000
1980-03-24,0.00,0.81,0.78,0.78,0.39,230400
1980-03-25,0.00,0.81,0.78,0.78,0.39,64800
1980-03-26,0.00,0.81,0.78,0.78,0.39,28800
1980-03-27,0.00,0.79,0.77,0.77,0.38,90000
1980-03-28,0.00,0.81,0.78,0.78,0.39,104400
1980-03-31,0.00,0.82,0.80,0.80,0.40,111600
1980-04-01,0.00,0.82,0.80,0.80,0.40,68400
1980-04-02,0.00,0.83,0.81,0.81,0.40,68400
1980-04-03,0.00,0.83,0.81,0.81,0.40,28800
1980-04-07,0.00,0.83,0.81,0.81,0.40,90000
1980-04-08,0.00,0.83,0.81,0.81,0.40,36000
1980-04-09,0.00,0.83,0.81,0.81,0.40,133200
1980-04-10,0.00,0.82,0.80,0.80,0.40,295200
1980-04-11,0.00,0.82,0.80,0.80,0.40,126000
1980-04-14,0.00,0.82,0.80,0.80,0.40,183600
1980-04-15,0.00,0.82,0.80,0.80,0.40,7200
1980-04-16,0.00,0.82,0.80,0.80,0.40,241200
1980-04-17,0.00,0.83,0.81,0.81,0.40,262800
1980-04-18,0.00,0.83,0.81,0.81,0.40,75600
1980-04-21,0.00,0.83,0.81,0.81,0.40,36000
1980-04-22,0.00,0.83,0.81,0.81,0.40,10800
1980-04-23,0.00,0.84,0.82,0.82,0.41,212400
1980-04-24,0.00,0.85,0.83,0.83,0.41,75600
1980-04-25,0.00,0.87,0.85,0.85,0.42,90000
1980-04-28,0.00,0.88,0.85,0.85,0.42,79200
1980-04-29,0.00,0.88,0.86,0.86,0.43,93600
1980-04-30,0.00,0.89,0.87,0.87,0.43,28800
1980-05-01,0.00,0.90,0.88,0.88,0.43,122400
1980-05-02,0.00,0.89,0.87,0.87,0.43,79200
1980-05-05,0.00,0.94,0.92,0.92,0.46,788400
1980-05-06,0.00,0.95,0.93,0.93,0.46,144000
1980-05-07,0.00,0.95,0.93,0.93,0.46,72000
1980-05-08,0.00,0.98,0.96,0.96,0.48,327600
1980-05-09,0.00,0.98,0.96,0.96,0.48,43200
1980-05-12,0.00,0.98,0.96,0.96,0.48,21600
1980-05-13,0.00,0.98,0.96,0.96,0.48,154800
1980-05-14,0.00,0.98,0.96,0.96,0.48,14400
1980-05-15,0.00,0.98,0.96,0.96,0.48,72000
1980-05-16,0.00,0.97,0.94,0.94,0.47,406800
1980-05-19,0.00,0.97,0.94,0.94,0.47,7200
1980-05-20,0.00,0.96,0.94,0.94,0.47,216000
1980-05-21,0.00,0.95,0.93,0.93,0.46,28800
1980-05-22,0.00,0.95,0.93,0.93,0.46,1357200
1980-05-23,0.00,0.97,0.94,0.94,0.47,417600
1980-05-27,0.00,0.97,0.94,0.94,0.47,216000
1980-05-28,0.00,0.97,0.94,0.94,0.47,82800
1980-05-29,0.00,0.95,0.93,0.93,0.46,43200
1980-05-30,0.00,0.94,0.92,0.92,0.46,500400
1980-06-02,0.00,0.94,0.92,0.92,0.46,90000
1980-06-03,0.00,0.94,0.92,0.92,0.46,46800
1980-06-04,0.00,0.93,0.91,0.91,0.45,61200
1980-06-05,0.00,0.94,0.92,0.92,0.46,82800
1980-06-06,0.00,0.94,0.92,0.92,0.46,349200
1980-06-09,0.00,0.94,0.92,0.92,0.46,25200
1980-06-10,0.00,0.94,0.92,0.92,0.46,64800
1980-06-11,0.00,0.94,0.92,0.92,0.46,7200
1980-06-12,0.92,0.92,0.92,0.92,0.46,0
1980-06-13,0.00,0.95,0.93,0.93,0.46,97200
1980-06-16,0.00,0.95,0.93,0.93,0.46,104400
1980-06-17,0.00,0.95,0.93,0.93,0.46,28800
1980-06-18,0.00,0.94,0.92,0.92,0.46,25200
1980-06-19,0.00,0.94,0.92,0.92,0.46,68400
1980-06-20,0.00,0.94,0.92,0.92,0.46,493200
1980-06-23,0.00,0.94,0.92,0.92,0.46,212400
1980-06-24,0.00,0.93,0.91,0.91,0.45,136800
1980-06-25,0.00,0.94,0.92,0.92,0.46,666000
1980-06-26,0.00,0.94,0.92,0.92,0.46,68400
1980-06-27,0.00,0.94,0.92,0.92,0.46,252000
1980-06-30,0.00,0.94,0.92,0.92,0.46,61200
1980-07-01,0.00,0.93,0.91,0.91,0.45,14400
1980-07-02,0.00,0.94,0.92,0.92,0.46,75600
1980-07-03,0.00,0.94,0.92,0.92,0.46,36000
1980-07-07,0.00,0.94,0.92,0.92,0.46,25200
1980-07-08,0.00,0.94,0.93,0.93,0.46,75600
1980-07-09,0.00,0.96,0.94,0.94,0.47,79200
1980-07-10,0.00,0.97,0.95,0.95,0.47,68400
1980-07-11,0.00,0.97,0.95,0.95,0.47,86400
1980-07-14,0.00,0.97,0.95,0.95,0.47,25200
1980-07-15,0.00,0.98,0.97,0.97,0.48,327600
1980-07-16,0.00,0.99,0.98,0.98,0.49,187200
1980-07-17,0.00,0.99,0.99,0.99,0.49,46800
1980-07-18,0.00,1.01,0.99,0.99,0.49,64800
1980-07-21,0.00,1.01,0.99,0.99,0.49,10800
1980-07-22,0.00,1.01,1.00,1.00,0.50,79200
1980-07-23,0.00,0.99,0.99,0.99,0.49,64800
1980-07-24,0.00,0.99,0.99,0.99,0.49,18000
1980-07-25,0.00,0.99,0.98,0.98,0.49,32400
1980-07-28,0.00,0.99,0.97,0.97,0.48,39600
1980-07-29,0.00,0.99,0.99,0.99,0.49,90000
1980-07-30,0.00,0.99,0.98,0.98,0.49,32400
1980-07-31,0.98,0.98,0.98,0.98,0.49,0
1980-08-01,0.98,0.98,0.98,0.98,0.49,0
1980-08-04,0.00,0.99,0.98,0.98,0.49,75600
1980-08-05,0.00,0.98,0.97,0.97,0.48,43200
1980-08-06,0.97,0.97,0.97,0.97,0.48,0
1980-08-07,0.00,0.98,0.97,0.97,0.48,18000
1980-08-08,0.00,0.98,0.97,0.97,0.48,61200
1980-08-11,0.00,0.98,0.97,0.97,0.48,10800
1980-08-12,0.00,0.99,0.97,0.97,0.48,25200
1980-08-13,0.00,0.98,0.97,0.97,0.48,21600
1980-08-14,0.00,0.99,0.97,0.97,0.48,79200
1980-08-15,0.00,0.99,0.98,0.98,0.49,75600
1980-08-18,0.00,0.99,0.98,0.98,0.49,10800
1980-08-19,0.00,0.99,0.97,0.97,0.48,241200
1980-08-20,0.00,0.98,0.97,0.97,0.48,10800
1980-08-21,0.00,0.99,0.97,0.97,0.48,14400
1980-08-22,0.00,0.99,0.97,0.97,0.48,10800
