Date,Open,High,Low,Close,Adj Close,Volume
1995-12-11,17.32,17.32,14.72,15.58,15.58,5310575
1995-12-12,15.58,15.80,14.72,15.48,15.48,1113536
1995-12-13,15.58,15.58,15.15,15.15,15.15,378494
1995-12-14,15.15,15.58,14.72,15.15,15.15,341765
1995-12-15,14.94,14.94,14.07,14.72,14.72,246477
1995-12-18,14.29,14.29,11.90,12.55,12.55,516054
1995-12-19,12.55,15.80,11.90,14.94,14.94,269346
1995-12-20,14.94,15.58,14.94,15.04,15.04,350774
1995-12-21,15.58,15.80,14.94,15.80,15.80,140217
1995-12-22,15.80,15.80,14.94,15.80,15.80,118734
1995-12-26,15.80,16.45,15.37,15.80,15.80,118041
1995-12-27,16.02,17.97,16.02,17.75,17.75,240125
1995-12-28,17.75,18.18,17.10,17.10,17.10,93209
1995-12-29,17.42,19.91,16.88,19.26,19.26,114576
1996-01-02,18.83,19.26,17.75,17.75,17.75,58790
1996-01-03,18.18,18.18,17.53,17.53,17.53,150728
1996-01-04,18.18,18.18,16.23,16.23,16.23,12821
1996-01-05,16.02,16.34,15.58,16.23,16.23,225918
1996-01-08,15.58,16.23,15.58,16.23,16.23,82583
1996-01-09,16.23,16.23,14.72,14.72,14.72,76808
1996-01-10,14.94,14.94,13.42,14.07,14.07,359090
1996-01-11,14.29,14.94,14.29,14.94,14.94,118503
1996-01-12,14.94,14.94,14.29,14.50,14.50,82929
1996-01-15,14.72,14.72,13.64,13.64,13.64,155694
1996-01-16,14.07,14.07,12.99,12.99,12.99,127512
1996-01-17,13.42,13.85,12.99,13.42,13.42,38577
1996-01-18,13.64,13.64,12.34,12.99,12.99,60522
1996-01-19,12.99,13.20,12.34,12.34,12.34,84546
1996-01-22,12.34,13.20,12.34,12.34,12.34,65142
1996-01-23,12.55,12.77,11.69,12.77,12.77,116886
1996-01-24,13.20,14.94,12.88,14.72,14.72,268076
1996-01-25,14.94,14.94,14.29,14.50,14.50,223608
1996-01-26,15.15,16.02,14.72,15.80,15.80,230192
1996-01-29,16.02,18.83,16.02,17.97,17.97,359667
1996-01-30,18.18,19.91,17.97,19.05,19.05,505890
1996-01-31,17.53,19.48,15.58,19.05,19.05,224186
1996-02-01,16.02,16.23,15.37,15.37,15.37,515823
1996-02-02,16.88,17.53,16.45,17.10,17.10,232617
1996-02-05,17.10,17.10,14.50,16.67,16.67,328944
1996-02-06,17.10,17.10,15.80,16.45,16.45,69878
1996-02-07,16.23,16.23,15.58,15.58,15.58,159506
1996-02-08,15.37,16.02,14.50,14.94,14.94,272003
1996-02-09,15.37,15.48,13.31,14.50,14.50,258951
1996-02-12,14.50,14.50,13.42,14.07,14.07,191153
1996-02-13,14.07,14.50,13.42,14.50,14.50,113768
1996-02-14,14.50,14.50,13.42,13.85,13.85,48857
1996-02-15,14.29,14.29,12.99,13.74,13.74,124740
1996-02-16,13.42,13.42,12.45,12.99,12.99,308732
1996-02-20,12.77,13.42,12.34,12.99,12.99,318434
1996-02-21,13.20,13.85,12.77,13.53,13.53,120698
1996-02-22,13.85,16.23,13.20,14.72,14.72,369831
1996-02-23,14.72,15.58,14.61,15.15,15.15,175329
1996-02-26,16.02,16.67,15.15,15.37,15.37,98060
1996-02-27,15.37,17.10,14.29,14.94,14.94,499422
1996-02-28,14.94,14.94,14.29,14.72,14.72,121506
1996-02-29,14.72,14.72,14.07,14.72,14.72,145761
1996-03-01,14.72,14.72,14.29,14.29,14.29,110880
1996-03-04,14.29,14.72,12.55,12.77,12.77,640910
1996-03-05,12.77,14.07,12.34,14.07,14.07,760568
1996-03-06,13.85,13.85,12.12,12.55,12.55,379302
1996-03-07,12.77,12.77,12.12,12.34,12.34,253754
1996-03-08,12.23,13.64,11.36,12.99,12.99,213791
1996-03-11,12.12,14.29,12.12,13.85,13.85,104874
1996-03-12,13.85,13.85,12.99,13.42,13.42,103604
1996-03-13,13.20,13.85,12.34,13.64,13.64,113421
1996-03-14,13.42,13.64,12.77,12.99,12.99,50012
1996-03-15,13.42,14.29,13.10,13.85,13.85,152345
1996-03-18,13.85,13.85,13.20,13.42,13.42,86279
1996-03-19,13.31,13.96,13.31,13.53,13.53,46431
1996-03-20,13.85,13.96,13.31,13.53,13.53,64449
1996-03-21,13.42,13.64,12.55,12.77,12.77,96674
1996-03-22,12.77,12.99,12.45,12.55,12.55,205590
1996-03-25,13.42,13.42,11.90,12.77,12.77,709401
1996-03-26,12.55,12.99,12.12,12.55,12.55,103488
1996-03-27,12.55,12.55,12.34,12.55,12.55,47933
1996-03-28,12.55,13.64,12.12,13.31,13.31,191846
1996-03-29,13.42,13.85,12.77,12.99,12.99,112844
1996-04-01,13.20,13.20,12.12,12.23,12.23,224417
1996-04-02,12.77,13.20,12.66,12.99,12.99,118503
1996-04-03,13.20,13.20,12.45,12.82,12.82,117579
1996-04-04,12.99,12.99,12.45,12.77,12.77,53361
1996-04-08,12.34,12.55,11.90,12.12,12.12,107646
1996-04-09,12.12,12.55,8.44,10.17,10.17,250173
1996-04-10,11.04,11.04,8.87,9.09,9.09,425040
1996-04-11,9.96,10.82,9.31,10.39,10.39,279279
1996-04-12,10.39,10.82,9.96,10.39,10.39,153384
