Date,Open,High,Low,Close,Adj Close,Volume
1995-12-05,67.50,85.00,67.50,80.00,80.00,3595
1995-12-06,82.50,87.50,82.50,85.00,85.00,340
1995-12-07,87.50,90.00,77.50,90.00,90.00,750
1995-12-08,92.50,92.50,82.50,82.50,82.50,295
1995-12-11,85.00,87.50,85.00,87.50,87.50,75
1995-12-12,90.00,100.00,90.00,95.00,95.00,325
1995-12-13,92.50,92.50,75.00,77.50,77.50,3475
1995-12-14,76.25,78.75,71.25,75.00,75.00,1195
1995-12-15,77.50,77.50,62.50,67.50,67.50,1180
1995-12-18,67.50,68.75,60.00,67.50,67.50,1250
1995-12-19,70.00,70.00,65.00,66.25,66.25,2395
1995-12-20,65.00,80.00,65.00,72.50,72.50,4030
1995-12-21,70.00,85.00,70.00,82.50,82.50,4205
1995-12-22,80.00,80.00,72.50,73.75,73.75,1720
1995-12-26,72.50,75.00,67.50,70.00,70.00,2840
1995-12-27,72.50,73.75,68.75,70.00,70.00,2040
1995-12-28,70.00,72.50,67.50,72.50,72.50,1480
1995-12-29,70.00,75.00,67.50,75.00,75.00,6020
1996-01-02,72.50,80.00,72.50,80.00,80.00,3825
1996-01-03,80.00,81.25,78.75,80.00,80.00,4085
1996-01-04,80.00,81.25,77.50,77.50,77.50,3220
1996-01-05,77.50,77.50,75.00,77.50,77.50,565
1996-01-08,75.00,75.00,75.00,75.00,75.00,155
1996-01-09,75.00,80.00,73.75,77.50,77.50,1105
1996-01-10,72.50,75.00,70.00,70.00,70.00,1150
1996-01-11,72.50,72.50,68.75,70.00,70.00,1590
1996-01-12,70.00,70.00,67.50,68.75,68.75,630
1996-01-15,71.25,72.50,68.75,71.25,71.25,1840
1996-01-16,71.25,71.25,67.50,70.00,70.00,910
1996-01-17,68.75,70.00,65.00,70.00,70.00,1870
1996-01-18,70.00,72.50,68.75,71.25,71.25,3140
1996-01-19,71.25,73.75,70.00,71.25,71.25,1750
1996-01-22,71.25,75.00,70.00,72.50,72.50,950
1996-01-23,72.50,75.00,68.75,73.75,73.75,1430
1996-01-24,75.00,80.00,72.50,80.00,80.00,1495
