Date,Open,High,Low,Close,Adj Close,Volume
1985-07-22,30.62,31.12,30.25,30.38,23.39,1036000
1985-07-23,30.62,30.75,30.00,30.12,23.20,41800
1985-07-24,30.00,30.12,29.25,29.50,22.72,16900
1985-07-25,29.25,30.00,29.25,30.00,23.11,42600
1985-07-26,29.75,29.88,29.62,29.88,23.01,27300
1985-07-29,29.88,29.88,29.50,29.62,22.82,37300
1985-07-30,29.38,29.62,29.00,29.00,22.34,23700
1985-07-31,28.88,29.00,28.00,28.12,21.66,26700
1985-08-01,28.12,28.50,28.12,28.25,21.76,7200
1985-08-02,28.38,28.75,28.12,28.62,22.05,29000
1985-08-05,28.62,28.75,28.50,28.75,22.14,14100
1985-08-06,28.88,29.00,28.62,28.62,22.05,24800
1985-08-07,28.62,28.75,28.50,28.50,21.95,7400
1985-08-08,28.38,28.62,28.25,28.62,22.05,4600
1985-08-09,28.50,28.62,28.38,28.38,21.85,1800
1985-08-12,28.25,28.50,28.25,28.25,21.76,2000
1985-08-13,28.12,28.25,28.00,28.25,21.76,54300
1985-08-14,28.25,28.25,28.12,28.25,21.76,900
1985-08-15,28.25,28.38,28.12,28.25,21.76,14400
1985-08-16,28.25,28.25,27.62,27.75,21.37,6600
1985-08-19,27.62,27.62,27.12,27.12,20.89,11600
1985-08-20,27.00,27.25,27.00,27.25,20.99,28200
1985-08-21,27.00,27.25,27.00,27.12,20.89,14400
1985-08-22,27.38,27.38,27.25,27.25,20.99,4600
1985-08-23,27.25,27.25,27.12,27.12,20.89,1800
1985-08-26,26.88,26.88,26.75,26.75,20.60,6300
1985-08-27,26.75,26.75,26.38,26.50,20.41,6200
1985-08-28,26.75,27.12,26.75,27.00,20.79,15800
1985-08-29,27.25,27.25,27.25,27.25,20.99,2500
1985-08-30,27.12,27.25,27.12,27.12,20.89,9800
1985-09-03,27.25,27.38,27.12,27.25,20.99,4100
1985-09-04,27.12,27.12,27.00,27.00,20.79,1800
1985-09-05,26.75,26.88,26.62,26.62,20.51,9100
1985-09-06,26.50,26.50,26.38,26.50,20.41,10500
1985-09-09,26.38,26.38,26.12,26.12,20.12,2800
1985-09-10,26.12,26.12,25.62,25.62,19.74,9800
1985-09-11,25.50,25.50,24.62,24.62,18.97,8400
1985-09-12,24.62,24.75,24.38,24.38,18.77,8300
1985-09-13,24.12,24.25,24.00,24.00,18.48,5700
1985-09-16,24.00,24.38,24.00,24.38,18.77,7700
1985-09-17,24.25,24.38,24.00,24.38,18.77,5900
1985-09-18,24.38,25.12,24.12,25.12,19.35,51500
1985-09-19,25.25,25.50,25.25,25.50,19.64,7300
1985-09-20,25.75,26.25,25.75,26.00,20.02,9200
1985-09-23,26.25,26.38,26.12,26.12,20.12,7000
1985-09-24,26.25,26.25,26.00,26.00,20.02,2900
1985-09-25,25.88,25.88,25.75,25.75,19.83,800
1985-09-26,25.62,25.75,25.62,25.75,19.83,700
1985-09-30,25.62,25.62,25.12,25.50,19.64,31400
1985-10-01,25.50,25.50,25.50,25.50,19.64,43700
1985-10-02,25.25,25.25,25.12,25.25,19.45,3800
1985-10-03,25.12,26.12,25.12,26.00,20.02,54100
1985-10-04,26.12,26.25,26.00,26.25,20.22,1700
1985-10-07,26.38,26.75,26.25,26.75,20.60,16200
1985-10-08,26.75,27.12,26.75,26.88,20.70,217100
1985-10-09,26.88,27.00,26.88,27.00,20.79,1000
1985-10-10,27.00,27.00,26.75,27.00,20.79,1300
1985-10-11,27.00,27.12,26.88,27.12,20.89,46000
