Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,23.01,23.44,22.51,22.51,20.23,78900
2018-04-25,23.10,24.00,22.76,23.02,20.69,25400
2018-04-26,22.75,23.25,22.75,23.25,20.90,2400
2018-04-27,22.93,23.46,22.76,22.85,20.54,332700
2018-04-30,23.26,23.43,21.36,22.10,19.86,444200
2018-05-01,21.17,23.37,21.00,22.72,20.42,40727700
2018-05-02,22.60,24.00,22.05,22.76,20.46,10724600
2018-05-03,22.55,24.28,22.55,23.51,21.13,4972800
2018-05-04,23.45,26.00,22.81,24.90,22.38,5699200
2018-05-07,24.44,26.34,24.38,25.34,22.78,4655100
2018-05-08,24.75,25.22,23.66,24.63,22.14,6368500
2018-05-09,24.38,24.89,24.21,24.48,22.00,3007400
2018-05-10,24.71,25.75,24.50,24.98,22.45,4279900
2018-05-11,25.10,25.92,25.02,25.59,23.00,2403000
2018-05-14,26.00,26.00,25.11,25.65,23.05,1077800
2018-05-15,25.83,25.90,24.92,25.24,22.69,1455000
2018-05-16,25.15,25.25,24.82,24.96,22.43,2180300
2018-05-17,24.74,25.16,24.65,24.99,22.46,1132800
2018-05-18,24.95,25.37,24.95,25.28,22.72,1895000
2018-05-21,25.28,25.63,25.14,25.46,22.88,1458400
2018-05-22,25.67,26.36,25.31,26.01,23.38,1555300
2018-05-23,25.75,26.30,25.52,26.30,23.64,887600
2018-05-24,26.13,26.77,25.93,26.57,23.88,1611100
2018-05-25,26.46,26.69,26.08,26.36,23.69,969600
2018-05-29,26.33,27.09,26.12,26.60,23.91,1520000
2018-05-30,26.70,27.86,26.13,26.73,24.02,2298400
2018-05-31,26.70,27.19,26.53,27.08,24.34,2188700
2018-06-01,27.16,27.44,26.78,26.80,24.09,1368400
2018-06-04,26.89,28.21,26.80,27.63,24.83,1143500
2018-06-05,27.70,28.90,27.47,28.48,25.60,1679300
2018-06-06,28.48,28.93,28.03,28.10,25.26,672500
2018-06-07,28.14,28.26,26.94,27.46,24.68,1076600
2018-06-08,27.33,27.84,27.06,27.48,24.70,1279700
2018-06-11,27.46,27.82,26.87,27.46,24.68,1270700
2018-06-12,27.46,27.61,26.87,27.00,24.27,1312800
2018-06-13,27.13,27.37,26.94,27.11,24.37,1363600
2018-06-14,27.15,27.15,25.96,26.74,24.03,1574800
2018-06-15,26.49,27.00,26.40,26.80,24.09,3085600
2018-06-18,26.59,27.22,26.30,26.90,24.18,1116500
2018-06-19,26.62,27.35,26.44,27.28,24.52,1419400
2018-06-20,27.30,27.43,26.89,27.07,24.33,1953400
