Date,Open,High,Low,Close,Adj Close,Volume
2003-11-25,13.25,13.64,12.32,13.35,11.35,1641700
2003-11-26,13.45,13.75,13.29,13.40,11.40,411300
2003-11-28,13.55,13.88,13.55,13.78,11.72,82000
2003-12-01,13.89,13.89,13.25,13.70,11.65,95400
2003-12-02,13.79,13.89,13.25,13.64,11.60,230400
2003-12-03,13.52,13.52,13.00,13.24,11.26,99600
2003-12-04,13.17,13.52,13.05,13.10,11.14,77700
2003-12-05,13.06,13.80,12.99,13.67,11.63,96800
2003-12-08,13.60,13.80,13.48,13.75,11.69,252700
2003-12-09,13.75,13.76,13.03,13.03,11.08,197200
2003-12-10,13.15,13.40,12.08,12.36,10.51,306300
2003-12-11,12.18,13.41,12.18,13.00,11.06,118200
2003-12-12,12.98,13.34,12.85,13.25,11.27,235800
2003-12-15,13.38,13.48,13.08,13.16,11.19,83700
2003-12-16,13.03,13.49,13.00,13.41,11.41,107600
2003-12-17,13.35,13.60,13.00,13.36,11.36,142400
2003-12-18,12.92,13.61,12.88,13.44,11.43,95900
2003-12-19,13.52,13.60,13.25,13.45,11.44,108800
2003-12-22,13.52,13.70,13.36,13.45,11.44,34700
2003-12-23,13.38,13.68,13.38,13.60,11.57,106000
2003-12-24,13.49,13.80,13.35,13.62,11.58,88800
2003-12-26,13.75,13.80,13.65,13.65,11.61,73100
2003-12-29,13.65,13.69,13.50,13.65,11.61,134400
2003-12-30,13.54,13.75,13.52,13.75,11.69,225500
2003-12-31,13.83,13.83,13.55,13.71,11.66,142200
2004-01-02,13.65,13.76,13.65,13.75,11.69,80700
2004-01-05,13.96,14.00,13.63,13.90,11.82,410600
2004-01-06,13.75,13.96,13.68,13.75,11.69,142800
2004-01-07,13.80,14.45,13.80,14.40,12.25,503800
2004-01-08,14.34,14.41,14.05,14.10,11.99,182400
2004-01-09,14.14,14.19,13.80,14.10,11.99,85900
2004-01-12,14.44,14.44,13.50,13.88,11.81,68300
2004-01-13,13.84,14.36,13.84,14.15,12.03,61500
2004-01-14,14.27,14.46,14.14,14.43,12.27,178200
2004-01-15,14.22,14.50,14.05,14.17,12.05,60500
2004-01-16,14.25,14.45,13.86,14.07,11.97,53700
2004-01-20,13.90,14.05,13.50,13.99,11.90,70600
2004-01-21,14.07,14.50,13.87,14.24,12.11,75300
2004-01-22,14.15,14.50,14.15,14.25,12.12,77200
2004-01-23,14.21,14.50,14.01,14.15,12.03,84300
2004-01-26,14.00,14.00,12.91,13.65,11.61,457300
2004-01-27,13.41,13.89,13.20,13.71,11.66,217900
2004-01-28,13.93,13.95,13.36,13.50,11.48,118700
2004-01-29,13.41,13.52,13.31,13.50,11.48,124100
2004-01-30,13.39,14.00,13.39,13.42,11.41,184600
2004-02-02,13.49,13.55,13.30,13.38,11.38,93600
2004-02-03,13.45,13.46,13.05,13.25,11.27,52500
2004-02-04,13.09,13.25,12.97,13.00,11.06,41600
2004-02-05,12.97,13.11,12.41,12.73,10.83,201000
2004-02-06,12.77,12.80,12.45,12.79,10.88,34200
2004-02-09,12.80,12.96,12.66,12.77,10.86,78500
