Date,Open,High,Low,Close,Adj Close,Volume
1993-11-23,1.11,1.19,1.11,1.19,0.31,82260900
1993-11-24,1.19,1.26,1.18,1.24,0.32,34708500
1993-11-26,1.24,1.24,1.22,1.22,0.32,3712500
1993-11-29,1.25,1.26,1.21,1.22,0.32,9009900
1993-11-30,1.21,1.23,1.19,1.19,0.31,10875600
1993-12-01,1.19,1.22,1.19,1.21,0.32,8199900
1993-12-02,1.20,1.22,1.20,1.21,0.32,7743600
1993-12-03,1.20,1.22,1.20,1.20,0.31,6085800
1993-12-06,1.19,1.22,1.19,1.22,0.32,4949100
1993-12-07,1.20,1.23,1.20,1.23,0.32,10071000
1993-12-08,1.22,1.26,1.22,1.26,0.33,3580200
1993-12-09,1.25,1.27,1.25,1.26,0.33,2794500
1993-12-10,1.28,1.28,1.25,1.27,0.33,2108700
1993-12-13,1.26,1.26,1.25,1.26,0.33,3472200
1993-12-14,1.26,1.26,1.25,1.26,0.33,2127600
1993-12-15,1.26,1.27,1.25,1.25,0.33,1517400
1993-12-16,1.25,1.27,1.25,1.26,0.33,213300
1993-12-17,1.26,1.28,1.26,1.26,0.33,1039500
1993-12-20,1.26,1.27,1.25,1.26,0.33,1244700
1993-12-21,1.25,1.27,1.25,1.26,0.33,218700
1993-12-22,1.25,1.26,1.25,1.25,0.33,110700
1993-12-23,1.27,1.27,1.26,1.27,0.33,40500
1993-12-27,1.25,1.27,1.25,1.26,0.33,240300
1993-12-28,1.26,1.26,1.25,1.26,0.33,426600
1993-12-29,1.25,1.27,1.25,1.26,0.33,318600
1993-12-30,1.25,1.27,1.25,1.26,0.33,464400
1993-12-31,1.27,1.27,1.26,1.26,0.33,191700
1994-01-03,1.25,1.27,1.25,1.25,0.33,502200
1994-01-04,1.27,1.27,1.25,1.25,0.33,1333800
1994-01-05,1.25,1.25,1.23,1.25,0.33,2181600
1994-01-06,1.25,1.25,1.23,1.25,0.33,3990600
1994-01-07,1.25,1.26,1.25,1.25,0.33,2111400
1994-01-10,1.27,1.27,1.24,1.26,0.33,1900800
1994-01-11,1.26,1.28,1.25,1.26,0.33,1525500
1994-01-12,1.28,1.31,1.26,1.31,0.34,3312900
1994-01-13,1.31,1.32,1.31,1.32,0.35,958500
1994-01-14,1.31,1.32,1.31,1.32,0.34,653400
1994-01-17,1.31,1.32,1.31,1.32,0.35,345600
1994-01-18,1.31,1.34,1.31,1.34,0.35,712800
1994-01-19,1.34,1.37,1.31,1.35,0.35,2316600
1994-01-20,1.35,1.37,1.35,1.37,0.36,170100
1994-01-21,1.36,1.38,1.36,1.36,0.36,145800
1994-01-24,1.36,1.37,1.36,1.37,0.36,245700
1994-01-25,1.35,1.38,1.35,1.35,0.35,159300
1994-01-26,1.35,1.37,1.35,1.37,0.36,318600
1994-01-27,1.36,1.37,1.35,1.36,0.36,178200
1994-01-28,1.35,1.37,1.35,1.37,0.36,351000
1994-01-31,1.36,1.39,1.36,1.39,0.36,731700
1994-02-01,1.39,1.39,1.37,1.37,0.36,245700
1994-02-02,1.37,1.41,1.37,1.41,0.37,1082700
1994-02-03,1.40,1.42,1.39,1.40,0.37,926100
1994-02-04,1.42,1.42,1.39,1.39,0.36,3515400
1994-02-07,1.38,1.39,1.38,1.39,0.36,153900
1994-02-08,1.39,1.41,1.38,1.41,0.37,953100
1994-02-09,1.39,1.41,1.39,1.41,0.37,307800
1994-02-10,1.42,1.43,1.41,1.42,0.37,499500
1994-02-11,1.40,1.41,1.40,1.41,0.37,591300
1994-02-14,1.41,1.44,1.40,1.44,0.38,1760400
1994-02-15,1.44,1.44,1.43,1.43,0.37,432000
