Date,Open,High,Low,Close,Adj Close,Volume
2006-11-01,28.30,28.65,27.60,27.60,24.53,178100
2006-11-02,27.55,27.55,26.38,26.38,23.45,289400
2006-11-03,26.20,26.40,25.97,25.98,23.09,195300
2006-11-06,26.10,26.30,25.60,26.10,23.20,231900
2006-11-07,25.95,27.50,25.91,27.20,24.18,179700
2006-11-08,27.45,27.89,27.10,27.89,24.79,431700
2006-11-09,28.75,29.00,28.25,28.50,25.33,635600
2006-11-10,29.00,29.30,28.40,28.49,25.32,545400
2006-11-13,28.50,28.72,28.26,28.27,25.13,486300
2006-11-14,28.25,28.26,27.97,28.10,24.98,188000
2006-11-15,28.10,28.25,28.01,28.25,25.11,317900
2006-11-16,28.45,29.57,28.45,29.24,25.99,1090700
2006-11-17,29.24,29.44,28.75,29.19,25.94,898700
2006-11-20,29.16,29.75,29.16,29.50,26.22,375700
2006-11-21,29.45,29.75,29.40,29.70,26.40,320100
2006-11-22,29.95,30.30,29.95,30.12,26.77,307300
2006-11-24,30.15,30.59,30.05,30.48,27.09,96300
2006-11-27,30.48,30.48,29.40,29.75,26.44,566800
2006-11-28,29.95,30.05,29.70,30.00,26.66,206400
2006-11-29,30.15,30.35,30.00,30.25,26.89,366800
2006-11-30,30.20,31.10,30.04,31.00,27.55,730600
2006-12-01,31.40,31.47,30.88,31.25,27.78,447500
2006-12-04,31.50,31.60,31.26,31.59,28.08,446000
2006-12-05,31.84,31.85,31.40,31.65,28.13,508100
2006-12-06,31.85,31.85,31.25,31.47,27.97,267400
2006-12-07,31.10,31.37,30.37,30.64,27.23,298900
2006-12-08,30.89,30.89,30.35,30.45,27.06,209000
2006-12-11,31.00,31.00,30.58,30.58,27.18,167000
2006-12-12,30.80,30.80,30.09,30.47,27.08,137500
2006-12-13,31.00,31.00,30.37,30.39,27.01,179400
2006-12-14,30.55,30.59,30.05,30.40,27.02,89200
2006-12-15,30.50,30.50,29.85,29.99,26.66,150300
2006-12-18,30.24,30.30,29.77,29.82,26.50,165400
2006-12-19,29.76,29.94,29.05,29.60,26.31,115800
2006-12-20,29.55,29.65,29.36,29.50,26.22,244600
2006-12-21,29.40,29.57,29.30,29.45,26.18,105000
2006-12-22,29.55,29.56,29.21,29.37,26.10,25900
2006-12-26,29.32,29.54,29.30,29.52,26.24,34900
2006-12-27,29.50,29.70,29.26,29.69,26.39,75400
2006-12-28,29.65,30.00,29.40,29.97,26.64,113300
2006-12-29,29.97,30.15,29.76,29.90,26.58,189300
2007-01-03,30.00,30.44,29.09,29.09,25.86,232000
2007-01-04,28.55,28.62,28.10,28.12,24.99,273100
2007-01-05,28.12,28.15,27.00,27.32,24.28,507000
2007-01-08,27.32,27.53,27.02,27.15,24.13,76300
2007-01-09,27.10,27.40,26.80,27.00,24.00,258500
2007-01-10,26.97,27.30,26.91,26.95,23.95,303100
2007-01-11,26.96,27.37,26.96,27.11,24.10,208500
2007-01-12,27.22,27.56,27.14,27.39,24.34,323900
2007-01-16,27.45,27.80,27.39,27.50,24.44,327400
2007-01-17,27.54,28.37,27.42,28.27,25.13,651100
2007-01-18,28.27,28.45,28.05,28.33,25.18,122200
2007-01-19,28.23,28.62,28.23,28.54,25.37,124600
2007-01-22,28.69,28.75,28.42,28.57,25.39,298600
2007-01-23,28.67,29.26,28.49,28.74,25.54,176500
2007-01-24,28.99,29.05,28.80,28.99,25.77,204800
2007-01-25,29.11,29.46,28.92,29.00,25.78,437800
2007-01-26,29.20,29.46,28.62,29.15,25.91,317100
2007-01-29,29.01,29.18,28.48,28.70,25.51,358200
2007-01-30,28.90,28.90,28.37,28.50,25.33,98100
2007-01-31,28.70,28.79,28.46,28.64,25.46,352200
2007-02-01,28.95,29.01,28.65,28.70,25.51,393200
2007-02-02,28.65,28.96,28.62,28.85,25.64,545100
2007-02-05,28.90,29.07,28.79,28.99,25.77,497600
2007-02-06,29.10,29.51,28.95,29.27,26.02,1595700
2007-02-07,29.43,30.15,29.20,30.02,26.68,2130600
2007-02-08,30.10,30.11,29.70,29.77,26.46,516500
2007-02-09,29.70,30.00,29.70,29.77,26.46,384800
2007-02-12,29.80,30.15,29.80,30.04,26.70,629100
2007-02-13,30.00,30.48,29.77,30.03,26.69,542200
2007-02-14,30.03,30.23,29.80,30.10,26.75,370700
2007-02-15,32.05,32.05,30.60,31.80,28.26,2833700
2007-02-16,31.65,31.69,30.85,31.50,28.00,942100
2007-02-20,31.40,31.70,31.30,31.61,28.10,459200
2007-02-21,31.75,33.75,31.31,33.11,29.43,1772400
2007-02-22,32.70,33.11,32.00,32.45,28.84,735600
2007-02-23,32.42,32.42,31.38,31.79,28.26,443900
2007-02-26,31.77,33.45,31.44,32.89,29.23,1264300
2007-02-27,32.82,32.88,31.93,32.03,28.47,926200
2007-02-28,32.00,32.34,31.44,32.01,28.45,461700
2007-03-01,31.10,31.98,30.65,31.71,28.18,789900
2007-03-02,31.96,31.96,30.26,30.35,26.98,329000
2007-03-05,30.15,30.20,29.45,29.58,26.29,495600
2007-03-06,26.60,30.10,26.60,30.01,26.67,513700
2007-03-07,29.94,30.27,29.63,29.80,26.49,82800
2007-03-08,29.90,31.58,29.90,31.05,27.60,742400
2007-03-09,31.15,31.49,31.01,31.38,27.89,420400
2007-03-12,31.38,31.53,31.15,31.35,27.86,338600
2007-03-13,31.00,31.25,30.15,30.25,26.89,592800
2007-03-14,30.25,30.25,28.76,29.79,26.48,790000
2007-03-15,29.75,30.23,29.75,29.90,26.58,249600
2007-03-16,29.90,31.56,29.90,31.15,27.69,1341700
2007-03-19,30.70,31.55,30.60,31.25,27.78,407300
2007-03-20,31.40,31.64,31.00,31.54,28.03,291900
2007-03-21,31.75,32.09,31.60,31.80,28.26,333900
2007-03-22,32.00,32.59,31.63,32.00,28.44,506000
2007-03-23,32.02,32.50,32.02,32.34,28.74,431100
2007-03-26,32.52,32.59,31.42,31.89,28.34,472400
2007-03-27,31.64,32.16,31.43,31.87,28.33,282500
2007-03-28,31.80,31.88,31.13,31.51,28.01,392400
2007-03-29,31.69,31.88,31.68,31.76,28.23,444400
2007-03-30,31.95,32.27,31.75,31.86,28.32,168700
2007-04-02,32.08,32.12,31.72,31.80,28.26,122400
2007-04-03,31.92,31.92,31.70,31.78,28.25,133500
2007-04-04,31.75,31.89,31.44,31.65,28.13,277700
2007-04-05,31.55,32.04,31.55,32.00,28.44,393900
2007-04-09,32.06,32.63,32.06,32.52,28.90,432300
2007-04-10,32.70,33.06,32.60,33.00,29.33,850000
2007-04-11,33.01,33.15,32.75,33.05,29.38,488400
2007-04-12,33.05,33.39,33.00,33.33,29.62,281300
2007-04-13,33.28,33.64,33.24,33.53,29.80,464400
2007-04-16,33.54,33.65,33.21,33.49,29.77,247000
2007-04-17,33.64,33.64,33.38,33.47,29.75,1211800
