Date,Open,High,Low,Close,Adj Close,Volume
1991-10-24,1.19,1.19,1.13,1.14,1.12,21520308
1991-10-25,1.14,1.17,1.14,1.17,1.15,2115239
1991-10-28,1.16,1.26,1.16,1.26,1.24,2660850
1991-10-29,1.25,1.27,1.25,1.26,1.24,2511633
1991-10-30,1.26,1.32,1.26,1.29,1.27,2615288
1991-10-31,1.33,1.33,1.27,1.27,1.25,1101473
1991-11-01,1.27,1.29,1.25,1.26,1.24,703941
1991-11-04,1.26,1.28,1.24,1.24,1.22,609398
1991-11-05,1.27,1.27,1.24,1.26,1.24,387281
1991-11-06,1.25,1.26,1.24,1.26,1.24,755198
1991-11-07,1.26,1.26,1.24,1.26,1.24,264263
1991-11-08,1.24,1.26,1.24,1.24,1.22,321216
1991-11-11,1.24,1.27,1.24,1.25,1.23,187945
1991-11-12,1.28,1.28,1.25,1.27,1.25,617372
1991-11-13,1.25,1.27,1.25,1.26,1.24,53536
1991-11-14,1.28,1.28,1.25,1.28,1.26,210727
1991-11-15,1.25,1.29,1.25,1.25,1.23,220978
1991-11-18,1.25,1.26,1.22,1.22,1.20,341719
1991-11-19,1.24,1.24,1.03,1.09,1.07,894164
1991-11-20,1.09,1.17,1.09,1.15,1.13,455625
1991-11-21,1.19,1.23,1.15,1.23,1.21,129853
1991-11-22,1.23,1.24,1.21,1.21,1.19,158330
1991-11-25,1.21,1.23,1.19,1.19,1.16,281348
1991-11-26,1.19,1.19,1.17,1.19,1.16,58092
1991-11-27,1.17,1.19,1.15,1.15,1.13,190223
1991-11-29,1.14,1.19,1.14,1.14,1.12,14808
1991-12-02,1.19,1.20,1.15,1.20,1.17,243759
1991-12-03,1.15,1.15,1.15,1.15,1.13,2278
1991-12-04,1.19,1.23,1.15,1.23,1.21,321216
1991-12-05,1.23,1.23,1.21,1.21,1.19,25059
1991-12-06,1.19,1.23,1.19,1.22,1.20,69483
1991-12-09,1.19,1.23,1.19,1.20,1.17,33033
1991-12-10,1.21,1.26,1.21,1.23,1.21,219839
1991-12-11,1.22,1.26,1.22,1.23,1.21,288183
1991-12-12,1.23,1.26,1.23,1.23,1.21,152634
1991-12-13,1.23,1.25,1.22,1.25,1.23,167442
1991-12-16,1.25,1.25,1.22,1.23,1.21,68344
1991-12-17,1.23,1.26,1.23,1.24,1.22,223256
1991-12-18,1.24,1.25,1.23,1.23,1.21,378169
1991-12-19,1.23,1.23,1.22,1.23,1.21,121880
1991-12-20,1.26,1.26,1.22,1.22,1.20,6834
1991-12-23,1.22,1.26,1.22,1.23,1.21,258567
1991-12-24,1.23,1.32,1.23,1.28,1.26,207309
1991-12-26,1.32,1.32,1.29,1.32,1.29,116184
1991-12-27,1.32,1.35,1.31,1.34,1.31,361083
1991-12-30,1.33,1.40,1.31,1.40,1.38,275653
1991-12-31,1.46,1.49,1.44,1.45,1.42,521691
1992-01-02,1.45,1.45,1.39,1.44,1.41,306408
1992-01-03,1.42,1.45,1.42,1.45,1.42,17086
1992-01-06,1.44,1.47,1.44,1.44,1.41,154913
1992-01-07,1.44,1.53,1.44,1.49,1.47,718748
1992-01-08,1.53,1.53,1.49,1.49,1.47,94542
