Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,31.00,33.25,31.00,33.25,33.25,342900
2021-05-17,34.00,35.00,34.00,34.10,34.10,31500
2021-05-18,34.48,38.42,34.48,37.50,37.50,48900
2021-05-19,37.00,37.75,37.00,37.50,37.50,43900
2021-05-20,37.50,37.75,37.50,37.75,37.75,22900
2021-05-21,38.50,38.50,37.50,37.60,37.60,18300
2021-05-24,38.00,38.25,37.90,38.00,38.00,30600
2021-05-25,38.75,38.75,36.90,36.95,36.95,35800
2021-05-26,38.00,38.00,36.00,36.83,36.83,44400
2021-05-27,37.00,37.00,35.50,35.50,35.50,40700
2021-05-28,36.00,37.11,35.75,35.75,35.75,60800
2021-06-01,36.65,37.46,35.90,36.00,36.00,52000
2021-06-02,36.50,36.74,34.50,35.26,35.26,1306900
2021-06-03,34.15,38.24,32.22,37.00,37.00,22326000
2021-06-04,36.15,36.17,33.71,34.15,34.15,7502300
2021-06-07,33.60,33.88,30.85,31.42,31.42,11513100
2021-06-08,30.33,30.91,28.53,28.91,28.91,18500300
2021-06-09,28.30,29.44,27.25,28.45,28.45,14563600
2021-06-10,28.46,31.16,28.40,30.33,30.33,11205900
2021-06-11,30.38,30.38,29.40,29.65,29.65,5728900
2021-06-14,30.08,30.63,29.27,30.28,30.28,6972000
2021-06-15,30.03,32.09,29.80,31.81,31.81,6339100
2021-06-16,31.52,31.65,30.27,30.70,30.70,5288100
2021-06-17,30.49,31.73,30.10,31.46,31.46,5086400
2021-06-18,31.50,31.71,29.96,29.98,29.98,10213800
2021-06-21,30.20,30.67,29.36,29.41,29.41,3542700
2021-06-22,29.25,29.87,28.84,29.53,29.53,4218300
2021-06-23,29.53,30.08,29.10,29.50,29.50,3880900
2021-06-24,29.39,30.07,29.30,29.77,29.77,2769600
2021-06-25,29.77,30.87,29.21,30.19,30.19,13582700
2021-06-28,29.69,31.03,29.41,30.94,30.94,3106200
2021-06-29,30.98,31.32,30.46,30.55,30.55,2256700
2021-06-30,30.33,30.83,30.25,30.26,30.26,2011100
2021-07-01,30.11,31.24,30.06,30.82,30.82,2437100
2021-07-02,30.71,31.12,30.30,30.86,30.86,1813100
2021-07-06,30.60,31.10,29.90,31.00,31.00,2853500
2021-07-07,31.00,31.04,29.87,30.12,30.12,2936200
2021-07-08,29.65,30.18,29.26,29.65,29.65,1931400
2021-07-09,29.95,30.28,29.59,30.10,30.10,2345700
2021-07-12,29.77,30.38,29.57,29.74,29.74,1855700
2021-07-13,29.50,29.89,28.96,29.10,29.10,2047900
2021-07-14,28.98,29.40,28.84,29.34,29.34,2004600
2021-07-15,28.85,29.49,28.69,28.91,28.91,2112300
2021-07-16,28.77,29.00,28.42,28.87,28.87,1757700
2021-07-19,28.63,29.17,28.54,29.14,29.14,2261600
2021-07-20,29.17,29.78,29.06,29.61,29.61,1922600
2021-07-21,29.66,30.50,29.53,30.46,30.46,2068400
2021-07-22,30.43,31.06,30.25,30.92,30.92,2221100
2021-07-23,30.89,30.92,29.71,29.80,29.80,1618100
2021-07-26,29.71,30.21,29.18,29.66,29.66,1526900
2021-07-27,29.36,29.64,28.83,29.12,29.12,2005300
2021-07-28,29.13,29.87,29.00,29.74,29.74,1854600
2021-07-29,29.59,29.86,29.21,29.23,29.23,1777000
2021-07-30,29.06,29.40,28.91,29.01,29.01,1504200
2021-08-02,29.08,29.64,29.04,29.53,29.53,1761600
2021-08-03,29.28,29.58,29.01,29.51,29.51,1386700
2021-08-04,29.32,29.32,28.61,28.63,28.63,1851700
2021-08-05,28.64,29.58,28.50,29.56,29.56,2190600
2021-08-06,29.49,29.78,29.17,29.50,29.50,1298600
2021-08-09,29.78,30.00,28.92,29.10,29.10,1982600
2021-08-10,29.08,30.49,28.92,30.35,30.35,2980200
2021-08-11,30.35,30.40,29.72,29.93,29.93,1868800
2021-08-12,31.06,34.00,31.00,33.50,33.50,7826700
2021-08-13,33.50,34.49,32.86,34.21,34.21,3440400
2021-08-16,34.24,34.79,33.91,34.33,34.33,2742100
2021-08-17,34.74,35.82,34.44,35.38,35.38,4683500
2021-08-18,35.88,36.49,33.54,33.59,33.59,4685000
2021-08-19,33.40,34.57,33.01,34.10,34.10,2501300
2021-08-20,33.95,34.46,33.15,33.22,33.22,2345800
2021-08-23,33.55,33.79,32.86,33.24,33.24,2473600
2021-08-24,33.35,33.82,32.96,33.16,33.16,2117500
2021-08-25,33.01,33.61,32.37,33.30,33.30,1929400
2021-08-26,33.22,34.36,33.22,33.96,33.96,1607900
2021-08-27,33.98,34.32,33.73,34.25,34.25,1165700
2021-08-30,34.09,34.24,33.66,33.72,33.72,1069000
2021-08-31,33.54,34.10,33.42,33.89,33.89,1694600
2021-09-01,34.45,35.37,34.26,34.56,34.56,2738500
2021-09-02,35.12,35.64,34.35,35.61,35.61,2560100
2021-09-03,35.47,35.65,34.86,35.61,35.61,1466400
2021-09-07,35.28,35.75,34.87,35.64,35.64,2247200
2021-09-08,35.53,35.53,34.75,34.97,34.97,2185000
2021-09-09,34.97,35.00,34.24,34.68,34.68,1573500
2021-09-10,34.91,35.00,33.87,33.88,33.88,1658400
2021-09-13,34.17,34.18,33.53,33.83,33.83,1950100
2021-09-14,33.75,33.88,33.25,33.42,33.42,1570200
2021-09-15,33.50,34.26,33.24,33.72,33.72,1953200
2021-09-16,33.89,34.09,33.02,33.76,33.76,1280600
2021-09-17,33.70,34.08,33.26,34.03,34.03,4341400
2021-09-20,33.24,33.70,32.77,32.94,32.94,1937300
2021-09-21,33.19,33.39,32.75,32.89,32.89,1162900
2021-09-22,33.09,33.24,32.59,32.65,32.65,1332100
2021-09-23,32.76,33.47,32.68,33.38,33.38,1608400
2021-09-24,33.50,33.95,33.00,33.69,33.69,1888100
2021-09-27,33.69,33.87,33.42,33.54,33.54,1281300
2021-09-28,33.50,33.52,32.90,33.04,33.04,1286800
2021-09-29,33.02,34.00,33.01,33.98,33.98,1306300
2021-09-30,33.92,34.17,32.78,32.79,32.79,1481600
2021-10-01,32.88,33.60,32.56,33.33,33.33,1497500
2021-10-04,33.18,33.58,32.82,32.94,32.94,1784800
2021-10-05,32.68,33.14,32.49,32.53,32.53,2452800
2021-10-06,32.23,33.14,31.92,33.07,33.07,2533300
2021-10-07,32.99,33.32,32.74,32.84,32.84,1339600
2021-10-08,32.79,32.87,32.22,32.57,32.57,1249000
2021-10-11,32.58,33.26,32.55,33.21,33.21,1319400
2021-10-12,33.18,33.54,32.76,32.84,32.84,1271300
2021-10-13,33.00,33.33,32.66,33.15,33.15,1251100
2021-10-14,33.15,33.94,33.10,33.64,33.64,1624700
2021-10-15,33.96,35.25,33.76,34.89,34.89,1675900
2021-10-18,34.82,35.12,34.46,34.80,34.80,1236200
2021-10-19,34.83,35.39,34.70,35.06,35.06,1246500
2021-10-20,35.19,36.22,34.98,35.76,35.76,1161000
2021-10-21,35.66,35.75,35.13,35.36,35.36,1100500
2021-10-22,35.33,35.79,35.11,35.66,35.66,765500
2021-10-25,35.49,36.96,35.41,36.91,36.91,1497900
2021-10-26,36.78,37.34,36.50,36.71,36.71,1598500
2021-10-27,36.70,36.70,35.51,35.72,35.72,1013500
2021-10-28,35.86,36.68,35.62,36.52,36.52,1282500
2021-10-29,36.46,37.23,36.38,36.75,36.75,1800000
2021-11-01,36.70,37.31,36.48,37.13,37.13,1108600
2021-11-02,37.22,37.30,36.40,36.49,36.49,1326000
2021-11-03,36.22,37.02,36.22,36.82,36.82,1549600
2021-11-04,36.81,37.19,36.20,36.26,36.26,1777200
2021-11-05,36.38,36.72,35.54,36.28,36.28,2380200
2021-11-08,36.55,37.35,36.41,36.99,36.99,3474500
