Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,1.58,1.53,1.53,0.46,25600
1980-03-18,0.00,1.58,1.53,1.53,0.46,81600
1980-03-19,0.00,1.59,1.55,1.55,0.46,40000
1980-03-20,0.00,1.58,1.53,1.53,0.46,11200
1980-03-21,0.00,1.56,1.52,1.52,0.45,19200
1980-03-24,0.00,1.53,1.48,1.48,0.44,112000
1980-03-25,0.00,1.52,1.47,1.47,0.44,49600
1980-03-26,0.00,1.53,1.48,1.48,0.44,17600
1980-03-27,0.00,1.52,1.47,1.47,0.44,78400
1980-03-28,0.00,1.52,1.47,1.47,0.44,16000
1980-03-31,0.00,1.45,1.41,1.41,0.42,128000
1980-04-01,0.00,1.44,1.39,1.39,0.42,54400
1980-04-02,0.00,1.45,1.41,1.41,0.42,20800
1980-04-03,0.00,1.44,1.39,1.39,0.42,8000
1980-04-07,0.00,1.42,1.38,1.38,0.41,43200
1980-04-08,0.00,1.42,1.38,1.38,0.41,62400
1980-04-09,0.00,1.44,1.39,1.39,0.42,33600
1980-04-10,0.00,1.47,1.42,1.42,0.43,24000
1980-04-11,0.00,1.48,1.44,1.44,0.43,33600
1980-04-14,0.00,1.47,1.42,1.42,0.43,32000
1980-04-15,0.00,1.47,1.42,1.42,0.43,33600
1980-04-16,0.00,1.47,1.42,1.42,0.43,76800
1980-04-17,0.00,1.47,1.42,1.42,0.43,8000
1980-04-18,0.00,1.52,1.47,1.47,0.44,52800
1980-04-21,0.00,1.47,1.42,1.42,0.43,70400
1980-04-22,0.00,1.52,1.47,1.47,0.44,83200
1980-04-23,0.00,1.52,1.47,1.47,0.44,19200
1980-04-24,0.00,1.52,1.47,1.47,0.44,3200
1980-04-25,0.00,1.50,1.45,1.45,0.43,17600
1980-04-28,0.00,1.52,1.47,1.47,0.44,56000
1980-04-29,0.00,1.56,1.52,1.52,0.45,64000
1980-04-30,0.00,1.56,1.52,1.52,0.45,4800
1980-05-01,0.00,1.56,1.52,1.52,0.45,108800
1980-05-02,0.00,1.56,1.52,1.52,0.45,17600
1980-05-05,0.00,1.56,1.52,1.52,0.45,48000
1980-05-06,0.00,1.56,1.52,1.52,0.45,14400
1980-05-07,0.00,1.55,1.50,1.50,0.45,32000
1980-05-08,0.00,1.53,1.48,1.48,0.44,102400
1980-05-09,0.00,1.52,1.47,1.47,0.44,62400
1980-05-12,0.00,1.50,1.45,1.45,0.43,17600
1980-05-13,0.00,1.50,1.45,1.45,0.43,8000
1980-05-14,0.00,1.50,1.45,1.45,0.43,20800
1980-05-15,0.00,1.55,1.50,1.50,0.45,140800
1980-05-16,0.00,1.55,1.50,1.50,0.45,116800
1980-05-19,0.00,1.56,1.52,1.52,0.45,44800
1980-05-20,0.00,1.55,1.50,1.50,0.45,134400
