Date,Open,High,Low,Close,Adj Close,Volume
2000-05-02,24.88,25.06,22.38,24.00,24.00,2051300
2000-05-03,23.69,23.75,21.31,22.50,22.50,1734900
2000-05-04,23.56,23.62,20.50,21.12,21.12,1235300
2000-05-05,20.75,22.00,20.50,20.88,20.88,1164400
2000-05-08,20.44,21.06,20.06,20.25,20.25,750000
2000-05-09,20.62,21.12,19.75,20.19,20.19,1221300
2000-05-10,20.38,20.44,17.81,19.38,19.38,1240300
2000-05-11,19.88,20.25,19.50,20.00,20.00,1602200
2000-05-12,20.62,23.00,20.12,21.38,21.38,1807800
2000-05-15,21.69,22.25,20.19,21.69,21.69,800900
2000-05-16,21.81,22.56,21.38,22.25,22.25,646100
2000-05-17,21.62,22.75,21.38,21.88,21.88,861300
2000-05-18,21.88,24.31,21.81,24.00,24.00,1856900
2000-05-19,23.25,24.50,21.50,22.75,22.75,1248800
2000-05-22,23.12,23.12,19.75,20.00,20.00,1056700
2000-05-23,20.88,21.25,19.62,19.88,19.88,1311500
2000-05-24,19.94,20.25,19.12,19.50,19.50,845700
2000-05-25,19.75,20.31,18.00,18.19,18.19,1078300
2000-05-26,18.19,18.75,17.88,18.00,18.00,367000
2000-05-30,18.00,20.62,18.00,20.00,20.00,446000
2000-05-31,20.69,20.88,19.12,19.31,19.31,1091600
2000-06-01,19.59,20.75,19.56,20.12,20.12,1126000
2000-06-02,20.69,23.25,20.31,23.00,23.00,1646900
2000-06-05,22.75,23.00,21.06,22.88,22.88,615800
2000-06-06,22.75,24.62,22.12,23.12,23.12,735300
2000-06-07,23.19,23.50,21.88,22.25,22.25,299900
2000-06-08,22.25,23.75,22.00,22.62,22.62,476800
2000-06-09,22.81,23.88,22.62,23.25,23.25,428200
2000-06-12,23.75,24.25,23.62,24.06,24.06,665000
2000-06-13,23.56,24.00,21.88,23.44,23.44,300500
2000-06-14,23.16,23.31,22.88,22.94,22.94,172600
2000-06-15,22.62,23.25,21.75,23.00,23.00,323500
2000-06-16,22.97,23.00,20.81,21.06,21.06,1229000
2000-06-19,21.56,22.12,20.50,21.25,21.25,358700
2000-06-20,21.38,22.50,21.31,21.88,21.88,714400
2000-06-21,21.88,23.38,21.75,22.69,22.69,488400
2000-06-22,24.62,24.75,22.25,22.50,22.50,1281100
2000-06-23,22.81,26.50,21.00,23.62,23.62,737900
2000-06-26,23.88,26.81,23.00,23.62,23.62,473000
2000-06-27,23.62,23.75,22.38,22.94,22.94,432100
2000-06-28,23.00,24.00,22.50,23.44,23.44,322500
2000-06-29,23.12,23.94,22.50,23.06,23.06,308700
2000-06-30,22.38,24.38,21.75,21.88,21.88,851400
2000-07-03,22.88,23.12,22.00,22.75,22.75,156400
2000-07-05,22.44,22.50,20.75,21.56,21.56,644700
2000-07-06,21.56,22.00,20.00,21.81,21.81,382000
2000-07-07,21.88,22.75,21.38,21.81,21.81,1265000
2000-07-10,21.75,24.69,21.50,21.75,21.75,1233200
2000-07-11,21.62,23.25,21.00,22.00,22.00,1450100
2000-07-12,22.06,22.06,21.50,21.94,21.94,217700
2000-07-13,21.88,22.12,19.75,20.50,20.50,649500
2000-07-14,22.19,22.19,20.25,21.56,21.56,586000
2000-07-17,22.00,22.38,21.69,22.00,22.00,787900
2000-07-18,22.00,22.06,21.69,21.94,21.94,306900
2000-07-19,21.88,21.88,20.12,20.25,20.25,335500
2000-07-20,20.94,21.75,20.25,21.00,21.00,196300
2000-07-21,21.69,22.00,19.75,20.50,20.50,618600
2000-07-24,20.38,21.12,20.12,20.75,20.75,352200
2000-07-25,20.69,21.19,20.48,21.12,21.12,1118200
2000-07-26,20.50,21.19,20.25,21.19,21.19,1511700
2000-07-27,21.06,21.16,20.00,20.00,20.00,1171200
2000-07-28,20.00,20.25,19.38,20.00,20.00,1541400
2000-07-31,20.00,22.25,20.00,22.12,22.12,678800
2000-08-01,21.75,21.88,21.00,21.62,21.62,397800
2000-08-02,21.25,22.00,21.00,21.75,21.75,312900
2000-08-03,20.81,20.88,20.12,20.44,20.44,755700
2000-08-04,20.75,21.25,20.25,20.75,20.75,126300
2000-08-07,20.75,21.12,20.75,20.88,20.88,189600
2000-08-08,20.75,20.88,20.50,20.69,20.69,267600
2000-08-09,20.69,20.75,19.62,20.00,20.00,6045100
2000-08-10,20.22,20.31,16.50,17.25,17.25,825300
2000-08-11,17.25,17.50,16.25,17.25,17.25,646400
2000-08-14,17.28,17.62,16.88,17.00,17.00,200200
2000-08-15,17.56,18.50,17.25,17.25,17.25,406900
2000-08-16,17.50,17.62,16.81,17.12,17.12,258600
2000-08-17,16.94,17.25,16.38,16.88,16.88,288700
