Date,Open,High,Low,Close,Adj Close,Volume
1993-04-23,2.44,2.44,2.34,2.41,2.41,16484800
1993-04-26,2.38,2.41,2.34,2.34,2.34,3334400
1993-04-27,2.38,2.38,2.28,2.31,2.31,2046400
1993-04-28,2.34,2.34,2.28,2.28,2.28,897600
1993-04-29,2.28,2.34,2.28,2.31,2.31,844800
1993-04-30,2.34,2.41,2.31,2.34,2.34,1180800
1993-05-03,2.41,2.41,2.31,2.34,2.34,623200
1993-05-04,2.38,2.41,2.31,2.38,2.38,555200
1993-05-05,2.38,2.44,2.38,2.44,2.44,900800
1993-05-06,2.44,2.47,2.38,2.45,2.45,635200
1993-05-07,2.41,2.47,2.41,2.41,2.41,170400
1993-05-10,2.47,2.50,2.41,2.44,2.44,438400
1993-05-11,2.44,2.53,2.44,2.47,2.47,312800
1993-05-12,2.50,2.53,2.44,2.53,2.53,907200
1993-05-13,2.53,2.59,2.47,2.59,2.59,608000
1993-05-14,2.59,2.78,2.53,2.73,2.73,774400
1993-05-17,2.78,2.78,2.62,2.69,2.69,349600
1993-05-18,2.62,2.69,2.59,2.66,2.66,555200
1993-05-19,2.66,2.66,2.56,2.61,2.61,408800
1993-05-20,2.62,2.62,2.56,2.56,2.56,428000
1993-05-21,2.56,2.62,2.56,2.59,2.59,144000
1993-05-24,2.62,2.62,2.56,2.56,2.56,16800
1993-05-25,2.56,2.62,2.56,2.59,2.59,62400
1993-05-26,2.62,2.62,2.56,2.56,2.56,206400
1993-05-27,2.59,2.62,2.56,2.62,2.62,196800
1993-05-28,2.62,2.66,2.56,2.66,2.66,175200
1993-06-01,2.66,2.75,2.66,2.66,2.66,525600
1993-06-02,2.72,2.78,2.66,2.78,2.78,302400
1993-06-03,2.81,2.81,2.75,2.81,2.81,341600
1993-06-04,2.81,2.81,2.75,2.75,2.75,86400
1993-06-07,2.81,2.81,2.75,2.81,2.81,288000
1993-06-08,2.81,2.81,2.75,2.81,2.81,616800
1993-06-09,2.75,2.81,2.75,2.81,2.81,96800
1993-06-10,2.78,2.91,2.78,2.84,2.84,1295200
1993-06-11,2.88,2.91,2.84,2.88,2.88,213600
1993-06-14,2.91,2.91,2.84,2.84,2.84,80800
1993-06-15,2.91,2.91,2.75,2.81,2.81,663200
1993-06-16,2.75,2.81,2.75,2.75,2.75,353600
1993-06-17,2.75,2.81,2.75,2.75,2.75,135200
1993-06-18,2.81,2.91,2.75,2.88,2.88,132800
1993-06-21,2.84,2.94,2.84,2.89,2.89,365600
1993-06-22,2.94,2.94,2.88,2.94,2.94,92000
1993-06-23,2.94,2.94,2.88,2.94,2.94,132000
1993-06-24,2.94,2.94,2.88,2.94,2.94,39200
1993-06-25,2.94,2.94,2.84,2.94,2.94,167200
1993-06-28,2.94,2.97,2.84,2.97,2.97,244800
1993-06-29,2.91,3.12,2.91,3.03,3.03,301600
1993-06-30,3.09,3.09,2.94,3.00,3.00,194400
1993-07-01,3.00,3.00,2.91,2.91,2.91,49600
1993-07-02,2.91,2.97,2.88,2.94,2.94,37600
1993-07-06,2.94,2.94,2.94,2.94,2.94,18400
1993-07-07,2.94,2.94,2.88,2.94,2.94,44000
1993-07-08,2.94,3.00,2.94,2.94,2.94,62400
1993-07-09,3.00,3.00,2.94,3.00,3.00,6400
1993-07-12,3.00,3.00,2.94,3.00,3.00,53600
1993-07-13,2.94,3.00,2.94,2.97,2.97,44800
1993-07-14,3.00,3.00,3.00,3.00,3.00,4000
1993-07-15,3.00,3.00,2.94,2.94,2.94,4800
1993-07-16,3.00,3.00,2.94,2.94,2.94,30400
1993-07-19,2.94,2.97,2.91,2.91,2.91,161600
1993-07-20,2.97,2.97,2.91,2.91,2.91,148800
1993-07-21,2.91,3.00,2.91,3.00,3.00,13600
1993-07-22,3.00,3.00,2.91,2.91,2.91,78400
1993-07-23,2.97,2.97,2.91,2.94,2.94,100800
1993-07-26,2.94,2.97,2.94,2.94,2.94,34400
1993-07-27,2.94,2.97,2.94,2.94,2.94,33600
1993-07-28,3.00,3.00,2.94,2.94,2.94,139200
1993-07-29,3.00,3.00,2.94,2.94,2.94,11200
1993-07-30,2.94,3.03,2.94,2.97,2.97,220000
1993-08-02,2.94,2.97,2.91,2.97,2.97,129600
1993-08-03,2.97,2.97,2.91,2.97,2.97,192000
1993-08-04,2.97,2.97,2.91,2.91,2.91,71200
1993-08-05,2.97,2.97,2.91,2.94,2.94,160800
1993-08-06,2.97,2.97,2.91,2.91,2.91,338400
1993-08-09,2.88,2.94,2.88,2.89,2.89,67200
1993-08-10,2.88,2.92,2.88,2.88,2.88,638400
1993-08-11,2.94,2.94,2.88,2.94,2.94,16800
1993-08-12,2.88,2.97,2.88,2.97,2.97,301600
1993-08-13,2.91,3.00,2.91,3.00,3.00,52000
1993-08-16,3.00,3.00,2.91,2.94,2.94,320800
1993-08-17,3.00,3.00,2.91,3.00,3.00,72800
1993-08-18,2.91,3.00,2.91,2.95,2.95,40800
1993-08-19,2.91,3.00,2.91,2.91,2.91,19200
1993-08-20,3.00,3.00,2.91,2.91,2.91,34400
1993-08-23,2.91,2.92,2.91,2.91,2.91,412000
1993-08-24,2.91,2.97,2.91,2.97,2.97,554400
1993-08-25,2.97,2.97,2.91,2.92,2.92,159200
1993-08-26,2.91,2.97,2.91,2.97,2.97,35200
1993-08-27,2.97,2.97,2.97,2.97,2.97,3200
1993-08-30,2.91,2.97,2.88,2.88,2.88,187200
