Date,Open,High,Low,Close,Adj Close,Volume
1985-10-02,0.00,2.83,2.79,2.79,0.91,4849200
1985-10-03,0.00,2.88,2.83,2.83,0.92,1974000
1985-10-04,0.00,2.88,2.83,2.83,0.92,694800
1985-10-07,0.00,2.83,2.79,2.79,0.91,337200
1985-10-08,0.00,2.83,2.79,2.79,0.91,436200
1985-10-09,0.00,2.79,2.75,2.75,0.89,460200
1985-10-10,0.00,2.75,2.71,2.71,0.88,655800
1985-10-11,0.00,2.75,2.71,2.71,0.88,108000
1985-10-14,0.00,2.83,2.75,2.75,0.89,61200
1985-10-15,0.00,2.88,2.75,2.79,0.91,245400
1985-10-16,0.00,2.88,2.79,2.83,0.92,135600
1985-10-17,0.00,2.88,2.79,2.85,0.93,246000
1985-10-18,0.00,2.85,2.79,2.83,0.92,657000
1985-10-21,0.00,2.83,2.75,2.83,0.92,25200
1985-10-22,0.00,2.88,2.75,2.79,0.91,63000
1985-10-23,0.00,2.88,2.81,2.88,0.93,1095600
1985-10-24,0.00,2.83,2.79,2.79,0.91,203400
1985-10-25,0.00,2.83,2.79,2.79,0.91,300000
1985-10-28,0.00,2.88,2.79,2.81,0.91,60000
1985-10-29,0.00,2.88,2.79,2.88,0.93,38400
1985-10-30,0.00,2.88,2.79,2.83,0.92,129000
1985-10-31,0.00,2.88,2.79,2.83,0.92,135000
1985-11-01,0.00,2.88,2.79,2.79,0.91,82200
1985-11-04,0.00,2.83,2.79,2.81,0.91,177000
1985-11-05,0.00,2.83,2.79,2.83,0.92,239400
1985-11-06,0.00,2.83,2.79,2.79,0.91,184800
1985-11-07,0.00,2.83,2.79,2.79,0.91,94800
1985-11-08,0.00,2.83,2.79,2.83,0.92,12000
1985-11-11,0.00,2.92,2.81,2.92,0.95,112200
1985-11-12,0.00,2.96,2.83,2.88,0.93,671400
1985-11-13,0.00,2.96,2.88,2.96,0.96,241200
1985-11-14,0.00,3.00,2.92,3.00,0.97,297000
1985-11-15,0.00,3.00,2.92,3.00,0.97,27600
1985-11-18,0.00,3.04,2.96,3.00,0.97,216600
1985-11-19,0.00,3.21,3.00,3.12,1.01,719400
1985-11-20,0.00,3.21,3.12,3.17,1.03,510000
1985-11-21,0.00,3.38,3.17,3.33,1.08,799800
1985-11-22,0.00,3.33,3.25,3.29,1.07,156000
1985-11-25,0.00,3.29,3.17,3.25,1.06,412800
1985-11-26,0.00,3.25,3.17,3.17,1.03,36600
1985-11-27,0.00,3.25,3.17,3.17,1.03,146400
1985-11-29,0.00,3.25,3.17,3.25,1.06,205800
1985-12-02,0.00,3.25,3.17,3.25,1.06,177600
1985-12-03,0.00,3.25,3.17,3.25,1.06,54600
1985-12-04,0.00,3.29,3.21,3.25,1.06,311400
1985-12-05,0.00,3.29,3.21,3.29,1.07,154800
1985-12-06,0.00,3.29,3.21,3.27,1.06,112800
1985-12-09,0.00,3.29,3.23,3.27,1.06,48600
1985-12-10,0.00,3.29,3.25,3.25,1.06,35400
1985-12-11,0.00,3.33,3.25,3.33,1.08,628200
1985-12-12,0.00,3.38,3.25,3.29,1.07,418200
1985-12-13,0.00,3.38,3.29,3.29,1.07,192000
1985-12-16,0.00,3.38,3.29,3.38,1.10,68400
1985-12-17,0.00,3.33,3.25,3.25,1.06,360600
1985-12-18,0.00,3.33,3.25,3.25,1.06,533400
1985-12-19,0.00,3.33,3.27,3.29,1.07,48000
1985-12-20,0.00,3.29,3.25,3.29,1.07,21000
1985-12-23,0.00,3.29,3.25,3.29,1.07,115800
1985-12-24,0.00,3.29,3.25,3.25,1.06,31800
1985-12-26,0.00,3.29,3.25,3.29,1.07,117600
1985-12-27,0.00,3.29,3.25,3.29,1.07,96600
1985-12-30,0.00,3.29,3.25,3.25,1.06,23400
1985-12-31,0.00,3.29,3.21,3.25,1.06,137400
1986-01-02,0.00,3.25,3.21,3.23,1.05,155400
1986-01-03,0.00,3.33,3.21,3.29,1.07,631800
1986-01-06,0.00,3.38,3.25,3.33,1.08,880800
1986-01-07,0.00,3.46,3.29,3.46,1.12,362400
1986-01-08,0.00,3.54,3.38,3.46,1.12,467400
1986-01-09,0.00,3.54,3.46,3.50,1.17,204600
1986-01-10,0.00,3.54,3.50,3.54,1.18,318600
1986-01-13,0.00,3.54,3.50,3.54,1.18,189600
1986-01-14,0.00,3.67,3.50,3.62,1.21,781800
1986-01-15,0.00,3.67,3.58,3.67,1.23,129600
1986-01-16,0.00,3.75,3.58,3.75,1.25,419400
1986-01-17,0.00,3.79,3.67,3.75,1.25,107400
1986-01-20,0.00,3.75,3.65,3.71,1.24,88800
1986-01-21,0.00,3.71,3.54,3.54,1.18,429000
1986-01-22,0.00,3.60,3.50,3.50,1.17,312600
1986-01-23,0.00,3.54,3.50,3.54,1.18,207000
1986-01-24,0.00,3.62,3.50,3.58,1.20,211200
1986-01-27,0.00,3.67,3.54,3.58,1.20,252000
1986-01-28,0.00,3.62,3.54,3.54,1.18,20400
1986-01-29,0.00,3.92,3.62,3.83,1.28,744000
1986-01-30,0.00,3.79,3.71,3.75,1.25,127800
1986-01-31,0.00,3.75,3.67,3.71,1.24,189000
1986-02-03,0.00,3.79,3.62,3.79,1.27,477000
1986-02-04,0.00,3.83,3.71,3.79,1.27,200400
1986-02-05,0.00,3.79,3.71,3.75,1.25,24000
1986-02-06,0.00,3.75,3.67,3.67,1.23,226800
1986-02-07,0.00,3.75,3.71,3.71,1.24,255000
1986-02-10,0.00,3.83,3.71,3.75,1.25,466800
1986-02-11,0.00,3.83,3.75,3.83,1.28,411600
1986-02-12,0.00,3.88,3.83,3.88,1.30,23400
1986-02-13,0.00,3.88,3.79,3.88,1.30,208800
1986-02-14,0.00,3.88,3.79,3.79,1.27,125400
1986-02-18,0.00,4.00,3.79,4.00,1.34,192600
1986-02-19,0.00,4.08,3.83,3.92,1.31,209400
1986-02-20,0.00,3.96,3.83,3.92,1.31,655800
1986-02-21,0.00,4.00,3.88,3.92,1.31,360000
1986-02-24,0.00,4.04,3.83,3.96,1.32,216600
1986-02-25,0.00,4.21,3.98,4.21,1.41,659400
1986-02-26,0.00,4.25,4.12,4.17,1.39,72600
1986-02-27,0.00,4.21,4.12,4.17,1.39,90000
1986-02-28,0.00,4.21,4.04,4.04,1.35,78600
1986-03-03,0.00,4.12,4.00,4.00,1.34,72600
1986-03-04,0.00,4.04,3.96,3.96,1.32,94800
1986-03-05,0.00,3.96,3.79,3.88,1.30,165600
1986-03-06,0.00,3.88,3.83,3.83,1.28,82200
1986-03-07,0.00,3.92,3.88,3.88,1.30,103800
1986-03-10,0.00,3.92,3.83,3.83,1.28,110400
1986-03-11,0.00,3.92,3.77,3.92,1.31,925200
1986-03-12,0.00,3.96,3.88,3.92,1.31,473400
1986-03-13,0.00,3.96,3.88,3.92,1.31,114600
1986-03-14,0.00,3.96,3.88,3.96,1.32,239400
1986-03-17,0.00,3.96,3.88,3.96,1.32,91200
1986-03-18,0.00,3.96,3.88,3.96,1.32,195600
1986-03-19,0.00,3.96,3.88,3.96,1.32,33600
1986-03-20,0.00,4.00,3.88,4.00,1.34,238200
1986-03-21,0.00,4.08,3.96,4.08,1.37,208800
1986-03-24,0.00,4.17,4.00,4.12,1.38,172800
1986-03-25,0.00,4.17,4.12,4.12,1.38,90000
1986-03-26,0.00,4.17,4.08,4.08,1.37,134400
1986-03-27,0.00,4.17,4.08,4.17,1.39,399000
1986-03-31,0.00,4.17,4.00,4.08,1.37,102600
1986-04-01,0.00,4.08,4.00,4.02,1.34,424200
1986-04-02,0.00,4.08,4.00,4.02,1.34,171600
1986-04-03,0.00,4.08,3.96,3.96,1.32,88800
1986-04-04,0.00,4.00,3.96,4.00,1.34,57600
1986-04-07,0.00,4.00,3.83,3.92,1.31,57000
1986-04-08,0.00,3.92,3.88,3.88,1.30,25800
1986-04-09,0.00,3.92,3.85,3.85,1.29,75000
1986-04-10,0.00,3.88,3.75,3.83,1.28,115800
1986-04-11,0.00,3.83,3.71,3.79,1.27,996000
1986-04-14,0.00,3.88,3.79,3.83,1.28,93600
1986-04-15,0.00,3.92,3.83,3.92,1.31,388800
1986-04-16,0.00,3.96,3.88,3.92,1.31,471000
1986-04-17,0.00,4.04,3.92,4.00,1.34,440400
1986-04-18,0.00,4.12,4.00,4.12,1.38,291000
1986-04-21,0.00,4.33,4.08,4.25,1.42,292800
1986-04-22,0.00,4.33,4.21,4.29,1.43,175800
1986-04-23,0.00,4.25,4.12,4.17,1.39,102600
