Date,Open,High,Low,Close,Adj Close,Volume
1996-10-23,17.00,17.62,17.00,17.44,12.51,7996800
1996-10-24,17.44,17.44,17.00,17.00,12.19,1786400
1996-10-25,17.00,17.38,17.00,17.19,12.33,631200
1996-10-28,17.50,17.50,17.00,17.00,12.19,320000
1996-10-29,17.00,17.06,17.00,17.00,12.19,498800
1996-10-30,17.06,17.06,17.00,17.00,12.19,705600
1996-10-31,17.00,17.25,17.00,17.19,12.33,635200
1996-11-01,17.06,17.12,17.06,17.06,12.24,512600
1996-11-04,17.06,17.06,16.38,16.44,11.79,494600
1996-11-05,16.62,16.62,16.00,16.19,11.61,714600
1996-11-06,16.19,16.25,15.50,15.94,11.43,529400
1996-11-07,15.69,15.75,15.12,15.44,11.07,297400
1996-11-08,15.25,15.31,14.31,14.44,10.36,527000
1996-11-11,14.31,14.81,14.00,14.75,10.58,395400
1996-11-12,14.88,15.19,14.62,14.75,10.58,454400
1996-11-13,14.75,14.75,14.44,14.50,10.40,713200
1996-11-14,14.44,14.44,13.88,13.88,9.95,46000
1996-11-15,13.88,13.88,13.38,13.50,9.68,368400
1996-11-18,13.50,13.50,13.19,13.19,9.46,122800
1996-11-19,13.31,13.50,13.19,13.38,9.59,277000
1996-11-20,13.38,13.38,12.50,12.56,9.01,646400
1996-11-21,12.50,12.50,12.00,12.00,8.61,113000
1996-11-22,12.06,12.62,12.00,12.38,8.88,107400
1996-11-25,12.31,12.38,11.88,11.88,8.52,53200
1996-11-26,11.94,12.12,11.88,12.00,8.61,595200
1996-11-27,12.00,12.00,11.75,11.75,8.43,239400
1996-11-29,11.75,11.75,11.56,11.56,8.29,121000
1996-12-02,11.50,11.50,11.00,11.00,7.89,193400
1996-12-03,11.00,11.00,10.75,10.75,7.71,126000
1996-12-04,10.69,11.62,10.69,11.62,8.34,535400
1996-12-05,11.62,12.00,11.62,11.81,8.47,168000
1996-12-06,11.69,11.69,11.56,11.69,8.38,40800
1996-12-09,11.69,11.81,11.50,11.50,8.25,37800
1996-12-10,11.50,11.50,11.44,11.50,8.25,279600
1996-12-11,11.44,11.56,11.25,11.50,8.25,812800
1996-12-12,11.62,12.00,11.62,12.00,8.61,484200
1996-12-13,11.88,11.88,11.69,11.81,8.47,367600
1996-12-16,11.88,11.88,11.75,11.75,8.43,20400
