Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,1.27,1.25,1.25,0.38,84645
1980-03-18,0.00,1.22,1.20,1.20,0.37,240570
1980-03-19,0.00,1.21,1.18,1.18,0.36,142560
1980-03-20,0.00,1.12,1.10,1.10,0.34,267300
1980-03-21,0.00,1.13,1.11,1.11,0.34,115830
1980-03-24,0.00,1.11,1.09,1.09,0.33,294030
1980-03-25,0.00,1.13,1.11,1.11,0.34,169290
1980-03-26,0.00,1.13,1.11,1.11,0.34,53460
1980-03-27,0.00,1.10,1.08,1.08,0.33,703890
1980-03-28,0.00,1.13,1.11,1.11,0.34,133650
1980-03-31,0.00,1.13,1.11,1.11,0.34,93555
1980-04-01,0.00,1.13,1.11,1.11,0.34,44550
1980-04-02,0.00,1.12,1.09,1.09,0.33,173745
1980-04-03,0.00,1.12,1.09,1.09,0.33,102465
1980-04-07,0.00,1.12,1.09,1.09,0.33,841995
1980-04-08,0.00,1.11,1.09,1.09,0.33,855360
1980-04-09,0.00,1.14,1.12,1.12,0.34,2713095
1980-04-10,0.00,1.13,1.11,1.11,0.34,35640
1980-04-11,0.00,1.13,1.11,1.11,0.34,142560
1980-04-14,0.00,1.12,1.10,1.10,0.34,57915
1980-04-15,0.00,1.12,1.10,1.10,0.34,31185
1980-04-16,0.00,1.12,1.09,1.09,0.33,490050
1980-04-17,0.00,1.09,1.07,1.07,0.33,93555
1980-04-18,0.00,1.08,1.06,1.06,0.32,155925
1980-04-21,0.00,1.08,1.06,1.06,0.32,40095
1980-04-22,0.00,1.09,1.07,1.07,0.33,89100
1980-04-23,0.00,0.95,0.93,0.93,0.29,663795
1980-04-24,0.00,1.01,0.99,0.99,0.30,547965
1980-04-25,0.00,1.00,0.98,0.98,0.30,200475
1980-04-28,0.00,1.01,0.99,0.99,0.30,80190
1980-04-29,0.00,1.01,0.99,0.99,0.30,338580
1980-04-30,0.00,1.03,1.01,1.01,0.31,200475
1980-05-01,0.00,1.03,1.00,1.00,0.31,1073655
1980-05-02,0.00,1.02,1.00,1.00,0.31,628155
1980-05-05,0.00,1.03,1.00,1.00,0.31,414315
1980-05-06,0.00,1.04,1.02,1.02,0.31,227205
1980-05-07,0.00,1.08,1.05,1.05,0.32,151470
1980-05-08,0.00,1.09,1.07,1.07,0.33,124740
1980-05-09,0.00,1.11,1.08,1.08,0.33,115830
1980-05-12,0.00,1.09,1.07,1.07,0.33,138105
1980-05-13,0.00,1.06,1.04,1.04,0.32,436590
1980-05-14,0.00,1.09,1.07,1.07,0.33,169290
1980-05-15,0.00,1.11,1.08,1.08,0.33,111375
1980-05-16,0.00,1.12,1.10,1.10,0.34,53460
1980-05-19,0.00,1.12,1.09,1.09,0.33,169290
1980-05-20,0.00,1.12,1.09,1.09,0.33,227205
1980-05-21,0.00,1.12,1.09,1.09,0.33,151470
1980-05-22,0.00,1.20,1.18,1.18,0.36,472230
1980-05-23,0.00,1.23,1.21,1.21,0.37,142560
1980-05-27,0.00,1.22,1.20,1.20,0.37,160380
