Date,Open,High,Low,Close,Adj Close,Volume
2019-04-18,23.75,25.18,23.05,24.40,24.40,87109500
2019-04-22,24.62,25.68,23.57,24.99,24.99,19746800
2019-04-23,25.38,27.75,25.23,25.85,25.85,19245400
2019-04-24,26.50,27.03,25.93,26.80,26.80,9477200
2019-04-25,27.45,29.40,26.67,28.80,28.80,16648300
2019-04-26,29.84,30.68,28.37,29.85,29.85,16825600
2019-04-29,30.77,34.41,29.86,34.26,34.26,25616700
2019-04-30,35.20,35.29,30.53,30.98,30.98,35885700
2019-05-01,31.50,32.89,30.50,31.23,31.23,13981300
2019-05-02,31.62,31.68,28.86,29.74,29.74,14052400
2019-05-03,29.55,30.55,28.12,28.36,28.36,10611000
2019-05-06,27.67,30.00,26.90,29.50,29.50,9930600
2019-05-07,29.67,29.75,28.16,28.69,28.69,6310900
2019-05-08,28.46,30.20,28.37,29.51,29.51,7115900
2019-05-09,29.09,29.26,28.42,28.75,28.75,4507200
2019-05-10,29.08,29.45,27.66,29.05,29.05,5709000
2019-05-13,27.80,28.00,26.39,26.63,26.63,9111300
2019-05-14,27.41,29.02,27.02,28.99,28.99,7075100
2019-05-15,28.95,29.10,28.13,28.63,28.63,4492800
2019-05-16,28.85,31.15,28.45,30.86,30.86,17612000
2019-05-17,25.87,28.12,25.70,26.70,26.70,26271800
2019-05-20,27.24,27.24,25.71,25.85,25.85,7269200
2019-05-21,26.30,26.55,25.30,25.41,25.41,6481700
2019-05-22,25.30,25.34,24.10,24.60,24.60,7955700
2019-05-23,24.15,24.33,23.60,23.80,23.80,4718200
2019-05-24,24.00,25.99,23.89,25.50,25.50,7738300
2019-05-28,25.65,26.38,25.41,25.80,25.80,4550900
2019-05-29,25.42,25.78,24.95,25.58,25.58,2537700
2019-05-30,25.54,25.89,25.13,25.51,25.51,1982200
2019-05-31,24.99,25.63,24.75,24.92,24.92,2618000
2019-06-03,24.98,25.14,24.23,24.40,24.40,3691300
2019-06-04,24.86,24.95,24.07,24.20,24.20,3687100
2019-06-05,24.52,25.07,23.91,24.94,24.94,2703200
2019-06-06,24.94,25.97,24.91,25.81,25.81,3573700
2019-06-07,26.00,27.74,25.97,27.61,27.61,6580200
2019-06-10,27.84,28.95,27.07,27.94,27.94,5750900
2019-06-11,28.18,28.19,26.17,26.48,26.48,4269000
2019-06-12,26.23,27.50,26.21,27.05,27.05,3160100
2019-06-13,27.29,27.36,26.67,26.95,26.95,1629500
2019-06-14,26.90,27.96,26.50,27.41,27.41,2630300
2019-06-17,27.66,28.73,27.33,27.85,27.85,4439500
2019-06-18,29.46,29.81,28.22,28.80,28.80,8769900
2019-06-19,29.00,29.10,27.56,28.09,28.09,3978800
2019-06-20,28.84,29.08,27.44,27.54,27.54,3975900
2019-06-21,27.32,27.98,27.22,27.98,27.98,5794600
2019-06-24,27.98,28.11,26.57,26.69,26.69,3242900
2019-06-25,26.55,27.09,25.82,26.14,26.14,2658700
2019-06-26,26.37,26.69,25.86,26.23,26.23,1960000
2019-06-27,26.33,27.37,26.30,27.23,27.23,2281800
2019-06-28,27.37,27.65,26.60,27.22,27.22,2714500
2019-07-01,27.60,28.05,26.44,26.68,26.68,3739800
2019-07-02,26.80,27.16,26.41,26.91,26.91,2749000
2019-07-03,26.94,27.69,26.94,27.47,27.47,2329600
2019-07-05,27.47,27.50,26.82,27.25,27.25,1870500
2019-07-08,27.20,27.85,26.66,26.77,26.77,2410700
2019-07-09,26.77,27.07,26.51,26.72,26.72,1793000
2019-07-10,26.96,27.37,26.30,26.58,26.58,2727400
2019-07-11,26.71,26.72,25.87,26.10,26.10,2843900
2019-07-12,26.23,26.75,26.13,26.41,26.41,1576400
2019-07-15,26.58,26.89,26.39,26.67,26.67,1633300
2019-07-16,26.66,26.99,26.30,26.51,26.51,1370400
2019-07-17,26.60,26.71,25.87,25.91,25.91,1815100
2019-07-18,25.72,25.85,25.32,25.78,25.78,1291500
2019-07-19,25.85,26.18,25.51,25.56,25.56,1563700
2019-07-22,25.63,26.47,25.45,26.22,26.22,2757500
2019-07-23,26.52,26.85,26.11,26.78,26.78,2391700
2019-07-24,26.93,28.00,26.85,27.82,27.82,4305300
2019-07-25,27.92,27.97,27.23,27.59,27.59,2253100
2019-07-26,27.98,28.40,27.30,27.64,27.64,2727900
2019-07-29,27.80,28.32,27.18,27.86,27.86,3178800
2019-07-30,27.61,29.00,27.32,28.62,28.62,3728900
2019-07-31,28.59,29.59,28.43,28.99,28.99,4222100
2019-08-01,28.99,29.14,27.91,28.30,28.30,8030300
2019-08-02,32.53,35.21,32.28,33.57,33.57,39770800
2019-08-05,32.90,33.75,32.15,33.72,33.72,9992200
2019-08-06,34.12,34.43,32.01,32.68,32.68,6060600
2019-08-07,32.25,32.68,31.52,32.10,32.10,3776400
2019-08-08,32.10,33.62,31.67,33.39,33.39,3784700
2019-08-09,33.30,34.10,32.81,33.43,33.43,2641700
2019-08-12,33.47,36.10,32.93,33.62,33.62,8901700
2019-08-13,33.46,34.84,33.40,34.42,34.42,3765000
2019-08-14,33.39,33.88,32.14,32.23,32.23,3896900
2019-08-15,33.07,33.20,31.53,32.01,32.01,4178900
2019-08-16,32.63,32.77,32.00,32.22,32.22,2534000
2019-08-19,32.88,34.18,32.58,33.33,33.33,3403900
2019-08-20,33.26,35.05,32.85,34.36,34.36,4895900
2019-08-21,35.13,36.75,35.13,36.56,36.56,8902700
2019-08-22,36.68,36.83,35.02,35.43,35.43,6010800
2019-08-23,34.93,36.25,34.00,34.50,34.50,5000800
2019-08-26,34.88,35.38,34.46,35.38,35.38,2522700
2019-08-27,35.54,36.14,33.28,33.86,33.86,4481900
