Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.92,0.92,0.92,0.92,0.51,59200
1973-02-22,0.93,0.93,0.93,0.93,0.51,49600
1973-02-23,0.89,0.89,0.89,0.89,0.49,92800
1973-02-26,0.92,0.92,0.92,0.92,0.51,73600
1973-02-27,0.88,0.88,0.88,0.88,0.48,131200
1973-02-28,0.91,0.91,0.91,0.91,0.50,57600
1973-03-01,0.88,0.88,0.88,0.88,0.48,68800
1973-03-02,0.88,0.88,0.88,0.88,0.49,182400
1973-03-05,0.88,0.88,0.88,0.88,0.48,44800
1973-03-06,0.89,0.89,0.89,0.89,0.49,41600
1973-03-07,0.98,0.98,0.98,0.98,0.54,148800
1973-03-08,0.98,0.98,0.98,0.98,0.54,35200
1973-03-09,0.96,0.96,0.96,0.96,0.53,59200
1973-03-12,0.94,0.94,0.94,0.94,0.52,38400
1973-03-13,0.97,0.97,0.97,0.97,0.53,134400
1973-03-14,0.95,0.95,0.95,0.95,0.52,51200
1973-03-15,0.93,0.93,0.93,0.93,0.51,41600
1973-03-16,0.94,0.94,0.94,0.94,0.52,54400
1973-03-19,0.93,0.93,0.93,0.93,0.51,46400
1973-03-20,0.92,0.92,0.92,0.92,0.51,14400
1973-03-21,0.90,0.90,0.90,0.90,0.49,62400
1973-03-22,0.88,0.88,0.88,0.88,0.49,112000
1973-03-23,0.94,0.94,0.94,0.94,0.52,97600
1973-03-26,0.95,0.95,0.95,0.95,0.52,139200
1973-03-27,0.97,0.97,0.97,0.97,0.53,67200
1973-03-28,0.97,0.97,0.97,0.97,0.53,91200
1973-03-29,0.97,0.97,0.97,0.97,0.53,51200
1973-03-30,0.96,0.96,0.96,0.96,0.53,48000
1973-04-02,0.95,0.95,0.95,0.95,0.52,40000
1973-04-03,0.92,0.92,0.92,0.92,0.51,67200
1973-04-04,0.91,0.91,0.91,0.91,0.50,46400
1973-04-05,0.88,0.88,0.88,0.88,0.49,20800
1973-04-06,0.89,0.89,0.89,0.89,0.49,134400
1973-04-09,0.90,0.90,0.90,0.90,0.49,96000
1973-04-10,0.94,0.94,0.94,0.94,0.52,145600
1973-04-11,0.90,0.90,0.90,0.90,0.49,137600
1973-04-12,0.94,0.94,0.94,0.94,0.52,145600
1973-04-13,0.98,0.98,0.98,0.98,0.54,92800
1973-04-16,1.00,1.00,1.00,1.00,0.55,112000
1973-04-17,0.97,0.97,0.97,0.97,0.53,120000
1973-04-18,0.95,0.95,0.95,0.95,0.52,116800
1973-04-19,0.94,0.94,0.94,0.94,0.52,73600
1973-04-23,0.94,0.94,0.94,0.94,0.52,99200
1973-04-24,0.85,0.85,0.85,0.85,0.47,171200
1973-04-25,0.78,0.78,0.78,0.78,0.43,136000
1973-04-26,0.80,0.80,0.80,0.80,0.44,96000
1973-04-27,0.79,0.79,0.79,0.79,0.43,84800
1973-04-30,0.79,0.79,0.79,0.79,0.43,161600
1973-05-01,0.80,0.80,0.80,0.80,0.44,86400
1973-05-02,0.89,0.89,0.89,0.89,0.49,184000
1973-05-03,0.00,0.91,0.84,0.91,0.50,142400
1973-05-04,0.00,0.91,0.88,0.88,0.48,153600
1973-05-07,0.00,0.89,0.87,0.88,0.49,38400
1973-05-08,0.00,0.89,0.87,0.88,0.48,80000
1973-05-09,0.00,0.90,0.88,0.89,0.49,57600
1973-05-10,0.00,0.88,0.86,0.86,0.47,80000
1973-05-11,0.00,0.91,0.86,0.88,0.49,182400
1973-05-14,0.00,0.88,0.85,0.85,0.47,65600
1973-05-15,0.00,0.86,0.82,0.84,0.46,112000
1973-05-16,0.00,0.87,0.84,0.84,0.46,115200
1973-05-17,0.00,0.85,0.81,0.84,0.46,136000
1973-05-18,0.00,0.83,0.76,0.76,0.42,86400
1973-05-21,0.00,0.76,0.62,0.63,0.35,336000
1973-05-22,0.00,0.69,0.65,0.65,0.36,318400
1973-05-23,0.00,0.67,0.63,0.65,0.36,118400
1973-05-24,0.00,0.69,0.64,0.68,0.37,150400
1973-05-25,0.00,0.74,0.70,0.74,0.41,179200
1973-05-29,0.00,0.76,0.75,0.75,0.41,147200
1973-05-30,0.00,0.76,0.71,0.71,0.39,126400
1973-05-31,0.00,0.70,0.69,0.70,0.38,60800
1973-06-01,0.00,0.70,0.66,0.68,0.37,60800
1973-06-04,0.00,0.64,0.61,0.63,0.35,233600
1973-06-05,0.00,0.66,0.63,0.65,0.36,91200
1973-06-06,0.00,0.67,0.65,0.66,0.36,36800
1973-06-07,0.00,0.66,0.63,0.63,0.35,59200
1973-06-08,0.00,0.72,0.65,0.71,0.39,80000
1973-06-11,0.00,0.72,0.70,0.70,0.38,54400
1973-06-12,0.00,0.73,0.70,0.73,0.40,54400
1973-06-13,0.00,0.78,0.74,0.75,0.41,120000
1973-06-14,0.00,0.76,0.71,0.73,0.40,118400
1973-06-15,0.00,0.71,0.69,0.71,0.39,35200
1973-06-18,0.00,0.71,0.69,0.69,0.38,33600
1973-06-19,0.00,0.71,0.70,0.70,0.38,43200
1973-06-20,0.00,0.71,0.70,0.71,0.39,48000
1973-06-21,0.00,0.72,0.70,0.70,0.38,17600
1973-06-22,0.00,0.71,0.63,0.64,0.35,169600
1973-06-25,0.00,0.64,0.57,0.57,0.31,185600
1973-06-26,0.00,0.62,0.57,0.62,0.34,158400
1973-06-27,0.00,0.64,0.63,0.63,0.35,80000
1973-06-28,0.00,0.69,0.64,0.69,0.38,89600
1973-06-29,0.00,0.73,0.70,0.72,0.40,91200
1973-07-02,0.00,0.72,0.67,0.67,0.37,110400
1973-07-03,0.00,0.67,0.65,0.67,0.37,80000
1973-07-05,0.00,0.67,0.64,0.65,0.36,35200
1973-07-06,0.00,0.67,0.65,0.67,0.37,68800
1973-07-09,0.00,0.72,0.66,0.72,0.40,73600
1973-07-10,0.00,0.83,0.74,0.80,0.44,211200
1973-07-11,0.00,0.84,0.82,0.82,0.45,147200
1973-07-12,0.00,0.83,0.80,0.80,0.44,96000
1973-07-13,0.00,0.81,0.78,0.80,0.44,80000
1973-07-16,0.00,0.83,0.79,0.83,0.46,96000
1973-07-17,0.00,0.84,0.82,0.83,0.46,107200
1973-07-18,0.00,0.84,0.81,0.82,0.45,67200
1973-07-19,0.00,0.87,0.80,0.81,0.45,230400
1973-07-20,0.00,0.89,0.81,0.88,0.49,227200
1973-07-23,0.00,0.95,0.90,0.94,0.52,283200
1973-07-24,0.00,0.94,0.89,0.92,0.51,88000
1973-07-25,0.00,0.94,0.90,0.90,0.49,132800
1973-07-26,0.00,0.96,0.89,0.93,0.51,225600
1973-07-27,0.00,0.94,0.91,0.91,0.50,68800
1973-07-30,0.00,0.93,0.88,0.91,0.50,75200
1973-07-31,0.00,0.91,0.89,0.89,0.49,52800
