Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,14.50,16.18,13.75,16.00,14.07,16172700
2015-08-07,16.07,18.45,16.00,18.25,16.05,1844500
2015-08-10,19.50,20.68,18.43,18.68,16.42,1088300
2015-08-11,18.68,18.76,16.71,17.38,15.28,668600
2015-08-12,17.03,17.19,16.50,16.79,14.76,550500
2015-08-13,17.05,18.77,17.00,18.56,16.32,466900
2015-08-14,18.56,18.90,17.90,18.78,16.51,426100
2015-08-17,18.64,19.40,18.34,19.10,16.79,225500
2015-08-18,19.19,19.24,18.78,19.00,16.70,211800
2015-08-19,18.75,19.00,17.15,17.79,15.64,581400
2015-08-20,17.48,17.48,16.58,16.99,14.94,540100
2015-08-21,16.52,16.74,16.01,16.24,14.28,513600
2015-08-24,14.75,15.50,13.65,15.05,13.23,653800
2015-08-25,16.86,16.86,15.01,15.27,13.43,302800
2015-08-26,15.84,16.25,15.45,15.90,13.98,258200
2015-08-27,16.30,16.50,15.84,16.05,14.11,252700
2015-08-28,15.95,16.83,15.94,16.78,14.75,202500
2015-08-31,17.75,17.85,17.45,17.81,15.66,450500
2015-09-01,16.71,19.20,16.71,18.24,16.04,689500
2015-09-02,18.94,19.00,17.79,18.50,16.26,566700
2015-09-03,19.00,19.65,18.07,18.60,16.35,902700
2015-09-04,18.41,18.75,17.75,18.59,16.34,227500
2015-09-08,18.74,18.98,18.20,18.38,16.16,487100
2015-09-09,18.50,18.62,17.14,17.73,15.59,409700
2015-09-10,17.88,18.25,17.50,17.64,15.51,371200
2015-09-11,17.34,17.80,17.29,17.71,15.57,218900
2015-09-14,17.71,17.99,17.00,17.60,15.47,348100
2015-09-15,17.70,17.94,17.38,17.60,15.47,455100
2015-09-16,17.36,18.09,17.31,18.05,15.87,757100
2015-09-17,18.06,18.95,17.73,18.38,16.16,722900
2015-09-18,17.94,18.85,17.59,17.83,15.68,1026200
2015-09-21,17.97,18.75,17.51,17.88,15.72,360100
2015-09-22,17.70,18.08,17.21,17.37,15.27,372100
2015-09-23,17.43,18.38,17.40,17.65,15.52,307200
2015-09-24,17.50,18.27,17.47,17.72,15.58,348400
2015-09-25,18.04,18.29,17.50,18.10,15.91,758200
2015-09-28,18.01,18.40,17.46,17.50,15.39,445400
2015-09-29,17.53,18.28,17.27,17.50,15.39,457300
2015-09-30,17.67,18.01,17.06,17.14,15.07,2433300
2015-10-01,17.25,17.31,15.98,16.19,14.23,404600
2015-10-02,16.12,16.36,15.51,15.94,14.01,180000
2015-10-05,16.12,16.65,15.86,16.28,14.31,354400
2015-10-06,16.21,16.68,16.03,16.40,14.42,282700
2015-10-07,16.39,16.45,15.74,16.11,14.16,320500
2015-10-08,16.03,16.83,15.86,16.60,14.59,336800
2015-10-09,16.60,16.68,16.44,16.53,14.53,144800
2015-10-12,16.50,16.60,15.91,15.93,14.01,111100
2015-10-13,15.93,16.72,15.93,16.55,14.55,279800
2015-10-14,16.52,16.93,16.45,16.75,14.73,135600
2015-10-15,16.78,17.16,16.78,17.13,15.06,237700
2015-10-16,17.10,17.32,16.94,17.04,14.98,118200
2015-10-19,16.94,17.06,16.86,16.91,14.87,76800
2015-10-20,16.81,16.89,16.72,16.75,14.73,94100
2015-10-21,16.82,16.93,15.96,16.37,14.39,242000
2015-10-22,16.43,16.84,16.43,16.77,14.74,277000
2015-10-23,16.86,17.01,16.75,16.84,14.81,174200
2015-10-26,16.77,16.83,16.00,16.57,14.57,207800
2015-10-27,16.49,16.58,16.17,16.35,14.37,281000
2015-10-28,16.41,16.94,16.35,16.88,14.84,227600
2015-10-29,16.88,16.97,16.60,16.89,14.85,152800
2015-10-30,16.87,16.91,16.21,16.34,14.37,111300
