Date,Open,High,Low,Close,Adj Close,Volume
2021-01-19,33.89,33.97,32.00,32.40,32.40,8899200
2021-01-20,33.04,33.20,31.60,32.00,32.00,3792600
2021-01-21,32.27,32.27,30.05,31.01,31.01,3894800
2021-01-22,30.06,31.11,30.00,30.24,30.24,3625200
2021-01-25,30.90,31.39,29.51,30.29,30.29,2914200
2021-01-26,30.29,31.00,29.93,30.86,30.86,5997800
2021-01-27,30.00,30.23,28.77,29.40,29.40,4441900
2021-01-28,29.25,29.95,29.01,29.18,29.18,3707200
2021-01-29,29.21,29.98,28.90,29.14,29.14,1604500
2021-02-01,29.10,29.18,28.82,29.00,29.00,1112800
2021-02-02,29.05,29.82,28.85,28.99,28.99,1138100
2021-02-03,29.00,29.49,28.51,29.43,29.43,1587700
2021-02-04,29.73,30.44,29.31,29.91,29.91,1135900
2021-02-05,29.89,31.15,29.79,31.00,31.00,1460600
2021-02-08,31.19,33.00,31.12,32.30,32.30,2039200
2021-02-09,32.62,34.50,32.40,34.28,34.28,3434900
2021-02-10,35.00,35.09,33.30,33.91,33.91,1888400
2021-02-11,34.40,34.50,32.45,33.70,33.70,1506700
2021-02-12,33.91,35.00,33.35,33.81,33.81,813300
2021-02-16,34.54,34.88,33.06,33.73,33.73,1366500
2021-02-17,33.57,33.68,31.39,32.78,32.78,2207700
2021-02-18,32.14,32.81,31.52,32.56,32.56,988300
2021-02-19,32.56,33.43,32.22,32.36,32.36,538300
2021-02-22,31.36,32.33,30.61,31.01,31.01,1708300
2021-02-23,29.00,31.84,28.86,31.50,31.50,2253800
2021-02-24,31.35,32.29,30.78,32.01,32.01,840700
2021-02-25,32.00,32.06,28.75,30.23,30.23,1899400
2021-02-26,30.65,31.75,29.60,29.75,29.75,1831900
2021-03-01,30.17,31.41,30.17,30.64,30.64,1130200
2021-03-02,30.95,31.49,29.70,29.99,29.99,2628500
2021-03-03,29.75,30.48,29.53,29.69,29.69,1294000
2021-03-04,29.49,29.97,28.14,28.81,28.81,1782400
2021-03-05,29.21,29.23,26.90,28.09,28.09,1448900
2021-03-08,28.01,28.17,26.20,26.35,26.35,1985500
2021-03-09,28.56,28.56,26.71,26.79,26.79,1401300
2021-03-10,27.53,27.99,26.32,26.59,26.59,1474700
2021-03-11,27.10,27.96,26.88,27.74,27.74,1142500
2021-03-12,27.37,27.55,25.80,26.10,26.10,1430900
2021-03-15,26.50,27.31,26.06,27.30,27.30,871200
2021-03-16,27.49,27.79,26.44,26.81,26.81,737700
2021-03-17,26.44,27.16,26.05,26.90,26.90,825100
2021-03-18,26.50,26.73,25.66,26.18,26.18,1311400
2021-03-19,26.38,26.60,25.68,25.79,25.79,4751800
2021-03-22,25.95,26.07,25.27,26.00,26.00,1299300
2021-03-23,25.99,26.25,25.67,25.96,25.96,770300
2021-03-24,26.10,26.19,25.36,25.45,25.45,849100
2021-03-25,25.18,25.60,24.41,25.16,25.16,2093200
2021-03-26,25.18,25.57,24.51,25.27,25.27,1368000
2021-03-29,24.97,25.86,24.92,25.48,25.48,694300
2021-03-30,25.48,26.91,25.17,26.82,26.82,801300
2021-03-31,27.00,27.92,26.94,27.21,27.21,1346700
2021-04-01,27.48,27.59,26.11,26.85,26.85,817600
2021-04-05,27.14,27.85,26.01,26.79,26.79,714700
2021-04-06,26.96,27.69,26.60,26.88,26.88,460000
2021-04-07,26.89,27.18,25.93,26.21,26.21,903400
2021-04-08,26.26,26.50,26.02,26.46,26.46,438100
2021-04-09,26.47,27.05,26.03,27.00,27.00,403000
2021-04-12,27.00,27.10,26.52,26.92,26.92,455300
2021-04-13,26.92,27.25,26.31,26.46,26.46,1007700
2021-04-14,26.52,26.89,25.61,25.92,25.92,1215700
2021-04-15,26.02,26.21,25.55,26.10,26.10,864100
2021-04-16,25.81,26.09,24.94,25.93,25.93,887600
2021-04-19,25.92,26.93,25.85,26.88,26.88,642900
2021-04-20,26.74,27.54,26.25,26.68,26.68,1203600
2021-04-21,26.68,27.43,26.49,27.42,27.42,889700
2021-04-22,27.41,28.36,27.31,27.80,27.80,1255600
2021-04-23,27.81,28.17,27.48,27.77,27.77,816300
2021-04-26,27.82,28.69,27.35,28.45,28.45,549000
2021-04-27,28.48,28.86,28.29,28.46,28.46,576800
2021-04-28,28.51,29.00,28.44,28.78,28.78,443700
2021-04-29,28.90,28.90,28.00,28.31,28.31,286700
2021-04-30,28.13,28.25,27.58,27.78,27.78,804900
2021-05-03,27.77,28.00,27.15,27.34,27.34,382100
2021-05-04,26.93,27.13,25.78,26.20,26.20,478300
2021-05-05,26.30,26.82,26.09,26.36,26.36,383900
2021-05-06,26.58,26.75,25.74,26.20,26.20,882600
2021-05-07,26.42,27.50,26.42,27.48,27.48,523000
2021-05-10,27.27,27.27,26.32,26.82,26.82,1577200
2021-05-11,26.00,26.35,25.01,25.89,25.89,1922100
2021-05-12,25.78,26.64,24.57,24.76,24.76,1762600
2021-05-13,24.96,25.27,23.13,23.87,23.87,1615500
2021-05-14,24.50,25.27,24.42,25.20,25.20,591400
