Date,Open,High,Low,Close,Adj Close,Volume
1995-10-13,0.92,0.99,0.92,0.92,0.71,6328631
1995-10-16,0.97,0.97,0.92,0.93,0.72,993263
1995-10-17,0.92,0.97,0.92,0.92,0.71,276792
1995-10-18,0.88,0.92,0.86,0.88,0.67,5322839
1995-10-19,0.89,0.90,0.88,0.89,0.68,1140202
1995-10-20,0.90,0.97,0.88,0.92,0.71,681159
1995-10-23,0.92,0.92,0.90,0.91,0.70,961369
1995-10-24,0.91,0.94,0.90,0.90,0.69,419175
1995-10-25,0.94,0.94,0.90,0.90,0.69,613955
1995-10-26,0.90,0.94,0.89,0.89,0.68,199336
1995-10-27,0.89,0.94,0.89,0.89,0.68,195919
1995-10-30,0.89,0.94,0.89,0.89,0.68,60370
1995-10-31,0.89,0.94,0.89,0.89,0.68,367917
1995-11-01,0.89,0.90,0.89,0.89,0.68,273375
1995-11-02,0.88,0.88,0.88,0.88,0.67,76317
1995-11-03,0.88,0.89,0.88,0.88,0.67,42145
1995-11-06,0.94,0.94,0.88,0.88,0.67,205031
1995-11-07,0.90,0.97,0.90,0.97,0.74,1636833
1995-11-08,0.97,0.97,0.90,0.92,0.71,267680
1995-11-09,0.93,0.97,0.90,0.90,0.69,92264
1995-11-10,0.97,0.97,0.90,0.90,0.69,117323
1995-11-13,0.97,0.97,0.90,0.93,0.72,332606
1995-11-14,0.97,0.99,0.90,0.94,0.72,1973995
1995-11-15,0.94,0.97,0.88,0.90,0.69,374752
1995-11-16,0.97,0.99,0.92,0.94,0.72,1128811
1995-11-17,0.97,0.97,0.94,0.94,0.72,686855
1995-11-20,0.94,0.94,0.88,0.88,0.67,424870
1995-11-21,0.94,0.94,0.88,0.94,0.72,34172
1995-11-22,0.94,0.94,0.88,0.94,0.72,31894
1995-11-24,0.88,0.88,0.88,0.88,0.67,31894
1995-11-27,0.94,0.94,0.88,0.94,0.72,56953
1995-11-28,0.94,0.94,0.88,0.94,0.72,34172
1995-11-29,0.92,0.92,0.88,0.92,0.71,324633
1995-11-30,0.92,0.92,0.88,0.89,0.68,118463
1995-12-01,0.88,0.92,0.88,0.88,0.67,101377
1995-12-04,0.92,0.92,0.88,0.88,0.67,74039
1995-12-05,0.88,0.92,0.88,0.88,0.67,115045
1995-12-06,0.94,0.94,0.88,0.92,0.71,537638
1995-12-07,0.88,0.92,0.88,0.92,0.71,105933
1995-12-08,0.88,0.92,0.88,0.88,0.67,71761
1995-12-11,0.90,0.92,0.88,0.89,0.68,168581
1995-12-12,0.89,0.92,0.89,0.92,0.71,185667
1995-12-13,0.92,0.92,0.88,0.92,0.71,242620
1995-12-14,0.90,0.92,0.90,0.90,0.69,75178
1995-12-15,0.92,0.92,0.89,0.92,0.71,117323
1995-12-18,0.92,0.92,0.90,0.92,0.71,192502
1995-12-19,0.88,0.92,0.88,0.88,0.67,249455
1995-12-20,0.92,0.92,0.88,0.88,0.67,148078
1995-12-21,0.92,0.92,0.88,0.92,0.71,1835030
1995-12-22,0.90,0.92,0.89,0.90,0.69,239203
1995-12-26,0.88,0.90,0.88,0.88,0.67,76317
1995-12-27,0.92,0.92,0.88,0.92,0.71,232369
1995-12-28,0.89,0.92,0.89,0.90,0.69,210727
1995-12-29,0.88,0.92,0.88,0.92,0.70,213005
