Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,1.75,1.68,1.69,0.58,164800
1980-03-18,0.00,1.69,1.63,1.66,0.57,188800
1980-03-19,0.00,1.69,1.66,1.68,0.58,84800
1980-03-20,0.00,1.69,1.65,1.69,0.58,328000
1980-03-21,0.00,1.68,1.66,1.66,0.57,249600
1980-03-24,0.00,1.68,1.64,1.68,0.58,142400
1980-03-25,0.00,1.69,1.66,1.66,0.57,249600
1980-03-26,0.00,1.69,1.65,1.66,0.57,228800
1980-03-27,0.00,1.66,1.64,1.65,0.57,268800
1980-03-28,0.00,1.67,1.65,1.66,0.57,132800
1980-03-31,0.00,1.80,1.67,1.80,0.62,363200
1980-04-01,0.00,1.80,1.75,1.77,0.61,276800
1980-04-02,0.00,1.77,1.71,1.71,0.59,86400
1980-04-03,0.00,1.73,1.70,1.72,0.59,156800
1980-04-07,0.00,1.72,1.69,1.70,0.58,195200
1980-04-08,0.00,1.72,1.69,1.71,0.59,414400
1980-04-09,0.00,1.71,1.68,1.69,0.58,432000
1980-04-10,0.00,1.70,1.68,1.69,0.58,544000
1980-04-11,0.00,1.73,1.70,1.73,0.60,372800
1980-04-14,0.00,1.75,1.73,1.73,0.60,107200
1980-04-15,0.00,1.75,1.73,1.73,0.59,110400
1980-04-16,0.00,1.75,1.73,1.73,0.60,316800
1980-04-17,0.00,1.75,1.73,1.73,0.60,108800
1980-04-18,0.00,1.75,1.73,1.74,0.60,96000
1980-04-21,0.00,1.74,1.73,1.73,0.60,128000
1980-04-22,0.00,1.77,1.73,1.77,0.61,99200
1980-04-23,0.00,1.80,1.77,1.77,0.61,123200
1980-04-24,0.00,1.81,1.78,1.79,0.61,152000
1980-04-25,0.00,1.81,1.77,1.80,0.62,67200
1980-04-28,0.00,1.80,1.77,1.78,0.61,361600
1980-04-29,0.00,1.84,1.79,1.81,0.62,164800
1980-04-30,0.00,1.84,1.80,1.84,0.63,152000
1980-05-01,0.00,1.87,1.82,1.86,0.64,312000
1980-05-02,0.00,1.95,1.88,1.95,0.67,476800
1980-05-05,0.00,1.93,1.91,1.93,0.66,828800
1980-05-06,0.00,1.91,1.88,1.88,0.65,216000
1980-05-07,0.00,1.91,1.87,1.89,0.65,209600
1980-05-08,0.00,1.91,1.90,1.90,0.65,158400
1980-05-09,0.00,1.90,1.87,1.87,0.64,129600
1980-05-12,0.00,1.88,1.87,1.87,0.64,190400
1980-05-13,0.00,1.88,1.86,1.88,0.64,70400
1980-05-14,0.00,1.88,1.86,1.88,0.64,129600
1980-05-15,0.00,1.88,1.81,1.86,0.64,240000
1980-05-16,0.00,1.84,1.77,1.77,0.61,120000
1980-05-19,0.00,1.79,1.77,1.79,0.61,148800
1980-05-20,0.00,1.84,1.79,1.84,0.63,158400
1980-05-21,0.00,1.87,1.82,1.84,0.63,532800
1980-05-22,0.00,1.83,1.80,1.83,0.63,571200
1980-05-23,0.00,1.83,1.80,1.83,0.63,224000
1980-05-27,0.00,1.87,1.81,1.83,0.63,316800
1980-05-28,0.00,1.87,1.84,1.87,0.64,542400
1980-05-29,0.00,1.88,1.85,1.85,0.64,187200
1980-05-30,0.00,1.89,1.84,1.89,0.65,227200
