Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,3.93,3.78,3.81,0.54,51535
1980-03-18,0.00,3.87,3.78,3.81,0.54,56259
1980-03-19,0.00,3.84,3.81,3.81,0.54,42946
1980-03-20,0.00,3.87,3.73,3.78,0.53,159330
1980-03-21,0.00,3.84,3.73,3.73,0.52,69573
1980-03-24,0.00,3.67,3.38,3.43,0.48,133562
1980-03-25,0.00,3.46,3.43,3.46,0.49,182091
1980-03-26,0.00,3.49,3.43,3.49,0.49,178226
1980-03-27,0.00,3.49,3.38,3.43,0.48,125832
1980-03-28,0.00,3.46,3.41,3.46,0.49,106936
1980-03-31,0.00,3.46,3.38,3.43,0.48,403264
1980-04-01,0.00,3.46,3.41,3.43,0.48,394245
1980-04-02,0.00,3.64,3.41,3.64,0.51,1295684
1980-04-03,0.00,3.70,3.64,3.64,0.51,222031
1980-04-07,0.00,3.73,3.64,3.70,0.52,136139
1980-04-08,0.00,3.81,3.67,3.78,0.53,143440
1980-04-09,0.00,4.05,3.84,4.02,0.56,380502
1980-04-10,0.00,4.19,4.07,4.19,0.59,133562
1980-04-11,0.00,4.37,4.10,4.28,0.60,215160
1980-04-14,0.00,4.25,4.13,4.16,0.58,89328
1980-04-15,0.00,4.16,4.07,4.10,0.58,75585
1980-04-16,0.00,4.28,4.13,4.22,0.59,312648
1980-04-17,0.00,4.28,4.19,4.22,0.59,112948
1980-04-18,0.00,4.34,4.22,4.31,0.60,82457
1980-04-21,0.00,4.37,4.31,4.34,0.61,82027
1980-04-22,0.00,4.40,4.31,4.34,0.61,84174
1980-04-23,0.00,4.51,4.40,4.45,0.63,140434
1980-04-24,0.00,4.48,4.40,4.45,0.63,130127
1980-04-25,0.00,4.45,4.40,4.42,0.62,69573
1980-04-28,0.00,4.45,4.37,4.45,0.63,52824
1980-04-29,0.00,4.45,4.34,4.40,0.62,57977
1980-04-30,0.00,4.40,4.31,4.40,0.62,62272
1980-05-01,0.00,4.40,4.31,4.34,0.61,39940
1980-05-02,0.00,4.40,4.31,4.37,0.61,36504
1980-05-05,0.00,4.42,4.34,4.42,0.62,53683
1980-05-06,0.00,4.45,4.37,4.42,0.62,66137
1980-05-07,0.00,4.48,4.42,4.45,0.63,85463
