Date,Open,High,Low,Close,Adj Close,Volume
1980-11-18,14.12,14.50,14.12,14.12,2.69,3200
1980-11-19,14.25,14.62,14.25,14.25,2.71,8000
1980-11-20,14.25,14.25,14.12,14.12,2.69,16600
1980-11-21,14.62,14.88,14.62,14.62,2.78,18700
1980-11-24,14.50,14.50,14.12,14.12,2.69,40900
1980-11-25,13.75,13.75,13.50,13.50,2.57,25800
1980-11-26,14.12,14.50,14.12,14.12,2.69,75000
1980-11-28,14.38,14.50,14.38,14.38,2.73,19300
1980-12-01,14.38,14.38,14.00,14.00,2.66,26200
1980-12-02,13.50,13.50,13.00,13.00,2.47,20000
1980-12-03,13.12,13.50,13.12,13.12,2.50,10500
1980-12-04,13.12,13.25,12.75,12.75,2.42,13700
1980-12-05,12.75,13.25,12.75,12.75,2.42,11000
1980-12-08,12.25,12.25,11.75,11.75,2.23,8700
1980-12-09,11.75,12.50,11.75,11.75,2.23,38700
1980-12-10,12.75,13.50,12.75,12.75,2.42,10800
1980-12-11,12.75,13.25,12.50,12.50,2.38,10800
1980-12-12,12.75,13.25,12.75,12.75,2.42,4500
1980-12-15,12.75,12.75,12.00,12.00,2.28,8000
1980-12-16,12.00,12.50,12.00,12.00,2.28,7500
1980-12-17,12.00,12.50,12.00,12.00,2.28,7000
1980-12-18,12.00,12.50,11.75,11.75,2.23,10600
1980-12-19,12.00,12.50,12.00,12.00,2.28,18700
1980-12-22,12.25,12.75,12.25,12.25,2.33,16800
1980-12-23,12.25,12.50,12.25,12.25,2.33,8600
1980-12-24,12.25,12.75,12.25,12.25,2.33,9200
1980-12-26,12.50,13.00,12.50,12.50,2.38,3900
1980-12-29,12.50,13.00,12.50,12.50,2.38,4400
1980-12-30,12.50,13.00,12.50,12.50,2.38,13400
1980-12-31,12.50,12.75,12.25,12.25,2.33,7800
1981-01-02,12.75,13.00,12.75,12.75,2.42,8000
1981-01-05,13.00,13.50,13.00,13.00,2.47,9400
1981-01-06,13.00,13.50,13.00,13.00,2.47,10200
1981-01-07,13.00,13.00,12.25,12.25,2.33,17100
1981-01-08,12.50,13.00,12.50,12.50,2.38,7800
1981-01-09,13.00,13.50,13.00,13.00,2.47,5600
1981-01-12,13.00,13.50,13.00,13.00,2.47,11400
1981-01-13,13.50,14.00,13.50,13.50,2.57,5000
1981-01-14,13.75,14.25,13.75,13.75,2.61,7100
1981-01-15,13.75,14.25,13.75,13.75,2.61,3300
1981-01-16,13.75,14.25,13.75,13.75,2.61,6800
1981-01-19,13.75,14.25,13.75,13.75,2.61,7600
1981-01-20,13.75,14.25,13.50,13.50,2.57,6800
1981-01-21,13.75,14.25,13.75,13.75,2.61,2600
1981-01-22,13.75,14.00,13.50,13.50,2.57,7700
1981-01-23,13.75,14.25,13.75,13.75,2.61,7900
1981-01-26,13.75,14.00,13.50,13.50,2.57,3200
1981-01-27,13.75,14.25,13.75,13.75,2.61,4100
1981-01-28,13.75,14.25,13.50,13.50,2.57,7800
1981-01-29,13.50,14.00,13.50,13.50,2.57,2300
1981-01-30,13.50,14.00,13.50,13.50,2.57,4700
1981-02-02,13.50,13.75,13.25,13.25,2.52,8500
1981-02-03,13.25,13.75,13.25,13.25,2.52,3100
1981-02-04,13.50,14.00,13.50,13.50,2.57,6100
1981-02-05,13.50,14.00,13.50,13.50,2.57,4600
1981-02-06,13.50,14.00,13.50,13.50,2.57,5300
1981-02-09,13.50,14.00,13.50,13.50,2.57,3800
1981-02-10,13.50,14.00,13.50,13.50,2.57,4300
1981-02-11,13.50,14.00,13.50,13.50,2.57,2700
1981-02-12,13.50,14.00,13.50,13.50,2.57,3000
1981-02-13,13.50,14.00,13.50,13.50,2.57,7600
1981-02-17,13.50,13.75,13.25,13.25,2.52,4400
1981-02-18,13.50,13.75,13.50,13.50,2.57,4000
1981-02-19,13.50,14.00,13.50,13.50,2.57,12600
1981-02-20,13.50,14.00,13.50,13.50,2.57,3400
1981-02-23,13.50,14.00,13.50,13.50,2.57,1900
1981-02-24,13.50,13.75,13.25,13.25,2.52,4800
1981-02-25,13.25,13.50,13.00,13.00,2.47,13100
1981-02-26,13.00,13.50,13.00,13.00,2.47,15900
1981-02-27,13.00,13.50,13.00,13.00,2.47,2200
1981-03-02,13.00,13.50,13.00,13.00,2.47,3100
1981-03-03,13.00,13.50,12.75,12.75,2.42,5100
1981-03-04,12.75,13.25,12.75,12.75,2.42,4400
1981-03-05,12.75,13.25,12.75,12.75,2.42,4600
1981-03-06,12.50,12.50,12.00,12.00,2.28,7500
1981-03-09,12.50,12.75,12.50,12.50,2.38,6400
1981-03-10,12.50,12.75,12.25,12.25,2.33,4200
1981-03-11,12.25,12.75,12.25,12.25,2.33,4500
1981-03-12,12.25,12.75,12.25,12.25,2.33,11000
1981-03-13,12.25,12.75,12.25,12.25,2.33,5200
1981-03-16,12.50,12.75,12.50,12.50,2.38,5100
1981-03-17,12.50,13.00,12.50,12.50,2.38,5400
1981-03-18,12.50,13.00,12.50,12.50,2.38,2200
1981-03-19,12.75,13.25,12.75,12.75,2.42,8100
1981-03-20,12.75,13.25,12.50,12.50,2.38,3200
1981-03-23,12.75,13.25,12.75,12.75,2.42,3500
1981-03-24,13.00,13.50,13.00,13.00,2.47,8600
1981-03-25,13.00,13.50,13.00,13.00,2.47,4000
1981-03-26,13.25,13.75,13.25,13.25,2.52,3100
1981-03-27,13.75,14.25,13.75,13.75,2.61,7300
1981-03-30,13.75,14.25,13.75,13.75,2.61,5800
1981-03-31,13.75,14.25,13.75,13.75,2.61,14100
1981-04-01,13.75,14.25,13.62,13.62,2.59,6100
1981-04-02,13.75,14.25,13.75,13.75,2.61,5800
1981-04-03,13.75,14.25,13.75,13.75,2.61,4900
1981-04-06,13.75,14.25,13.75,13.75,2.61,4700
1981-04-07,13.75,14.25,13.62,13.62,2.59,10000
1981-04-08,13.62,14.25,13.62,13.62,2.59,4500
1981-04-09,13.62,14.25,13.62,13.62,2.59,5900
1981-04-10,14.00,14.75,14.00,14.00,2.66,3500
1981-04-13,14.00,14.75,14.00,14.00,2.66,3200
1981-04-14,14.00,14.25,13.75,13.75,2.61,4300
1981-04-15,14.00,14.50,14.00,14.00,2.66,3900
1981-04-16,14.00,14.50,13.75,13.75,2.61,4100
1981-04-20,13.25,13.25,12.75,12.75,2.42,7100
1981-04-21,13.00,13.25,13.00,13.00,2.47,2500
1981-04-22,13.25,13.75,13.25,13.25,2.52,4500
1981-04-23,13.25,13.75,13.25,13.25,2.52,3300
1981-04-24,13.25,13.75,13.25,13.25,2.52,2300
1981-04-27,13.25,13.50,13.00,13.00,2.47,5400
1981-04-28,13.00,13.50,13.00,13.00,2.47,3700
1981-04-29,13.00,13.25,13.00,13.00,2.47,3100
1981-04-30,13.00,13.00,12.75,12.75,2.42,2200
1981-05-01,12.75,12.75,12.25,12.25,2.33,3600
1981-05-04,12.00,12.00,11.75,11.75,2.23,2800
1981-05-05,11.75,12.00,11.50,11.50,2.19,7300
1981-05-06,11.50,12.00,11.50,11.50,2.19,5900
1981-05-07,11.75,12.25,11.75,11.75,2.23,7500
1981-05-08,11.75,12.50,11.75,11.75,2.23,4800
1981-05-11,11.75,12.25,11.75,11.75,2.23,5100
1981-05-12,11.75,12.25,11.75,11.75,2.23,3800
1981-05-13,11.75,12.25,11.75,11.75,2.23,1600
1981-05-14,11.75,12.25,11.75,11.75,2.23,1900
1981-05-15,11.75,12.00,11.50,11.50,2.19,3600
1981-05-18,11.50,12.00,11.50,11.50,2.19,2400
1981-05-19,11.50,12.00,11.50,11.50,2.19,2200
1981-05-20,11.50,12.00,11.25,11.25,2.14,3600
1981-05-21,11.50,11.75,11.50,11.50,2.19,4300
1981-05-22,11.50,11.75,11.25,11.25,2.14,2500
1981-05-26,11.25,11.75,11.25,11.25,2.14,2800
1981-05-27,11.25,11.75,11.25,11.25,2.14,3700
1981-05-28,11.50,11.75,11.50,11.50,2.19,3300
1981-05-29,11.50,12.25,11.50,11.50,2.19,3000
1981-06-01,11.50,12.25,11.50,11.50,2.19,2200
1981-06-02,11.50,12.25,11.50,11.50,2.19,1900
1981-06-03,11.50,11.75,11.25,11.25,2.14,5800
1981-06-04,11.25,11.75,11.25,11.25,2.14,2000
1981-06-05,11.50,11.75,11.50,11.50,2.19,2000
1981-06-08,11.50,12.00,11.50,11.50,2.19,3800
1981-06-09,11.50,12.00,11.50,11.50,2.19,2100
1981-06-10,11.50,12.00,11.25,11.25,2.14,3400
1981-06-11,11.25,11.75,11.25,11.25,2.14,7900
1981-06-12,11.25,11.75,11.25,11.25,2.14,3100
1981-06-15,11.25,11.75,11.25,11.25,2.14,6500
1981-06-16,11.25,11.50,11.00,11.00,2.09,5600
1981-06-17,11.25,11.50,11.25,11.25,2.14,3600
1981-06-18,11.25,11.50,11.00,11.00,2.09,2200
1981-06-19,11.38,11.50,11.38,11.38,2.16,3100
1981-06-22,11.38,11.75,11.25,11.25,2.14,3500
1981-06-23,11.25,11.75,11.25,11.25,2.14,3200
1981-06-24,11.50,11.75,11.50,11.50,2.19,2100
1981-06-25,11.50,11.75,11.50,11.50,2.19,3100
1981-06-26,11.50,11.75,11.25,11.25,2.14,3300
1981-06-29,11.25,11.75,11.25,11.25,2.14,3000
