Date,Open,High,Low,Close,Adj Close,Volume
2020-10-09,9.71,9.95,9.70,9.95,9.95,51300
2020-10-12,9.72,9.94,9.72,9.86,9.86,30800
2020-10-13,9.90,9.90,9.90,9.90,9.90,2100
2020-10-14,9.86,9.86,9.86,9.86,9.86,200
2020-10-15,9.81,9.81,9.81,9.81,9.81,1500
2020-10-16,9.86,9.86,9.77,9.77,9.77,516200
2020-10-19,9.80,9.80,9.76,9.77,9.77,367400
2020-10-20,9.83,9.83,9.74,9.74,9.74,20700
2020-10-21,9.85,9.85,9.72,9.72,9.72,628800
2020-10-22,9.78,9.78,9.70,9.75,9.75,511500
2020-10-23,9.78,9.78,9.71,9.78,9.78,5200
2020-10-26,9.79,9.84,9.66,9.70,9.70,1183300
2020-10-27,9.70,9.71,9.67,9.69,9.69,959400
2020-10-28,9.68,9.69,9.60,9.67,9.67,824000
2020-10-29,9.70,9.70,9.63,9.64,9.64,355900
2020-10-30,9.64,9.69,9.63,9.67,9.67,171700
2020-11-02,9.65,9.72,9.65,9.67,9.67,524900
2020-11-03,9.68,9.74,9.68,9.71,9.71,522200
2020-11-04,9.76,9.79,9.75,9.76,9.76,133500
2020-11-05,9.84,9.88,9.75,9.80,9.80,402900
2020-11-06,9.76,11.13,9.72,10.15,10.15,11033300
2020-11-09,10.30,10.50,10.16,10.28,10.28,3745300
2020-11-10,10.45,10.45,10.15,10.22,10.22,221600
2020-11-11,10.27,10.27,10.16,10.22,10.22,228100
2020-11-12,10.21,10.64,10.15,10.50,10.50,1116200
2020-11-13,10.24,10.97,10.24,10.56,10.56,1370100
2020-11-16,10.57,10.75,10.38,10.61,10.61,608900
2020-11-17,10.61,10.61,10.38,10.40,10.40,521000
2020-11-18,10.32,10.45,10.25,10.40,10.40,175000
2020-11-19,10.40,10.55,10.15,10.37,10.37,321900
2020-11-20,10.42,10.61,10.25,10.54,10.54,454300
2020-11-23,10.75,10.75,10.36,10.36,10.36,640300
2020-11-24,10.58,10.65,10.42,10.45,10.45,127600
2020-11-25,10.47,10.59,10.39,10.43,10.43,342200
2020-11-27,10.44,10.56,10.44,10.44,10.44,318400
2020-11-30,10.66,10.75,10.40,10.49,10.49,316200
2020-12-01,10.60,10.73,10.44,10.48,10.48,271900
2020-12-02,10.30,10.50,10.25,10.44,10.44,338000
2020-12-03,10.41,10.49,10.34,10.49,10.49,327600
2020-12-04,10.75,10.75,10.48,10.62,10.62,574800
2020-12-07,11.45,12.66,11.42,11.95,11.95,81719100
2020-12-08,13.26,13.77,12.42,12.78,12.78,53089100
2020-12-09,13.49,13.50,12.51,12.75,12.75,33142600
2020-12-10,12.99,13.45,12.71,13.45,13.45,21412800
2020-12-11,13.75,14.82,13.50,14.00,14.00,28623000
2020-12-14,15.23,15.39,14.50,14.61,14.61,35410700
2020-12-15,14.55,14.78,13.60,14.08,14.08,19771700
2020-12-16,13.74,14.08,13.51,13.72,13.72,11491800
2020-12-17,13.95,14.04,13.70,13.88,13.88,9480700
2020-12-18,13.95,14.31,13.76,13.92,13.92,9047300
2020-12-21,14.06,15.15,13.86,14.82,14.82,19839300
2020-12-22,15.38,15.46,14.50,14.68,14.68,16818700
2020-12-23,14.90,14.91,14.31,14.63,14.63,12873100
2020-12-24,15.00,15.85,15.00,15.23,15.23,13113300
2020-12-28,16.55,17.00,16.10,16.30,16.30,21407000
2020-12-29,16.88,16.89,15.01,15.76,15.76,14610800
2020-12-30,15.89,16.29,15.66,15.79,15.79,7789700
2020-12-31,15.60,15.88,15.03,15.10,15.10,12887300
2021-01-04,15.00,15.01,13.68,14.45,14.45,15226300
2021-01-05,13.76,14.93,13.73,14.80,14.80,8104500
2021-01-06,14.50,15.29,14.22,14.49,14.49,9487100
2021-01-07,14.85,15.39,14.72,14.95,14.95,6584700
2021-01-08,15.08,15.10,14.64,15.05,15.05,6840000
2021-01-11,14.50,16.20,14.40,15.55,15.55,12261700
2021-01-12,15.30,15.45,14.85,15.21,15.21,6934800
2021-01-13,15.05,16.47,14.95,16.33,16.33,9788400
2021-01-14,16.16,16.20,15.60,15.81,15.81,5877500
2021-01-15,15.70,16.19,14.95,15.59,15.59,7505100
2021-01-19,16.76,17.98,16.38,16.55,16.55,16651500
2021-01-20,17.14,17.59,16.80,17.47,17.47,7303700
2021-01-21,18.50,19.50,17.70,19.24,19.24,12974100
2021-01-22,19.00,19.18,18.41,18.89,18.89,8978700
2021-01-25,19.26,19.57,16.00,17.79,17.79,14450800
2021-01-26,17.60,17.78,16.55,16.68,16.68,8718300
2021-01-27,15.78,16.14,14.81,14.89,14.89,20058000
2021-01-28,15.29,16.02,15.11,15.64,15.64,9984600
2021-01-29,15.40,15.94,14.90,15.42,15.42,11085400
2021-02-01,15.90,16.82,15.45,16.67,16.67,9447900
2021-02-02,16.92,17.24,16.40,16.67,16.67,6889400
2021-02-03,17.40,18.30,17.20,18.10,18.10,8582300
2021-02-04,17.90,18.81,17.40,18.20,18.20,8971400
2021-02-05,18.40,18.57,17.51,17.89,17.89,6239700
2021-02-08,18.00,18.05,17.41,17.70,17.70,5554000
2021-02-09,17.40,17.52,16.76,17.13,17.13,6215300
2021-02-10,17.00,17.22,16.06,16.69,16.69,8112200
2021-02-11,16.40,16.55,16.00,16.15,16.15,7405400
2021-02-12,16.52,17.34,16.35,17.27,17.27,5679900
2021-02-16,17.30,17.35,16.61,16.90,16.90,4484300
2021-02-17,16.80,17.75,16.51,17.40,17.40,5548600
2021-02-18,17.06,17.48,16.71,16.94,16.94,3986900
2021-02-19,17.14,17.73,16.90,17.39,17.39,5806300
2021-02-22,17.29,17.96,16.63,16.87,16.87,6723900
2021-02-23,16.00,16.34,14.65,16.18,16.18,9781600
2021-02-24,16.18,16.80,16.08,16.35,16.35,4442200
2021-02-25,16.27,16.45,15.08,15.34,15.34,6718800
2021-02-26,15.45,15.89,14.57,15.21,15.21,6790500
2021-03-01,15.80,16.09,15.28,15.79,15.79,5899800
2021-03-02,15.85,16.38,15.60,15.84,15.84,5423800
2021-03-03,16.00,16.06,14.62,14.78,14.78,9363400
2021-03-04,14.89,15.26,12.97,13.95,13.95,11099700
2021-03-05,14.02,15.05,12.50,14.93,14.93,12250900
2021-03-08,15.81,15.81,14.50,14.65,14.65,6581800
2021-03-09,15.15,15.25,14.64,14.77,14.77,5951300
2021-03-10,15.25,15.25,14.31,14.78,14.78,5837200
2021-03-11,14.90,15.33,14.72,14.92,14.92,5212700
2021-03-12,14.50,15.25,14.50,14.90,14.90,4945700
2021-03-15,15.00,16.98,14.91,16.50,16.50,8196800
2021-03-16,16.65,17.25,15.95,16.62,16.62,7902200
2021-03-17,16.00,16.58,15.55,16.00,16.00,7462700
2021-03-18,15.90,16.55,15.80,15.89,15.89,5530400
2021-03-19,16.07,16.17,15.51,15.60,15.60,5109800
2021-03-22,16.24,16.79,15.71,16.15,16.15,6517000
2021-03-23,16.08,16.25,15.52,15.63,15.63,4277600
2021-03-24,16.01,16.44,14.65,14.73,14.73,9261000
2021-03-25,14.48,15.47,14.16,14.95,14.95,9559100
2021-03-26,15.28,15.44,14.30,14.55,14.55,5812100
2021-03-29,14.50,15.42,14.46,15.39,15.39,7266600
2021-03-30,15.90,16.07,14.95,15.10,15.10,13084400
2021-03-31,15.49,15.65,13.50,13.50,13.50,15761200
2021-04-01,13.93,14.65,13.80,14.60,14.60,9522000
2021-04-05,14.85,14.88,14.10,14.15,14.15,6782200
2021-04-06,13.96,14.55,13.83,14.30,14.30,5037400
2021-04-07,14.32,14.95,13.96,14.07,14.07,6205400
2021-04-08,14.16,14.35,13.85,14.24,14.24,3644800
2021-04-09,14.00,14.08,13.81,13.87,13.87,3690600
2021-04-12,13.80,13.82,13.02,13.24,13.24,5654300
2021-04-13,13.00,13.55,12.80,13.39,13.39,4855400
2021-04-14,13.58,14.30,13.56,13.73,13.73,5287800
2021-04-15,14.19,14.30,13.75,13.99,13.99,4619900
2021-04-16,13.99,13.99,13.40,13.49,13.49,3872500
2021-04-19,13.02,13.20,12.62,13.05,13.05,5877000
2021-04-20,12.75,12.87,12.20,12.83,12.83,7044400
2021-04-21,12.42,13.12,12.39,12.93,12.93,4326500
2021-04-22,12.93,13.40,12.71,13.26,13.26,4336900
2021-04-23,13.45,13.77,13.28,13.50,13.50,2767700
2021-04-26,13.98,14.07,13.72,13.95,13.95,5478300
2021-04-27,14.00,14.00,13.87,13.93,13.93,3828000
2021-04-28,13.80,13.88,13.70,13.79,13.79,2942600
2021-04-29,14.05,14.06,13.55,13.84,13.84,4030800
2021-04-30,13.60,14.00,13.53,13.80,13.80,4005600
2021-05-03,14.01,14.07,13.58,13.90,13.90,4897100
2021-05-04,13.72,13.80,12.96,13.59,13.59,4875600
2021-05-05,13.54,13.75,13.28,13.29,13.29,3415600
2021-05-06,13.34,13.44,12.62,12.76,12.76,6616100
2021-05-07,12.88,13.53,12.88,13.45,13.45,3819100
2021-05-10,13.63,13.95,13.23,13.57,13.57,6346400
2021-05-11,10.91,12.35,10.67,11.95,11.95,18819600
2021-05-12,11.24,11.66,10.88,11.09,11.09,14669500
2021-05-13,11.19,11.37,10.08,10.37,10.37,12966800
2021-05-14,10.57,11.04,10.48,10.86,10.86,5120200
2021-05-17,10.90,11.32,10.82,11.05,11.05,4199600
2021-05-18,11.50,12.52,11.21,11.89,11.89,9324900
2021-05-19,11.49,12.30,11.45,12.21,12.21,6113800
2021-05-20,12.16,12.72,12.05,12.07,12.07,6037300
2021-05-21,12.33,12.57,11.84,11.96,11.96,4225100
2021-05-24,12.07,12.15,11.57,11.64,11.64,6023200
2021-05-25,11.52,11.82,11.31,11.50,11.50,6330400
2021-05-26,11.65,11.68,11.35,11.54,11.54,5141000
2021-05-27,11.59,11.69,11.26,11.32,11.32,4172200
2021-05-28,11.34,11.60,11.22,11.22,11.22,3848800
2021-06-01,11.29,11.95,10.93,11.80,11.80,10338900
2021-06-02,11.76,12.28,11.58,12.15,12.15,5989600
2021-06-03,12.00,12.19,11.68,11.82,11.82,8980300
2021-06-04,11.89,12.42,11.77,12.26,12.26,12897100
2021-06-07,12.75,12.77,12.04,12.30,12.30,14993300
2021-06-08,12.45,12.48,11.74,12.08,12.08,14404400
2021-06-09,12.11,12.25,11.96,12.03,12.03,5697400
2021-06-10,11.99,12.18,11.81,11.83,11.83,6212100
2021-06-11,11.91,12.02,11.78,11.95,11.95,5068200
2021-06-14,12.00,12.02,11.56,11.65,11.65,6928900
2021-06-15,11.61,11.64,11.25,11.33,11.33,6818600
2021-06-16,11.25,11.42,11.15,11.22,11.22,5110600
