Date,Open,High,Low,Close,Adj Close,Volume
2015-10-06,17.00,17.00,17.00,17.00,17.00,0
2015-10-07,16.74,17.00,16.00,16.01,16.01,18792300
2015-10-08,16.04,16.09,15.50,15.93,15.93,4194100
2015-10-09,16.25,16.64,15.91,16.60,16.60,1999400
2015-10-12,17.23,18.45,17.00,18.06,18.06,6065100
2015-10-13,18.36,19.45,18.01,18.69,18.69,2978900
2015-10-14,18.78,20.03,18.70,19.74,19.74,2503600
2015-10-15,20.47,20.60,18.62,19.68,19.68,1789600
2015-10-16,19.86,19.95,18.66,18.84,18.84,1216000
2015-10-19,18.56,19.08,18.07,19.00,19.00,855600
2015-10-20,18.65,19.57,18.28,19.50,19.50,1231300
2015-10-21,19.70,19.86,18.85,19.25,19.25,1101200
2015-10-22,19.31,19.61,18.91,19.49,19.49,812100
2015-10-23,19.59,19.60,19.13,19.27,19.27,553100
2015-10-26,19.18,19.30,18.76,18.86,18.86,505500
2015-10-27,18.76,19.28,17.57,17.80,17.80,1303700
2015-10-28,17.75,18.48,17.71,18.05,18.05,813300
2015-10-29,18.06,18.32,17.75,17.81,17.81,920800
2015-10-30,17.83,17.99,17.25,17.63,17.63,712800
2015-11-02,18.35,18.36,16.68,16.96,16.96,1542400
2015-11-03,17.38,17.68,16.91,17.44,17.44,832000
2015-11-04,17.65,17.79,17.00,17.04,17.04,727900
2015-11-05,17.35,17.73,17.25,17.65,17.65,704200
2015-11-06,17.80,18.05,17.30,17.62,17.62,389600
2015-11-09,17.50,17.89,17.50,17.61,17.61,597900
2015-11-10,17.55,17.65,16.90,17.40,17.40,714500
2015-11-11,17.12,17.43,17.06,17.11,17.11,665000
2015-11-12,17.05,17.49,17.03,17.10,17.10,374200
2015-11-13,17.14,17.44,16.97,17.24,17.24,721100
2015-11-16,17.18,17.30,17.00,17.25,17.25,374200
2015-11-17,17.19,17.54,17.06,17.19,17.19,604900
2015-11-18,17.25,17.50,17.12,17.27,17.27,596000
2015-11-19,17.25,18.06,17.17,17.40,17.40,405400
2015-11-20,15.89,16.00,14.55,14.74,14.74,6171900
2015-11-23,15.08,15.17,13.50,14.11,14.11,2900500
2015-11-24,14.29,14.33,13.65,13.91,13.91,1780700
2015-11-25,14.09,14.09,13.05,13.08,13.08,1398800
2015-11-27,13.01,13.27,12.26,12.96,12.96,853500
2015-11-30,13.01,13.13,12.63,12.91,12.91,1255400
2015-12-01,12.85,13.81,12.72,13.73,13.73,1311300
2015-12-02,13.74,14.59,13.65,13.92,13.92,2329300
2015-12-03,16.10,16.20,14.56,15.69,15.69,4369900
2015-12-04,16.00,17.15,15.60,16.76,16.76,3300400
2015-12-07,16.75,17.70,16.41,17.53,17.53,3064500
2015-12-08,16.11,17.71,16.11,17.55,17.55,1676400
2015-12-09,17.75,18.23,17.49,17.56,17.56,2244500
2015-12-10,17.63,18.12,17.51,17.69,17.69,1806600
2015-12-11,17.70,18.39,17.32,17.65,17.65,1973500
2015-12-14,17.54,17.92,16.85,17.09,17.09,1191700
2015-12-15,17.04,17.76,16.67,17.27,17.27,1114400
2015-12-16,17.74,17.94,17.02,17.71,17.71,1214200
2015-12-17,17.72,17.95,16.71,16.96,16.96,1252400
2015-12-18,16.81,17.47,16.55,16.81,16.81,6288500
2015-12-21,17.00,17.27,15.37,16.01,16.01,1530300
2015-12-22,16.01,16.64,15.60,16.20,16.20,1308900
2015-12-23,16.31,16.89,16.31,16.82,16.82,648500
2015-12-24,16.97,16.97,16.46,16.54,16.54,382100
2015-12-28,16.46,16.95,16.29,16.58,16.58,812300
2015-12-29,16.65,16.83,16.02,16.17,16.17,734900
2015-12-30,15.93,16.30,15.84,16.05,16.05,889300
2015-12-31,16.00,16.23,15.53,15.57,15.57,943000
2016-01-04,15.34,15.34,14.11,14.34,14.34,1503900
2016-01-05,14.29,14.48,13.60,14.23,14.23,1462500
2016-01-06,13.97,14.90,13.81,14.20,14.20,1155800
2016-01-07,13.85,14.18,13.60,14.05,14.05,1202200
2016-01-08,14.24,14.36,13.61,13.70,13.70,822900
2016-01-11,13.76,14.26,13.50,14.02,14.02,1005900
2016-01-12,14.19,14.40,13.84,14.02,14.02,796200
2016-01-13,14.02,14.44,13.46,13.77,13.77,933700
2016-01-14,13.79,14.81,13.57,14.35,14.35,1233700
2016-01-15,14.00,14.26,13.91,13.94,13.94,1168400
2016-01-19,14.40,14.40,13.93,14.14,14.14,1301300
2016-01-20,14.00,14.00,12.96,13.31,13.31,1761900
2016-01-21,13.34,13.66,13.08,13.27,13.27,497600
2016-01-22,13.40,14.36,13.33,13.73,13.73,824700
2016-01-25,13.54,14.16,13.52,13.99,13.99,1064600
2016-01-26,14.01,14.09,13.53,13.72,13.72,792100
2016-01-27,13.56,13.89,13.40,13.57,13.57,394500
2016-01-28,13.91,13.94,13.04,13.10,13.10,666800
2016-01-29,13.19,13.87,12.94,13.01,13.01,701400
2016-02-01,12.96,13.12,12.65,13.00,13.00,536100
2016-02-02,12.83,13.11,12.12,12.43,12.43,773000
2016-02-03,12.43,12.77,12.00,12.42,12.42,677400
2016-02-04,12.40,13.35,12.07,13.09,13.09,785700
2016-02-05,13.00,13.12,12.01,12.22,12.22,1101800
2016-02-08,12.03,12.82,11.05,12.77,12.77,1883400
2016-02-09,12.50,12.62,11.75,11.99,11.99,798700
2016-02-10,11.75,12.22,11.75,12.00,12.00,548100
2016-02-11,11.80,12.15,11.52,11.64,11.64,525400
2016-02-12,11.72,12.00,11.16,11.97,11.97,372200
2016-02-16,11.96,13.17,11.86,12.61,12.61,766900
2016-02-17,12.70,14.00,12.68,13.03,13.03,1132100
2016-02-18,12.95,13.33,12.27,12.81,12.81,601600
2016-02-19,12.83,12.89,12.30,12.80,12.80,352500
2016-02-22,12.80,13.08,12.50,12.68,12.68,456100
2016-02-23,12.58,12.87,12.32,12.79,12.79,484200
2016-02-24,12.58,12.84,12.18,12.35,12.35,1406000
2016-02-25,12.28,13.49,12.25,13.19,13.19,1407700
2016-02-26,13.30,13.84,13.12,13.24,13.24,1229900
2016-02-29,13.50,14.48,13.34,14.38,14.38,1368400
2016-03-01,14.42,15.45,14.25,14.98,14.98,1826700
2016-03-02,15.17,15.95,15.00,15.71,15.71,1689100
2016-03-03,16.40,16.40,13.91,14.37,14.37,4290400
2016-03-04,14.45,15.00,13.76,13.87,13.87,1220900
2016-03-07,13.98,14.32,13.11,13.40,13.40,1534400
2016-03-08,13.46,13.46,12.84,13.15,13.15,1278500
2016-03-09,13.29,13.52,12.96,13.22,13.22,746200
2016-03-10,13.30,13.33,12.65,12.82,12.82,957400
2016-03-11,13.01,13.25,12.55,13.00,13.00,797900
2016-03-14,13.00,13.20,12.75,13.01,13.01,1177000
2016-03-15,13.04,13.06,12.25,12.36,12.36,1264000
2016-03-16,12.37,12.82,12.10,12.36,12.36,1602100
2016-03-17,12.31,13.18,12.26,13.02,13.02,1627700
2016-03-18,13.07,13.07,12.23,12.42,12.42,3043400
2016-03-21,12.41,13.04,12.37,12.95,12.95,1723300
2016-03-22,12.95,13.99,12.86,13.84,13.84,1343600
2016-03-23,13.84,13.84,12.99,13.05,13.05,770100
2016-03-24,13.24,13.35,12.53,13.05,13.05,916100
2016-03-28,13.10,13.46,12.65,13.40,13.40,783500
2016-03-29,13.36,13.46,12.50,13.31,13.31,1023700
2016-03-30,13.34,13.50,12.96,13.30,13.30,891700
2016-03-31,13.25,14.08,13.13,13.69,13.69,1325900
2016-04-01,13.65,14.55,13.47,14.46,14.46,1590400
2016-04-04,13.71,14.80,13.57,14.39,14.39,6923900
2016-04-05,14.07,15.35,13.90,14.67,14.67,2217700
2016-04-06,14.73,15.04,14.57,15.00,15.00,2546200
2016-04-07,14.80,14.97,14.30,14.59,14.59,908400
2016-04-08,14.66,14.70,14.20,14.31,14.31,730600
2016-04-11,14.36,14.69,14.24,14.42,14.42,649600
2016-04-12,14.41,14.75,14.20,14.45,14.45,779600
2016-04-13,14.45,15.00,14.45,14.91,14.91,1413600
2016-04-14,14.80,14.99,14.61,14.65,14.65,698000
2016-04-15,14.61,14.64,14.13,14.15,14.15,1613000
2016-04-18,14.14,14.56,14.01,14.42,14.42,739000
2016-04-19,14.33,15.02,14.25,14.66,14.66,1138900
2016-04-20,14.75,14.75,14.11,14.16,14.16,1210000
2016-04-21,14.21,14.24,13.46,13.79,13.79,1401100
2016-04-22,13.69,14.32,13.69,14.32,14.32,531500
2016-04-25,14.15,14.68,14.09,14.58,14.58,933800
2016-04-26,14.83,14.91,14.63,14.71,14.71,824800
2016-04-27,14.81,14.89,14.17,14.20,14.20,557100
2016-04-28,14.27,14.73,14.21,14.36,14.36,595800
2016-04-29,14.35,14.67,14.30,14.55,14.55,668100
2016-05-02,14.51,14.76,14.19,14.47,14.47,722900
2016-05-03,14.44,14.44,14.13,14.21,14.21,581000
2016-05-04,14.17,14.35,14.02,14.19,14.19,1160700
2016-05-05,14.20,14.33,14.04,14.13,14.13,646800
2016-05-06,14.08,14.39,13.95,14.11,14.11,825600
2016-05-09,14.18,14.41,13.99,14.15,14.15,780600
2016-05-10,14.22,14.50,14.05,14.28,14.28,1050400
2016-05-11,14.26,14.40,14.11,14.21,14.21,817100
2016-05-12,14.27,14.30,13.76,13.98,13.98,671300
