Date,Open,High,Low,Close,Adj Close,Volume
1989-12-08,0.00,1.85,1.64,1.82,1.82,26329920
1989-12-11,0.00,1.88,1.72,1.77,1.77,3155520
1989-12-12,0.00,1.82,1.77,1.77,1.77,1175040
1989-12-13,0.00,1.80,1.72,1.72,1.72,1050240
1989-12-14,0.00,1.82,1.69,1.82,1.82,1039680
1989-12-15,0.00,1.88,1.74,1.82,1.82,665280
1989-12-18,0.00,1.82,1.72,1.74,1.74,496320
1989-12-19,0.00,1.80,1.72,1.76,1.76,412800
1989-12-20,0.00,1.77,1.74,1.76,1.76,198720
1989-12-21,0.00,1.85,1.74,1.85,1.85,567360
1989-12-22,0.00,1.90,1.80,1.88,1.88,589440
1989-12-26,0.00,2.03,1.85,2.03,2.03,581760
1989-12-27,0.00,2.11,2.03,2.08,2.08,783360
1989-12-28,0.00,2.08,1.98,2.01,2.01,329280
1989-12-29,0.00,2.24,2.01,2.19,2.19,952320
1990-01-02,0.00,2.19,2.11,2.19,2.19,628800
1990-01-03,0.00,2.29,2.16,2.27,2.27,660480
1990-01-04,0.00,2.24,2.16,2.24,2.24,732480
1990-01-05,0.00,2.27,2.19,2.27,2.27,396480
1990-01-08,0.00,2.32,2.16,2.32,2.32,490560
1990-01-09,0.00,2.37,2.29,2.29,2.29,434880
1990-01-10,0.00,2.32,2.24,2.27,2.27,254400
1990-01-11,0.00,2.29,2.19,2.21,2.21,327360
1990-01-12,0.00,2.21,2.11,2.14,2.14,608640
1990-01-15,0.00,2.16,2.06,2.06,2.06,463680
1990-01-16,0.00,2.06,1.95,2.06,2.06,875520
1990-01-17,0.00,2.11,2.08,2.11,2.11,257280
1990-01-18,0.00,2.33,2.08,2.32,2.32,980160
1990-01-19,0.00,2.58,2.29,2.58,2.58,1104960
1990-01-22,0.00,2.58,2.40,2.42,2.42,805440
1990-01-23,0.00,2.55,2.37,2.55,2.55,1039680
1990-01-24,0.00,2.84,2.42,2.79,2.79,1621440
1990-01-25,0.00,2.85,2.55,2.64,2.64,3177600
1990-01-26,0.00,2.66,2.34,2.64,2.64,1975680
1990-01-29,0.00,2.66,2.45,2.53,2.53,1343040
1990-01-30,0.00,2.53,2.27,2.40,2.40,2641920
1990-01-31,0.00,2.50,2.42,2.45,2.45,558720
1990-02-01,0.00,2.60,2.42,2.53,2.53,523200
1990-02-02,0.00,2.70,2.53,2.60,2.60,844800
1990-02-05,0.00,2.66,2.53,2.59,2.59,649920
1990-02-06,0.00,2.60,2.42,2.47,2.47,1814400
1990-02-07,0.00,2.53,2.41,2.50,2.50,2859840
1990-02-08,0.00,2.53,2.45,2.46,2.46,1713600
1990-02-09,0.00,2.47,2.41,2.45,2.45,1498560
1990-02-12,0.00,2.47,2.37,2.37,2.37,612480
1990-02-13,0.00,2.37,2.27,2.32,2.32,2857920
1990-02-14,0.00,2.32,2.24,2.27,2.27,757440
1990-02-15,0.00,2.37,2.29,2.37,2.37,984960
1990-02-16,0.00,2.45,2.37,2.42,2.42,596160
1990-02-20,0.00,2.42,2.29,2.30,2.30,126720
1990-02-21,0.00,2.37,2.24,2.32,2.32,491520
1990-02-22,0.00,2.47,2.34,2.40,2.40,567360
1990-02-23,0.00,2.40,2.29,2.32,2.32,1117440
1990-02-26,0.00,2.37,2.32,2.34,2.34,88320
1990-02-27,0.00,2.42,2.34,2.37,2.37,678720
1990-02-28,0.00,2.40,2.24,2.28,2.28,1264320
1990-03-01,0.00,2.45,2.28,2.40,2.40,1239360
1990-03-02,0.00,2.60,2.37,2.53,2.53,950400
1990-03-05,0.00,2.58,2.47,2.47,2.47,1002240
1990-03-06,0.00,2.47,2.42,2.45,2.45,387840
1990-03-07,0.00,2.54,2.42,2.50,2.50,419520
1990-03-08,0.00,2.55,2.47,2.53,2.53,571200
1990-03-09,0.00,2.53,2.47,2.49,2.49,465600
1990-03-12,0.00,2.42,2.29,2.42,2.42,7418880
1990-03-13,0.00,2.42,2.29,2.37,2.37,726720
1990-03-14,0.00,2.37,2.32,2.32,2.32,293760
1990-03-15,0.00,2.32,2.11,2.16,2.16,1180800
1990-03-16,0.00,2.37,2.14,2.37,2.37,993600
1990-03-19,0.00,2.45,2.29,2.37,2.37,277440
1990-03-20,0.00,2.47,2.37,2.47,2.47,111360
1990-03-21,0.00,2.53,2.42,2.53,2.53,264000
1990-03-22,0.00,2.50,2.34,2.37,2.37,525120
1990-03-23,0.00,2.53,2.40,2.43,2.43,675840
1990-03-26,2.53,2.53,2.42,2.42,2.42,197760
1990-03-27,2.42,2.47,2.34,2.42,2.42,269760
1990-03-28,2.34,2.34,2.29,2.32,2.32,2390400
1990-03-29,2.29,2.29,2.16,2.21,2.21,643200
1990-03-30,2.16,2.21,2.06,2.11,2.11,624000
1990-04-02,2.06,2.16,2.01,2.11,2.11,480960
1990-04-03,2.16,2.21,2.16,2.16,2.16,304320
1990-04-04,2.24,2.42,2.21,2.37,2.37,2380800
1990-04-05,2.34,2.40,2.29,2.32,2.32,1294080
1990-04-06,2.32,2.40,2.32,2.34,2.34,393600
1990-04-09,2.34,2.47,2.34,2.34,2.34,485760
1990-04-10,2.33,2.40,2.32,2.40,2.40,231360
1990-04-11,2.34,2.40,2.34,2.34,2.34,145920
1990-04-12,2.40,2.54,2.40,2.53,2.53,905280
1990-04-16,2.45,2.55,2.45,2.50,2.50,617280
1990-04-17,2.50,2.55,2.50,2.53,2.53,683520
1990-04-18,2.53,2.60,2.50,2.50,2.50,332160
1990-04-19,2.50,2.50,2.42,2.42,2.42,72960
1990-04-20,2.42,2.53,2.42,2.53,2.53,442560
1990-04-23,2.50,2.50,2.33,2.34,2.34,569280
1990-04-24,2.37,2.42,2.32,2.32,2.32,384960
1990-04-25,2.34,2.40,2.32,2.40,2.40,231360
1990-04-26,2.37,2.63,2.37,2.58,2.58,888000
1990-04-27,2.55,2.55,2.47,2.47,2.47,217920
1990-04-30,2.47,2.53,2.47,2.47,2.47,234240
1990-05-01,2.53,2.55,2.49,2.53,2.53,982080
1990-05-02,2.45,2.45,2.34,2.37,2.37,4198080
1990-05-03,2.45,2.50,2.42,2.47,2.47,3385920
1990-05-04,2.45,2.45,2.40,2.45,2.45,129600
