Date,Open,High,Low,Close,Adj Close,Volume
2006-05-10,17.13,17.13,16.25,16.46,10.68,4323992
2006-05-11,15.26,16.33,15.26,15.97,10.37,6547571
2006-05-12,15.65,15.82,15.40,15.44,10.02,3815260
2006-05-15,15.10,15.47,14.89,15.36,9.96,6803474
2006-05-16,15.25,15.67,15.25,15.65,10.16,3799539
2006-05-17,15.41,15.62,15.32,15.38,9.98,3708525
2006-05-18,15.40,15.43,15.22,15.25,9.89,8314070
2006-05-19,15.24,15.57,15.23,15.37,9.98,6415660
2006-05-22,15.40,15.42,15.23,15.26,9.90,7958406
2006-05-23,15.31,15.52,15.23,15.24,9.89,9256833
2006-05-24,15.23,15.32,15.08,15.30,9.93,9385080
2006-05-25,15.25,15.41,15.25,15.36,9.96,5105885
2006-05-26,15.26,15.39,15.25,15.37,9.98,2416008
2006-05-30,15.36,15.55,15.19,15.20,9.87,6937158
2006-05-31,15.18,15.31,15.18,15.19,9.86,8894314
2006-06-01,15.10,15.51,15.10,15.46,10.03,5892388
2006-06-02,15.37,15.48,15.24,15.34,9.95,3440684
2006-06-05,15.25,15.36,15.18,15.19,9.86,3904028
2006-06-06,15.14,15.34,15.14,15.20,9.87,5068298
2006-06-07,15.17,15.24,15.14,15.20,9.87,11283608
2006-06-08,15.08,15.20,15.08,15.14,9.83,8515364
2006-06-09,15.10,15.18,15.06,15.08,9.79,3676020
2006-06-12,15.06,15.10,14.70,14.77,9.59,4399995
2006-06-13,14.81,15.08,14.07,14.14,9.17,9240994
2006-06-14,14.09,14.37,13.77,14.21,9.22,6401476
2006-06-15,14.18,14.42,14.18,14.30,9.28,7068005
2006-06-16,14.19,14.50,14.09,14.39,9.34,3018473
2006-06-19,14.30,14.47,14.22,14.39,9.34,6444737
2006-06-20,14.42,14.64,14.26,14.51,9.42,4796320
2006-06-21,14.38,14.75,14.38,14.66,9.51,3537962
2006-06-22,14.55,14.72,14.42,14.59,9.47,3785119
2006-06-23,14.50,14.67,14.40,14.51,9.42,3372601
2006-06-26,14.58,14.64,14.47,14.53,9.43,1095832
2006-06-27,14.42,14.59,14.42,14.53,9.43,2742004
2006-06-28,14.52,14.62,14.48,14.57,9.45,6332565
2006-06-29,14.55,14.68,14.55,14.58,9.46,4788991
2006-06-30,14.55,14.66,14.53,14.60,9.48,10026315
2006-07-03,14.37,14.59,14.34,14.59,9.47,880472
2006-07-05,14.53,14.64,14.53,14.58,9.46,2682431
2006-07-06,14.57,14.63,14.52,14.57,9.45,3818806
2006-07-07,14.53,14.58,14.49,14.58,9.46,3678029
2006-07-10,14.53,14.60,14.53,14.53,9.43,2937506
2006-07-11,14.53,14.58,14.51,14.52,9.42,5698422
2006-07-12,14.51,14.53,14.26,14.36,9.32,2991878
2006-07-13,14.20,14.40,14.20,14.26,9.26,3074027
2006-07-14,14.27,14.41,13.40,13.87,9.00,3507940
2006-07-17,13.74,13.97,13.69,13.73,8.91,2199466
2006-07-18,13.68,13.86,13.63,13.77,8.94,1134956
2006-07-19,13.71,14.29,13.69,14.21,9.22,4270921
2006-07-20,13.96,14.21,13.79,14.18,9.20,1627378
2006-07-21,14.17,14.17,13.88,14.00,9.09,2977931
2006-07-24,14.17,14.20,13.98,14.04,9.11,1828081
2006-07-25,13.96,14.20,13.93,14.19,9.21,1758580
2006-07-26,13.97,14.18,13.87,13.87,9.00,1334360
2006-07-27,13.87,14.08,13.71,14.02,9.10,1303391
2006-07-28,13.91,14.16,13.90,13.94,9.05,1565086
2006-07-31,13.84,14.13,13.84,13.93,9.04,1136375
2006-08-01,13.79,13.93,13.75,13.82,8.97,3235725
2006-08-02,13.80,13.91,13.79,13.84,8.98,3141520
2006-08-03,13.71,14.04,13.71,13.94,9.05,2022402
2006-08-04,13.83,14.07,13.83,13.92,9.03,1831864
2006-08-07,13.86,14.05,13.85,14.04,9.11,1587662
2006-08-08,13.96,14.17,13.96,14.04,9.11,734613
2006-08-09,14.13,14.92,14.13,14.91,9.67,5428690
2006-08-10,14.76,15.24,14.64,15.13,9.82,3424609
2006-08-11,14.99,15.13,14.91,15.03,9.75,1529272
2006-08-14,14.95,15.17,14.84,14.94,9.70,810734
2006-08-15,14.92,15.34,14.64,15.18,9.85,2289179
2006-08-16,15.14,15.36,15.13,15.28,9.92,1404689
2006-08-17,15.22,15.65,15.12,15.61,10.13,2053252
2006-08-18,15.54,15.65,15.31,15.60,10.12,2081975
2006-08-21,15.41,15.69,15.41,15.62,10.14,1706335
2006-08-22,15.51,15.75,15.47,15.58,10.11,1130228
2006-08-23,15.43,15.77,15.43,15.65,10.16,1795222
2006-08-24,15.55,15.72,15.54,15.65,10.16,2176535
2006-08-25,15.56,15.68,15.46,15.47,10.04,2180081
2006-08-28,15.42,15.65,15.41,15.63,10.14,1782929
2006-08-29,15.57,15.65,15.39,15.64,10.15,1783165
2006-08-30,15.68,15.92,15.51,15.87,10.30,3528506
2006-08-31,15.77,16.18,15.76,16.13,10.46,3502030
2006-09-01,15.96,16.27,15.96,16.20,10.51,942054
2006-09-05,16.16,16.28,16.16,16.23,10.53,2675693
2006-09-06,16.20,16.51,16.19,16.50,10.71,3552146
2006-09-07,16.38,16.62,16.29,16.56,10.74,2867059
2006-09-08,16.62,16.68,16.46,16.57,10.76,4850692
2006-09-11,16.57,16.57,16.46,16.52,10.72,3372482
2006-09-12,16.46,16.90,16.40,16.75,10.87,3050033
2006-09-13,16.67,16.79,16.56,16.75,10.87,1330696
2006-09-14,16.57,16.82,16.53,16.79,10.89,2064245
2006-09-15,16.79,16.91,16.67,16.84,10.93,3009963
2006-09-18,16.71,16.92,16.71,16.79,10.89,1218051
2006-09-19,16.74,16.92,16.52,16.83,10.92,1863187
2006-09-20,16.79,16.91,16.41,16.65,10.81,1683523
2006-09-21,16.62,16.84,16.41,16.72,10.85,1546174
2006-09-22,16.62,16.75,16.44,16.71,10.84,1555630
2006-09-25,16.67,16.95,16.46,16.79,10.89,3168115
2006-09-26,16.72,16.92,16.55,16.90,10.96,1808460
2006-09-27,16.73,17.34,16.52,17.11,11.10,4535334
2006-09-28,16.98,17.34,16.94,17.29,11.22,2480545
2006-09-29,17.36,17.43,17.02,17.24,11.19,2830299
2006-10-02,17.29,17.52,16.97,17.08,11.09,1888836
2006-10-03,17.00,17.42,16.79,17.31,11.23,2796612
2006-10-04,17.17,17.45,17.17,17.34,11.26,1612130
2006-10-05,17.26,17.66,17.19,17.55,11.39,1490738
2006-10-06,17.43,17.75,17.28,17.61,11.43,1400434
2006-10-09,17.54,17.97,17.42,17.90,11.62,1851603
2006-10-10,17.85,18.10,17.75,18.06,11.72,1368401
2006-10-11,17.93,17.96,17.57,17.79,11.55,1298191
2006-10-12,17.71,18.06,17.51,17.90,11.62,5210374
2006-10-13,17.78,18.00,17.74,17.90,11.62,1302564
2006-10-16,17.84,18.46,17.84,18.32,11.89,2402888
2006-10-17,18.24,18.43,18.23,18.36,11.91,1636834
2006-10-18,18.82,18.90,18.21,18.59,12.06,4972674
2006-10-19,18.51,18.70,18.44,18.65,12.10,1618867
2006-10-20,18.60,18.67,18.60,18.61,12.08,1735885
2006-10-23,18.62,19.16,18.61,19.02,12.34,28482063
2006-10-24,18.93,19.08,18.14,18.20,11.81,8273645
2006-10-25,18.10,18.73,17.99,18.61,12.08,3287497
2006-10-26,18.69,18.85,18.61,18.76,12.18,1864487
2006-10-27,18.69,19.11,18.64,18.77,12.18,2314356
2006-10-30,18.81,18.95,18.53,18.54,12.03,1446532
2006-10-31,18.58,18.78,18.38,18.67,12.12,1863423
2006-11-01,18.79,18.99,18.64,18.72,12.15,2974503
2006-11-02,18.61,18.77,18.61,18.70,12.13,1846520
2006-11-03,18.61,18.74,18.15,18.56,12.05,3128754
2006-11-06,18.63,19.46,18.63,19.12,12.41,4252718
2006-11-07,19.00,19.40,18.84,19.21,12.47,3497774
2006-11-08,19.09,19.25,18.93,19.03,12.35,2790111
2006-11-09,19.15,19.15,18.71,18.79,12.19,1393933
2006-11-10,18.85,18.93,18.76,18.82,12.22,1453505
2006-11-13,18.76,19.20,18.76,19.12,12.41,1410481
2006-11-14,18.98,19.29,18.83,19.29,12.52,1963066
2006-11-15,19.35,19.54,19.19,19.25,12.49,3004053
2006-11-16,19.46,19.46,19.17,19.32,12.54,1576197
2006-11-17,19.27,19.42,19.18,19.34,12.55,1669575
2006-11-20,19.15,19.59,19.15,19.45,12.62,2045333
