Date,Open,High,Low,Close,Adj Close,Volume
1993-04-28,9.12,9.38,9.00,9.12,5.87,7821000
1993-04-29,9.12,9.31,9.12,9.31,5.99,2118800
1993-04-30,9.38,9.38,9.12,9.19,5.91,536800
1993-05-03,9.12,9.19,9.06,9.19,5.91,509600
1993-05-04,9.19,9.19,8.94,9.06,5.83,787400
1993-05-05,9.00,9.06,8.88,8.88,5.70,747200
1993-05-06,8.94,9.00,8.81,8.81,5.66,392800
1993-05-07,8.88,8.94,8.81,8.88,5.70,180000
1993-05-10,8.94,9.06,8.88,8.88,5.70,269600
1993-05-11,8.94,8.94,8.88,8.94,5.74,109400
1993-05-12,8.88,8.88,8.69,8.81,5.66,110800
1993-05-13,8.81,8.81,8.75,8.75,5.62,171000
1993-05-14,8.75,8.88,8.75,8.75,5.62,166800
1993-05-17,8.75,8.75,8.56,8.62,5.54,132000
1993-05-18,8.62,8.62,8.00,8.25,5.30,534400
1993-05-19,8.38,8.56,8.38,8.44,5.42,203600
1993-05-20,8.31,8.38,7.94,8.12,5.22,1189000
1993-05-21,8.19,8.25,8.00,8.19,5.26,475600
1993-05-24,8.25,8.25,8.00,8.12,5.22,719200
1993-05-25,8.00,8.06,7.81,7.94,5.10,326600
1993-05-26,8.00,8.31,8.00,8.25,5.30,209200
1993-05-27,8.38,8.56,8.25,8.50,5.46,307800
1993-05-28,8.62,8.81,8.44,8.69,5.58,986400
1993-06-01,8.75,8.75,8.44,8.50,5.46,116800
1993-06-02,8.50,8.69,8.44,8.69,5.58,205200
1993-06-03,8.69,8.69,8.50,8.50,5.46,92000
1993-06-04,8.56,8.62,8.50,8.56,5.50,118200
1993-06-07,8.50,8.69,8.50,8.62,5.54,60000
1993-06-08,8.62,8.62,8.50,8.56,5.50,298200
1993-06-09,8.56,8.56,8.44,8.44,5.42,27400
1993-06-10,8.44,8.62,8.44,8.56,5.50,153600
1993-06-11,8.69,8.81,8.56,8.81,5.66,84200
1993-06-14,8.94,9.00,8.75,8.94,5.74,434000
1993-06-15,8.88,9.12,8.81,8.88,5.70,169600
1993-06-16,8.88,9.06,8.88,8.94,5.74,288200
1993-06-17,9.00,9.00,8.81,8.94,5.74,165400
1993-06-18,8.94,9.00,8.81,8.88,5.70,89400
1993-06-21,8.81,8.94,8.81,8.88,5.70,34200
1993-06-22,8.94,9.06,8.81,8.88,5.70,143000
1993-06-23,8.88,9.00,8.75,8.75,5.62,23600
1993-06-24,8.75,9.00,8.75,8.81,5.66,58200
1993-06-25,8.81,9.25,8.81,9.19,5.91,370000
1993-06-28,9.19,9.62,9.06,9.56,6.15,135200
1993-06-29,9.75,9.75,9.44,9.50,6.11,575600
1993-06-30,9.50,9.50,9.38,9.50,6.11,132000
1993-07-01,9.50,9.62,9.44,9.62,6.19,120800
1993-07-02,9.62,9.75,9.50,9.50,6.11,239400
1993-07-06,9.50,9.62,9.31,9.31,5.99,87200
