Date,Open,High,Low,Close,Adj Close,Volume
1993-10-29,19.25,19.38,19.25,19.25,4.18,1381000
1993-11-01,19.25,19.38,19.25,19.38,4.21,136800
1993-11-02,19.25,19.38,18.62,18.75,4.08,182600
1993-11-03,18.50,19.00,18.38,18.88,4.10,146300
1993-11-04,18.75,18.88,18.75,18.75,4.08,48300
1993-11-05,18.75,18.88,18.75,18.75,4.08,13900
1993-11-08,18.75,18.88,18.75,18.88,4.10,22800
1993-11-09,18.88,19.00,18.75,18.75,4.08,10600
1993-11-10,18.88,19.00,18.88,18.88,4.10,143900
1993-11-11,18.88,18.88,18.88,18.88,4.10,29800
1993-11-12,18.88,19.00,18.88,19.00,4.13,10500
1993-11-15,18.75,18.75,18.38,18.50,4.02,181600
1993-11-16,18.38,18.50,18.38,18.38,3.99,33400
1993-11-17,18.50,18.50,18.25,18.25,3.97,73900
1993-11-18,18.25,18.25,17.62,17.62,3.83,75900
1993-11-19,17.00,17.12,16.38,16.88,3.67,126700
1993-11-22,16.62,16.88,16.50,16.88,3.67,32100
1993-11-23,16.75,17.12,16.75,17.12,3.72,20300
1993-11-24,16.88,17.12,16.88,16.88,3.67,9800
1993-11-26,17.00,17.00,17.00,17.00,3.69,2500
1993-11-29,17.12,17.12,16.88,17.12,3.72,48100
1993-11-30,17.12,17.25,16.88,17.12,3.72,38500
1993-12-01,17.12,17.12,17.00,17.00,3.69,12700
1993-12-02,17.00,17.12,16.88,17.12,3.72,14800
1993-12-03,17.12,17.62,17.12,17.50,3.80,19600
1993-12-06,17.50,17.50,17.25,17.50,3.80,6000
1993-12-07,17.50,17.50,17.00,17.25,3.75,25100
1993-12-08,17.25,17.25,16.88,17.12,3.72,8500
1993-12-09,17.25,17.25,16.62,16.88,3.67,10600
1993-12-10,16.88,16.88,16.75,16.88,3.67,9500
1993-12-13,16.62,16.62,16.38,16.50,3.59,69000
1993-12-14,16.62,17.00,16.50,16.75,3.64,18000
1993-12-15,16.62,16.88,16.50,16.62,3.61,36100
1993-12-16,16.62,16.62,16.50,16.50,3.59,7900
1993-12-17,16.50,16.62,16.38,16.50,3.59,9600
1993-12-20,16.50,16.50,15.75,16.00,3.48,58500
1993-12-21,15.75,16.25,15.75,16.12,3.50,54400
1993-12-22,16.25,16.50,16.25,16.50,3.59,21800
1993-12-23,16.75,16.75,16.50,16.62,3.61,12200
1993-12-27,16.75,16.88,16.75,16.75,3.64,35500
1993-12-28,16.88,16.88,16.75,16.75,3.64,49500
1993-12-29,16.75,16.88,16.62,16.62,3.61,23600
1993-12-30,16.62,16.88,16.50,16.75,3.64,66700
1993-12-31,16.88,16.88,16.50,16.62,3.61,41100
1994-01-03,16.75,16.88,16.75,16.88,3.67,1900
1994-01-04,17.00,17.00,16.88,16.88,3.67,10100
1994-01-05,16.88,17.00,16.75,16.88,3.67,18500
1994-01-06,16.75,16.75,16.62,16.75,3.64,15100
1994-01-07,16.62,17.00,16.62,16.88,3.67,18000
1994-01-10,17.00,17.62,17.00,17.62,3.83,18600
1994-01-11,17.62,17.75,17.50,17.75,3.86,6300
1994-01-12,17.75,18.00,17.75,17.88,3.89,17700
1994-01-13,17.88,17.88,17.62,17.75,3.86,6000
1994-01-14,17.75,17.75,17.50,17.50,3.80,5600
1994-01-17,17.38,17.50,17.38,17.50,3.80,12600
1994-01-18,17.25,17.38,17.25,17.38,3.78,6300
1994-01-19,17.50,18.00,17.50,17.88,3.89,9900
1994-01-20,18.00,18.00,17.50,17.50,3.80,13000
1994-01-21,17.75,17.88,17.50,17.88,3.89,7200
1994-01-24,17.88,17.88,17.50,17.62,3.83,4900
1994-01-25,17.62,17.88,17.62,17.75,3.86,18900
1994-01-26,17.75,17.75,17.50,17.62,3.83,1300
1994-01-27,17.75,17.75,17.62,17.75,3.86,2800
1994-01-28,17.62,17.75,17.62,17.75,3.86,13000
1994-01-31,17.75,17.88,17.75,17.88,3.89,26300
1994-02-01,17.88,17.88,17.75,17.88,3.89,20400
1994-02-02,17.88,17.88,17.62,17.88,3.89,18400
1994-02-03,17.88,18.00,17.88,18.00,3.91,11000
1994-02-04,18.00,18.00,17.62,17.62,3.83,8500
1994-02-07,17.50,17.88,17.50,17.88,3.94,6800
1994-02-08,17.75,17.88,17.62,17.75,3.91,6400
1994-02-09,17.75,18.38,17.75,18.12,3.99,11700
1994-02-10,18.00,18.12,18.00,18.00,3.96,8200
1994-02-11,18.12,18.12,17.88,18.00,3.96,41900
1994-02-14,18.00,18.12,18.00,18.12,3.99,23300
1994-02-15,18.00,18.25,18.00,18.25,4.02,117300
1994-02-16,18.12,18.88,18.12,18.62,4.10,48000
1994-02-17,18.88,18.88,18.62,18.62,4.10,56500
1994-02-18,18.62,18.75,18.62,18.62,4.10,4500
1994-02-22,18.50,18.50,18.50,18.50,4.07,2000
1994-02-23,18.62,18.62,18.50,18.50,4.07,6000
1994-02-24,18.38,18.38,18.38,18.38,4.05,1500
1994-02-25,18.38,18.62,18.38,18.50,4.07,10200
1994-02-28,18.50,18.75,18.50,18.75,4.13,3900
1994-03-01,18.75,18.75,18.38,18.62,4.10,10500
1994-03-02,18.38,18.50,18.38,18.50,4.07,5100
1994-03-03,18.38,18.50,18.38,18.38,4.05,9100
1994-03-04,18.38,18.38,18.38,18.38,4.05,3700
1994-03-07,18.62,18.62,18.38,18.50,4.07,1200
1994-03-08,18.38,18.50,18.38,18.38,4.05,6600
1994-03-09,18.25,18.38,18.12,18.38,4.05,3400
1994-03-10,18.50,18.62,18.25,18.50,4.07,2800
1994-03-11,18.50,18.50,18.50,18.50,4.07,1200
1994-03-14,18.62,18.75,18.50,18.50,4.07,6200
1994-03-15,18.50,18.50,18.38,18.50,4.07,3500
1994-03-16,18.38,18.38,18.00,18.00,3.96,3700
1994-03-17,17.88,18.25,17.88,18.00,3.96,17100
1994-03-18,18.25,18.25,18.00,18.00,3.96,2000
1994-03-21,18.25,18.38,18.12,18.38,4.05,1400
1994-03-22,18.38,18.50,18.12,18.12,3.99,3800
1994-03-23,18.38,18.38,18.12,18.38,4.05,900
1994-03-24,18.50,18.50,18.38,18.38,4.05,52000
1994-03-25,18.50,18.75,18.50,18.50,4.07,4400
1994-03-28,18.25,18.25,18.12,18.12,3.99,2400
1994-03-29,18.25,18.25,18.12,18.12,3.99,1300
1994-03-30,18.12,18.12,18.00,18.00,3.96,101300
1994-03-31,18.00,18.00,17.88,17.88,3.94,16300
1994-04-04,17.75,17.75,17.38,17.50,3.85,6300
1994-04-05,17.75,17.75,17.75,17.75,3.91,700
1994-04-06,17.75,17.75,17.62,17.62,3.88,11900
1994-04-07,17.75,17.88,17.62,17.88,3.94,3300
1994-04-08,18.00,18.00,17.75,17.88,3.94,7400
1994-04-11,17.75,18.00,17.75,18.00,3.96,5100
1994-04-12,17.75,17.75,17.62,17.62,3.88,5300
1994-04-13,17.75,17.88,17.62,17.62,3.88,3300
1994-04-14,17.62,17.75,17.62,17.62,3.88,2100
1994-04-15,17.62,17.75,17.50,17.75,3.91,7800
1994-04-18,17.75,17.88,17.75,17.88,3.94,5900
1994-04-19,17.75,17.75,17.75,17.75,3.91,1300
1994-04-20,18.00,18.00,17.88,18.00,3.96,6100
1994-04-21,17.88,17.88,17.88,17.88,3.94,4500
1994-04-22,18.00,18.00,18.00,18.00,3.96,1600
1994-04-25,18.00,18.00,17.88,17.88,3.94,2300
1994-04-26,18.12,18.12,17.88,18.00,3.96,1400
1994-04-28,18.00,18.00,17.75,17.75,3.91,3900
1994-04-29,17.75,17.75,17.75,17.75,3.91,0
1994-05-02,17.62,18.00,17.62,18.00,3.96,3000
1994-05-03,17.75,17.75,17.50,17.50,3.85,11900
1994-05-04,17.50,17.62,17.50,17.62,3.88,29600
1994-05-05,17.50,17.50,17.38,17.50,3.85,2300
1994-05-06,17.50,17.50,17.50,17.50,3.85,1000
1994-05-09,17.38,17.50,17.25,17.50,3.94,8900
1994-05-10,17.50,17.62,17.50,17.50,3.94,7300
1994-05-11,17.50,17.50,17.50,17.50,3.94,2100
1994-05-12,17.50,17.75,17.50,17.50,3.94,6500
1994-05-13,17.50,17.50,17.50,17.50,3.94,2600
1994-05-16,17.50,17.50,17.50,17.50,3.94,800
1994-05-17,17.50,17.50,17.38,17.50,3.94,1500
1994-05-18,17.75,17.75,17.62,17.62,3.97,700
1994-05-19,17.50,17.75,17.50,17.62,3.97,1700
1994-05-20,17.50,17.50,17.50,17.50,3.94,2800
1994-05-23,17.50,17.50,17.25,17.25,3.88,1200
1994-05-24,17.25,17.38,17.25,17.38,3.91,2900
1994-05-25,17.50,17.50,17.25,17.25,3.88,1100
1994-05-26,17.50,17.50,17.25,17.50,3.94,4800
1994-05-27,17.12,17.38,17.12,17.25,3.88,3300
1994-05-31,17.25,17.50,17.25,17.50,3.94,900
1994-06-01,17.38,17.62,17.38,17.62,3.97,3200
1994-06-02,17.38,18.12,17.38,18.12,4.08,5300
1994-06-03,18.12,18.50,18.12,18.50,4.16,2600
1994-06-06,18.25,18.38,18.12,18.12,4.08,4500
1994-06-07,18.38,18.38,18.12,18.12,4.08,2300
1994-06-08,18.00,18.25,17.75,17.75,3.99,7100
1994-06-09,17.75,17.88,17.75,17.88,4.02,3200
1994-06-10,17.88,18.25,17.88,18.25,4.11,3500
1994-06-13,18.12,18.12,18.00,18.00,4.05,1100
1994-06-14,18.25,18.25,17.88,18.00,4.05,3400
1994-06-15,18.00,18.00,17.62,17.88,4.02,13200
1994-06-16,17.88,17.88,17.75,17.75,3.99,2600
1994-06-17,17.88,17.88,17.62,17.88,4.02,11700
1994-06-20,17.75,17.75,17.75,17.75,3.99,200
1994-06-21,17.75,17.75,17.62,17.75,3.99,4600
1994-06-22,17.62,17.75,17.38,17.75,3.99,3800
1994-06-23,17.75,17.75,17.62,17.62,3.97,56300
1994-06-24,17.50,17.62,17.50,17.62,3.97,3000
1994-06-27,17.62,17.75,17.38,17.75,3.99,3200
1994-06-28,17.75,17.75,17.50,17.50,3.94,27200
1994-06-29,17.25,17.50,17.00,17.50,3.94,8400
1994-06-30,17.25,17.38,17.12,17.38,3.91,15600
1994-07-01,17.25,17.25,17.00,17.00,3.83,6100
1994-07-05,17.00,17.12,16.75,16.75,3.77,40500
1994-07-06,16.88,17.12,16.88,17.12,3.85,7800
1994-07-07,16.75,16.88,16.75,16.75,3.77,35900
1994-07-08,16.75,16.75,16.50,16.50,3.71,19800
1994-07-11,16.50,16.75,16.50,16.75,3.77,7000
1994-07-12,16.88,17.12,16.88,17.12,3.85,5000
1994-07-13,17.00,17.25,17.00,17.25,3.88,3700
1994-07-14,17.12,17.25,17.12,17.25,3.88,20300
1994-07-15,17.12,17.38,17.12,17.38,3.91,1500
1994-07-18,17.50,17.75,17.50,17.50,3.94,13400
1994-07-19,17.50,17.62,17.38,17.50,3.94,2800
1994-07-20,17.38,17.50,17.25,17.50,3.94,700
1994-07-21,17.38,17.38,16.88,16.88,3.80,10600
1994-07-22,16.50,16.50,16.25,16.25,3.66,151800
1994-07-25,16.38,16.38,16.38,16.38,3.69,100
1994-07-26,16.38,16.38,16.38,16.38,3.69,100
1994-07-27,16.38,16.38,16.38,16.38,3.69,8900
1994-07-28,16.38,16.50,16.25,16.50,3.71,1700
1994-07-29,16.38,16.62,16.38,16.62,3.74,1300
1994-08-01,16.50,16.50,16.38,16.50,3.71,2800
1994-08-02,16.62,16.62,16.50,16.50,3.71,17000
1994-08-03,16.62,16.62,16.62,16.62,3.74,22000
1994-08-04,16.62,16.88,16.62,16.88,3.80,30200
1994-08-05,16.88,16.88,16.88,16.88,3.80,1600
1994-08-08,16.50,16.88,16.50,16.88,3.88,7700
1994-08-09,16.88,17.12,16.88,16.88,3.88,2500
1994-08-10,17.00,17.25,17.00,17.25,3.97,2200
1994-08-11,17.50,17.50,17.00,17.00,3.91,3200
1994-08-12,17.25,17.25,16.88,17.12,3.94,5300
1994-08-15,17.00,17.12,16.88,16.88,3.88,1800
1994-08-16,17.00,17.12,16.88,16.88,3.88,1400
1994-08-17,16.88,17.12,16.88,17.12,3.94,33300
1994-08-18,17.25,17.38,17.25,17.38,4.00,1200
1994-08-19,17.12,17.38,17.12,17.38,4.00,5500
1994-08-22,17.38,17.38,17.12,17.25,3.97,1900
1994-08-23,17.25,17.25,17.00,17.12,3.94,3500
1994-08-24,17.12,17.12,17.00,17.00,3.91,2100
1994-08-25,17.00,17.12,17.00,17.00,3.91,400
1994-08-26,17.00,17.12,16.88,17.12,3.94,2300
1994-08-29,17.12,17.12,17.00,17.12,3.94,2000
1994-08-30,17.12,17.12,17.00,17.12,3.94,2300
1994-08-31,17.12,17.12,16.88,17.00,3.91,6000
1994-09-01,17.12,17.12,16.75,16.75,3.86,8500
1994-09-02,16.88,16.88,16.50,16.50,3.80,2800
1994-09-06,16.62,16.62,16.38,16.38,3.77,1600
1994-09-07,16.50,16.75,16.50,16.75,3.86,3400
1994-09-08,16.75,16.75,16.50,16.50,3.80,2000
1994-09-09,16.50,16.62,16.50,16.50,3.80,5800
1994-09-12,16.62,16.62,16.62,16.62,3.83,100
1994-09-13,16.50,16.62,16.50,16.62,3.83,2500
1994-09-14,16.62,16.62,16.62,16.62,3.83,0
1994-09-15,16.75,16.75,16.75,16.75,3.86,4200
1994-09-16,16.75,16.75,16.50,16.50,3.80,22800
1994-09-19,16.50,16.62,16.50,16.62,3.83,1300
1994-09-20,16.50,16.50,16.38,16.38,3.77,1000
1994-09-21,16.50,16.62,16.38,16.50,3.80,2200
1994-09-22,16.50,16.50,16.25,16.25,3.74,9000
1994-09-23,16.50,16.50,16.25,16.25,3.74,1900
1994-09-26,16.12,16.25,16.00,16.12,3.71,2600
1994-09-27,16.25,16.25,16.12,16.12,3.71,1900
1994-09-28,16.12,16.12,16.12,16.12,3.71,0
1994-09-29,16.12,16.12,15.88,15.88,3.65,2600
1994-09-30,15.75,16.00,15.75,16.00,3.68,20600
1994-10-03,16.00,16.00,16.00,16.00,3.68,0
1994-10-04,16.12,16.38,16.12,16.38,3.77,2300
1994-10-05,16.38,16.38,16.12,16.12,3.71,600
1994-10-06,16.25,16.25,16.25,16.25,3.74,600
1994-10-07,16.25,16.25,16.00,16.00,3.68,5000
1994-10-10,16.12,16.25,16.12,16.25,3.74,1600
1994-10-11,16.25,16.50,16.25,16.38,3.77,11100
1994-10-12,16.50,16.50,16.38,16.50,3.80,2800
1994-10-13,16.50,16.75,16.38,16.62,3.83,13000
1994-10-14,16.50,16.50,16.38,16.50,3.80,3500
1994-10-17,16.38,16.38,16.00,16.00,3.68,12700
1994-10-18,16.12,16.25,16.00,16.25,3.74,37600
1994-10-19,16.12,16.25,16.12,16.12,3.71,71400
1994-10-20,16.12,16.12,16.00,16.00,3.68,2800
1994-10-21,15.75,15.75,15.25,15.38,3.54,111800
1994-10-24,15.50,15.62,15.50,15.50,3.57,5700
1994-10-25,15.38,15.38,15.25,15.38,3.54,88000
1994-10-26,15.50,15.75,15.38,15.62,3.60,40300
1994-10-27,15.62,15.75,15.62,15.75,3.63,17000
1994-10-28,15.75,15.75,15.62,15.75,3.63,34900
1994-10-31,15.75,15.88,15.75,15.88,3.65,9700
1994-11-01,15.88,16.00,15.88,15.88,3.65,8000
1994-11-02,16.12,16.25,15.88,16.00,3.68,4800
1994-11-03,16.00,16.00,15.88,16.00,3.68,54100
1994-11-04,15.62,15.75,15.50,15.62,3.69,3100
1994-11-07,15.62,15.75,15.50,15.75,3.72,3200
1994-11-08,15.75,15.75,15.50,15.50,3.66,33500
1994-11-09,15.50,15.62,15.50,15.62,3.69,2300
1994-11-10,15.75,15.75,15.62,15.62,3.69,6800
1994-11-11,15.62,15.75,15.62,15.75,3.72,2800
1994-11-14,15.62,15.75,15.62,15.75,3.72,15100
1994-11-15,15.75,15.88,15.62,15.62,3.69,67600
1994-11-16,15.75,15.75,15.50,15.50,3.66,1400
1994-11-17,15.62,15.75,15.62,15.75,3.72,3000
1994-11-18,15.50,15.62,15.38,15.38,3.63,4200
1994-11-21,15.62,15.62,15.62,15.62,3.69,1400
1994-11-22,15.38,15.62,15.38,15.50,3.66,28200
1994-11-23,15.38,15.62,15.38,15.62,3.69,1300
1994-11-25,15.75,15.75,15.75,15.75,3.72,200
1994-11-28,15.62,15.62,15.38,15.38,3.63,6000
1994-11-29,15.38,15.50,15.38,15.50,3.66,4300
1994-11-30,15.50,15.50,15.25,15.38,3.63,4500
1994-12-01,15.38,15.38,15.38,15.38,3.63,400
1994-12-02,15.12,15.25,15.12,15.25,3.60,3500
1994-12-05,15.38,15.88,15.38,15.88,3.75,4500
1994-12-06,15.88,15.88,15.75,15.88,3.75,1500
1994-12-07,15.75,15.75,15.75,15.75,3.72,1800
1994-12-08,15.75,15.75,15.50,15.75,3.72,3800
1994-12-09,15.75,15.75,15.62,15.75,3.72,2500
1994-12-12,15.88,15.88,15.62,15.75,3.72,2000
1994-12-13,15.62,15.88,15.62,15.88,3.75,600
1994-12-14,15.75,15.88,15.75,15.88,3.75,4600
1994-12-15,15.88,16.50,15.88,16.50,3.89,26100
1994-12-16,16.50,17.25,16.50,17.25,4.07,11700
1994-12-19,17.12,17.25,17.12,17.12,4.04,31700
1994-12-20,17.12,17.12,17.00,17.12,4.04,6300
1994-12-21,17.00,17.50,16.88,17.38,4.10,9700
1994-12-22,17.12,17.50,17.12,17.25,4.07,21500
1994-12-23,17.38,17.50,17.38,17.50,4.13,4000
1994-12-27,17.38,17.38,17.00,17.00,4.01,3500
1994-12-28,16.88,17.00,16.88,16.88,3.98,1200
1994-12-29,16.62,16.62,16.38,16.62,3.92,16800
1994-12-30,16.75,16.88,16.50,16.75,3.95,5600
1995-01-03,16.88,16.88,16.75,16.75,3.95,1400
1995-01-04,16.88,16.88,16.62,16.88,3.98,1600
1995-01-05,16.88,16.88,16.88,16.88,3.98,0
1995-01-06,16.75,16.88,16.62,16.88,3.98,3700
1995-01-09,16.75,17.00,16.75,17.00,4.01,2200
1995-01-10,17.12,17.12,16.62,16.62,3.92,1600
1995-01-11,16.50,16.50,16.50,16.50,3.89,800
1995-01-12,16.38,16.50,16.12,16.25,3.83,19500
1995-01-13,16.25,16.25,15.88,15.88,3.75,11200
1995-01-16,16.00,16.25,16.00,16.25,3.83,11000
1995-01-17,16.25,16.25,16.25,16.25,3.83,6600
1995-01-18,16.25,16.25,15.75,15.75,3.72,4500
1995-01-19,15.75,16.00,15.75,15.75,3.72,8500
1995-01-20,15.75,15.75,15.50,15.50,3.66,4600
1995-01-23,15.62,15.62,15.25,15.25,3.60,5000
1995-01-24,15.38,15.38,15.38,15.38,3.63,11500
1995-01-25,15.62,15.88,15.62,15.88,3.75,3100
1995-01-26,15.88,15.88,15.75,15.75,3.72,5800
