Date,Open,High,Low,Close,Adj Close,Volume
1991-04-02,22.00,23.25,20.75,21.12,21.12,2294100
1991-04-03,21.25,21.25,17.00,18.25,18.25,1716100
1991-04-04,18.25,19.50,17.75,18.00,18.00,810600
1991-04-05,18.50,18.50,17.75,17.75,17.75,238200
1991-04-08,18.00,18.00,17.50,17.62,17.62,200100
1991-04-09,18.00,18.00,16.00,16.00,16.00,319000
1991-04-10,16.00,16.25,15.50,15.88,15.88,582100
1991-04-11,16.00,16.50,14.75,14.75,14.75,319400
1991-04-12,14.75,16.50,14.75,16.25,16.25,329700
1991-04-15,16.50,16.75,16.00,16.12,16.12,171400
1991-04-16,16.38,16.38,16.00,16.12,16.12,130500
1991-04-17,16.38,16.38,15.25,15.25,15.25,187600
1991-04-18,15.50,15.50,14.50,15.25,15.25,320300
1991-04-19,15.25,15.25,14.62,14.88,14.88,68900
1991-04-22,14.88,14.88,14.12,14.12,14.12,79000
1991-04-23,14.12,14.75,14.12,14.25,14.25,335000
1991-04-24,14.62,14.75,14.38,14.75,14.75,90500
1991-04-25,14.38,14.75,14.38,14.50,14.50,115400
1991-04-26,14.50,14.50,14.00,14.38,14.38,122600
1991-04-29,14.38,14.38,12.38,12.50,12.50,183700
1991-04-30,13.00,13.00,12.00,12.62,12.62,330000
1991-05-01,12.75,13.88,12.50,13.50,13.50,237800
1991-05-02,14.00,14.12,13.25,13.50,13.50,153900
1991-05-03,13.25,13.62,13.00,13.38,13.38,65300
1991-05-06,13.38,13.62,12.75,13.62,13.62,163700
1991-05-07,13.88,14.12,13.38,13.38,13.38,146100
1991-05-08,14.00,14.12,13.25,13.25,13.25,162600
1991-05-09,13.62,13.62,13.25,13.62,13.62,25700
1991-05-10,13.25,13.62,12.75,12.75,12.75,125200
1991-05-13,13.00,13.00,11.38,11.50,11.50,137900
1991-05-14,11.75,12.12,11.50,11.88,11.88,173200
1991-05-15,12.12,12.12,10.25,10.75,10.75,186200
1991-05-16,10.75,11.50,10.38,11.25,11.25,230000
1991-05-17,11.62,12.12,11.12,11.75,11.75,75000
1991-05-20,11.75,11.88,11.00,11.38,11.38,83000
1991-05-21,11.38,12.25,11.25,12.25,12.25,139700
1991-05-22,11.88,12.38,11.62,12.12,12.12,184200
1991-05-23,12.50,12.75,11.88,11.88,11.88,135900
1991-05-24,11.88,12.25,11.88,12.25,12.25,14600
1991-05-28,12.25,12.25,11.88,12.00,12.00,16900
1991-05-29,12.00,12.75,12.00,12.62,12.62,245700
1991-05-30,12.88,13.25,12.12,12.25,12.25,253200
1991-05-31,12.50,12.50,12.12,12.25,12.25,85200
1991-06-03,12.50,12.50,11.50,11.75,11.75,102400
1991-06-04,12.00,12.12,11.62,12.12,12.12,59800
1991-06-05,12.12,12.12,11.88,11.88,11.88,48900
1991-06-06,11.88,12.12,11.88,11.88,11.88,13200
1991-06-07,12.12,12.12,11.50,11.62,11.62,32500
1991-06-10,11.50,11.88,11.12,11.62,11.62,69400
1991-06-11,11.62,11.62,11.12,11.62,11.62,26800
1991-06-12,11.50,11.50,10.75,11.00,11.00,113400
1991-06-13,11.00,11.00,10.25,10.38,10.38,59600
1991-06-14,10.75,11.00,10.38,11.00,11.00,152800
1991-06-17,10.88,11.25,10.88,10.88,10.88,20400
1991-06-18,10.88,11.50,10.88,11.25,11.25,130100
1991-06-19,11.50,11.50,11.25,11.50,11.50,27700
1991-06-20,11.50,12.00,11.00,12.00,12.00,58900
1991-06-21,12.00,12.25,11.75,12.00,12.00,48200
1991-06-24,11.75,12.00,11.00,11.50,11.50,78300
1991-06-25,11.00,11.50,11.00,11.12,11.12,48000
1991-06-26,11.00,11.25,11.00,11.00,11.00,91800
1991-06-27,11.25,11.25,11.00,11.25,11.25,16200
1991-06-28,11.00,11.25,10.75,11.12,11.12,59700
1991-07-01,10.75,11.12,10.75,11.12,11.12,15900
1991-07-02,11.12,11.12,10.38,10.62,10.62,43900
1991-07-03,10.75,10.75,10.38,10.50,10.50,38200
1991-07-05,10.38,10.75,10.25,10.25,10.25,43900
1991-07-08,10.00,10.50,9.88,10.25,10.25,44400
1991-07-09,10.00,10.88,10.00,10.75,10.75,45100
1991-07-10,10.50,11.00,10.50,10.50,10.50,11500
1991-07-11,10.50,11.00,10.50,10.88,10.88,15400
1991-07-12,10.88,10.88,10.50,10.50,10.50,40600
1991-07-15,10.50,11.25,10.50,11.25,11.25,36800
1991-07-16,11.50,11.50,10.50,10.75,10.75,39000
1991-07-17,10.50,10.88,10.50,10.75,10.75,47500
1991-07-18,10.75,11.00,10.62,11.00,11.00,38400
1991-07-19,10.62,11.00,10.62,11.00,11.00,14300
1991-07-22,11.00,11.00,10.50,10.50,10.50,68700
1991-07-23,10.50,10.88,10.25,10.50,10.50,9700
1991-07-24,10.75,10.75,10.25,10.25,10.25,14400
1991-07-25,10.25,10.75,9.75,9.88,9.88,50400
1991-07-26,10.12,10.25,9.75,10.25,10.25,16200
1991-07-29,10.25,10.25,9.88,10.25,10.25,4400
1991-07-30,10.25,10.62,10.00,10.62,10.62,108100
1991-07-31,10.88,12.00,10.75,11.50,11.50,83200
1991-08-01,11.62,11.75,11.25,11.25,11.25,28400
1991-08-02,11.50,11.50,11.25,11.25,11.25,17600
1991-08-05,11.38,11.50,11.25,11.50,11.50,3700
1991-08-06,11.25,11.50,10.50,10.75,10.75,91300
1991-08-07,10.62,10.88,10.62,10.88,10.88,10400
1991-08-08,10.88,11.25,10.62,10.75,10.75,25800
1991-08-09,10.88,10.88,10.12,10.62,10.62,34300
1991-08-12,10.62,10.62,10.25,10.62,10.62,10900
1991-08-13,10.25,10.62,10.25,10.62,10.62,15900
1991-08-14,10.38,10.75,10.25,10.25,10.25,49000
1991-08-15,10.25,10.75,10.25,10.75,10.75,180400
1991-08-16,10.75,11.00,10.50,10.88,10.88,32900
1991-08-19,10.25,10.25,9.75,10.12,10.12,58600
1991-08-20,10.50,10.50,10.12,10.38,10.38,37900
1991-08-21,10.38,11.00,10.25,10.62,10.62,103900
1991-08-22,10.88,10.88,10.25,10.50,10.50,38700
1991-08-23,10.25,10.75,10.25,10.50,10.50,40100
1991-08-26,10.75,10.75,10.50,10.50,10.50,24300
1991-08-27,10.38,10.75,10.25,10.38,10.38,32700
1991-08-28,10.62,10.62,10.25,10.50,10.50,89700
1991-08-29,10.62,12.25,10.50,12.00,12.00,516600
1991-08-30,12.25,12.25,11.38,11.50,11.50,124000
