Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,1.70,1.61,1.61,0.50,38026
1980-03-18,0.00,1.70,1.61,1.61,0.50,23902
1980-03-19,0.00,1.70,1.61,1.61,0.50,3259
1980-03-20,0.00,1.70,1.61,1.61,0.50,2173
1980-03-21,0.00,1.70,1.61,1.61,0.50,4346
1980-03-24,1.61,1.61,1.61,1.61,0.50,0
1980-03-25,0.00,1.70,1.61,1.61,0.50,46717
1980-03-26,0.00,1.70,1.61,1.61,0.50,13037
1980-03-27,0.00,1.66,1.56,1.56,0.48,74965
1980-03-28,0.00,1.68,1.59,1.59,0.49,3259
1980-03-31,0.00,1.70,1.61,1.61,0.50,19556
1980-04-01,0.00,1.79,1.70,1.70,0.53,40199
1980-04-02,0.00,1.89,1.79,1.79,0.55,51063
1980-04-03,0.00,1.89,1.79,1.79,0.55,2173
1980-04-07,0.00,1.82,1.73,1.73,0.53,31507
1980-04-08,0.00,1.82,1.73,1.73,0.53,17383
1980-04-09,0.00,1.82,1.73,1.73,0.53,6519
1980-04-10,0.00,1.82,1.73,1.73,0.53,9778
1980-04-11,0.00,1.82,1.73,1.73,0.53,27161
1980-04-14,0.00,1.82,1.73,1.73,0.53,7605
1980-04-15,0.00,1.82,1.73,1.73,0.53,27161
1980-04-16,0.00,1.86,1.77,1.77,0.55,63014
1980-04-17,0.00,1.84,1.75,1.75,0.54,21729
1980-04-18,0.00,1.86,1.77,1.77,0.55,74965
1980-04-21,0.00,1.86,1.77,1.77,0.55,9778
1980-04-22,0.00,1.86,1.77,1.77,0.55,1086
1980-04-23,0.00,1.93,1.84,1.84,0.57,45631
1980-04-24,0.00,1.93,1.84,1.84,0.57,73878
1980-04-25,0.00,1.93,1.84,1.84,0.57,7605
1980-04-28,0.00,1.93,1.84,1.84,0.57,2173
1980-04-29,0.00,1.91,1.82,1.82,0.56,13037
1980-04-30,0.00,1.91,1.82,1.82,0.56,7605
1980-05-01,0.00,1.91,1.82,1.82,0.56,16297
1980-05-02,0.00,1.91,1.82,1.82,0.56,9778
1980-05-05,0.00,1.91,1.82,1.82,0.56,7605
1980-05-06,0.00,1.91,1.82,1.82,0.56,57582
1980-05-07,0.00,1.91,1.82,1.82,0.56,10864
1980-05-08,0.00,1.91,1.82,1.82,0.56,13037
1980-05-09,0.00,1.91,1.82,1.82,0.56,13037
1980-05-12,0.00,1.91,1.82,1.82,0.56,7605
1980-05-13,0.00,1.91,1.82,1.82,0.56,1086
1980-05-14,0.00,1.91,1.82,1.82,0.56,11951
1980-05-15,0.00,1.89,1.79,1.79,0.55,19556
1980-05-16,0.00,1.89,1.79,1.79,0.55,33680
1980-05-19,0.00,1.89,1.79,1.79,0.55,24988
1980-05-20,0.00,1.89,1.79,1.79,0.55,27161
1980-05-21,0.00,1.86,1.77,1.77,0.55,13037
1980-05-22,0.00,1.86,1.77,1.77,0.55,28248
1980-05-23,0.00,1.86,1.77,1.77,0.55,6519
1980-05-27,0.00,1.86,1.77,1.77,0.55,6519
1980-05-28,1.77,1.77,1.77,1.77,0.55,0
1980-05-29,0.00,1.86,1.77,1.77,0.55,13037
1980-05-30,1.77,1.77,1.77,1.77,0.55,0
1980-06-02,0.00,1.84,1.75,1.75,0.54,15210
1980-06-03,0.00,1.82,1.73,1.73,0.53,22815
1980-06-04,0.00,1.82,1.73,1.73,0.53,21729
1980-06-05,0.00,1.82,1.73,1.73,0.53,6519
1980-06-06,0.00,1.82,1.73,1.73,0.53,11951
1980-06-09,0.00,1.82,1.73,1.73,0.53,29334
1980-06-10,0.00,1.82,1.73,1.73,0.53,40199
1980-06-11,0.00,1.82,1.73,1.73,0.53,16297
1980-06-12,0.00,1.84,1.75,1.75,0.54,24988
1980-06-13,0.00,1.86,1.77,1.77,0.55,53236
1980-06-16,0.00,1.89,1.79,1.79,0.55,4346
1980-06-17,0.00,1.89,1.79,1.79,0.55,7605
1980-06-18,1.79,1.79,1.79,1.79,0.55,0
1980-06-19,0.00,1.93,1.84,1.84,0.57,56495
1980-06-20,0.00,1.93,1.84,1.84,0.57,30421
1980-06-23,0.00,1.93,1.84,1.84,0.57,5432
1980-06-24,1.84,1.84,1.84,1.84,0.57,0
1980-06-25,0.00,1.93,1.84,1.84,0.57,19556
1980-06-26,0.00,1.93,1.84,1.84,0.57,11951
1980-06-27,0.00,1.93,1.84,1.84,0.57,11951
1980-06-30,0.00,1.93,1.84,1.84,0.57,15210
1980-07-01,0.00,1.91,1.82,1.82,0.56,69533
1980-07-02,0.00,1.91,1.82,1.82,0.56,1086
1980-07-03,0.00,1.89,1.79,1.79,0.55,11951
1980-07-07,0.00,1.89,1.84,1.84,0.57,6519
1980-07-08,0.00,1.89,1.84,1.84,0.57,23902
1980-07-09,0.00,1.89,1.84,1.84,0.57,6519
1980-07-10,0.00,1.89,1.82,1.82,0.56,109731
1980-07-11,0.00,1.89,1.84,1.84,0.57,42371
1980-07-14,0.00,1.89,1.84,1.84,0.57,23902
1980-07-15,0.00,1.91,1.84,1.84,0.57,68446
1980-07-16,0.00,1.91,1.86,1.86,0.58,101040
1980-07-17,0.00,1.93,1.89,1.89,0.58,30421
1980-07-18,0.00,1.98,1.91,1.91,0.59,42371
1980-07-21,0.00,1.98,1.93,1.93,0.60,34766
1980-07-22,0.00,2.00,1.96,1.96,0.60,33680
1980-07-23,0.00,2.00,1.93,1.93,0.60,20643
1980-07-24,0.00,2.00,1.98,1.98,0.61,21729
1980-07-25,0.00,2.02,1.98,1.98,0.61,23902
1980-07-28,0.00,2.05,2.00,2.00,0.62,77138
1980-07-29,0.00,2.07,2.02,2.02,0.63,2173
1980-07-30,0.00,2.12,2.05,2.05,0.63,162967
1980-07-31,0.00,2.12,2.07,2.07,0.64,23902
1980-08-01,0.00,2.14,2.09,2.09,0.65,156449
1980-08-04,0.00,2.14,2.09,2.09,0.65,5432
1980-08-05,0.00,2.14,2.09,2.09,0.65,53236
1980-08-06,0.00,2.14,2.09,2.09,0.65,41285
1980-08-07,0.00,2.19,2.12,2.12,0.65,40199
1980-08-08,0.00,2.21,2.16,2.16,0.67,27161
1980-08-11,0.00,2.28,2.23,2.23,0.69,118423
1980-08-12,0.00,2.30,2.26,2.26,0.70,90175
1980-08-13,0.00,2.30,2.26,2.26,0.70,45631
1980-08-14,0.00,2.30,2.26,2.26,0.70,17383
1980-08-15,0.00,2.30,2.26,2.26,0.70,18470
1980-08-18,0.00,2.30,2.26,2.26,0.70,64100
1980-08-19,0.00,2.30,2.26,2.26,0.70,19556
1980-08-20,0.00,2.28,2.26,2.26,0.70,101040
1980-08-21,0.00,2.28,2.26,2.26,0.70,36939
1980-08-22,0.00,2.30,2.26,2.26,0.70,937605
1980-08-25,0.00,2.28,2.23,2.23,0.69,139065
1980-08-26,0.00,2.28,2.24,2.24,0.69,11951
1980-08-27,0.00,2.28,2.23,2.23,0.69,91262
1980-08-28,0.00,2.28,2.23,2.23,0.69,6519
1980-08-29,0.00,2.28,2.23,2.23,0.69,4346
1980-09-02,0.00,2.28,2.23,2.23,0.69,15210
1980-09-03,0.00,2.28,2.23,2.23,0.69,55409
1980-09-04,0.00,2.30,2.23,2.23,0.69,22815
1980-09-05,0.00,2.28,2.23,2.23,0.69,19556
1980-09-08,0.00,2.28,2.23,2.23,0.69,131460
1980-09-09,0.00,2.28,2.23,2.23,0.69,9778
1980-09-10,0.00,2.28,2.23,2.23,0.69,15210
1980-09-11,0.00,2.28,2.23,2.23,0.69,8692
1980-09-12,0.00,2.28,2.23,2.23,0.69,53236
1980-09-15,0.00,2.26,2.23,2.23,0.69,48890
1980-09-16,0.00,2.28,2.23,2.23,0.69,79311
1980-09-17,0.00,2.28,2.26,2.26,0.70,24988
1980-09-18,0.00,2.28,2.26,2.26,0.70,5432
1980-09-19,0.00,2.30,2.26,2.26,0.70,17383
1980-09-22,0.00,2.30,2.26,2.26,0.70,22815
1980-09-23,0.00,2.30,2.27,2.27,0.70,66273
1980-09-24,0.00,2.30,2.26,2.26,0.70,19556
1980-09-25,0.00,2.30,2.26,2.26,0.70,19556
1980-09-26,0.00,2.28,2.26,2.26,0.70,28248
1980-09-29,0.00,2.28,2.26,2.26,0.70,78224
1980-09-30,0.00,2.30,2.26,2.26,0.70,111904
1980-10-01,0.00,2.30,2.26,2.26,0.70,96694
1980-10-02,0.00,2.30,2.26,2.26,0.70,30421
1980-10-03,0.00,2.35,2.30,2.30,0.71,54322
1980-10-06,0.00,2.35,2.30,2.30,0.71,33680
1980-10-07,0.00,2.35,2.30,2.30,0.71,44544
1980-10-08,0.00,2.35,2.30,2.30,0.71,45631
1980-10-09,0.00,2.35,2.30,2.30,0.71,8692
1980-10-10,0.00,2.35,2.30,2.30,0.71,52150
1980-10-13,0.00,2.35,2.30,2.30,0.71,1086
1980-10-14,0.00,2.39,2.32,2.32,0.72,69533
1980-10-15,0.00,2.42,2.37,2.37,0.73,72792
1980-10-16,0.00,2.44,2.37,2.37,0.73,10864
1980-10-17,0.00,2.42,2.37,2.37,0.73,53236
1980-10-20,0.00,2.42,2.37,2.37,0.73,28248
1980-10-21,0.00,2.39,2.37,2.37,0.73,9778
1980-10-22,0.00,2.42,2.37,2.37,0.73,55409
1980-10-23,0.00,2.42,2.37,2.37,0.73,129287
1980-10-24,0.00,2.39,2.37,2.37,0.73,20643
1980-10-27,0.00,2.42,2.37,2.37,0.73,24988
1980-10-28,0.00,2.44,2.39,2.39,0.74,42371
1980-10-29,0.00,2.44,2.39,2.39,0.74,28248
1980-10-30,0.00,2.46,2.39,2.39,0.74,34766
