Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.12,0.11,0.11,0.08,360000
1980-03-18,0.00,0.12,0.11,0.11,0.08,1944000
1980-03-19,0.00,0.12,0.11,0.11,0.08,1756800
1980-03-20,0.00,0.12,0.11,0.11,0.08,1324800
1980-03-21,0.00,0.12,0.11,0.11,0.08,1872000
1980-03-24,0.00,0.12,0.11,0.11,0.08,86400
1980-03-25,0.00,0.12,0.11,0.11,0.08,446400
1980-03-26,0.00,0.11,0.11,0.11,0.08,388800
1980-03-27,0.00,0.11,0.10,0.10,0.07,648000
1980-03-28,0.00,0.11,0.10,0.10,0.07,100800
1980-03-31,0.00,0.11,0.10,0.10,0.07,28800
1980-04-01,0.00,0.11,0.10,0.10,0.07,979200
1980-04-02,0.00,0.11,0.10,0.10,0.07,504000
1980-04-03,0.00,0.10,0.10,0.10,0.07,489600
1980-04-07,0.00,0.10,0.09,0.09,0.07,259200
1980-04-08,0.00,0.10,0.09,0.09,0.07,633600
1980-04-09,0.00,0.10,0.10,0.10,0.07,1411200
1980-04-10,0.00,0.10,0.10,0.10,0.07,57600
1980-04-11,0.00,0.11,0.10,0.10,0.07,2131200
1980-04-14,0.00,0.11,0.10,0.10,0.07,28800
1980-04-15,0.00,0.11,0.10,0.10,0.07,129600
1980-04-16,0.00,0.11,0.10,0.10,0.07,230400
1980-04-17,0.00,0.11,0.10,0.10,0.07,28800
1980-04-18,0.00,0.11,0.10,0.10,0.07,57600
1980-04-21,0.00,0.11,0.10,0.10,0.07,302400
1980-04-22,0.00,0.11,0.10,0.10,0.07,86400
1980-04-23,0.00,0.11,0.10,0.10,0.07,489600
1980-04-24,0.00,0.11,0.10,0.10,0.07,403200
1980-04-25,0.00,0.11,0.10,0.10,0.07,172800
1980-04-28,0.00,0.11,0.10,0.10,0.08,1713600
1980-04-29,0.00,0.12,0.11,0.11,0.08,273600
1980-04-30,0.00,0.11,0.11,0.11,0.08,561600
1980-05-01,0.00,0.11,0.11,0.11,0.08,158400
1980-05-02,0.00,0.11,0.11,0.11,0.08,230400
1980-05-05,0.00,0.11,0.11,0.11,0.08,129600
1980-05-06,0.00,0.11,0.10,0.10,0.07,144000
1980-05-07,0.00,0.11,0.10,0.10,0.07,28800
1980-05-08,0.00,0.11,0.10,0.10,0.07,43200
1980-05-09,0.00,0.11,0.10,0.10,0.07,28800
1980-05-12,0.00,0.11,0.10,0.10,0.07,57600
1980-05-13,0.00,0.11,0.10,0.10,0.07,57600
1980-05-14,0.00,0.11,0.10,0.10,0.08,504000
1980-05-15,0.00,0.11,0.10,0.10,0.08,691200
1980-05-16,0.00,0.11,0.11,0.11,0.08,892800
1980-05-19,0.00,0.11,0.11,0.11,0.08,518400
1980-05-20,0.00,0.11,0.11,0.11,0.08,403200
1980-05-21,0.00,0.11,0.10,0.10,0.08,561600
1980-05-22,0.00,0.11,0.10,0.10,0.08,100800
1980-05-23,0.00,0.11,0.11,0.11,0.08,316800
1980-05-27,0.00,0.11,0.11,0.11,0.08,417600
1980-05-28,0.11,0.11,0.11,0.11,0.08,0
1980-05-29,0.00,0.11,0.11,0.11,0.08,201600
1980-05-30,0.00,0.11,0.11,0.11,0.08,28800
1980-06-02,0.00,0.11,0.10,0.10,0.08,28800
1980-06-03,0.00,0.11,0.10,0.10,0.08,187200
1980-06-04,0.00,0.11,0.10,0.10,0.08,172800
1980-06-05,0.00,0.11,0.10,0.10,0.08,244800
1980-06-06,0.00,0.11,0.10,0.10,0.08,158400
1980-06-09,0.00,0.11,0.11,0.11,0.08,273600
1980-06-10,0.00,0.11,0.11,0.11,0.08,230400
1980-06-11,0.00,0.11,0.11,0.11,0.08,331200
1980-06-12,0.00,0.11,0.11,0.11,0.08,144000
1980-06-13,0.00,0.11,0.11,0.11,0.08,57600
1980-06-16,0.00,0.11,0.10,0.10,0.08,86400
1980-06-17,0.00,0.11,0.11,0.11,0.08,115200
1980-06-18,0.00,0.11,0.11,0.11,0.08,302400
1980-06-19,0.00,0.11,0.11,0.11,0.08,403200
1980-06-20,0.00,0.11,0.11,0.11,0.08,43200
1980-06-23,0.00,0.11,0.11,0.11,0.08,244800
1980-06-24,0.00,0.11,0.10,0.10,0.08,331200
1980-06-25,0.00,0.11,0.11,0.11,0.08,86400
1980-06-26,0.00,0.11,0.11,0.11,0.08,115200
1980-06-27,0.00,0.11,0.11,0.11,0.08,158400
1980-06-30,0.00,0.11,0.11,0.11,0.08,792000
1980-07-01,0.00,0.11,0.10,0.10,0.08,216000
1980-07-02,0.00,0.11,0.11,0.11,0.08,28800
1980-07-03,0.00,0.11,0.11,0.11,0.08,504000
1980-07-07,0.00,0.11,0.11,0.11,0.08,28800
1980-07-08,0.00,0.11,0.11,0.11,0.08,201600
1980-07-09,0.00,0.11,0.11,0.11,0.08,172800
1980-07-10,0.00,0.11,0.11,0.11,0.08,432000
1980-07-11,0.00,0.11,0.11,0.11,0.08,1080000
1980-07-14,0.00,0.11,0.11,0.11,0.08,532800
1980-07-15,0.00,0.11,0.11,0.11,0.08,316800
