Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,18.00,22.76,17.50,21.51,20.56,111631600
2020-08-07,24.75,26.85,22.66,24.90,23.80,89903400
2020-08-10,24.24,24.75,21.37,21.67,20.71,26126800
2020-08-11,21.10,21.60,20.04,20.58,19.67,18118200
2020-08-12,20.65,21.19,19.25,20.00,19.12,17365100
2020-08-13,19.20,19.60,18.31,18.74,17.91,19121400
2020-08-14,20.30,20.49,18.68,18.96,18.12,34817500
2020-08-17,19.39,19.43,18.81,19.04,18.20,8908400
2020-08-18,19.62,20.80,19.10,20.14,19.25,16284100
2020-08-19,20.08,21.66,20.00,21.40,20.45,16762500
2020-08-20,22.50,24.45,22.20,23.79,22.74,35029100
2020-08-21,24.73,27.20,24.42,25.89,24.75,39128700
2020-08-24,28.80,29.96,27.85,29.11,27.82,41478400
2020-08-25,29.30,29.42,27.11,28.61,27.34,36330700
2020-08-26,27.68,28.48,26.51,27.32,26.11,21137500
2020-08-27,27.31,28.97,26.70,27.10,25.90,17824100
2020-08-28,27.50,28.98,27.18,28.42,27.16,16363200
2020-08-31,29.33,29.64,26.75,28.00,26.76,24922600
2020-09-01,28.20,31.00,27.80,30.71,29.35,30720700
2020-09-02,33.94,34.42,30.61,31.31,29.93,62243000
2020-09-03,28.02,29.15,25.80,26.50,25.33,41944500
2020-09-04,26.81,27.00,22.56,24.57,23.48,32980800
2020-09-08,23.02,24.77,22.55,22.74,21.73,16893800
2020-09-09,23.87,24.97,23.25,23.39,22.36,15817000
2020-09-10,23.73,24.49,23.07,23.15,22.13,10147900
2020-09-11,23.31,23.49,22.37,22.75,21.74,8176800
2020-09-14,22.94,24.15,22.92,23.70,22.65,8672100
2020-09-15,24.15,24.60,23.25,23.36,22.33,7339200
2020-09-16,23.15,23.54,22.66,22.72,21.72,8880600
2020-09-17,22.00,23.54,21.72,22.57,21.57,7994800
2020-09-18,22.71,23.04,22.18,22.27,21.29,14445200
2020-09-21,21.50,22.09,21.11,21.42,20.47,8183400
2020-09-22,21.62,22.06,21.19,21.57,20.62,7409700
2020-09-23,21.65,22.22,20.19,20.30,19.40,11701000
2020-09-24,20.00,20.80,19.37,20.06,19.17,11048700
2020-09-25,20.35,21.19,20.01,20.52,19.61,8393000
2020-09-28,20.82,21.00,20.26,20.67,19.76,6690800
2020-09-29,20.50,20.68,19.90,20.07,19.18,7073100
2020-09-30,20.03,20.36,19.84,19.93,19.05,6718300
2020-10-01,19.97,22.93,19.90,22.66,21.66,27027300
2020-10-02,21.38,23.10,21.25,23.00,21.98,17008700
2020-10-05,23.00,23.40,22.13,22.56,21.56,12424600
2020-10-06,22.56,22.88,21.39,21.72,20.76,8084000
2020-10-07,22.00,22.13,21.52,21.70,20.74,5506700
2020-10-08,21.83,23.39,21.66,22.73,21.72,13169200
2020-10-09,23.69,23.99,22.60,22.96,21.94,16426700
2020-10-12,22.77,23.48,22.26,23.14,22.12,12646900
2020-10-13,23.06,23.93,22.95,23.58,22.54,13230100
2020-10-14,23.99,23.99,22.68,22.76,21.75,8827200
2020-10-15,22.27,22.81,21.91,22.35,21.36,5943000
2020-10-16,22.49,22.84,21.82,21.91,20.94,6171500
2020-10-19,22.01,22.13,20.73,20.74,19.82,7174600
2020-10-20,21.00,21.02,20.25,20.56,19.65,6737100
2020-10-21,20.48,20.61,19.94,20.01,19.13,7742600
2020-10-22,20.11,20.53,19.77,20.25,19.35,8436700
2020-10-23,20.34,21.07,19.95,20.57,19.66,8703500
2020-10-26,20.20,20.58,19.71,19.88,19.00,7427800
2020-10-27,19.95,20.72,19.66,20.11,19.22,9098500
2020-10-28,19.70,19.87,18.63,18.65,17.83,12631600
2020-10-29,18.87,19.18,18.58,18.90,18.06,7277800
2020-10-30,18.73,18.88,17.78,18.23,17.42,9368800
2020-11-02,18.40,19.11,18.20,18.93,18.09,6602200
2020-11-03,19.18,19.99,19.14,19.38,18.52,9316300
2020-11-04,20.09,21.10,20.05,20.62,19.71,9510300
2020-11-05,21.23,21.57,20.71,20.95,20.02,8553800
2020-11-06,21.00,21.50,20.61,21.31,20.37,8208900
2020-11-09,22.19,22.41,20.22,21.45,20.50,18543700
2020-11-10,21.56,22.29,20.80,21.60,20.64,22762600
2020-11-11,21.60,21.71,20.56,21.06,20.13,20671500
2020-11-12,21.16,22.02,21.07,21.79,20.83,19326100
2020-11-13,22.04,22.31,21.53,21.85,20.88,10777600
2020-11-16,21.92,22.75,21.91,22.65,21.65,15321800
2020-11-17,22.23,22.99,22.05,22.20,21.22,9188900
2020-11-18,22.23,22.58,21.13,21.16,20.22,10094100
2020-11-19,21.10,21.55,20.90,21.26,20.32,6883100
2020-11-20,21.21,21.42,20.63,20.96,20.03,7795900
2020-11-23,21.00,21.15,20.22,20.30,19.40,11392600
2020-11-24,20.43,21.48,19.91,20.83,19.91,19963000
2020-11-25,20.84,20.97,20.41,20.42,19.52,9112800
2020-11-27,20.58,20.65,20.13,20.25,19.35,6314500
2020-11-30,20.20,20.75,19.65,20.72,19.80,11797900
2020-12-01,20.95,20.95,20.08,20.19,19.30,9076400
2020-12-02,20.09,20.35,19.92,20.10,19.21,7905300
2020-12-03,20.15,20.51,20.11,20.31,19.41,7834900
2020-12-04,20.22,20.34,19.57,19.63,18.76,13159500
2020-12-07,19.59,20.24,19.55,19.70,18.83,10978600
2020-12-08,19.80,20.63,19.66,20.21,19.32,15648800
2020-12-09,20.92,21.97,20.47,21.06,20.13,29772400
2020-12-10,21.34,21.40,20.63,20.80,19.88,10688800
2020-12-11,20.75,21.42,20.70,20.86,19.94,9604400
2020-12-14,21.48,22.64,21.28,21.94,20.97,21751300
2020-12-15,22.33,22.63,21.83,22.36,21.37,10615100
2020-12-16,22.63,22.84,22.22,22.39,21.40,10259600
2020-12-17,22.37,22.53,21.77,22.40,21.41,9006100
2020-12-18,21.52,21.98,21.42,21.64,20.68,13530300
2020-12-21,21.19,22.13,21.06,21.60,20.64,6132500
2020-12-22,21.67,21.77,21.40,21.70,20.74,4910400
2020-12-23,21.86,21.87,21.25,21.65,20.69,4630200
2020-12-24,21.64,21.67,20.67,20.83,19.91,5445300
2020-12-28,21.02,21.02,20.26,20.50,19.59,7550300
2020-12-29,20.46,21.05,20.05,20.75,19.83,10950600
2020-12-30,20.78,21.26,20.52,21.16,20.22,5491900
2020-12-31,21.11,21.12,20.20,20.22,19.33,8161700
2021-01-04,20.25,20.27,19.84,20.00,19.12,6486900
2021-01-05,19.97,20.14,19.81,19.89,19.01,14297700
2021-01-06,19.51,19.67,19.18,19.35,18.49,16289300
2021-01-07,19.37,19.89,19.37,19.72,18.85,8838300
2021-01-08,19.87,20.13,19.72,19.95,19.07,6596800
2021-01-11,19.71,20.38,19.68,19.84,18.96,8002300
2021-01-12,19.93,20.15,19.46,19.63,18.76,7538600
2021-01-13,19.90,20.10,19.61,19.93,19.05,6449900
2021-01-14,20.07,20.24,19.91,20.16,19.27,5979500
2021-01-15,20.09,20.18,19.57,19.60,18.73,7098200
2021-01-19,19.50,19.68,19.33,19.54,18.68,6679500
2021-01-20,19.60,19.91,19.40,19.87,18.99,5524400
2021-01-21,19.88,20.08,19.61,19.97,19.09,5051300
2021-01-22,19.82,20.14,19.75,20.05,19.16,5070000
2021-01-25,20.25,23.99,20.08,23.19,22.16,37726700
2021-01-26,23.50,23.57,22.20,22.70,21.70,13717800
2021-01-27,23.73,25.55,22.56,23.00,21.98,26631000
2021-01-28,22.99,23.67,21.09,21.31,20.37,13670400
2021-01-29,24.30,24.50,21.16,21.36,20.42,21610100
2021-02-01,21.63,22.03,21.16,21.54,20.59,9663600
2021-02-02,21.83,21.98,20.93,20.94,20.01,10117100
2021-02-03,21.60,22.15,21.17,21.21,20.27,12375000
2021-02-04,21.61,22.40,21.45,21.57,20.62,11477200
2021-02-05,21.50,21.75,21.25,21.63,20.67,7321300
2021-02-08,21.94,21.99,21.42,21.62,20.66,8350400
2021-02-09,21.55,21.84,21.23,21.25,20.31,9648600
2021-02-10,21.28,21.38,20.61,20.94,20.01,7657900
2021-02-11,21.01,21.47,20.55,20.67,19.76,7602400
2021-02-12,20.77,20.99,20.47,20.68,19.77,7575500
2021-02-16,20.90,21.13,20.41,20.57,19.66,7779300
2021-02-17,20.55,20.84,20.04,20.05,19.16,12756200
2021-02-18,20.10,20.43,19.70,20.07,19.18,8815600
2021-02-19,20.29,20.54,20.08,20.27,19.37,5705500
2021-02-22,20.29,20.82,20.13,20.41,19.51,8555400
2021-02-23,20.03,20.08,18.70,20.00,19.12,9944800
2021-02-24,19.76,20.39,19.47,20.32,19.42,8657900
2021-02-25,20.35,20.98,19.71,19.90,19.02,15216700
2021-02-26,23.33,23.56,21.58,21.85,20.88,50331300
2021-03-01,23.00,24.50,22.52,24.30,23.23,35347800
2021-03-02,27.34,43.00,26.95,41.60,39.76,376559100
2021-03-03,37.11,39.47,27.56,28.01,26.77,178101400
2021-03-04,28.00,30.94,25.38,26.86,25.67,67277800
2021-03-05,27.74,27.85,23.48,25.10,23.99,35128700
2021-03-08,24.87,27.76,23.85,24.71,24.71,28848000
2021-03-09,25.00,27.39,23.93,25.49,25.49,31961400
2021-03-10,25.40,28.68,25.02,25.95,25.95,42862200
2021-03-11,26.32,27.84,25.66,25.83,25.83,17125100
2021-03-12,25.53,25.79,24.80,25.01,25.01,10730500
2021-03-15,25.65,26.66,25.12,25.80,25.80,13113600
2021-03-16,26.11,26.93,24.93,25.00,25.00,16066600
2021-03-17,24.82,25.13,24.15,24.50,24.50,11581000
2021-03-18,24.30,24.60,23.06,23.10,23.10,12835000
2021-03-19,23.24,23.64,22.73,23.07,23.07,12200200
2021-03-22,23.24,23.46,22.84,22.99,22.99,7821900
2021-03-23,23.33,24.69,22.96,23.04,23.04,18177400
2021-03-24,23.32,23.57,22.48,22.52,22.52,9191200
2021-03-25,21.98,22.55,21.70,22.47,22.47,7982100
2021-03-26,22.30,24.13,22.09,23.91,23.91,12108300
2021-03-29,24.25,27.44,22.81,23.80,23.80,56445500
2021-03-30,24.05,24.53,23.17,23.20,23.20,12725500
2021-03-31,23.32,23.57,22.75,23.09,23.09,11232900
2021-04-01,23.30,23.40,22.54,22.55,22.55,9795200
2021-04-05,22.76,23.01,22.40,22.44,22.44,6856400
2021-04-06,22.36,23.43,21.89,22.65,22.65,14545900
2021-04-07,22.70,23.07,22.30,22.58,22.58,6649100
2021-04-08,22.60,22.89,22.16,22.57,22.57,6159100
2021-04-09,22.57,22.88,22.36,22.75,22.75,4592800
2021-04-12,22.75,22.78,21.94,22.17,22.17,8012300
2021-04-13,22.05,23.09,22.04,22.98,22.98,8521100
2021-04-14,22.78,23.30,22.07,22.25,22.25,7388400
2021-04-15,22.50,23.09,22.11,22.76,22.76,11444300
2021-04-16,22.55,22.68,22.00,22.12,22.12,6554700
2021-04-19,22.06,22.18,21.57,22.01,22.01,5849300
2021-04-20,21.97,22.12,21.43,21.67,21.67,4648700
2021-04-21,21.27,21.90,20.94,21.90,21.90,6211200
2021-04-22,21.96,22.32,21.75,21.87,21.87,5917000
2021-04-23,21.89,22.27,21.82,22.15,22.15,3729800
2021-04-26,22.28,22.75,22.24,22.57,22.57,4581000
2021-04-27,22.76,22.96,22.44,22.90,22.90,4130000
2021-04-28,23.00,23.03,22.57,22.86,22.86,4113000
2021-04-29,22.92,23.03,22.31,22.90,22.90,4327400
2021-04-30,22.77,23.01,22.37,22.45,22.45,3729300
2021-05-03,22.60,22.70,22.15,22.50,22.50,5825100
2021-05-04,22.75,23.20,21.87,22.49,22.49,9467100
2021-05-05,22.71,23.33,22.46,22.80,22.80,20786000
2021-05-06,19.68,19.80,18.78,19.01,19.01,37016300
2021-05-07,19.20,19.20,17.91,18.09,18.09,26738800
2021-05-10,17.86,17.95,17.23,17.66,17.66,15135300
2021-05-11,16.70,17.27,16.48,17.14,17.14,13777800
2021-05-12,17.12,17.50,16.60,16.68,16.68,9742800
2021-05-13,16.68,17.08,16.22,16.58,16.58,10052600
2021-05-14,16.80,17.37,16.69,17.34,17.34,5616300
2021-05-17,17.17,17.75,17.04,17.74,17.74,5446800
2021-05-18,17.66,17.88,17.38,17.61,17.61,4295500
2021-05-19,17.03,17.28,16.75,17.09,17.09,5694400
2021-05-20,17.10,17.23,16.86,17.23,17.23,5280400
2021-05-21,17.26,17.34,16.91,16.94,16.94,4635200
2021-05-24,17.01,17.07,16.75,16.90,16.90,4746500
2021-05-25,16.92,17.12,16.68,16.81,16.81,5217200
2021-05-26,16.88,17.58,16.80,17.46,17.46,8807500
2021-05-27,17.52,19.40,17.25,18.35,18.35,24882100
2021-05-28,18.39,19.20,17.65,17.71,17.71,15210000
2021-06-01,17.74,18.30,17.33,17.91,17.91,9618100
2021-06-02,18.03,20.74,17.59,20.27,20.27,39942200
2021-06-03,20.00,21.13,19.36,19.56,19.56,18459000
2021-06-04,19.68,20.38,19.52,19.77,19.77,9691300
2021-06-07,19.78,20.21,19.54,19.90,19.90,7612400
2021-06-08,20.15,21.40,20.07,21.31,21.31,17891300
2021-06-09,22.51,22.68,21.35,21.73,21.73,18050700
2021-06-10,21.40,21.83,20.36,20.60,20.60,8383900
2021-06-11,20.79,21.07,20.48,20.67,20.67,5065700
2021-06-14,20.78,21.36,20.66,20.73,20.73,5631700
2021-06-15,20.79,20.85,20.18,20.26,20.26,4989400
2021-06-16,20.24,20.56,19.30,19.69,19.69,7378200
2021-06-17,19.49,20.17,19.41,19.72,19.72,4916200
2021-06-18,19.95,19.98,19.19,19.44,19.44,6710500
2021-06-21,19.35,19.63,18.86,19.22,19.22,6621600
2021-06-22,19.20,19.43,19.03,19.12,19.12,4066100
2021-06-23,19.18,20.35,19.06,20.03,20.03,14559100
2021-06-24,20.20,20.41,19.86,20.14,20.14,6179000
2021-06-25,20.10,20.30,19.87,20.14,20.14,8144600
2021-06-28,20.16,20.36,19.72,20.02,20.02,4210500
2021-06-29,20.10,20.84,19.75,20.20,20.20,7569200
2021-06-30,20.00,20.20,19.33,19.35,19.35,7943100
2021-07-01,19.36,19.61,18.98,19.01,19.01,6888400
2021-07-02,18.99,19.14,18.74,18.75,18.75,4360800
2021-07-06,18.76,19.10,18.51,18.76,18.76,3843500
2021-07-07,18.65,19.59,18.65,19.19,19.19,8999600
2021-07-08,18.69,19.33,18.31,19.17,19.17,5021900
2021-07-09,19.10,19.32,18.71,19.03,19.03,5744600
2021-07-12,18.55,18.57,17.97,18.03,18.03,8475100
2021-07-13,17.95,17.99,17.09,17.11,17.11,9516100
2021-07-14,17.32,17.56,16.95,17.38,17.38,6980800
2021-07-15,17.26,17.68,17.18,17.68,17.68,4817100
2021-07-16,17.71,17.83,17.20,17.35,17.35,3875100
2021-07-19,17.03,17.34,16.78,17.33,17.33,4945300
2021-07-20,16.45,17.31,16.45,17.27,17.27,8300400
2021-07-21,17.19,18.06,17.19,17.89,17.89,4484300
2021-07-22,17.80,17.83,17.49,17.62,17.62,2117300
2021-07-23,17.64,17.73,17.10,17.34,17.34,4137800
2021-07-26,17.17,17.63,17.09,17.38,17.38,2613100
2021-07-27,17.26,17.60,16.93,17.25,17.25,3021200
2021-07-28,17.31,17.70,17.31,17.60,17.60,2869900
2021-07-29,17.75,18.23,17.44,17.47,17.47,4262900
2021-07-30,17.47,17.63,17.19,17.24,17.24,2127200
2021-08-02,17.34,18.65,17.23,17.89,17.89,9629400
