Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,8.14,8.25,8.03,8.19,0.80,109600
1982-01-04,8.16,8.16,8.12,8.12,0.79,80800
1982-01-05,8.03,8.12,7.91,7.91,0.77,138400
1982-01-06,7.78,7.91,7.66,7.72,0.75,151600
1982-01-07,7.69,7.72,7.62,7.66,0.75,96800
1982-01-08,7.72,7.75,7.66,7.69,0.75,258800
1982-01-11,7.59,7.69,7.47,7.47,0.73,160000
1982-01-12,7.31,7.47,7.12,7.28,0.71,249200
1982-01-13,7.22,7.31,7.12,7.16,0.70,227200
1982-01-14,7.19,7.25,7.12,7.19,0.70,52800
1982-01-15,7.25,7.31,7.19,7.25,0.71,75200
1982-01-18,7.19,7.25,7.09,7.09,0.69,243200
1982-01-19,7.28,7.34,7.22,7.31,0.72,395600
1982-01-20,7.50,7.66,7.31,7.59,0.74,548000
1982-01-21,7.75,7.81,7.66,7.75,0.76,395600
1982-01-22,7.72,7.75,7.69,7.72,0.75,341600
1982-01-25,7.69,7.72,7.62,7.72,0.75,253600
1982-01-26,7.75,7.81,7.66,7.66,0.75,262800
1982-01-27,7.59,7.66,7.50,7.50,0.73,349600
1982-01-28,7.53,7.59,7.47,7.50,0.73,154000
1982-01-29,7.72,7.84,7.56,7.81,0.76,309600
1982-02-01,7.72,7.78,7.62,7.62,0.75,272000
1982-02-02,7.62,7.69,7.53,7.62,0.75,140400
1982-02-03,7.66,7.75,7.56,7.56,0.74,142000
1982-02-04,7.59,7.62,7.53,7.56,0.74,93600
1982-02-05,7.81,7.91,7.69,7.88,0.77,149600
1982-02-08,8.00,8.06,7.91,7.94,0.78,177200
1982-02-09,8.00,8.03,7.97,8.00,0.78,108400
1982-02-10,8.06,8.16,7.94,7.94,0.78,299200
1982-02-11,7.97,7.97,7.94,7.94,0.78,138800
1982-02-12,7.94,7.97,7.91,7.94,0.78,42400
1982-02-16,7.72,7.75,7.69,7.72,0.76,258400
1982-02-17,7.72,7.78,7.62,7.62,0.76,221200
1982-02-18,7.59,7.66,7.50,7.56,0.75,101200
