Date,Open,High,Low,Close,Adj Close,Volume
1985-08-08,0.00,0.56,0.55,0.55,0.43,6630400
1985-08-09,0.00,0.55,0.55,0.55,0.42,10294400
1985-08-12,0.00,0.55,0.54,0.54,0.42,3756800
1985-08-13,0.00,0.53,0.52,0.52,0.41,15484800
1985-08-14,0.00,0.54,0.52,0.52,0.41,5305600
1985-08-15,0.00,0.53,0.52,0.52,0.41,4633600
1985-08-16,0.00,0.53,0.52,0.52,0.40,2230400
1985-08-19,0.00,0.53,0.52,0.52,0.40,665600
1985-08-20,0.00,0.53,0.53,0.53,0.41,1875200
1985-08-21,0.00,0.54,0.53,0.53,0.41,7030400
1985-08-22,0.00,0.54,0.54,0.54,0.41,6822400
1985-08-23,0.00,0.54,0.53,0.53,0.41,2720000
1985-08-26,0.00,0.54,0.53,0.53,0.41,2262400
1985-08-27,0.00,0.53,0.52,0.52,0.40,2342400
1985-08-28,0.00,0.53,0.52,0.52,0.41,342400
1985-08-29,0.00,0.53,0.52,0.52,0.41,368000
1985-08-30,0.00,0.53,0.52,0.52,0.40,963200
1985-09-03,0.00,0.52,0.52,0.52,0.40,1718400
1985-09-04,0.00,0.52,0.52,0.52,0.40,1708800
1985-09-05,0.00,0.52,0.52,0.52,0.40,1651200
1985-09-06,0.00,0.53,0.52,0.52,0.41,2441600
1985-09-09,0.00,0.53,0.52,0.52,0.41,2803200
1985-09-10,0.00,0.53,0.52,0.52,0.41,1958400
1985-09-11,0.00,0.52,0.52,0.52,0.40,2272000
1985-09-12,0.00,0.52,0.51,0.51,0.40,4339200
1985-09-13,0.00,0.47,0.46,0.46,0.36,2185600
1985-09-16,0.00,0.46,0.45,0.45,0.35,2265600
1985-09-17,0.00,0.41,0.41,0.41,0.31,2179200
1985-09-18,0.00,0.46,0.45,0.45,0.35,2150400
1985-09-19,0.00,0.48,0.48,0.48,0.37,1712000
1985-09-20,0.00,0.48,0.48,0.48,0.37,444800
1985-09-23,0.00,0.49,0.48,0.48,0.37,441600
1985-09-24,0.00,0.48,0.48,0.48,0.37,224000
1985-09-25,0.00,0.48,0.48,0.48,0.37,3385600
1985-09-26,0.00,0.48,0.48,0.48,0.37,646400
1985-09-30,0.00,0.48,0.47,0.47,0.36,707200
1985-10-01,0.00,0.48,0.47,0.47,0.36,137600
1985-10-02,0.00,0.48,0.48,0.48,0.37,540800
1985-10-03,0.00,0.48,0.48,0.48,0.37,179200
1985-10-04,0.00,0.48,0.47,0.47,0.37,262400
1985-10-07,0.00,0.48,0.47,0.47,0.37,83200
1985-10-08,0.00,0.48,0.47,0.47,0.37,108800
1985-10-09,0.00,0.48,0.47,0.47,0.36,412800
1985-10-10,0.00,0.48,0.47,0.47,0.36,934400
1985-10-11,0.00,0.48,0.47,0.47,0.37,2243200
1985-10-14,0.00,0.50,0.49,0.49,0.38,361600
1985-10-15,0.00,0.49,0.48,0.48,0.38,771200
1985-10-16,0.00,0.49,0.49,0.49,0.38,892800
1985-10-17,0.00,0.52,0.51,0.51,0.40,1600000
1985-10-18,0.00,0.52,0.51,0.51,0.40,736000
1985-10-21,0.00,0.52,0.51,0.51,0.39,156800
1985-10-22,0.00,0.52,0.51,0.51,0.39,147200
1985-10-23,0.00,0.54,0.53,0.53,0.41,1235200
1985-10-24,0.00,0.51,0.51,0.51,0.39,1971200
1985-10-25,0.00,0.52,0.51,0.51,0.39,329600
1985-10-28,0.00,0.50,0.50,0.50,0.38,889600
1985-10-29,0.00,0.51,0.50,0.50,0.38,835200
1985-10-30,0.00,0.52,0.50,0.50,0.39,1564800
1985-10-31,0.00,0.52,0.51,0.51,0.40,796800
1985-11-01,0.00,0.52,0.51,0.51,0.39,806400
1985-11-04,0.00,0.52,0.51,0.51,0.39,348800
1985-11-05,0.00,0.52,0.51,0.51,0.40,912000
1985-11-06,0.00,0.54,0.53,0.53,0.41,1648000
1985-11-07,0.00,0.55,0.54,0.54,0.42,3670400
1985-11-08,0.00,0.56,0.55,0.55,0.43,3062400
1985-11-11,0.00,0.56,0.55,0.55,0.43,3395200
1985-11-12,0.00,0.56,0.55,0.55,0.43,2217600
1985-11-13,0.00,0.57,0.56,0.56,0.43,1024000
1985-11-14,0.00,0.56,0.56,0.56,0.43,2643200
1985-11-15,0.00,0.56,0.55,0.56,0.43,5955200
1985-11-18,0.00,0.57,0.56,0.56,0.43,422400
1985-11-19,0.00,0.56,0.55,0.56,0.44,1590400
1985-11-20,0.00,0.57,0.56,0.56,0.43,160000
1985-11-21,0.00,0.57,0.56,0.56,0.44,486400
1985-11-22,0.00,0.56,0.56,0.56,0.44,518400
1985-11-25,0.00,0.56,0.55,0.56,0.43,1670400
1985-11-26,0.00,0.56,0.55,0.56,0.44,1241600
1985-11-27,0.00,0.62,0.56,0.60,0.47,3932800
1985-11-29,0.00,0.63,0.60,0.63,0.49,1740800
1985-12-02,0.00,0.63,0.61,0.62,0.48,921600
1985-12-03,0.00,0.62,0.62,0.62,0.48,1667200
1985-12-04,0.00,0.62,0.62,0.62,0.48,614400
1985-12-05,0.00,0.62,0.62,0.62,0.48,4579200
1985-12-06,0.00,0.62,0.61,0.62,0.48,1558400
1985-12-09,0.00,0.62,0.61,0.61,0.48,268800
1985-12-10,0.00,0.62,0.57,0.57,0.44,2435200
1985-12-11,0.00,0.60,0.58,0.59,0.46,1945600
1985-12-12,0.00,0.61,0.60,0.61,0.47,2496000
1985-12-13,0.00,0.62,0.61,0.61,0.47,1088000
1985-12-16,0.00,0.61,0.59,0.59,0.46,1414400
1985-12-17,0.00,0.60,0.57,0.58,0.45,3750400
1985-12-18,0.00,0.58,0.56,0.57,0.44,6140800
1985-12-19,0.00,0.57,0.56,0.57,0.44,592000
1985-12-20,0.00,0.57,0.55,0.56,0.44,1971200
1985-12-23,0.00,0.56,0.53,0.53,0.41,2748800
1985-12-24,0.00,0.54,0.54,0.54,0.42,1628800
1985-12-26,0.00,0.55,0.54,0.54,0.42,406400
1985-12-27,0.00,0.54,0.54,0.54,0.42,275200
1985-12-30,0.00,0.55,0.54,0.55,0.43,864000
1985-12-31,0.00,0.57,0.55,0.56,0.44,508800
1986-01-02,0.00,0.57,0.56,0.56,0.44,236800
1986-01-03,0.00,0.57,0.56,0.57,0.44,73600
1986-01-06,0.00,0.57,0.55,0.55,0.43,1020800
1986-01-07,0.00,0.56,0.55,0.55,0.42,1011200
1986-01-08,0.00,0.55,0.55,0.55,0.42,339200
1986-01-09,0.00,0.55,0.54,0.55,0.42,1238400
1986-01-10,0.00,0.55,0.41,0.44,0.34,38217600
1986-01-13,0.00,0.44,0.38,0.39,0.30,7932800
1986-01-14,0.00,0.41,0.38,0.41,0.31,14672000
1986-01-15,0.00,0.43,0.40,0.43,0.33,7385600
1986-01-16,0.00,0.43,0.42,0.42,0.33,6566400
1986-01-17,0.00,0.43,0.42,0.42,0.33,1795200
1986-01-20,0.00,0.43,0.41,0.42,0.33,2902400
1986-01-21,0.00,0.42,0.40,0.41,0.31,1107200
1986-01-22,0.00,0.41,0.40,0.41,0.32,1475200
1986-01-23,0.00,0.41,0.39,0.39,0.30,1910400
1986-01-24,0.00,0.40,0.39,0.39,0.31,1504000
1986-01-27,0.00,0.41,0.39,0.41,0.32,2992000
1986-01-28,0.00,0.41,0.39,0.40,0.31,604800
1986-01-29,0.00,0.41,0.40,0.40,0.31,729600
1986-01-30,0.00,0.42,0.40,0.41,0.31,5052800
1986-01-31,0.00,0.41,0.40,0.41,0.31,1363200
1986-02-03,0.00,0.41,0.41,0.41,0.31,1020800
1986-02-04,0.00,0.41,0.41,0.41,0.32,6425600
1986-02-05,0.00,0.42,0.41,0.42,0.33,3804800
1986-02-06,0.00,0.45,0.42,0.45,0.35,12576000
1986-02-07,0.00,0.45,0.43,0.45,0.35,3740800
1986-02-10,0.00,0.45,0.41,0.43,0.33,2563200
1986-02-11,0.00,0.43,0.41,0.41,0.32,6323200
1986-02-12,0.00,0.41,0.38,0.38,0.29,3545600
1986-02-13,0.00,0.40,0.38,0.39,0.30,1334400
1986-02-14,0.00,0.40,0.39,0.39,0.30,1283200
1986-02-18,0.00,0.40,0.39,0.40,0.31,2041600
1986-02-19,0.00,0.40,0.39,0.39,0.30,7113600
1986-02-20,0.00,0.40,0.38,0.39,0.30,3376000
1986-02-21,0.00,0.39,0.36,0.37,0.28,2339200
1986-02-24,0.00,0.37,0.35,0.36,0.28,803200
1986-02-25,0.00,0.36,0.35,0.36,0.28,633600
1986-02-26,0.00,0.37,0.36,0.37,0.28,1696000
1986-02-27,0.00,0.38,0.36,0.37,0.29,1667200
1986-02-28,0.00,0.38,0.37,0.38,0.29,777600
1986-03-03,0.00,0.38,0.38,0.38,0.30,2076800
1986-03-04,0.00,0.43,0.38,0.42,0.33,7254400
1986-03-05,0.00,0.43,0.41,0.42,0.32,1785600
1986-03-06,0.00,0.42,0.41,0.41,0.32,7369600
1986-03-07,0.00,0.42,0.41,0.41,0.31,652800
1986-03-10,0.00,0.41,0.39,0.40,0.31,723200
1986-03-11,0.00,0.40,0.39,0.39,0.31,582400
1986-03-12,0.00,0.41,0.39,0.41,0.31,2825600
1986-03-13,0.00,0.41,0.40,0.40,0.31,2422400
1986-03-14,0.00,0.40,0.39,0.39,0.31,1689600
1986-03-17,0.00,0.40,0.39,0.39,0.31,518400
1986-03-18,0.00,0.40,0.39,0.39,0.31,294400
1986-03-19,0.00,0.39,0.39,0.39,0.31,316800
1986-03-20,0.00,0.40,0.39,0.39,0.31,864000
1986-03-21,0.00,0.39,0.36,0.37,0.29,2982400
1986-03-24,0.00,0.38,0.36,0.36,0.28,3264000
1986-03-25,0.00,0.39,0.36,0.38,0.29,7494400
1986-03-26,0.00,0.39,0.38,0.38,0.30,18662400
1986-03-27,0.00,0.41,0.39,0.41,0.31,9478400
1986-03-31,0.00,0.41,0.40,0.41,0.31,14361600
1986-04-01,0.00,0.41,0.39,0.39,0.31,5616000
1986-04-02,0.00,0.41,0.40,0.40,0.31,1539200
1986-04-03,0.00,0.41,0.40,0.41,0.31,2793600
1986-04-04,0.00,0.41,0.39,0.40,0.31,3964800
1986-04-07,0.00,0.40,0.39,0.40,0.31,358400
1986-04-08,0.00,0.40,0.39,0.39,0.30,793600
1986-04-09,0.00,0.40,0.39,0.40,0.31,1427200
1986-04-10,0.00,0.40,0.37,0.38,0.30,3632000
1986-04-11,0.00,0.39,0.38,0.38,0.29,6662400
1986-04-14,0.00,0.39,0.38,0.39,0.30,2451200
1986-04-15,0.00,0.39,0.38,0.39,0.30,764800
1986-04-16,0.00,0.39,0.39,0.39,0.30,2665600
1986-04-17,0.00,0.39,0.39,0.39,0.31,918400
1986-04-18,0.00,0.39,0.39,0.39,0.30,1619200
1986-04-21,0.00,0.39,0.39,0.39,0.30,4140800
1986-04-22,0.00,0.39,0.39,0.39,0.31,6649600
1986-04-23,0.00,0.39,0.39,0.39,0.31,4544000
1986-04-24,0.00,0.41,0.39,0.41,0.32,4006400
1986-04-25,0.00,0.44,0.41,0.43,0.33,3776000
1986-04-28,0.00,0.43,0.43,0.43,0.33,3804800
1986-04-29,0.00,0.43,0.41,0.42,0.32,1318400
1986-04-30,0.00,0.42,0.41,0.41,0.31,979200
1986-05-01,0.00,0.41,0.40,0.41,0.32,1449600
