Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,1.38,1.27,1.27,0.41,112610
1980-03-18,0.00,1.42,1.31,1.31,0.43,113297
1980-03-19,0.00,1.38,1.27,1.27,0.41,100937
1980-03-20,0.00,1.38,1.27,1.27,0.41,96130
1980-03-21,0.00,1.38,1.27,1.27,0.41,82397
1980-03-24,0.00,1.35,1.24,1.24,0.40,102997
1980-03-25,0.00,1.31,1.20,1.20,0.39,99564
1980-03-26,0.00,1.27,1.17,1.17,0.38,61798
1980-03-27,0.00,1.24,1.13,1.13,0.37,85831
1980-03-28,0.00,1.27,1.17,1.17,0.38,99564
1980-03-31,0.00,1.27,1.17,1.17,0.38,79651
1980-04-01,0.00,1.27,1.17,1.17,0.38,87204
1980-04-02,0.00,1.31,1.20,1.20,0.39,77591
1980-04-03,0.00,1.31,1.20,1.20,0.39,71411
1980-04-07,0.00,1.27,1.17,1.17,0.38,105743
1980-04-08,0.00,1.27,1.17,1.17,0.38,47379
1980-04-09,0.00,1.27,1.17,1.17,0.38,35706
1980-04-10,0.00,1.31,1.20,1.20,0.39,151749
1980-04-11,0.00,1.38,1.27,1.27,0.41,88577
1980-04-14,0.00,1.38,1.27,1.27,0.41,93384
1980-04-15,0.00,1.38,1.27,1.27,0.41,110550
1980-04-16,0.00,1.35,1.24,1.24,0.40,81711
1980-04-17,0.00,1.35,1.24,1.24,0.40,39139
1980-04-18,0.00,1.35,1.24,1.24,0.40,50812
1980-04-21,0.00,1.31,1.20,1.20,0.39,56305
1980-04-22,0.00,1.35,1.24,1.24,0.40,87204
1980-04-23,0.00,1.35,1.24,1.24,0.40,41199
1980-04-24,0.00,1.38,1.27,1.27,0.41,83084
1980-04-25,0.00,1.35,1.24,1.24,0.40,26093
1980-04-28,0.00,1.42,1.31,1.31,0.43,77591
1980-04-29,0.00,1.42,1.31,1.31,0.43,107803
1980-04-30,0.00,1.38,1.27,1.27,0.41,61798
1980-05-01,0.00,1.38,1.27,1.27,0.41,81711
1980-05-02,0.00,1.38,1.27,1.27,0.41,26093
1980-05-05,0.00,1.38,1.27,1.27,0.41,54245
1980-05-06,0.00,1.38,1.27,1.27,0.41,52872
1980-05-07,0.00,1.35,1.24,1.24,0.40,47379
1980-05-08,0.00,1.35,1.24,1.24,0.40,36392
1980-05-09,0.00,1.35,1.24,1.24,0.40,38452
1980-05-12,0.00,1.35,1.24,1.24,0.40,51498
1980-05-13,0.00,1.35,1.24,1.24,0.40,50812
1980-05-14,0.00,1.38,1.27,1.27,0.41,58365
1980-05-15,0.00,1.38,1.27,1.27,0.41,19226
1980-05-16,0.00,1.38,1.27,1.27,0.41,66605
1980-05-19,0.00,1.42,1.31,1.31,0.43,45319
1980-05-20,0.00,1.42,1.31,1.31,0.43,63171
1980-05-21,0.00,1.38,1.27,1.27,0.41,47379
1980-05-22,0.00,1.42,1.31,1.31,0.43,79651
1980-05-23,0.00,1.42,1.31,1.31,0.43,158615
1980-05-27,0.00,1.42,1.31,1.31,0.43,878906
1980-05-28,0.00,1.46,1.35,1.35,0.44,133209
1980-05-29,0.00,1.46,1.35,1.35,0.44,131836
1980-05-30,0.00,1.46,1.35,1.35,0.44,41885
1980-06-02,0.00,1.46,1.35,1.35,0.44,65231
1980-06-03,0.00,1.46,1.35,1.35,0.44,52185
1980-06-04,0.00,1.46,1.35,1.35,0.44,95444
1980-06-05,0.00,1.46,1.35,1.35,0.44,128403
1980-06-06,0.00,1.46,1.35,1.35,0.44,61798
1980-06-09,0.00,1.49,1.38,1.38,0.45,126343
1980-06-10,0.00,1.49,1.38,1.38,0.45,93384
1980-06-11,0.00,1.49,1.38,1.38,0.45,86517
1980-06-12,0.00,1.49,1.38,1.38,0.45,38452
1980-06-13,0.00,1.49,1.38,1.38,0.45,46005
1980-06-16,0.00,1.49,1.38,1.38,0.45,175095
1980-06-17,0.00,1.49,1.38,1.38,0.45,99564
1980-06-18,0.00,1.49,1.38,1.38,0.45,36392
1980-06-19,0.00,1.46,1.35,1.35,0.44,184708
1980-06-20,0.00,1.46,1.35,1.35,0.44,62485
1980-06-23,0.00,1.46,1.35,1.35,0.44,21286
1980-06-24,0.00,1.46,1.35,1.35,0.44,97504
1980-06-25,0.00,1.46,1.35,1.35,0.44,50125
1980-06-26,0.00,1.42,1.31,1.31,0.43,59738
1980-06-27,0.00,1.42,1.31,1.31,0.43,76218
1980-06-30,0.00,1.38,1.27,1.27,0.41,61111
1980-07-01,0.00,1.42,1.31,1.31,0.43,56992
1980-07-02,0.00,1.42,1.31,1.31,0.43,30212
1980-07-03,0.00,1.42,1.31,1.31,0.43,92010
1980-07-07,0.00,1.38,1.35,1.35,0.44,120850
1980-07-08,0.00,1.38,1.35,1.35,0.44,50125
1980-07-09,0.00,1.38,1.31,1.31,0.43,48752
1980-07-10,0.00,1.38,1.31,1.31,0.43,50812
1980-07-11,0.00,1.35,1.31,1.31,0.43,32959
1980-07-14,0.00,1.38,1.31,1.31,0.43,46692
1980-07-15,0.00,1.42,1.35,1.35,0.44,152435
1980-07-16,0.00,1.49,1.46,1.46,0.47,165482
1980-07-17,0.00,1.49,1.46,1.46,0.47,128403
1980-07-18,0.00,1.49,1.46,1.46,0.47,204620
1980-07-21,0.00,1.49,1.44,1.44,0.47,118790
1980-07-22,0.00,1.46,1.42,1.42,0.46,84457
1980-07-23,0.00,1.49,1.42,1.42,0.46,55618
1980-07-24,0.00,1.46,1.42,1.42,0.46,50812
1980-07-25,0.00,1.46,1.42,1.42,0.46,65918
1980-07-28,0.00,1.46,1.42,1.42,0.46,46005
1980-07-29,0.00,1.42,1.38,1.38,0.45,89951
1980-07-30,0.00,1.35,1.31,1.31,0.43,126343
1980-07-31,0.00,1.35,1.31,1.31,0.43,169601
1980-08-01,0.00,1.38,1.35,1.35,0.44,73471
1980-08-04,0.00,1.35,1.31,1.31,0.43,91324
1980-08-05,0.00,1.35,1.31,1.31,0.43,46005
1980-08-06,0.00,1.35,1.31,1.31,0.43,76904
1980-08-07,0.00,1.38,1.35,1.35,0.44,139389
1980-08-08,0.00,1.38,1.35,1.35,0.44,182648
1980-08-11,0.00,1.38,1.35,1.35,0.44,215607
1980-08-12,0.00,1.38,1.35,1.35,0.44,267792
1980-08-13,0.00,1.38,1.35,1.35,0.44,97504
1980-08-14,0.00,1.38,1.35,1.35,0.44,116730
1980-08-15,0.00,1.42,1.35,1.35,0.44,121536
1980-08-18,0.00,1.38,1.35,1.35,0.44,96817
1980-08-19,0.00,1.35,1.27,1.27,0.41,96130
1980-08-20,0.00,1.31,1.27,1.27,0.41,81711
1980-08-21,0.00,1.35,1.27,1.27,0.41,61111
1980-08-22,0.00,1.35,1.31,1.31,0.43,46692
1980-08-25,0.00,1.31,1.24,1.24,0.40,155869
1980-08-26,0.00,1.31,1.27,1.27,0.41,118103
1980-08-27,0.00,1.31,1.27,1.27,0.41,81024
1980-08-28,0.00,1.31,1.27,1.27,0.41,98190
1980-08-29,0.00,1.31,1.27,1.27,0.41,175095
1980-09-02,0.00,1.35,1.31,1.31,0.43,135269
1980-09-03,0.00,1.35,1.31,1.31,0.43,153809
1980-09-04,0.00,1.38,1.35,1.35,0.44,319977
1980-09-05,0.00,1.46,1.42,1.42,0.46,225220
1980-09-08,0.00,1.38,1.35,1.35,0.44,151062
1980-09-09,0.00,1.38,1.35,1.35,0.44,127029
1980-09-10,0.00,1.38,1.35,1.35,0.44,144196
1980-09-11,0.00,1.46,1.42,1.42,0.46,157242
1980-09-12,0.00,1.46,1.38,1.38,0.45,114670
1980-09-15,0.00,1.46,1.42,1.42,0.46,151749
1980-09-16,0.00,1.46,1.42,1.42,0.46,124283
1980-09-17,0.00,1.64,1.60,1.60,0.52,893326
1980-09-18,0.00,1.64,1.60,1.60,0.52,395508
1980-09-19,0.00,2.00,1.97,1.97,0.64,1350632
1980-09-22,0.00,1.97,1.93,1.93,0.63,1193390
