Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,44.00,46.27,42.00,44.50,43.83,27619300
2020-06-17,45.90,51.95,45.00,48.61,47.87,9318700
2020-06-18,56.39,56.50,49.49,50.90,50.13,11027900
2020-06-19,52.94,52.96,46.56,49.00,48.26,5586500
2020-06-22,49.83,51.49,49.25,51.29,50.51,2315100
2020-06-23,53.00,54.44,50.87,50.95,50.18,2297800
2020-06-24,51.35,51.49,47.69,50.25,49.49,4700300
2020-06-25,49.19,52.50,48.83,52.11,51.32,1993100
2020-06-26,52.00,52.24,48.70,49.59,48.84,1452100
2020-06-29,49.88,50.05,48.01,48.73,47.99,1607500
2020-06-30,48.20,49.36,48.18,48.55,47.81,1227400
2020-07-01,48.54,48.68,46.15,46.47,45.77,2094400
2020-07-02,46.94,47.55,45.60,45.73,45.04,1231400
2020-07-06,46.66,46.95,45.58,46.11,45.41,1424800
2020-07-07,45.57,47.38,45.52,47.05,46.34,1176900
2020-07-08,47.00,48.88,47.00,48.02,47.29,1045300
2020-07-09,48.02,48.50,47.60,48.36,47.63,828400
2020-07-10,48.59,48.62,47.47,47.64,46.92,692600
2020-07-13,47.20,47.60,43.76,44.06,43.39,2099800
2020-07-14,44.00,44.99,41.53,43.52,42.86,2659000
2020-07-15,43.82,44.52,41.61,43.00,42.35,1316300
2020-07-16,43.34,43.88,41.95,42.20,41.56,1096800
2020-07-17,42.80,44.42,41.21,44.19,43.52,1763800
2020-07-20,44.42,46.29,44.03,45.87,45.17,1160300
2020-07-21,46.61,46.63,42.60,43.07,42.42,1547500
2020-07-22,43.28,43.76,42.00,43.07,42.42,594500
2020-07-23,42.61,44.26,42.60,42.89,42.24,1042700
2020-07-24,42.32,42.40,39.90,41.91,41.27,1749900
2020-07-27,41.43,43.28,40.65,43.22,42.56,515700
2020-07-28,42.33,42.80,41.83,41.93,41.29,307800
2020-07-29,42.11,43.14,42.10,43.05,42.40,646800
2020-07-30,42.26,43.07,41.90,42.78,42.13,753400
2020-07-31,42.86,43.49,42.15,43.05,42.40,866000
2020-08-03,42.94,44.45,42.51,44.12,43.45,606400
2020-08-04,43.97,45.33,42.42,43.20,42.54,1649500
2020-08-05,43.31,43.93,41.71,41.93,41.29,776100
2020-08-06,43.00,44.00,42.77,43.90,43.23,837700
2020-08-07,43.90,45.25,43.13,43.76,43.10,1523000
2020-08-10,43.86,45.94,43.82,45.76,45.07,843500
2020-08-11,45.98,46.65,44.65,45.77,45.08,1072000
2020-08-12,46.23,47.15,44.10,44.99,44.31,1714500
2020-08-13,44.99,46.40,44.91,45.48,44.79,819500
2020-08-14,45.11,45.97,45.00,45.41,44.72,599200
2020-08-17,45.61,46.06,45.44,45.95,45.25,361500
2020-08-18,46.30,46.30,43.79,44.62,43.94,732200
2020-08-19,44.64,45.34,43.77,43.90,43.23,618800
2020-08-20,44.00,44.38,43.15,43.26,42.60,579400
2020-08-21,43.00,43.49,41.51,41.97,41.33,918400
2020-08-24,42.47,42.92,41.80,42.73,42.08,771700
2020-08-25,42.60,42.73,41.18,41.78,41.15,842900
2020-08-26,41.75,42.30,41.55,41.94,41.30,602300
2020-08-27,42.12,42.16,40.99,41.00,40.38,623100
2020-08-28,41.12,42.45,41.10,42.07,41.43,866800
2020-08-31,42.25,42.98,41.20,41.38,40.75,947100
2020-09-01,41.70,42.05,41.00,41.60,40.97,793500
2020-09-02,41.75,41.95,41.24,41.75,41.12,470400
2020-09-03,41.80,41.97,40.40,40.74,40.12,822300
2020-09-04,40.36,40.50,38.91,39.78,39.18,1089400
2020-09-08,39.80,39.83,38.70,39.04,38.45,779000
2020-09-09,39.31,40.49,38.80,38.84,38.25,619300
2020-09-10,38.93,40.09,38.93,39.44,38.84,886800
2020-09-11,39.56,39.99,38.54,38.56,37.98,559500
2020-09-14,39.10,40.49,38.81,39.82,39.37,1217500
2020-09-15,40.15,41.22,40.15,40.71,40.24,891200
2020-09-16,40.56,40.81,39.74,40.61,40.15,752000
2020-09-17,39.80,41.29,39.72,41.28,40.81,1224400
2020-09-18,41.28,43.19,41.13,41.98,41.50,5872400
2020-09-21,41.64,41.99,40.56,40.59,40.13,1197100
2020-09-22,40.50,41.82,40.16,41.72,41.25,683500
2020-09-23,41.83,42.47,41.41,41.78,41.31,744200
2020-09-24,41.52,41.56,38.91,40.23,39.77,2782600
2020-09-25,39.99,41.20,39.90,40.07,39.62,882400
2020-09-28,40.18,41.25,40.18,41.21,40.74,389900
2020-09-29,41.30,42.19,40.71,42.01,41.53,664800
2020-09-30,41.80,43.47,41.56,42.07,41.59,762500
2020-10-01,42.53,42.99,42.01,42.59,42.11,776100
2020-10-02,41.54,42.80,41.54,42.47,41.99,855800
2020-10-05,42.31,43.87,42.31,43.40,42.91,1931500
2020-10-06,43.20,44.17,43.11,43.80,43.30,1111000
2020-10-07,43.90,44.62,43.80,44.59,44.09,1072500
2020-10-08,44.50,44.91,43.74,44.10,43.60,854500
2020-10-09,44.60,44.60,43.94,44.08,43.58,516200
2020-10-12,44.10,44.64,43.93,44.41,43.91,423400
2020-10-13,44.13,44.97,44.01,44.81,44.30,518100
2020-10-14,42.88,44.31,42.46,42.79,42.31,1369600
2020-10-15,42.18,43.20,41.27,42.48,42.00,2168600
2020-10-16,44.25,44.49,41.50,41.81,41.34,7401200
2020-10-19,42.40,42.75,40.11,40.27,39.81,3108600
2020-10-20,40.92,41.49,40.05,40.09,39.64,2299900
2020-10-21,39.99,40.18,38.10,39.00,38.56,4614400
2020-10-22,39.16,39.38,38.20,39.21,38.77,1544900
2020-10-23,39.49,40.10,38.80,39.01,38.57,875700
2020-10-26,39.00,39.37,38.12,38.77,38.33,2020300
2020-10-27,38.80,39.16,37.65,37.87,37.44,1151300
2020-10-28,37.47,37.48,35.51,36.12,35.71,1798800
2020-10-29,36.17,36.84,34.80,36.34,35.93,1550600
2020-10-30,36.17,36.76,35.18,36.70,36.28,1158600
2020-11-02,38.54,38.71,37.05,37.58,37.15,1216200
