Date,Open,High,Low,Close,Adj Close,Volume
2015-08-05,13.06,13.31,10.40,10.77,10.77,14096900
2015-08-06,11.00,11.20,8.23,8.77,8.77,3570400
2015-08-07,9.19,10.20,8.77,10.14,10.14,1623800
2015-08-10,10.73,10.73,10.00,10.12,10.12,435900
2015-08-11,10.00,10.03,9.50,9.79,9.79,349700
2015-08-12,9.68,10.40,9.65,10.35,10.35,498200
2015-08-13,10.07,10.34,10.05,10.12,10.12,397500
2015-08-14,10.01,10.17,9.73,10.04,10.04,410600
2015-08-17,10.04,10.26,9.96,10.13,10.13,346000
2015-08-18,10.00,10.34,10.00,10.24,10.24,277700
2015-08-19,10.30,11.03,10.17,10.73,10.73,573000
2015-08-20,10.55,10.74,10.00,10.52,10.52,321400
2015-08-21,10.20,10.56,9.81,9.90,9.90,394900
2015-08-24,9.39,9.39,8.50,9.16,9.16,1052300
2015-08-25,9.68,10.21,9.65,9.90,9.90,834000
2015-08-26,10.03,10.80,9.99,10.78,10.78,791000
2015-08-27,10.91,11.14,10.83,11.00,11.00,569400
2015-08-28,11.18,11.85,10.95,11.62,11.62,450500
2015-08-31,11.86,12.24,11.40,11.88,11.88,617300
2015-09-01,11.49,12.00,11.25,11.86,11.86,745700
2015-09-02,12.00,12.15,10.50,11.59,11.59,510100
2015-09-03,11.48,11.90,11.10,11.64,11.64,219800
2015-09-04,11.56,11.63,11.03,11.56,11.56,171500
2015-09-08,12.00,12.00,10.91,11.55,11.55,709000
2015-09-09,11.75,11.90,11.15,11.39,11.39,334800
2015-09-10,11.44,11.87,11.44,11.69,11.69,368600
2015-09-11,11.50,11.69,11.25,11.50,11.50,427300
2015-09-14,11.41,11.51,10.94,11.25,11.25,405500
2015-09-15,11.18,11.49,11.00,11.49,11.49,346700
2015-09-16,11.40,11.50,11.00,11.31,11.31,323100
2015-09-17,11.24,11.64,11.24,11.40,11.40,314400
2015-09-18,11.30,11.90,11.11,11.58,11.58,1343300
2015-09-21,11.69,11.90,11.33,11.74,11.74,299600
2015-09-22,11.60,11.90,11.25,11.39,11.39,432000
2015-09-23,11.75,11.75,10.97,11.01,11.01,287000
2015-09-24,10.88,11.00,10.74,10.81,10.81,268600
2015-09-25,10.88,11.32,10.79,11.13,11.13,351600
2015-09-28,11.04,11.34,10.01,10.06,10.06,590300
2015-09-29,10.14,10.43,9.53,9.81,9.81,1040800
2015-09-30,9.90,10.74,9.71,10.37,10.37,3454500
2015-10-01,10.38,11.08,9.98,10.30,10.30,491900
2015-10-02,10.13,10.69,9.94,10.51,10.51,288300
2015-10-05,10.71,10.97,10.51,10.66,10.66,290300
2015-10-06,10.65,11.23,10.64,11.05,11.05,337200
2015-10-07,11.08,11.47,10.57,11.19,11.19,448100
2015-10-08,11.29,11.41,11.00,11.39,11.39,137900
2015-10-09,11.42,11.60,11.22,11.26,11.26,183600
2015-10-12,11.31,11.31,10.75,10.78,10.78,144300
2015-10-13,10.67,10.93,10.58,10.69,10.69,156700
2015-10-14,10.65,10.96,10.54,10.74,10.74,196300
2015-10-15,10.85,11.00,10.36,10.60,10.60,265800
2015-10-16,10.68,10.70,10.31,10.34,10.34,157900
2015-10-19,10.28,10.34,9.65,9.81,9.81,338400
2015-10-20,9.81,9.85,9.48,9.50,9.50,219400
2015-10-21,9.50,9.57,8.52,8.94,8.94,597300
2015-10-22,9.03,9.19,8.81,8.90,8.90,605400
2015-10-23,8.84,9.34,8.83,9.08,9.08,398500
2015-10-26,9.03,9.23,8.90,9.21,9.21,168800
2015-10-27,9.13,9.40,8.89,9.04,9.04,260300
2015-10-28,9.05,9.44,9.05,9.42,9.42,208100
2015-10-29,9.22,9.39,8.88,8.91,8.91,214300
2015-10-30,8.81,8.83,7.00,7.41,7.41,2015100
2015-11-02,7.37,7.58,7.11,7.36,7.36,603200
2015-11-03,7.37,7.70,7.19,7.52,7.52,851700
2015-11-04,7.68,7.92,7.50,7.71,7.71,754300
2015-11-05,7.80,8.11,7.72,8.07,8.07,307600
2015-11-06,8.02,8.10,7.57,7.82,7.82,293600
2015-11-09,8.29,8.29,7.55,7.73,7.73,199000
2015-11-10,7.67,7.93,7.25,7.27,7.27,394700
2015-11-11,7.24,7.45,6.87,6.99,6.99,536300
2015-11-12,6.99,6.99,6.36,6.58,6.58,505400
2015-11-13,6.39,7.93,6.39,7.31,7.31,989200
2015-11-16,7.40,7.40,6.84,7.00,7.00,624100
2015-11-17,7.04,7.25,6.51,6.72,6.72,1087700
2015-11-18,6.80,7.01,6.36,6.55,6.55,561600
2015-11-19,6.51,6.78,6.45,6.50,6.50,363900
2015-11-20,6.59,6.74,6.51,6.67,6.67,366600
2015-11-23,6.62,6.96,6.56,6.60,6.60,384600
2015-11-24,6.59,6.82,6.59,6.74,6.74,476400
2015-11-25,6.70,6.84,6.60,6.75,6.75,476000
2015-11-27,6.81,7.41,6.81,7.22,7.22,445700
2015-11-30,7.23,7.28,6.61,6.65,6.65,557300
2015-12-01,6.70,7.14,6.53,7.05,7.05,351600
2015-12-02,7.05,7.46,6.91,7.39,7.39,620900
2015-12-03,7.52,8.35,7.52,7.95,7.95,1041500
2015-12-04,7.95,8.03,7.66,7.85,7.85,436100
2015-12-07,7.79,8.37,7.74,7.91,7.91,439800
2015-12-08,8.11,8.11,7.62,7.77,7.77,388900
2015-12-09,7.79,8.03,7.55,7.71,7.71,333600
2015-12-10,7.60,7.83,7.56,7.57,7.57,364800
2015-12-11,7.46,8.02,7.46,7.86,7.86,450900
2015-12-14,7.95,9.38,7.83,9.10,9.10,940800
2015-12-15,9.26,11.29,9.16,9.49,9.49,2054200
2015-12-16,11.17,12.17,10.89,11.63,11.63,3501200
2015-12-17,12.85,13.30,11.79,12.71,12.71,3608200
2015-12-18,12.45,13.95,11.95,13.74,13.74,3045300
2015-12-21,14.15,14.95,13.13,13.40,13.40,3150800
2015-12-22,13.45,13.65,11.41,11.60,11.60,2507000
2015-12-23,11.95,12.36,11.55,11.88,11.88,1104200
2015-12-24,11.69,12.47,11.60,12.19,12.19,385000
2015-12-28,12.11,12.38,11.60,11.67,11.67,637500
2015-12-29,11.79,12.05,11.07,11.70,11.70,626600
2015-12-30,11.65,12.07,11.45,11.72,11.72,317100
2015-12-31,11.76,11.95,11.64,11.77,11.77,319100
2016-01-04,11.27,11.49,11.08,11.21,11.21,576800
2016-01-05,10.88,11.00,9.42,9.61,9.61,1947000
2016-01-06,9.27,10.38,9.08,10.20,10.20,3534100
2016-01-07,9.80,9.97,9.16,9.21,9.21,1694700
2016-01-08,9.35,9.95,9.25,9.75,9.75,552500
2016-01-11,9.65,9.70,9.08,9.31,9.31,577600
2016-01-12,9.35,9.50,8.40,8.67,8.67,598600
2016-01-13,8.60,8.76,8.03,8.25,8.25,796500
2016-01-14,8.08,8.55,7.78,8.00,8.00,1156400
2016-01-15,7.75,7.90,7.26,7.75,7.75,903100
2016-01-19,7.83,7.89,7.30,7.40,7.40,743500
2016-01-20,7.25,9.20,6.94,8.54,8.54,1686000
2016-01-21,8.62,9.07,8.45,8.97,8.97,1195800
2016-01-22,9.37,9.70,8.53,8.79,8.79,1037100
2016-01-25,8.78,8.85,8.14,8.41,8.41,600000
2016-01-26,8.48,9.08,8.20,8.73,8.73,712900
2016-01-27,8.65,8.73,8.22,8.34,8.34,579400
2016-01-28,8.43,10.19,8.43,10.05,10.05,1066300
2016-01-29,10.15,10.17,9.40,9.52,9.52,859800
2016-02-01,9.62,9.62,8.63,8.94,8.94,776800
2016-02-02,8.83,8.83,8.16,8.34,8.34,534000
2016-02-03,8.44,8.57,7.83,8.10,8.10,435200
2016-02-04,8.20,8.30,7.82,8.05,8.05,520000
2016-02-05,8.05,8.14,7.77,7.96,7.96,600100
2016-02-08,7.87,7.94,7.37,7.60,7.60,538400
2016-02-09,7.51,7.58,6.87,7.20,7.20,658700
2016-02-10,6.38,6.79,5.92,6.07,6.07,2068300
2016-02-11,5.60,5.82,4.99,5.08,5.08,1419200
2016-02-12,5.31,5.52,5.00,5.04,5.04,1302000
2016-02-16,5.06,5.72,4.86,4.96,4.96,1485500
2016-02-17,5.04,5.97,5.02,5.33,5.33,1618400
2016-02-18,5.45,5.93,5.24,5.63,5.63,1167400
2016-02-19,5.57,5.72,5.22,5.41,5.41,954100
2016-02-22,5.50,5.69,5.03,5.06,5.06,634900
2016-02-23,5.08,5.27,4.97,5.16,5.16,694900
2016-02-24,5.09,5.26,4.90,5.06,5.06,644500
2016-02-25,5.08,5.47,5.08,5.30,5.30,463100
2016-02-26,5.37,5.65,5.33,5.51,5.51,500200
2016-02-29,5.59,5.83,5.50,5.62,5.62,671200
2016-03-01,5.67,5.85,5.13,5.47,5.47,1059400
2016-03-02,5.49,6.60,5.36,6.10,6.10,1695400
2016-03-03,6.04,6.60,6.00,6.40,6.40,1337900
2016-03-04,6.50,6.75,6.12,6.21,6.21,1447300
2016-03-07,6.22,6.84,6.20,6.60,6.60,1491100
2016-03-08,6.66,6.78,6.53,6.68,6.68,638500
2016-03-09,6.74,6.87,6.25,6.65,6.65,977900
2016-03-10,6.87,7.24,6.70,7.15,7.15,1567600
2016-03-11,6.16,6.56,6.01,6.36,6.36,3284400
