Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,6.25,6.25,5.85,5.85,2.04,4757510
1994-02-18,5.80,5.80,5.69,5.73,2.00,3774789
1994-02-22,5.78,6.04,5.78,6.04,2.10,1794862
1994-02-23,6.06,6.20,6.06,6.15,2.14,1646810
1994-02-24,6.15,6.15,6.01,6.15,2.14,1068012
1994-02-25,6.13,6.15,6.11,6.15,2.14,406070
1994-02-28,6.20,6.27,6.20,6.20,2.16,1512705
1994-03-01,6.22,6.25,5.97,6.20,2.16,3150395
1994-03-02,6.06,6.06,5.90,5.97,2.08,3826285
1994-03-03,5.97,6.41,5.97,6.32,2.20,4849238
1994-03-04,6.25,6.52,6.13,6.32,2.21,4437804
1994-03-07,6.32,6.32,6.15,6.15,2.15,1893563
1994-03-08,6.15,6.15,6.04,6.06,2.12,3716855
1994-03-09,6.11,6.22,6.11,6.20,2.17,2747544
1994-03-10,6.18,6.25,6.11,6.18,2.16,2282468
1994-03-11,6.15,6.18,6.08,6.13,2.14,2184839
1994-03-14,6.13,6.13,5.97,5.99,2.10,1758922
1994-03-15,5.97,6.04,5.90,6.04,2.11,2941728
1994-03-16,5.83,6.11,5.80,5.94,2.08,3139131
1994-03-17,5.97,5.97,5.85,5.90,2.06,1449407
1994-03-18,5.90,5.90,5.83,5.85,2.05,1084105
1994-03-21,5.80,5.87,5.73,5.83,2.04,1678995
1994-03-22,5.80,5.87,5.69,5.78,2.02,1490712
1994-03-23,5.76,5.85,5.76,5.80,2.03,3307567
1994-03-24,5.78,5.80,5.69,5.73,2.01,3066178
1994-03-25,5.71,5.73,5.62,5.62,1.96,2418718
1994-03-28,5.64,5.66,5.41,5.48,1.92,1859232
1994-03-29,5.50,5.50,5.17,5.20,1.82,3182044
1994-03-30,5.20,5.31,5.17,5.24,1.83,3118210
1994-03-31,5.29,5.31,5.13,5.22,1.83,2733061
1994-04-04,5.13,5.15,5.01,5.15,1.80,1802908
1994-04-05,5.24,5.24,5.15,5.24,1.83,1961688
1994-04-06,5.24,5.45,5.20,5.43,1.90,3883682
1994-04-07,5.43,5.52,5.38,5.48,1.92,1214455
1994-04-08,5.48,5.48,5.41,5.41,1.89,1376454
1994-04-11,5.45,5.55,5.43,5.55,1.94,771909
1994-04-12,5.55,5.64,5.52,5.52,1.93,712902
1994-04-13,5.50,5.55,5.38,5.41,1.89,1611406
1994-04-14,5.36,5.41,5.31,5.36,1.88,836815
1994-04-15,5.29,5.36,5.29,5.34,1.87,270356
1994-04-18,5.34,5.36,5.29,5.31,1.86,969848
1994-04-19,5.29,5.31,5.24,5.27,1.84,211886
1994-04-20,5.34,5.38,5.13,5.27,1.84,912451
1994-04-21,5.31,5.31,5.22,5.22,1.83,580407
1994-04-22,5.17,5.22,5.15,5.17,1.81,313269
1994-04-25,5.22,5.24,5.08,5.24,1.83,406070
1994-04-26,5.22,5.24,5.20,5.22,1.83,278938
1994-04-28,5.24,5.27,5.17,5.22,1.83,857736
1994-04-29,5.22,5.31,5.22,5.27,1.84,622247
1994-05-02,5.24,5.24,5.20,5.22,1.83,367984
1994-05-03,5.17,5.22,5.06,5.22,1.83,677499
1994-05-04,5.22,5.24,5.08,5.08,1.78,1283117
1994-05-05,5.13,5.15,5.08,5.10,1.79,494043
1994-05-06,5.08,5.13,5.03,5.10,1.79,1136674
1994-05-09,5.08,5.08,5.03,5.06,1.77,196330
1994-05-10,5.10,5.13,5.06,5.13,1.79,401779
1994-05-11,5.10,5.10,5.03,5.03,1.76,263382
1994-05-12,5.01,5.08,5.01,5.01,1.75,249435
1994-05-13,5.06,5.10,5.01,5.08,1.78,328826
1994-05-16,5.06,5.08,4.99,5.01,1.75,275184
1994-05-17,5.06,5.08,5.01,5.01,1.75,453811
1994-05-18,5.03,5.06,5.01,5.06,1.77,576115
1994-05-19,5.03,5.22,5.03,5.20,1.82,771372
1994-05-20,5.29,5.41,5.27,5.38,1.88,667843
1994-05-23,5.38,5.45,5.24,5.27,1.84,333117
1994-05-24,5.27,5.29,5.22,5.27,1.84,1266488
1994-05-25,5.22,5.27,5.17,5.22,1.83,601327
