Date,Open,High,Low,Close,Adj Close,Volume
2014-04-17,16.79,17.17,16.03,16.50,14.25,18382200
2014-04-21,16.50,16.83,16.30,16.66,14.39,1509800
2014-04-22,16.46,17.72,16.46,17.70,15.29,1391400
2014-04-23,17.22,17.38,16.75,16.85,14.56,974600
2014-04-24,17.00,17.18,16.57,16.84,14.55,339600
2014-04-25,16.72,16.92,16.50,16.65,14.38,297800
2014-04-28,16.57,16.94,16.25,16.48,14.24,678000
2014-04-29,16.64,16.85,16.40,16.44,14.20,355500
2014-04-30,16.47,16.62,16.31,16.47,14.23,479900
2014-05-01,16.45,16.63,16.44,16.51,14.26,1800700
2014-05-02,16.19,16.50,16.00,16.40,14.17,726900
2014-05-05,16.00,16.30,15.00,16.02,13.84,1971500
2014-05-06,16.00,16.26,15.84,15.92,13.75,722200
2014-05-07,16.07,16.10,15.87,15.98,13.80,808300
2014-05-08,15.70,16.05,15.65,15.75,13.61,378800
2014-05-09,15.67,15.70,15.40,15.54,13.42,2312900
2014-05-12,15.45,16.04,15.45,15.99,13.81,473900
2014-05-13,15.56,15.95,15.56,15.76,13.61,1005700
2014-05-14,15.55,15.82,15.55,15.76,13.61,243800
2014-05-15,15.63,16.41,15.50,16.10,13.91,1667800
2014-05-16,16.09,16.32,16.05,16.29,14.07,249000
2014-05-19,16.39,16.67,16.25,16.50,14.25,459500
2014-05-20,16.40,16.56,16.25,16.36,14.13,153200
2014-05-21,16.34,16.81,16.31,16.50,14.25,1053000
2014-05-22,16.46,16.84,16.29,16.65,14.38,1202500
2014-05-23,16.66,17.22,16.54,17.09,14.76,436300
2014-05-27,17.85,17.90,16.51,17.08,14.75,1012400
2014-05-28,17.10,18.07,16.80,17.80,15.38,1094600
2014-05-29,17.99,19.15,17.89,18.59,16.06,1195100
2014-05-30,18.66,19.26,18.52,19.20,16.59,976600
2014-06-02,19.33,19.48,19.10,19.20,16.59,633600
2014-06-03,19.24,19.24,18.42,18.89,16.32,1425100
2014-06-04,18.48,19.08,18.20,19.00,16.41,847500
2014-06-05,18.98,19.43,18.97,19.22,16.60,854300
2014-06-06,19.22,19.38,18.68,18.80,16.24,840100
2014-06-09,18.83,19.55,18.75,18.99,16.40,1204000
2014-06-10,18.91,19.28,18.70,19.21,16.59,1028800
2014-06-11,19.20,19.50,19.16,19.22,16.60,1247800
2014-06-12,19.20,19.37,19.00,19.22,16.60,877500
2014-06-13,19.20,19.49,19.11,19.23,16.61,1102800
2014-06-16,19.20,19.72,19.04,19.21,16.59,5274500
2014-06-17,19.16,19.64,18.99,19.44,16.79,1153300
2014-06-18,19.45,20.57,19.45,20.30,17.54,1253400
2014-06-19,20.27,20.91,20.02,20.50,17.71,954200
2014-06-20,20.54,20.79,19.81,20.05,17.32,3208500
2014-06-23,20.10,20.44,19.61,19.75,17.06,822700
2014-06-24,19.71,19.88,19.10,19.29,16.66,820700
2014-06-25,19.27,20.08,19.12,19.96,17.24,858200
2014-06-26,19.92,20.26,19.45,19.59,16.92,1457900
2014-06-27,19.62,20.54,19.47,20.26,17.51,5176600
2014-06-30,20.18,20.33,19.80,20.05,17.32,1078400
2014-07-01,20.18,20.26,19.85,20.03,17.30,523600
2014-07-02,20.05,20.14,19.74,19.91,17.20,437000
2014-07-03,19.88,20.13,19.76,20.09,17.35,139200
2014-07-07,20.00,20.12,19.93,20.00,17.28,760000
2014-07-08,19.91,20.11,19.75,20.01,17.29,829200
2014-07-09,20.01,20.21,19.95,20.19,17.44,257500
2014-07-10,19.89,20.11,19.65,19.95,17.23,484200
2014-07-11,20.00,20.19,19.70,19.80,17.10,622800
2014-07-14,19.98,19.98,19.64,19.72,17.03,590000
2014-07-15,19.75,19.91,19.39,19.45,16.80,257200
2014-07-16,19.64,19.73,19.17,19.29,16.66,472600
2014-07-17,19.31,19.48,19.04,19.16,16.55,786700
2014-07-18,19.17,19.57,19.16,19.37,16.73,313300
2014-07-21,19.30,19.58,19.22,19.51,16.85,307200
2014-07-22,19.57,19.82,19.41,19.66,16.98,231300
2014-07-23,19.69,19.85,19.55,19.63,16.96,298800
2014-07-24,19.72,19.77,19.44,19.60,16.93,126500
2014-07-25,19.59,19.79,19.34,19.56,16.90,232000
2014-07-28,19.56,19.56,19.10,19.18,16.57,586900
2014-07-29,19.18,19.65,19.00,19.40,16.76,207000
2014-07-30,19.52,19.59,19.19,19.29,16.66,280300
2014-07-31,19.15,19.15,18.94,18.98,16.40,774300
2014-08-01,18.90,19.07,18.40,18.75,16.20,793400
2014-08-04,18.81,18.86,18.61,18.70,16.15,318600
2014-08-05,18.61,18.82,18.52,18.70,16.15,398100
2014-08-06,18.67,18.67,18.41,18.54,16.02,563500
2014-08-07,19.50,19.50,18.19,18.48,15.96,2310200
2014-08-08,18.58,18.99,17.65,18.41,15.90,1608200
2014-08-11,18.43,18.95,18.31,18.50,15.98,588900
2014-08-12,18.46,18.50,18.15,18.40,15.89,647100
2014-08-13,18.51,18.72,18.27,18.32,15.83,795400
2014-08-14,18.28,18.54,18.18,18.21,15.73,234100
2014-08-15,18.33,18.56,18.32,18.50,15.98,589800
2014-08-18,18.60,18.90,18.45,18.56,16.03,566400
2014-08-19,18.62,18.66,18.33,18.40,15.89,199600
2014-08-20,18.42,18.64,18.25,18.56,16.03,453000
2014-08-21,18.61,18.61,18.30,18.31,15.82,143700
2014-08-22,18.37,18.41,18.11,18.21,15.73,438100
2014-08-25,18.33,18.50,18.10,18.20,15.72,326000
2014-08-26,18.24,18.40,18.08,18.15,15.68,352100
2014-08-27,18.33,18.41,18.10,18.36,15.94,504500
2014-08-28,18.32,18.44,17.95,18.01,15.64,432200
2014-08-29,18.00,18.28,17.98,18.23,15.83,466600
2014-09-02,18.19,18.26,17.93,17.96,15.59,249900
2014-09-03,18.01,18.52,17.92,18.38,15.96,643700
2014-09-04,18.33,18.50,18.06,18.25,15.84,327600
2014-09-05,18.52,18.58,18.17,18.47,16.03,642400
2014-09-08,18.41,18.74,18.38,18.66,16.20,1007700
2014-09-09,18.63,18.67,18.50,18.54,16.10,894300
2014-09-10,18.55,18.55,18.34,18.51,16.07,144500
2014-09-11,18.40,18.61,18.23,18.41,15.98,163100
2014-09-12,18.36,18.62,18.30,18.50,16.06,430700
2014-09-15,18.51,18.65,18.34,18.51,16.07,474600
2014-09-16,18.49,18.52,17.97,18.19,15.79,663300
2014-09-17,18.27,18.53,18.10,18.41,15.98,472600
2014-09-18,18.44,18.67,18.44,18.58,16.13,1633100
2014-09-19,18.69,18.83,18.63,18.81,16.33,293400
2014-09-22,18.86,18.87,18.61,18.83,16.35,247500
2014-09-23,18.80,18.98,18.64,18.82,16.34,743800
2014-09-24,18.83,18.95,18.68,18.92,16.43,502400
2014-09-25,18.92,18.92,17.91,18.30,15.89,1243000
2014-09-26,18.31,18.64,17.89,18.06,15.68,655400
2014-09-29,18.04,18.13,17.87,18.00,15.63,369400
2014-09-30,18.05,18.19,17.88,17.92,15.55,420200
2014-10-01,17.90,18.00,17.14,17.33,15.04,1584800
2014-10-02,17.38,17.73,17.20,17.61,15.29,554400
2014-10-03,17.76,18.05,17.48,17.99,15.62,321400
2014-10-06,18.00,18.14,17.73,17.84,15.49,235400
2014-10-07,17.74,17.74,17.31,17.40,15.11,296300
2014-10-08,17.43,17.55,17.06,17.21,14.94,748400
2014-10-09,17.14,17.32,16.81,16.85,14.63,964000
2014-10-10,16.85,16.91,16.07,16.11,13.99,691300
2014-10-13,16.18,16.18,15.65,15.69,13.62,504700
2014-10-14,15.00,15.99,14.86,15.60,13.54,2077300
2014-10-15,15.48,15.69,15.22,15.35,13.33,1143200
2014-10-16,15.18,15.75,14.99,15.69,13.62,1357100
2014-10-17,15.85,16.19,15.72,16.07,13.95,474500
2014-10-20,16.05,16.27,15.80,16.09,13.97,679000
2014-10-21,16.14,16.42,15.87,16.40,14.24,683400
2014-10-22,16.45,17.00,16.17,16.55,14.37,580300
2014-10-23,16.63,16.98,16.39,16.79,14.58,482200
2014-10-24,16.72,17.00,16.72,16.91,14.68,392500
2014-10-27,16.79,16.96,16.60,16.90,14.67,357000
2014-10-28,16.98,17.24,16.75,17.17,14.91,821400
2014-10-29,17.19,17.48,16.94,17.27,14.99,772500
2014-10-30,17.13,17.25,16.98,17.02,14.78,397700
2014-10-31,17.13,17.26,17.00,17.20,14.93,609900
2014-11-03,17.25,17.58,17.17,17.55,15.24,663100
2014-11-04,17.45,17.72,17.12,17.43,15.13,472900
2014-11-05,17.46,17.46,16.88,17.16,14.90,787300
2014-11-06,17.20,18.00,16.94,17.94,15.57,1570300
2014-11-07,17.92,18.03,17.24,17.45,15.15,1533100
2014-11-10,17.45,17.92,17.34,17.74,15.40,518000
2014-11-11,17.80,18.00,17.61,17.99,15.62,734300
2014-11-12,17.55,18.09,17.55,17.65,15.32,944100
2014-11-13,17.69,17.99,17.48,17.74,15.40,481200
2014-11-14,17.69,18.62,17.67,18.54,16.10,835800
2014-11-17,18.54,18.60,18.14,18.32,15.90,401300
2014-11-18,18.29,18.60,18.18,18.23,15.83,335300
