Date,Open,High,Low,Close,Adj Close,Volume
2013-09-16,32.00,33.00,31.35,31.43,26.42,2300
2013-09-17,30.82,30.82,30.82,30.82,25.90,100
2013-09-18,31.10,31.26,30.08,30.59,25.71,2800
2013-09-19,30.30,30.36,29.50,29.51,24.80,12100
2013-09-20,29.60,29.79,29.40,29.79,25.04,16800
2013-09-23,29.80,30.20,29.78,30.00,25.22,13900
2013-09-24,30.00,30.25,29.95,30.18,25.37,14100
2013-09-25,30.23,31.00,30.00,31.00,26.06,9400
2013-09-26,30.69,34.42,30.50,34.00,28.58,7900
2013-09-27,33.68,35.79,33.67,35.25,29.63,243300
2013-09-30,36.00,37.50,33.05,33.75,28.37,955200
2013-10-01,33.52,35.18,31.52,33.80,28.41,1483500
2013-10-02,33.54,34.50,32.91,33.15,27.86,633700
2013-10-03,33.75,33.79,33.07,33.69,28.32,678800
2013-10-04,32.93,33.49,32.28,32.76,27.53,686900
2013-10-07,32.18,33.05,32.00,32.84,27.60,837800
2013-10-08,32.17,33.10,31.17,32.49,27.31,772000
2013-10-09,32.18,33.09,31.54,32.86,27.62,394500
2013-10-10,32.65,33.35,32.37,33.28,28.21,536700
2013-10-11,32.85,33.41,32.35,33.21,28.15,577900
2013-10-14,33.22,33.75,32.91,33.56,28.45,385300
2013-10-15,33.30,33.74,32.70,33.52,28.42,809000
2013-10-16,33.34,33.63,33.04,33.41,28.32,360100
2013-10-17,33.10,33.67,33.00,33.48,28.38,208100
2013-10-18,33.75,33.75,33.16,33.56,28.45,314400
2013-10-21,33.56,34.03,33.50,33.88,28.72,311700
2013-10-22,33.90,34.31,33.72,34.25,29.03,215700
2013-10-23,33.94,34.82,33.94,34.66,29.38,119000
2013-10-24,34.59,35.00,34.20,34.92,29.60,82600
2013-10-25,35.00,35.26,34.70,35.18,29.82,85000
2013-10-28,35.05,36.16,35.00,36.10,30.60,325200
2013-10-29,35.98,36.57,35.63,36.10,30.60,223600
2013-10-30,36.90,36.96,35.38,36.32,30.79,225600
2013-10-31,36.14,37.00,34.26,35.25,29.88,581300
2013-11-01,35.00,35.64,34.61,35.44,30.04,251500
2013-11-04,35.50,35.70,34.14,35.55,30.14,259500
2013-11-05,35.31,35.90,34.64,35.61,30.19,269200
2013-11-06,35.66,35.93,35.14,35.39,30.00,141300
2013-11-07,35.62,36.67,34.67,36.14,30.64,404300
2013-11-08,36.11,36.30,35.54,36.20,30.69,168900
2013-11-11,36.08,36.62,36.08,36.47,30.92,139300
2013-11-12,36.40,36.83,36.08,36.67,31.09,149400
2013-11-13,36.32,38.61,36.32,38.38,32.54,258400
2013-11-14,38.48,39.88,37.56,38.64,32.76,342400
2013-11-15,38.91,39.02,38.35,38.73,32.83,216200
2013-11-18,38.68,38.91,37.82,38.24,32.42,196000
2013-11-19,38.09,38.64,37.85,38.33,32.49,118900
2013-11-20,38.00,38.64,37.66,38.62,32.74,163700
2013-11-21,38.51,39.07,37.52,39.03,33.09,191200
2013-11-22,38.70,38.90,38.00,38.66,32.77,165900
2013-11-25,38.59,38.59,37.52,38.48,32.62,188800
2013-11-26,38.26,38.55,36.54,36.57,31.00,560400
2013-11-27,36.70,37.61,36.42,37.40,31.70,130000
2013-11-29,36.74,37.66,36.74,36.85,31.24,68400
2013-12-02,36.57,37.58,36.03,36.81,31.20,131500
2013-12-03,36.36,36.36,34.32,34.76,29.47,630500
2013-12-04,34.75,35.07,32.68,33.89,28.73,666600
2013-12-05,33.96,34.63,33.65,34.49,29.24,643900
2013-12-06,34.75,34.86,34.28,34.43,29.19,471500
2013-12-09,34.20,34.28,33.14,33.21,28.15,429600
2013-12-10,33.06,34.61,33.03,34.44,29.20,666400
2013-12-11,34.44,35.88,33.85,35.65,30.22,476700
2013-12-12,35.60,35.66,34.09,34.78,29.48,461500
2013-12-13,33.05,34.18,32.30,33.71,28.58,1223600
2013-12-16,33.42,33.50,31.63,32.03,27.15,717100
2013-12-17,31.92,32.44,31.85,32.11,27.22,620600
2013-12-18,32.10,32.55,30.87,30.94,26.23,547600
2013-12-19,31.03,31.30,30.24,31.07,26.34,908900
2013-12-20,30.96,31.54,30.19,31.47,26.68,1697100
2013-12-23,31.44,32.51,31.41,31.61,26.80,396000
2013-12-24,31.55,32.20,31.08,31.47,26.68,128700
2013-12-26,31.46,32.28,31.06,32.10,27.21,147400
2013-12-27,32.01,32.72,31.69,32.20,27.30,197200
2013-12-30,32.06,32.80,31.75,32.43,27.49,324400
2013-12-31,32.33,33.39,32.33,33.07,28.03,236100
2014-01-02,33.02,33.20,32.50,32.64,27.67,166200
2014-01-03,33.13,33.72,32.64,33.71,28.58,259700
2014-01-06,33.56,33.79,33.00,33.66,28.53,598200
2014-01-07,33.59,34.69,33.20,34.55,29.29,270300
2014-01-08,34.44,35.07,33.79,35.04,29.70,510200
2014-01-09,35.04,35.81,35.00,35.64,30.21,469400
2014-01-10,35.40,36.16,35.40,36.08,30.59,409200
2014-01-13,35.51,36.50,35.51,36.16,30.89,307400
2014-01-14,36.00,36.87,35.65,36.77,31.41,279600
2014-01-15,36.96,37.59,36.79,37.05,31.65,414400
2014-01-16,36.98,37.24,36.73,37.10,31.70,413900
2014-01-17,36.94,37.37,36.61,36.89,31.52,165100
2014-01-21,36.75,37.66,36.75,37.60,32.12,446800
2014-01-22,37.59,38.03,37.52,38.01,32.47,309500
2014-01-23,37.74,38.27,37.07,38.26,32.69,335000
2014-01-24,39.35,39.35,37.06,37.61,32.13,290100
2014-01-27,37.52,37.52,36.22,36.61,31.28,405300
2014-01-28,36.51,37.19,36.50,36.79,31.43,182300
2014-01-29,36.57,36.94,36.50,36.71,31.36,260400
2014-01-30,36.98,37.71,36.90,37.25,31.82,237500
2014-01-31,37.00,37.16,36.88,37.01,31.62,243000
2014-02-03,37.00,37.10,35.65,35.97,30.73,581100
2014-02-04,36.00,36.66,35.71,36.51,31.19,339800
2014-02-05,36.50,36.82,35.96,35.96,30.72,259600
2014-02-06,35.83,36.67,35.57,35.95,30.71,129100
2014-02-07,35.96,37.00,35.70,36.52,31.20,173300
2014-02-10,36.52,37.04,36.33,36.90,31.53,209300
2014-02-11,37.03,37.44,36.97,37.19,31.77,141800
2014-02-12,37.09,37.25,36.65,36.74,31.39,112600
2014-02-13,36.75,37.44,36.72,37.22,31.80,127000
2014-02-14,37.10,37.32,36.96,36.97,31.59,80800
2014-02-18,36.78,37.16,36.38,37.07,31.67,155100
2014-02-19,36.84,37.49,36.42,36.56,31.24,129400
2014-02-20,36.55,37.58,36.39,37.53,32.06,128400
2014-02-21,37.43,37.77,36.82,37.32,31.88,109000
2014-02-24,37.17,37.79,36.41,36.58,31.25,171100
2014-02-25,36.52,37.36,36.32,36.84,31.47,139600
2014-02-26,36.83,37.68,36.81,37.13,31.72,110200
2014-02-27,37.07,37.36,36.92,36.93,31.55,91200
2014-02-28,36.85,37.76,36.77,37.30,31.87,170400
2014-03-03,37.01,38.00,36.35,37.92,32.40,173000
2014-03-04,38.00,38.75,38.00,38.50,32.89,167800
2014-03-05,38.12,38.12,36.68,37.55,32.08,308300
2014-03-06,37.54,38.18,37.25,37.57,32.10,210100
2014-03-07,37.59,38.35,37.25,37.78,32.28,274400
2014-03-10,37.54,38.27,37.47,37.83,32.32,222800
2014-03-11,37.81,37.81,36.83,36.94,31.56,207500
2014-03-12,36.71,36.92,35.29,35.43,30.27,285900
2014-03-13,35.39,35.58,34.45,34.65,29.60,289300
2014-03-14,34.28,36.19,34.28,35.05,29.95,411600
2014-03-17,35.05,36.48,34.81,36.34,31.05,126900
2014-03-18,36.47,37.23,36.47,36.99,31.60,176000
2014-03-19,36.94,37.20,36.42,36.51,31.19,79400
2014-03-20,36.74,37.07,36.42,37.05,31.65,123900
2014-03-21,37.13,38.42,37.07,37.31,31.88,413200
2014-03-24,37.59,37.70,36.68,37.41,31.96,193300
2014-03-25,37.38,37.61,35.88,36.68,31.34,247700
2014-03-26,36.75,37.12,36.41,36.81,31.45,119900
2014-03-27,35.61,36.48,35.42,36.42,31.12,203600
2014-03-28,36.40,37.64,36.23,36.58,31.25,251200
2014-03-31,36.59,37.60,36.47,37.39,31.94,192200
2014-04-01,37.25,37.42,36.05,36.31,31.02,301300
2014-04-02,36.19,36.66,35.25,36.35,31.06,273500
2014-04-03,36.15,36.30,35.27,35.62,30.43,538600
2014-04-04,35.61,35.98,34.56,34.97,29.88,234400
2014-04-07,34.07,35.85,34.04,35.43,30.27,439800
2014-04-08,35.33,36.20,35.17,35.96,30.72,239400
2014-04-09,36.32,39.34,36.32,39.03,33.35,1017600
