Date,Open,High,Low,Close,Adj Close,Volume
2014-01-23,25.75,26.50,25.00,25.20,21.77,34094000
2014-01-24,25.28,25.28,24.00,24.21,20.91,8034700
2014-01-27,24.23,24.99,24.19,24.80,21.42,3540900
2014-01-28,24.64,25.73,24.43,25.69,22.19,2766700
2014-01-29,25.29,25.80,25.09,25.62,22.13,2946100
2014-01-30,25.72,26.10,25.56,25.77,22.26,1122300
2014-01-31,25.35,25.88,25.11,25.63,22.14,678800
2014-02-03,25.96,25.96,25.24,25.25,21.81,1113400
2014-02-04,25.20,25.46,24.76,25.18,21.75,961500
2014-02-05,25.10,25.50,24.97,25.28,21.84,775500
2014-02-06,25.40,25.40,24.62,24.72,21.35,1151100
2014-02-07,24.55,25.09,24.30,25.08,21.67,838100
2014-02-10,25.10,25.22,24.76,25.22,21.79,660700
2014-02-11,25.04,25.44,24.95,25.38,21.93,344100
2014-02-12,25.31,25.42,25.05,25.26,21.82,313100
2014-02-13,25.00,25.51,24.83,25.49,22.02,704800
2014-02-14,25.47,25.59,25.23,25.41,21.95,546100
2014-02-18,25.42,25.69,25.27,25.50,22.03,477200
2014-02-19,25.74,25.74,25.18,25.36,21.91,306700
2014-02-20,25.27,25.54,25.16,25.43,21.97,587000
2014-02-21,25.80,25.80,25.27,25.35,21.90,472700
2014-02-24,25.32,25.53,25.09,25.28,21.84,546800
2014-02-25,25.25,25.48,24.95,25.06,21.65,1876200
2014-02-26,25.08,25.17,24.75,24.86,21.48,488800
2014-02-27,24.84,25.13,24.42,24.88,21.49,763800
2014-02-28,24.93,25.64,24.93,25.33,21.88,754800
2014-03-03,25.26,25.96,24.92,25.90,22.37,925200
2014-03-04,26.23,26.37,25.46,25.51,22.04,1286800
2014-03-05,25.46,25.84,24.65,25.00,21.60,1369900
2014-03-06,24.95,25.11,24.38,24.73,21.36,2145600
2014-03-07,24.90,24.96,24.44,24.44,21.11,1771900
2014-03-10,24.51,24.70,24.27,24.38,21.06,1066100
2014-03-11,24.50,24.53,23.42,23.94,20.68,2242000
2014-03-12,23.79,24.10,23.55,23.86,20.61,1650100
2014-03-13,23.78,23.95,22.65,22.86,19.75,3236200
2014-03-14,22.87,23.33,22.14,23.18,20.02,2641700
2014-03-17,24.60,24.69,23.34,24.06,20.78,2884400
2014-03-18,24.17,25.10,23.81,24.76,21.39,1276900
2014-03-19,25.10,25.20,24.51,24.71,21.35,1346300
2014-03-20,24.67,24.90,24.25,24.37,21.05,1482600
2014-03-21,24.51,24.62,23.87,24.03,20.76,4619500
2014-03-24,24.05,24.38,23.10,23.24,20.08,2139800
2014-03-25,23.33,23.70,22.45,23.16,20.01,3861600
2014-03-26,23.20,23.96,22.96,23.14,19.99,992500
2014-03-27,22.91,23.41,22.80,23.11,19.96,1017700
2014-03-28,23.16,23.76,23.16,23.50,20.30,1271600
2014-03-31,23.65,24.08,23.63,24.08,20.80,6324500
