Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.40,0.39,0.39,0.23,76950
1980-03-18,0.00,0.39,0.39,0.39,0.23,14175
1980-03-19,0.00,0.40,0.39,0.39,0.23,58725
1980-03-20,0.00,0.40,0.40,0.40,0.23,2025
1980-03-21,0.00,0.40,0.39,0.40,0.23,26325
1980-03-24,0.00,0.40,0.38,0.38,0.22,30375
1980-03-25,0.00,0.38,0.38,0.38,0.22,10125
1980-03-26,0.00,0.38,0.38,0.38,0.22,22275
1980-03-27,0.00,0.38,0.37,0.37,0.22,103275
1980-03-28,0.00,0.39,0.38,0.39,0.23,38475
1980-03-31,0.00,0.40,0.39,0.39,0.23,137700
1980-04-01,0.39,0.39,0.39,0.39,0.23,0
1980-04-02,0.00,0.39,0.38,0.39,0.23,8100
1980-04-03,0.39,0.39,0.39,0.39,0.23,0
1980-04-07,0.00,0.38,0.37,0.37,0.22,54675
1980-04-08,0.00,0.36,0.35,0.36,0.21,190350
1980-04-09,0.00,0.37,0.36,0.37,0.22,32400
1980-04-10,0.00,0.37,0.36,0.37,0.22,32400
1980-04-11,0.00,0.37,0.37,0.37,0.22,10125
1980-04-14,0.00,0.36,0.36,0.36,0.21,32400
1980-04-15,0.00,0.36,0.36,0.36,0.21,20250
1980-04-16,0.00,0.36,0.35,0.35,0.21,50625
1980-04-17,0.00,0.38,0.36,0.38,0.22,119475
1980-04-18,0.00,0.38,0.38,0.38,0.22,2025
1980-04-21,0.00,0.38,0.38,0.38,0.22,4050
1980-04-22,0.00,0.38,0.37,0.37,0.22,52650
1980-04-23,0.00,0.38,0.37,0.37,0.22,54675
1980-04-24,0.00,0.38,0.37,0.37,0.22,155925
1980-04-25,0.00,0.37,0.36,0.36,0.21,58725
1980-04-28,0.00,0.38,0.36,0.38,0.22,48600
1980-04-29,0.00,0.38,0.38,0.38,0.22,4050
1980-04-30,0.00,0.38,0.38,0.38,0.22,16200
1980-05-01,0.00,0.38,0.37,0.38,0.22,30375
1980-05-02,0.00,0.38,0.37,0.38,0.22,78975
1980-05-05,0.00,0.38,0.38,0.38,0.22,70875
1980-05-06,0.00,0.38,0.38,0.38,0.22,20250
1980-05-07,0.00,0.39,0.38,0.38,0.22,36450
1980-05-08,0.00,0.38,0.38,0.38,0.22,42525
1980-05-09,0.00,0.38,0.38,0.38,0.22,4050
1980-05-12,0.00,0.42,0.38,0.42,0.25,162000
1980-05-13,0.00,0.41,0.41,0.41,0.24,16200
1980-05-14,0.00,0.42,0.41,0.42,0.25,89100
1980-05-15,0.00,0.43,0.43,0.43,0.25,6075
1980-05-16,0.00,0.44,0.43,0.43,0.25,83025
1980-05-19,0.00,0.43,0.43,0.43,0.25,24300
