Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.00,0.23,0.22,0.22,0.16,211200
1980-03-18,0.00,0.22,0.21,0.22,0.16,1280000
1980-03-19,0.00,0.22,0.22,0.22,0.16,204800
1980-03-20,0.00,0.22,0.21,0.21,0.15,230400
1980-03-21,0.00,0.21,0.21,0.21,0.15,204800
1980-03-24,0.00,0.21,0.20,0.20,0.15,454400
1980-03-25,0.00,0.20,0.20,0.20,0.14,460800
1980-03-26,0.00,0.21,0.20,0.20,0.15,192000
1980-03-27,0.00,0.20,0.20,0.20,0.14,774400
1980-03-28,0.00,0.20,0.20,0.20,0.14,876800
1980-03-31,0.00,0.21,0.20,0.21,0.15,140800
1980-04-01,0.00,0.21,0.21,0.21,0.15,172800
1980-04-02,0.00,0.22,0.21,0.22,0.16,768000
1980-04-03,0.00,0.22,0.21,0.21,0.16,192000
1980-04-07,0.00,0.22,0.21,0.21,0.16,172800
1980-04-08,0.00,0.21,0.21,0.21,0.15,89600
1980-04-09,0.00,0.22,0.21,0.22,0.16,563200
1980-04-10,0.00,0.25,0.22,0.25,0.18,550400
1980-04-11,0.00,0.26,0.25,0.25,0.18,147200
1980-04-14,0.00,0.25,0.24,0.25,0.18,140800
1980-04-15,0.00,0.24,0.24,0.24,0.17,172800
1980-04-16,0.00,0.24,0.24,0.24,0.18,281600
1980-04-17,0.00,0.24,0.24,0.24,0.17,985600
1980-04-18,0.00,0.24,0.24,0.24,0.17,115200
1980-04-21,0.00,0.24,0.24,0.24,0.17,128000
1980-04-22,0.00,0.25,0.24,0.25,0.18,326400
1980-04-23,0.00,0.25,0.25,0.25,0.18,665600
1980-04-24,0.00,0.25,0.25,0.25,0.18,89600
1980-04-25,0.00,0.25,0.25,0.25,0.18,70400
1980-04-28,0.00,0.26,0.25,0.26,0.19,294400
1980-04-29,0.00,0.27,0.25,0.25,0.18,601600
1980-04-30,0.00,0.25,0.25,0.25,0.18,115200
1980-05-01,0.00,0.25,0.24,0.24,0.17,140800
1980-05-02,0.00,0.25,0.25,0.25,0.18,467200
1980-05-05,0.00,0.26,0.25,0.26,0.19,422400
1980-05-06,0.00,0.26,0.25,0.25,0.18,51200
1980-05-07,0.00,0.25,0.25,0.25,0.18,128000
1980-05-08,0.00,0.25,0.24,0.25,0.18,166400
1980-05-09,0.00,0.25,0.24,0.25,0.18,89600
1980-05-12,0.00,0.25,0.25,0.25,0.18,6400
1980-05-13,0.00,0.25,0.24,0.24,0.18,268800
1980-05-14,0.00,0.25,0.24,0.25,0.18,332800
1980-05-15,0.00,0.25,0.25,0.25,0.18,160000
1980-05-16,0.00,0.25,0.25,0.25,0.18,275200
1980-05-19,0.00,0.25,0.25,0.25,0.18,96000
1980-05-20,0.00,0.26,0.25,0.26,0.19,326400
1980-05-21,0.00,0.26,0.25,0.25,0.18,268800
1980-05-22,0.00,0.26,0.25,0.26,0.19,140800
1980-05-23,0.00,0.26,0.25,0.26,0.19,121600
1980-05-27,0.00,0.27,0.26,0.26,0.19,108800
1980-05-28,0.00,0.26,0.26,0.26,0.19,288000
1980-05-29,0.00,0.27,0.26,0.26,0.19,153600
1980-05-30,0.00,0.26,0.26,0.26,0.19,89600
1980-06-02,0.00,0.27,0.26,0.27,0.19,64000
1980-06-03,0.00,0.27,0.26,0.26,0.19,256000
1980-06-04,0.00,0.27,0.27,0.27,0.20,249600
1980-06-05,0.00,0.27,0.27,0.27,0.20,275200
1980-06-06,0.00,0.29,0.27,0.28,0.20,499200
1980-06-09,0.00,0.29,0.28,0.28,0.20,467200
1980-06-10,0.00,0.28,0.28,0.28,0.20,224000
1980-06-11,0.00,0.28,0.28,0.28,0.20,179200
1980-06-12,0.00,0.28,0.28,0.28,0.20,249600
1980-06-13,0.00,0.28,0.27,0.27,0.20,76800
1980-06-16,0.00,0.28,0.27,0.27,0.20,140800
1980-06-17,0.00,0.28,0.27,0.28,0.20,486400
1980-06-18,0.00,0.28,0.28,0.28,0.21,134400
1980-06-19,0.00,0.28,0.28,0.28,0.20,140800
1980-06-20,0.00,0.28,0.27,0.27,0.20,256000
1980-06-23,0.00,0.27,0.27,0.27,0.19,121600
1980-06-24,0.00,0.27,0.27,0.27,0.20,57600
1980-06-25,0.00,0.28,0.27,0.28,0.21,1363200
1980-06-26,0.00,0.28,0.28,0.28,0.20,691200
1980-06-27,0.00,0.28,0.28,0.28,0.20,812800
1980-06-30,0.00,0.28,0.28,0.28,0.20,275200
1980-07-01,0.00,0.28,0.28,0.28,0.20,172800
1980-07-02,0.00,0.28,0.28,0.28,0.20,204800
1980-07-03,0.00,0.29,0.28,0.28,0.21,115200
1980-07-07,0.00,0.29,0.28,0.29,0.21,352000
1980-07-08,0.00,0.29,0.28,0.29,0.21,179200
1980-07-09,0.00,0.30,0.29,0.30,0.22,1107200
1980-07-10,0.00,0.30,0.30,0.30,0.22,435200
1980-07-11,0.00,0.30,0.30,0.30,0.22,179200
1980-07-14,0.00,0.33,0.30,0.32,0.23,1376000
1980-07-15,0.00,0.33,0.32,0.33,0.24,1043200
1980-07-16,0.00,0.34,0.33,0.34,0.24,716800
1980-07-17,0.00,0.34,0.33,0.33,0.24,672000
1980-07-18,0.00,0.34,0.33,0.33,0.24,761600
1980-07-21,0.00,0.33,0.33,0.33,0.24,441600
1980-07-22,0.00,0.33,0.33,0.33,0.24,371200
1980-07-23,0.00,0.34,0.32,0.33,0.24,736000
1980-07-24,0.00,0.34,0.33,0.33,0.24,793600
1980-07-25,0.00,0.34,0.33,0.34,0.24,403200
1980-07-28,0.00,0.34,0.34,0.34,0.25,217600
1980-07-29,0.00,0.35,0.34,0.35,0.26,281600
1980-07-30,0.00,0.38,0.35,0.38,0.27,768000
1980-07-31,0.00,0.39,0.37,0.37,0.27,1388800
1980-08-01,0.00,0.38,0.36,0.36,0.26,416000
1980-08-04,0.00,0.36,0.34,0.34,0.25,627200
1980-08-05,0.00,0.35,0.34,0.35,0.25,1811200
1980-08-06,0.00,0.35,0.34,0.35,0.25,6470400
1980-08-07,0.00,0.35,0.34,0.35,0.25,3392000
1980-08-08,0.00,0.37,0.35,0.36,0.26,1158400
1980-08-11,0.00,0.37,0.36,0.36,0.26,499200
1980-08-12,0.00,0.37,0.35,0.35,0.26,480000
1980-08-13,0.00,0.35,0.34,0.34,0.25,595200
1980-08-14,0.00,0.36,0.34,0.36,0.26,780800
1980-08-15,0.00,0.37,0.36,0.36,0.26,313600
1980-08-18,0.00,0.36,0.35,0.35,0.25,1049600
1980-08-19,0.00,0.36,0.35,0.35,0.26,697600
1980-08-20,0.00,0.37,0.36,0.36,0.26,339200
1980-08-21,0.00,0.39,0.37,0.38,0.28,1939200
1980-08-22,0.00,0.40,0.39,0.39,0.28,787200
1980-08-25,0.00,0.39,0.38,0.38,0.28,409600
1980-08-26,0.00,0.40,0.38,0.40,0.29,505600
1980-08-27,0.00,0.40,0.39,0.39,0.29,857600
1980-08-28,0.00,0.39,0.39,0.39,0.28,358400
1980-08-29,0.00,0.38,0.38,0.38,0.28,166400
1980-09-02,0.00,0.39,0.38,0.39,0.28,236800
1980-09-03,0.00,0.41,0.39,0.41,0.30,1964800
1980-09-04,0.00,0.43,0.41,0.42,0.30,1516800
1980-09-05,0.00,0.42,0.41,0.42,0.30,345600
1980-09-08,0.00,0.41,0.40,0.40,0.29,1689600
1980-09-09,0.00,0.40,0.39,0.40,0.29,128000
1980-09-10,0.00,0.40,0.39,0.40,0.29,326400
1980-09-11,0.00,0.41,0.40,0.41,0.30,166400
1980-09-12,0.00,0.42,0.41,0.42,0.30,1388800
1980-09-15,0.00,0.42,0.42,0.42,0.31,192000
1980-09-16,0.00,0.44,0.43,0.44,0.32,582400
1980-09-17,0.00,0.46,0.44,0.46,0.33,1145600
1980-09-18,0.00,0.45,0.44,0.44,0.32,691200
1980-09-19,0.00,0.44,0.43,0.44,0.32,556800
1980-09-22,0.00,0.44,0.43,0.43,0.32,780800
1980-09-23,0.00,0.43,0.42,0.42,0.31,256000
1980-09-24,0.00,0.42,0.41,0.42,0.30,358400
1980-09-25,0.00,0.42,0.41,0.41,0.30,2092800
1980-09-26,0.00,0.41,0.41,0.41,0.30,518400
1980-09-29,0.00,0.41,0.38,0.38,0.28,1004800
1980-09-30,0.00,0.39,0.38,0.39,0.28,1113600
1980-10-01,0.00,0.39,0.38,0.38,0.28,172800
1980-10-02,0.00,0.39,0.39,0.39,0.29,524800
1980-10-03,0.00,0.40,0.39,0.39,0.29,492800
1980-10-06,0.00,0.40,0.40,0.40,0.29,595200
1980-10-07,0.00,0.41,0.41,0.41,0.30,1126400
1980-10-08,0.00,0.42,0.41,0.42,0.31,441600
1980-10-09,0.00,0.43,0.42,0.42,0.30,531200
1980-10-10,0.00,0.42,0.41,0.42,0.30,115200
1980-10-13,0.00,0.42,0.42,0.42,0.30,76800
1980-10-14,0.00,0.42,0.42,0.42,0.31,147200
1980-10-15,0.00,0.42,0.42,0.42,0.31,153600
1980-10-16,0.00,0.43,0.42,0.43,0.31,1088000
1980-10-17,0.00,0.43,0.42,0.42,0.31,230400
1980-10-20,0.00,0.43,0.42,0.43,0.31,185600
1980-10-21,0.00,0.43,0.42,0.42,0.31,249600
1980-10-22,0.00,0.42,0.41,0.42,0.31,499200
1980-10-23,0.00,0.42,0.42,0.42,0.31,121600
1980-10-24,0.00,0.41,0.40,0.40,0.29,332800
1980-10-27,0.00,0.41,0.40,0.40,0.29,51200
1980-10-28,0.00,0.40,0.40,0.40,0.29,204800
1980-10-29,0.00,0.41,0.40,0.41,0.30,230400
1980-10-30,0.00,0.42,0.41,0.41,0.30,864000
1980-10-31,0.00,0.43,0.41,0.43,0.31,409600
1980-11-03,0.00,0.43,0.43,0.43,0.31,448000
1980-11-05,0.00,0.44,0.43,0.43,0.31,377600
1980-11-06,0.00,0.43,0.42,0.42,0.31,262400
1980-11-07,0.00,0.42,0.41,0.41,0.30,972800
1980-11-10,0.00,0.42,0.41,0.42,0.31,83200
1980-11-11,0.00,0.44,0.43,0.44,0.32,864000
1980-11-12,0.00,0.45,0.43,0.45,0.32,262400
1980-11-13,0.00,0.45,0.44,0.44,0.32,332800
1980-11-14,0.00,0.44,0.44,0.44,0.32,134400
1980-11-17,0.00,0.44,0.43,0.43,0.32,102400
1980-11-18,0.00,0.44,0.43,0.44,0.32,409600
1980-11-19,0.00,0.44,0.43,0.44,0.32,281600
1980-11-20,0.00,0.44,0.44,0.44,0.32,70400
1980-11-21,0.00,0.43,0.42,0.42,0.31,1132800
1980-11-24,0.00,0.42,0.41,0.42,0.31,544000
1980-11-25,0.00,0.44,0.42,0.43,0.31,1900800
1980-11-26,0.00,0.43,0.43,0.43,0.32,128000
1980-11-28,0.00,0.43,0.43,0.43,0.32,198400
1980-12-01,0.00,0.43,0.43,0.43,0.31,108800
1980-12-02,0.00,0.43,0.43,0.43,0.32,256000
1980-12-03,0.00,0.43,0.43,0.43,0.31,230400
1980-12-04,0.00,0.43,0.43,0.43,0.31,76800
1980-12-05,0.00,0.43,0.43,0.43,0.31,6214400
1980-12-08,0.00,0.44,0.43,0.43,0.31,326400
1980-12-09,0.00,0.43,0.42,0.43,0.31,1241600
1980-12-10,0.00,0.43,0.42,0.43,0.31,1184000
1980-12-11,0.00,0.43,0.42,0.42,0.30,262400
1980-12-12,0.00,0.42,0.42,0.42,0.30,76800
1980-12-15,0.00,0.42,0.42,0.42,0.30,172800
1980-12-16,0.00,0.42,0.41,0.42,0.30,307200
1980-12-17,0.00,0.42,0.41,0.41,0.30,582400
1980-12-18,0.00,0.42,0.41,0.42,0.31,160000
1980-12-19,0.00,0.43,0.42,0.43,0.31,889600
1980-12-22,0.00,0.43,0.43,0.43,0.31,6400
1980-12-23,0.00,0.43,0.43,0.43,0.31,83200
1980-12-24,0.00,0.44,0.44,0.44,0.32,307200
1980-12-26,0.00,0.45,0.44,0.45,0.33,300800
1980-12-29,0.00,0.46,0.45,0.46,0.33,134400
1980-12-30,0.00,0.48,0.46,0.48,0.35,864000
1980-12-31,0.00,0.50,0.48,0.49,0.36,512000
1981-01-02,0.00,0.50,0.49,0.49,0.35,134400
1981-01-05,0.00,0.50,0.49,0.50,0.36,512000
1981-01-06,0.00,0.50,0.49,0.49,0.35,460800
1981-01-07,0.00,0.47,0.45,0.46,0.34,1132800
1981-01-08,0.00,0.46,0.45,0.45,0.32,236800
1981-01-09,0.00,0.46,0.45,0.45,0.33,134400
1981-01-12,0.00,0.48,0.46,0.48,0.35,537600
1981-01-13,0.00,0.48,0.48,0.48,0.35,345600
1981-01-14,0.00,0.48,0.47,0.48,0.35,326400
1981-01-15,0.00,0.48,0.47,0.47,0.34,70400
1981-01-16,0.00,0.47,0.47,0.47,0.34,9062400
1981-01-19,0.00,0.48,0.47,0.48,0.35,313600
1981-01-20,0.00,0.48,0.48,0.48,0.35,185600
1981-01-21,0.00,0.48,0.48,0.48,0.35,467200
1981-01-22,0.00,0.49,0.48,0.48,0.35,518400
1981-01-23,0.00,0.48,0.48,0.48,0.35,64000
1981-01-26,0.00,0.47,0.46,0.47,0.34,121600
1981-01-27,0.00,0.48,0.46,0.48,0.35,236800
1981-01-28,0.00,0.47,0.47,0.47,0.34,96000
1981-01-29,0.00,0.47,0.47,0.47,0.34,44800
1981-01-30,0.00,0.47,0.47,0.47,0.34,345600
1981-02-02,0.00,0.47,0.47,0.47,0.34,1158400
1981-02-03,0.00,0.47,0.46,0.46,0.34,128000
1981-02-04,0.00,0.48,0.47,0.48,0.35,115200
1981-02-05,0.00,0.49,0.47,0.49,0.36,364800
1981-02-06,0.00,0.52,0.49,0.51,0.37,544000
1981-02-09,0.00,0.52,0.52,0.52,0.38,185600
1981-02-10,0.00,0.52,0.52,0.52,0.38,51200
1981-02-11,0.00,0.52,0.52,0.52,0.38,627200
1981-02-12,0.00,0.52,0.52,0.52,0.38,480000
1981-02-13,0.00,0.52,0.52,0.52,0.38,153600
1981-02-17,0.00,0.53,0.52,0.53,0.38,467200
1981-02-18,0.00,0.53,0.52,0.52,0.38,384000
1981-02-19,0.00,0.52,0.51,0.51,0.37,422400
1981-02-20,0.00,0.51,0.50,0.50,0.36,275200
1981-02-23,0.00,0.50,0.49,0.49,0.36,198400
1981-02-24,0.00,0.50,0.49,0.49,0.36,230400
1981-02-25,0.00,0.49,0.49,0.49,0.35,281600
1981-02-26,0.00,0.50,0.49,0.49,0.35,217600
1981-02-27,0.00,0.49,0.49,0.49,0.36,102400
1981-03-02,0.00,0.49,0.48,0.49,0.35,89600
1981-03-03,0.00,0.51,0.49,0.51,0.37,1267200
1981-03-04,0.00,0.55,0.51,0.54,0.39,870400
1981-03-05,0.00,0.57,0.54,0.56,0.41,876800
1981-03-06,0.00,0.57,0.56,0.57,0.41,2009600
1981-03-09,0.00,0.57,0.56,0.56,0.41,153600
1981-03-10,0.00,0.56,0.52,0.52,0.38,678400
1981-03-11,0.00,0.53,0.51,0.51,0.37,736000
1981-03-12,0.00,0.50,0.50,0.50,0.36,198400
1981-03-13,0.00,0.50,0.49,0.50,0.36,256000
1981-03-16,0.00,0.51,0.50,0.51,0.37,121600
1981-03-17,0.00,0.52,0.50,0.51,0.37,128000
1981-03-18,0.00,0.51,0.50,0.51,0.37,204800
1981-03-19,0.00,0.51,0.51,0.51,0.37,153600
1981-03-20,0.00,0.51,0.51,0.51,0.37,179200
1981-03-23,0.00,0.51,0.51,0.51,0.37,64000
1981-03-24,0.00,0.51,0.51,0.51,0.37,38400
1981-03-25,0.00,0.51,0.51,0.51,0.37,19200
1981-03-26,0.00,0.51,0.49,0.50,0.36,5593600
1981-03-27,0.00,0.50,0.48,0.48,0.35,787200
1981-03-30,0.00,0.49,0.48,0.48,0.35,352000
1981-03-31,0.00,0.49,0.48,0.48,0.35,870400
1981-04-01,0.00,0.49,0.48,0.49,0.36,1100800
1981-04-02,0.00,0.49,0.48,0.48,0.35,371200
1981-04-03,0.00,0.48,0.48,0.48,0.35,153600
1981-04-06,0.00,0.48,0.47,0.48,0.35,499200
1981-04-07,0.00,0.47,0.47,0.47,0.34,857600
1981-04-08,0.00,0.47,0.46,0.46,0.33,2073600
1981-04-09,0.00,0.47,0.46,0.47,0.34,748800
1981-04-10,0.00,0.47,0.46,0.47,0.34,416000
1981-04-13,0.00,0.47,0.46,0.46,0.34,128000
1981-04-14,0.00,0.46,0.46,0.46,0.33,236800
1981-04-15,0.00,0.50,0.48,0.50,0.36,4281600
1981-04-16,0.00,0.51,0.50,0.51,0.37,1472000
1981-04-20,0.00,0.51,0.50,0.51,0.37,614400
1981-04-21,0.00,0.53,0.51,0.52,0.37,1824000
1981-04-22,0.00,0.54,0.51,0.52,0.38,4140800
1981-04-23,0.00,0.54,0.52,0.54,0.39,1504000
1981-04-24,0.00,0.54,0.53,0.54,0.39,633600
1981-04-27,0.00,0.54,0.52,0.53,0.38,627200
1981-04-28,0.00,0.52,0.51,0.51,0.37,262400
1981-04-29,0.00,0.51,0.50,0.50,0.37,230400
1981-04-30,0.00,0.51,0.50,0.50,0.37,390400
1981-05-01,0.00,0.51,0.49,0.50,0.36,435200
1981-05-04,0.00,0.49,0.48,0.48,0.35,121600
1981-05-05,0.00,0.49,0.48,0.49,0.35,851200
1981-05-06,0.00,0.50,0.49,0.49,0.36,460800
1981-05-07,0.00,0.50,0.49,0.49,0.36,864000
1981-05-08,0.00,0.51,0.50,0.51,0.37,403200
1981-05-11,0.00,0.51,0.51,0.51,0.37,211200
1981-05-12,0.00,0.51,0.50,0.51,0.37,787200
1981-05-13,0.00,0.54,0.52,0.53,0.39,800000
1981-05-14,0.00,0.54,0.54,0.54,0.39,416000
1981-05-15,0.00,0.54,0.54,0.54,0.39,313600
1981-05-18,0.00,0.55,0.54,0.55,0.40,473600
1981-05-19,0.00,0.54,0.53,0.54,0.39,332800
1981-05-20,0.00,0.54,0.52,0.52,0.38,364800
1981-05-21,0.00,0.52,0.51,0.51,0.37,358400
1981-05-22,0.00,0.51,0.51,0.51,0.37,550400
1981-05-26,0.00,0.52,0.51,0.52,0.37,556800
1981-05-27,0.00,0.52,0.52,0.52,0.38,512000
1981-05-28,0.00,0.54,0.53,0.54,0.39,672000
1981-05-29,0.00,0.54,0.53,0.54,0.39,384000
1981-06-01,0.00,0.58,0.54,0.58,0.42,953600
1981-06-02,0.00,0.57,0.56,0.56,0.41,697600
1981-06-03,0.00,0.56,0.55,0.56,0.40,428800
1981-06-04,0.00,0.56,0.56,0.56,0.41,377600
1981-06-05,0.00,0.57,0.56,0.57,0.41,217600
1981-06-08,0.00,0.57,0.56,0.56,0.41,409600
1981-06-09,0.00,0.58,0.56,0.58,0.42,512000
1981-06-10,0.00,0.59,0.58,0.59,0.43,620800
1981-06-11,0.00,0.59,0.59,0.59,0.43,396800
1981-06-12,0.00,0.61,0.60,0.60,0.43,838400
1981-06-15,0.00,0.61,0.60,0.60,0.44,524800
1981-06-16,0.00,0.60,0.59,0.59,0.43,710400
1981-06-17,0.00,0.59,0.58,0.59,0.43,51200
1981-06-18,0.00,0.59,0.55,0.55,0.40,300800
1981-06-19,0.00,0.54,0.54,0.54,0.39,262400
1981-06-22,0.00,0.55,0.54,0.54,0.39,172800
1981-06-23,0.00,0.56,0.54,0.56,0.41,620800
1981-06-24,0.00,0.56,0.55,0.56,0.41,236800
1981-06-25,0.00,0.56,0.55,0.56,0.41,172800
1981-06-26,0.00,0.56,0.55,0.56,0.41,249600
1981-06-29,0.00,0.56,0.55,0.55,0.40,51200
