Date,Open,High,Low,Close,Adj Close,Volume
1981-03-25,0.00,0.19,0.19,0.19,0.10,14880000
1981-03-26,0.00,0.19,0.19,0.19,0.10,13795200
1981-03-27,0.00,0.19,0.19,0.19,0.10,5260800
1981-03-30,0.00,0.20,0.19,0.19,0.10,2361600
1981-03-31,0.00,0.20,0.19,0.19,0.11,3916800
1981-04-01,0.00,0.21,0.20,0.20,0.11,3734400
1981-04-02,0.00,0.21,0.21,0.21,0.11,2515200
1981-04-03,0.00,0.21,0.21,0.21,0.11,2265600
1981-04-06,0.00,0.21,0.20,0.20,0.11,1526400
1981-04-07,0.00,0.21,0.20,0.20,0.11,787200
1981-04-08,0.00,0.21,0.20,0.20,0.11,2688000
1981-04-09,0.00,0.21,0.20,0.20,0.11,1420800
1981-04-10,0.00,0.21,0.21,0.21,0.11,614400
1981-04-13,0.00,0.21,0.21,0.21,0.11,1382400
1981-04-14,0.00,0.21,0.21,0.21,0.11,1670400
1981-04-15,0.00,0.23,0.23,0.23,0.13,2620800
1981-04-16,0.00,0.24,0.23,0.23,0.13,931200
1981-04-20,0.00,0.24,0.24,0.24,0.13,1152000
1981-04-21,0.00,0.24,0.23,0.23,0.13,1526400
1981-04-22,0.00,0.23,0.23,0.23,0.13,1632000
1981-04-23,0.00,0.23,0.23,0.23,0.12,1200000
1981-04-24,0.00,0.23,0.23,0.23,0.12,2102400
1981-04-27,0.00,0.25,0.25,0.25,0.14,4809600
1981-04-28,0.00,0.26,0.26,0.26,0.14,3792000
1981-04-29,0.00,0.25,0.25,0.25,0.14,4483200
1981-04-30,0.00,0.26,0.25,0.25,0.14,1872000
1981-05-01,0.00,0.26,0.25,0.25,0.14,1363200
1981-05-04,0.00,0.26,0.25,0.25,0.14,614400
1981-05-05,0.00,0.25,0.25,0.25,0.14,1017600
1981-05-06,0.00,0.26,0.25,0.25,0.14,777600
1981-05-07,0.00,0.26,0.25,0.25,0.14,403200
1981-05-08,0.00,0.26,0.25,0.25,0.14,556800
1981-05-11,0.00,0.26,0.26,0.26,0.14,576000
1981-05-12,0.00,0.27,0.26,0.26,0.14,1180800
1981-05-13,0.00,0.27,0.27,0.27,0.15,1497600
1981-05-14,0.00,0.28,0.27,0.27,0.15,374400
1981-05-15,0.00,0.28,0.27,0.27,0.15,748800
1981-05-18,0.00,0.28,0.28,0.28,0.15,604800
1981-05-19,0.00,0.28,0.28,0.28,0.15,288000
1981-05-20,0.00,0.28,0.28,0.28,0.15,345600
1981-05-21,0.00,0.28,0.27,0.27,0.15,643200
1981-05-22,0.00,0.28,0.27,0.27,0.15,499200
1981-05-26,0.00,0.28,0.27,0.27,0.15,268800
1981-05-27,0.00,0.28,0.27,0.27,0.15,297600
1981-05-28,0.00,0.28,0.28,0.28,0.15,787200
1981-05-29,0.00,0.29,0.28,0.28,0.16,268800
1981-06-01,0.00,0.30,0.29,0.29,0.16,518400
1981-06-02,0.00,0.29,0.28,0.28,0.16,902400
1981-06-03,0.00,0.29,0.28,0.28,0.15,844800
1981-06-04,0.00,0.28,0.28,0.28,0.15,268800
1981-06-05,0.00,0.29,0.28,0.28,0.15,297600
1981-06-08,0.00,0.28,0.28,0.28,0.15,355200
1981-06-09,0.00,0.28,0.28,0.28,0.15,211200
1981-06-10,0.00,0.28,0.28,0.28,0.15,172800
1981-06-11,0.00,0.28,0.28,0.28,0.15,124800
1981-06-12,0.00,0.28,0.28,0.28,0.15,86400
1981-06-15,0.00,0.27,0.27,0.27,0.15,508800
1981-06-16,0.00,0.27,0.26,0.26,0.14,441600
1981-06-17,0.00,0.25,0.25,0.25,0.14,748800
1981-06-18,0.00,0.25,0.24,0.24,0.13,1968000
1981-06-19,0.00,0.25,0.24,0.24,0.13,1161600
1981-06-22,0.00,0.25,0.24,0.24,0.13,1296000
1981-06-23,0.00,0.25,0.24,0.24,0.13,768000
1981-06-24,0.00,0.25,0.24,0.24,0.13,115200
1981-06-25,0.00,0.25,0.24,0.24,0.13,355200
1981-06-26,0.00,0.25,0.24,0.24,0.13,115200
1981-06-29,0.00,0.25,0.24,0.24,0.13,201600
1981-06-30,0.00,0.23,0.22,0.22,0.12,835200
1981-07-01,0.00,0.22,0.22,0.22,0.12,748800
1981-07-02,0.00,0.23,0.22,0.22,0.12,614400
1981-07-06,0.00,0.22,0.22,0.22,0.12,288000
1981-07-07,0.00,0.22,0.21,0.21,0.12,384000
1981-07-08,0.00,0.22,0.21,0.21,0.12,230400
1981-07-09,0.00,0.22,0.22,0.22,0.12,163200
1981-07-10,0.00,0.23,0.22,0.22,0.12,499200
1981-07-13,0.00,0.23,0.23,0.23,0.12,345600
1981-07-14,0.00,0.23,0.23,0.23,0.13,384000
1981-07-15,0.00,0.23,0.23,0.23,0.13,374400
1981-07-16,0.00,0.23,0.23,0.23,0.13,134400
