Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,32.00,33.50,30.55,31.56,31.56,12435200
2021-02-12,32.24,36.40,30.00,36.40,36.40,3460200
2021-02-16,36.80,39.85,34.59,36.16,36.16,4327000
2021-02-17,39.12,39.50,34.81,38.10,38.10,2745700
2021-02-18,37.50,39.25,36.44,37.01,37.01,635100
2021-02-19,37.99,40.79,37.55,39.44,39.44,893600
2021-02-22,38.50,40.57,37.89,38.34,38.34,605900
2021-02-23,36.55,36.88,33.00,35.39,35.39,1912900
2021-02-24,36.00,38.24,35.52,36.25,36.25,1224000
2021-02-25,36.25,37.11,30.50,31.42,31.42,1158100
2021-02-26,32.30,34.00,32.01,33.02,33.02,583000
2021-03-01,34.79,36.63,34.15,36.22,36.22,665600
2021-03-02,36.19,37.03,34.32,34.48,34.48,261100
2021-03-03,34.50,35.23,30.77,31.07,31.07,609100
2021-03-04,30.47,30.58,26.73,27.74,27.74,1174500
2021-03-05,28.16,28.94,25.00,28.31,28.31,705200
2021-03-08,28.31,28.41,26.65,27.26,27.26,534300
2021-03-09,27.28,29.95,27.14,28.80,28.80,387600
2021-03-10,29.15,29.86,27.64,28.12,28.12,446200
2021-03-11,28.28,31.04,28.28,29.49,29.49,477100
2021-03-12,29.30,30.52,28.31,30.17,30.17,223400
2021-03-15,30.10,30.99,29.78,30.53,30.53,295500
2021-03-16,30.10,30.98,30.00,30.42,30.42,272500
2021-03-17,29.64,30.57,29.29,29.78,29.78,535300
2021-03-18,29.32,30.32,27.50,27.53,27.53,629500
2021-03-19,27.50,28.68,26.38,26.46,26.46,2861500
2021-03-22,26.86,27.73,25.22,25.25,25.25,640500
2021-03-23,25.40,25.78,24.24,25.41,25.41,871900
2021-03-24,25.79,25.89,23.97,24.29,24.29,734800
2021-03-25,22.96,27.68,22.13,27.52,27.52,1014200
2021-03-26,27.37,28.97,25.80,26.99,26.99,372800
2021-03-29,26.63,27.77,26.15,26.71,26.71,409100
2021-03-30,26.84,28.09,26.49,27.39,27.39,486500
2021-03-31,27.55,29.45,27.00,29.26,29.26,637800
2021-04-01,29.65,30.64,29.05,29.88,29.88,519100
2021-04-05,30.00,30.00,28.21,29.12,29.12,374200
2021-04-06,29.68,29.82,27.25,27.47,27.47,366600
2021-04-07,27.48,28.12,25.93,26.35,26.35,464200
2021-04-08,26.89,27.49,26.34,26.89,26.89,262900
2021-04-09,27.29,27.39,26.03,26.24,26.24,176200
2021-04-12,26.11,26.20,24.52,24.81,24.81,181500
2021-04-13,25.00,26.33,24.84,26.10,26.10,354800
2021-04-14,26.10,27.18,26.10,26.26,26.26,193300
2021-04-15,26.39,27.02,26.30,26.99,26.99,211500
2021-04-16,26.90,27.39,26.41,27.06,27.06,184200
2021-04-19,26.77,26.77,25.72,26.20,26.20,221000
2021-04-20,25.81,26.25,25.22,25.89,25.89,539800
2021-04-21,25.63,27.24,25.22,26.83,26.83,508600
2021-04-22,26.84,27.97,26.01,27.48,27.48,261400
2021-04-23,27.32,28.79,27.23,28.54,28.54,498200
2021-04-26,28.64,30.12,28.21,30.10,30.10,296500
2021-04-27,29.70,30.91,29.21,30.55,30.55,447600
2021-04-28,30.37,30.86,29.30,30.58,30.58,179000
2021-04-29,30.82,30.85,28.52,29.25,29.25,234800
2021-04-30,28.94,29.85,28.04,28.35,28.35,128500
2021-05-03,28.92,29.09,28.24,28.76,28.76,196300
2021-05-04,28.14,28.72,26.65,26.80,26.80,276900
2021-05-05,27.05,27.05,25.71,25.85,25.85,291000
2021-05-06,25.55,25.91,24.26,25.32,25.32,440100
2021-05-07,25.62,27.28,25.36,26.83,26.83,238400
2021-05-10,26.94,27.37,25.01,25.06,25.06,310300
2021-05-11,23.90,26.94,23.85,26.70,26.70,390800
2021-05-12,24.60,26.52,24.04,25.97,25.97,596000
2021-05-13,26.72,26.72,24.60,25.33,25.33,762000
2021-05-14,25.78,26.91,25.52,25.79,25.79,917000
2021-05-17,25.44,26.23,25.02,25.73,25.73,461600
2021-05-18,26.06,27.07,25.28,26.50,26.50,284200
2021-05-19,25.50,26.70,25.50,25.82,25.82,201900
2021-05-20,26.24,26.80,25.87,26.51,26.51,349000
2021-05-21,26.77,27.40,26.18,26.28,26.28,1437900
2021-05-24,26.44,26.91,24.73,24.73,24.73,274100
2021-05-25,25.18,25.75,24.03,24.22,24.22,293400
2021-05-26,24.45,25.41,24.25,25.19,25.19,414000
2021-05-27,25.20,25.44,24.28,24.58,24.58,612900
2021-05-28,25.16,25.88,24.91,25.30,25.30,218500
2021-06-01,25.29,25.29,24.31,24.91,24.91,734200
2021-06-02,25.05,25.42,24.90,24.97,24.97,682900
2021-06-03,25.08,25.40,24.35,24.50,24.50,292500
2021-06-04,25.03,25.30,24.46,25.15,25.15,519700
2021-06-07,25.39,26.98,25.21,26.68,26.68,373700
2021-06-08,27.05,29.00,26.81,28.88,28.88,407500
2021-06-09,29.03,29.16,27.94,28.40,28.40,298000
2021-06-10,28.15,29.35,27.62,28.96,28.96,243500
2021-06-11,29.06,29.31,28.17,29.25,29.25,250300
2021-06-14,29.30,29.86,28.90,29.59,29.59,316500
2021-06-15,29.49,29.55,28.00,29.11,29.11,808000
2021-06-16,28.91,29.68,28.61,29.56,29.56,393300
2021-06-17,29.46,30.58,29.46,30.53,30.53,282700
2021-06-18,30.31,30.55,29.07,30.31,30.31,815700
2021-06-21,30.17,30.59,29.16,29.79,29.79,241300
2021-06-22,29.66,30.85,29.66,30.81,30.81,250100
2021-06-23,30.74,31.91,30.05,30.69,30.69,420100
2021-06-24,30.91,30.91,30.09,30.24,30.24,210600
2021-06-25,30.22,30.36,29.42,30.31,30.31,663300
2021-06-28,30.95,30.96,29.38,30.67,30.67,470200
2021-06-29,30.68,30.68,29.71,29.99,29.99,371100
2021-06-30,29.68,30.63,29.05,30.43,30.43,410200
2021-07-01,30.33,30.66,29.76,30.50,30.50,617800
2021-07-02,30.47,30.55,29.33,29.77,29.77,231700
2021-07-06,29.95,29.95,28.50,29.80,29.80,503400
2021-07-07,29.80,30.32,28.89,29.41,29.41,264400
2021-07-08,28.61,30.54,28.26,30.48,30.48,567600
2021-07-09,30.55,30.75,28.69,28.97,28.97,484100
2021-07-12,29.67,30.89,29.21,30.44,30.44,435700
2021-07-13,30.36,30.46,28.39,28.75,28.75,446500
2021-07-14,29.21,29.22,27.58,27.84,27.84,348900
2021-07-15,28.02,28.17,26.33,26.97,26.97,263300
2021-07-16,27.22,28.41,26.94,28.39,28.39,348200
2021-07-19,28.12,29.33,27.28,28.79,28.79,470200
2021-07-20,28.91,29.32,27.36,28.51,28.51,389900
2021-07-21,28.44,28.99,27.86,28.64,28.64,228300
2021-07-22,28.57,28.83,27.88,28.64,28.64,173200
2021-07-23,28.58,28.60,27.43,27.99,27.99,560800
2021-07-26,27.98,28.08,26.73,27.09,27.09,372900
2021-07-27,26.98,27.48,26.12,26.42,26.42,737400
2021-07-28,26.52,27.00,26.16,26.68,26.68,602100
2021-07-29,26.65,26.94,25.67,25.74,25.74,303800
2021-07-30,25.51,26.58,25.51,26.32,26.32,224400
2021-08-02,26.23,26.73,25.53,26.43,26.43,642900
2021-08-03,26.44,27.00,26.00,26.61,26.61,287500
2021-08-04,26.48,27.45,26.42,26.83,26.83,908500
2021-08-05,26.97,27.99,26.50,27.72,27.72,356000
2021-08-06,27.75,28.05,27.07,27.53,27.53,766800
2021-08-09,27.53,28.68,27.22,28.12,28.12,617600
2021-08-10,28.00,28.19,25.00,25.36,25.36,2776300
2021-08-11,25.71,25.77,23.80,24.30,24.30,3446200
2021-08-12,24.83,25.93,24.26,25.24,25.24,1669000
2021-08-13,25.54,26.87,25.25,26.00,26.00,3344000
2021-08-16,26.25,26.49,24.16,24.18,24.18,1406400
2021-08-17,24.24,24.87,23.20,24.69,24.69,1959600
2021-08-18,24.94,25.75,24.40,25.41,25.41,1251400
2021-08-19,25.43,25.59,24.31,24.89,24.89,1557300
2021-08-20,24.79,25.72,24.73,25.17,25.17,830500
2021-08-23,25.42,26.32,25.38,26.01,26.01,819100
2021-08-24,26.01,26.42,25.80,25.92,25.92,878000
2021-08-25,25.72,26.42,25.50,26.20,26.20,1197500
2021-08-26,26.09,26.61,25.74,25.92,25.92,984500
2021-08-27,26.15,26.65,25.76,26.43,26.43,1061700
2021-08-30,26.50,26.81,26.31,26.74,26.74,1128700
2021-08-31,26.88,27.11,25.67,25.99,25.99,788700
2021-09-01,26.05,27.13,25.88,26.84,26.84,613900
2021-09-02,26.84,27.26,26.38,26.69,26.69,692100
2021-09-03,26.55,26.78,26.06,26.25,26.25,619400
2021-09-07,26.20,26.42,25.37,25.42,25.42,452300
2021-09-08,25.21,25.30,24.00,24.33,24.33,521600
2021-09-09,24.23,24.89,24.11,24.35,24.35,484400
2021-09-10,24.05,24.56,23.62,23.85,23.85,707800
2021-09-13,23.88,25.25,23.61,24.23,24.23,1304500
2021-09-14,24.26,24.67,23.35,23.47,23.47,1563800
2021-09-15,23.50,23.60,22.69,23.10,23.10,814200
2021-09-16,23.04,23.62,22.72,23.28,23.28,918900
2021-09-17,23.02,23.90,23.02,23.52,23.52,3881300
2021-09-20,23.19,23.26,22.46,23.11,23.11,1636000
2021-09-21,23.45,23.85,23.06,23.38,23.38,1351800
2021-09-22,22.94,23.27,21.00,21.44,21.44,4779000
2021-09-23,21.17,21.20,19.71,20.05,20.05,5291500
2021-09-24,20.12,20.41,19.77,19.85,19.85,1520900
2021-09-27,19.89,20.28,19.32,19.75,19.75,1822700
2021-09-28,19.72,19.88,19.11,19.15,19.15,2977300
2021-09-29,19.00,19.69,18.13,18.15,18.15,3035800
2021-09-30,18.52,18.68,17.59,17.87,17.87,4127000
2021-10-01,17.79,17.86,16.89,17.12,17.12,2894200
2021-10-04,17.27,17.38,16.43,17.02,17.02,1445300
2021-10-05,17.10,18.04,17.03,17.50,17.50,2718200
2021-10-06,17.40,17.85,17.21,17.50,17.50,1558400
2021-10-07,17.75,18.16,17.73,18.01,18.01,1735000
2021-10-08,18.20,18.31,17.91,18.05,18.05,1648800
2021-10-11,18.04,18.04,16.78,16.79,16.79,1382400
2021-10-12,16.86,17.20,16.51,16.95,16.95,742400
2021-10-13,17.30,17.68,17.11,17.36,17.36,759600
2021-10-14,17.40,18.25,17.40,17.86,17.86,1065300
2021-10-15,17.98,18.06,17.62,17.72,17.72,507300
2021-10-18,17.75,17.78,16.92,16.95,16.95,861800
2021-10-19,17.08,18.11,17.08,17.82,17.82,874100
2021-10-20,17.84,18.19,17.41,17.44,17.44,635400
2021-10-21,17.62,17.87,17.39,17.49,17.49,423000
2021-10-22,17.28,17.54,17.13,17.17,17.17,434400
2021-10-25,17.22,17.56,16.91,17.16,17.16,492700
2021-10-26,17.16,17.33,16.82,17.08,17.08,530300
2021-10-27,16.99,17.14,15.77,15.81,15.81,828400
2021-10-28,15.94,16.44,15.79,16.31,16.31,734800
2021-10-29,16.30,16.50,16.04,16.07,16.07,818200
2021-11-01,16.03,17.37,16.03,16.94,16.94,1877000
2021-11-02,17.00,17.29,15.97,16.59,16.59,771600
2021-11-03,16.64,17.29,16.50,17.20,17.20,743500
2021-11-04,17.30,17.45,16.46,16.66,16.66,1032600
2021-11-05,16.73,17.01,16.05,16.14,16.14,621600
2021-11-08,16.19,16.75,16.15,16.53,16.53,532100
2021-11-09,16.69,16.74,15.12,15.36,15.36,1394400
